05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_615 m,,doll_1.19 b,doll_1.1 b,,doll_39.29 b,doll_1.13 b
doll_26.44 b,,doll_951 m,doll_5 b,,doll_7.73 b,doll_5.01 b
doll_10.6 b,,doll_841.5 m,doll_4.2 b,,doll_32.97 b,doll_4.16 b
doll_1.39 b,,doll_134.2 m,doll_47.6 b,,doll_19.23 b,doll_47.63 b
doll_5.21 b,,doll_875.6 m,doll_20.4 b,,doll_8.03 b,doll_20.38 b
doll_21.3 b,,doll_1.08 b,doll_5 b,,doll_7.85 b,doll_4.98 b
doll_3.4 b,,doll_452.3 m,doll_44.2 b,,doll_19.41 b,doll_44.24 b
doll_7.04 b,,doll_636 m,doll_17.9 b,,doll_20.07 b,doll_17.89 b
doll_3.3 b,,doll_608.2 m,doll_8.7 b,,doll_45.23 b,doll_8.7 b
doll_27.42 b,,doll_748.4 m,doll_6.4 b,,doll_12.94 b,doll_6.36 b
doll_2.63 b,,doll_655 m,doll_6.2 b,,doll_86.96 b,doll_6.17 b
doll_39.89 b,,doll_744.8 m,doll_3.2 b,,doll_2.44 b,doll_3.21 b
doll_11.01 b,,doll_802.2 m,doll_11.9 b,,doll_13.59 b,doll_11.94 b
doll_16.01 b,,doll_1.47 b,doll_2.7 b,,doll_4.53 b,doll_2.68 b
doll_1.97 b,,doll_524.2 m,doll_7.7 b,,doll_93.67 b,doll_7.66 b
doll_35.26 b,,doll_617.5 m,doll_6.2 b,,doll_14.84 b,doll_6.15 b
doll_13.86 b,,doll_836.7 m,doll_8 b,,doll_15.01 b,doll_8 b
doll_16.27 b,,doll_972.3 m,doll_6.6 b,,doll_13.98 b,doll_6.58 b
doll_1.99 b,,doll_782.8 m,doll_8.4 b,,doll_31.19 b,doll_8.42 b
doll_3.88 b,,doll_477.5 m,doll_11.3 b,,doll_49.19 b,doll_11.32 b
doll_8.62 b,,doll_473.6 m,doll_1.2 b,,doll_539.07 b,doll_1.25 b
doll_22.93 b,,doll_822.4 m,doll_6.3 b,,doll_12.17 b,doll_6.27 b
doll_7.78 b,,doll_2.03 b,doll_1.2 b,,doll_23.46 b,doll_1.15 b
doll_28.97 b,,doll_871.6 m,doll_5.1 b,,doll_9.3 b,doll_5.1 b
doll_32.09 b,,doll_807 m,doll_3.7 b,,doll_6.23 b,doll_3.74 b
doll_10.77 b,,doll_449.9 m,doll_10.2 b,,doll_27.73 b,doll_10.19 b
doll_13.89 b,,doll_712.6 m,doll_10.3 b,,doll_12.13 b,doll_10.29 b
doll_7.77 b,,doll_809.5 m,doll_14.6 b,,doll_16.22 b,doll_14.62 b
doll_7.55 b,,doll_727.2 m,doll_2.6 b,,doll_90.81 b,doll_2.6 b
doll_5.35 b,,doll_974.9 m,doll_10.4 b,,doll_19.14 b,doll_10.4 b
doll_6.23 b,,doll_870.6 m,doll_13 b,,doll_17.26 b,doll_13.03 b
doll_1.34 b,,doll_927.8 m,doll_6.2 b,,doll_38.45 b,doll_6.2 b
doll_3.33 b,,doll_555.8 m,doll_8.9 b,,doll_49.27 b,doll_8.9 b
doll_12.68 b,,doll_1.1 b,doll_7.1 b,,doll_9.06 b,doll_7.08 b
doll_16.91 b,,doll_1.01 b,doll_6.2 b,,doll_9.5 b,doll_6.19 b
doll_26.81 b,,doll_860.5 m,doll_5.6 b,,doll_10.44 b,doll_5.64 b
doll_10.12 b,,doll_4.7 m,doll_19 b,,doll_16.96 b,doll_19.04 b
doll_20.32 b,,doll_1.05 b,doll_2.5 b,,doll_8.57 b,doll_2.5 b
doll_20.82 b,,doll_-5.26 b,doll_1.5 b,,doll_32.26 b,doll_1.53 b
doll_28.54 b,,doll_856.9 m,doll_1.6 b,,doll_10.47 b,doll_1.61 b
doll_6.73 b,,doll_61.2 m,doll_6.9 b,,doll_157.96 b,doll_6.91 b
doll_144 m,,doll_579.5 m,doll_29.9 b,,doll_16.21 b,doll_29.93 b
doll_41.22 b,,doll_696 m,doll_3 b,,doll_4.39 b,doll_2.99 b
doll_2.22 b,,doll_517.7 m,doll_7.7 b,,doll_85.49 b,doll_7.66 b
doll_10.05 b,,doll_897 m,doll_11.1 b,,doll_9.18 b,doll_11.14 b
doll_5.87 b,,doll_978.3 m,doll_15.7 b,,doll_10.61 b,doll_15.67 b
doll_14.11 b,,doll_638 m,doll_7.2 b,,doll_20.71 b,doll_7.2 b
doll_11.24 b,,doll_578.6 m,doll_6.3 b,,doll_37.31 b,doll_6.3 b
doll_968 m,,doll_419 m,doll_11.8 b,,doll_41.92 b,doll_11.81 b
doll_1.84 b,,doll_414.3 m,doll_8.1 b,,doll_85.06 b,doll_8.1 b
doll_37.06 b,,doll_726 m,doll_2 b,,doll_5.51 b,doll_2.04 b
doll_2.46 b,,doll_620.7 m,doll_4.5 b,,doll_155.06 b,doll_4.49 b
doll_5.09 b,,doll_600.6 m,doll_17 b,,doll_20.83 b,doll_16.98 b
doll_2.1 b,,doll_663.3 m,doll_4.2 b,,doll_107.92 b,doll_4.23 b
doll_4.8 b,,doll_820.3 m,doll_13.1 b,,doll_17.84 b,doll_13.11 b
doll_20.85 b,,doll_-38.6 m,doll_11.4 b,,doll_8.15 b,doll_11.42 b
doll_31.59 b,,doll_778.1 m,doll_3.2 b,,doll_2.48 b,doll_3.16 b
doll_12.46 b,,doll_529.9 m,doll_17 b,,doll_11.78 b,doll_17 b
doll_20.41 b,,doll_-2.08 b,doll_10.1 b,,doll_15.19 b,doll_10.06 b
doll_6.54 b,,doll_1.24 b,doll_9.2 b,,doll_16.45 b,doll_9.22 b
doll_9.15 b,,doll_488.6 m,doll_1.6 b,,doll_165.88 b,doll_1.56 b
doll_14.68 b,,doll_458.5 m,doll_1.1 b,,doll_47.8 b,doll_1.14 b
doll_49.4 b,,doll_83.3 m,doll_7.1 b,,doll_10.1 b,doll_7.07 b
doll_15.1 b,,doll_834.7 m,doll_7.7 b,,doll_8.02 b,doll_7.73 b
doll_2.09 b,,doll_681.4 m,doll_15.6 b,,doll_18.33 b,doll_15.65 b
doll_14.69 b,,doll_564.9 m,doll_2.1 b,,doll_34.92 b,doll_2.06 b
doll_7.78 b,,doll_724 m,doll_14.3 b,,doll_17.34 b,doll_14.29 b
