,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
191,0,0,doll_0.022259 b,doll_0.006033 b,0,0,doll_0.54124 b,doll_0.069271 b,doll_0.47197 b
192,0,0,doll_0.011564 b,doll_0.003908 b,0,0,doll_0.038772 b,doll_0.018168 b,doll_0.020604 b
193,0,0,doll_0.014622 b,doll_0.003189 b,0,0,doll_0.013824 b,doll_0.009829000000000001 b,doll_0.003994 b
194,0,0,doll_0.023771 b,doll_0.007221 b,0,0,doll_0.9111 b,doll_0.056051000000000004 b,doll_0.85505 b
195,0,0,doll_0.007318 b,doll_0.00139 b,0,0,doll_0.052322 b,doll_0.037992 b,doll_0.014329000000000001 b
196,0,0,doll_0.048549 b,doll_0.003282 b,0,0,doll_0.028461 b,doll_0.0060030000000000005 b,doll_0.022458 b
197,0,0,doll_0.021842 b,doll_0.0016120000000000002 b,0,0,doll_0.06548999999999999 b,doll_0.038775 b,doll_0.026715 b
198,0,0,doll_0.007774 b,doll_0.813 b,0,0,doll_0.014539999999999999 b,doll_0.012267 b,doll_0.0022730000000000003 b
199,0,0,doll_0.040963 b,doll_0.008539 b,0,0,doll_0.20005 b,doll_0.059713999999999996 b,doll_0.14034 b
200,0,0,doll_0.016079999999999997 b,0,0,0,0,0,0
201,0,0,doll_0.022577000000000003 b,doll_0.005857 b,0,0,doll_0.041195999999999997 b,doll_0.009422 b,doll_0.031773 b
202,0,0,doll_0.012522 b,doll_0.003781 b,0,0,doll_0.040531 b,doll_0.01349 b,doll_0.027041 b
203,0,0,doll_0.0 b,doll_0.011256 b,0,0,doll_0.37049 b,doll_0.050747 b,doll_0.31974 b
204,0,0,doll_0.00634 b,doll_0.0010960000000000002 b,0,0,doll_0.03904 b,doll_0.008258 b,doll_0.030782 b
205,0,0,doll_0.025713999999999997 b,doll_0.002834 b,0,0,doll_0.051555 b,doll_0.023651 b,doll_0.027902999999999997 b
206,0,0,doll_0.019915 b,doll_0.002153 b,0,0,doll_0.041516 b,doll_0.020623000000000002 b,doll_0.020893000000000002 b
207,0,0,doll_0.043 b,0,0,0,0,0,0
208,0,0,doll_0.019944 b,doll_0.0018640000000000002 b,0,0,doll_0.020666 b,doll_0.002437 b,doll_0.018229 b
209,0,0,doll_0.049966 b,doll_0.004158 b,0,0,doll_0.056455 b,doll_0.019620000000000002 b,doll_0.036835 b
210,0,0,doll_0.08580299999999999 b,doll_0.572 b,0,0,0,0,0
211,0,0,0,doll_0.003378 b,0,0,doll_0.24377000000000001 b,doll_0.043251 b,doll_0.20052 b
212,0,0,doll_0.025097 b,doll_0.003908 b,0,0,doll_0.16959 b,doll_0.049296 b,doll_0.12029000000000001 b
213,0,0,doll_0.017455 b,doll_-0.496 b,0,0,doll_0.038774 b,doll_0.014458 b,doll_0.024315999999999997 b
214,0,0,doll_0.0046890000000000005 b,doll_0.0026360000000000003 b,0,0,doll_0.19678 b,doll_0.027399 b,doll_0.16938 b
