00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_1.678.100 m,doll_105.540 m,doll_1.783.600 m,doll_31.817 m,"398,860 million usd"
doll_164.550 m,doll_42.330 m,doll_206.880 m,doll_94.862 m,"5,459 million usd"
doll_2.780 m,doll_19.514 m,doll_22.294 m,55 million usd,"174,270 million usd"
doll_2.682 m,doll_6.144 m,doll_8.827 m,doll_6.528 m,"14,455 million usd"
doll_2.666 m,doll_5.835 m,doll_8.502 m,doll_5.232 m,"1,940 million usd"
doll_2.094 m,232 million usd,doll_2.327 m,doll_1.940 m,"5,232 million usd"
doll_12.452 m,doll_3.625 m,doll_16.077 m,doll_14.455 m,"6,528 million usd"
doll_107.780 m,doll_47.112 m,doll_154.890 m,doll_174.270 m,55 million usd
doll_170.790 m,doll_22.709 m,doll_193.500 m,doll_9.168 m,"28,945 million usd"
doll_4.369 m,doll_1.995 m,doll_6.364 m,doll_6.606 m,"78,849 million usd"
doll_98.325 m,doll_49.788 m,doll_148.110 m,doll_78.849 m,"6,606 million usd"
doll_24.681 m,doll_15.579 m,doll_40.620 m,doll_28.945 m,"9,168 million usd"
doll_1.561 m,doll_3.676 m,doll_5.237 m,doll_3.928 m,"111,660 million usd"
doll_24.852 m,doll_13.641 m,doll_38.493 m,doll_11.142 m,"20,692 million usd"
doll_30.189 m,doll_23.677 m,doll_53.866 m,doll_20.248 m,"14,545 million usd"
doll_99.369 m,doll_28.165 m,doll_127.530 m,doll_23.113 m,"2,484 million usd"
doll_28.068 m,doll_50.969 m,doll_79.037 m,doll_35.258 m,"11,848 million usd"
doll_5.598 m,doll_9.516 m,doll_15.114 m,doll_11.848 m,"35,258 million usd"
doll_44.619 m,doll_6.332 m,doll_50.951 m,doll_2.484 m,"23,113 million usd"
doll_185.380 m,doll_20.627 m,doll_206.010 m,doll_14.545 m,"20,248 million usd"
doll_715.640 m,doll_44.233 m,doll_759.870 m,doll_20.692 m,"11,142 million usd"
doll_700.060 m,doll_75.206 m,doll_775.260 m,doll_111.660 m,"3,928 million usd"
doll_27.437 m,doll_27.023 m,doll_54.460 m,doll_6.386 m,"43,104 million usd"
doll_154.350 m,doll_75.110 m,doll_229.460 m,doll_111.210 m,"16,226 million usd"
doll_87.579 m,doll_39.931 m,doll_127.510 m,doll_203.750 m,"62,990 million usd"
doll_14.431 m,609 million usd,doll_15.040 m,doll_17.421 m,"13,877 million usd"
doll_8.839 m,doll_6.829 m,doll_15.668 m,doll_5.356 m,"15,137 million usd"
doll_4.555 m,doll_25.023 m,doll_29.578 m,doll_15.137 m,"5,356 million usd"
doll_35.584 m,doll_47.347 m,doll_82.931 m,doll_13.877 m,"17,421 million usd"
doll_65.823 m,doll_41.290 m,doll_107.110 m,doll_62.990 m,"203,750 million usd"
doll_45.297 m,doll_30.952 m,doll_76.249 m,doll_16.226 m,"111,210 million usd"
doll_111.600 m,doll_44.608 m,doll_156.210 m,doll_43.104 m,"6,386 million usd"
doll_51.343 m,doll_44.953 m,doll_96.296 m,doll_86.615 m,"36,400 million usd"
doll_597.560 m,doll_43.460 m,doll_641.020 m,doll_11.549 m,"4,462 million usd"
doll_3.972 m,doll_3.909 m,doll_7.881 m,27 million usd,"14,759 million usd"
doll_11.953 m,doll_2.727 m,doll_14.680 m,doll_6.218 m,"93,512 million usd"
doll_5.069 m,doll_17.050 m,doll_22.119 m,doll_10.411 m,"6,635 million usd"
doll_17.036 m,doll_10.882 m,doll_27.918 m,doll_6.635 m,"10,411 million usd"
doll_61.055 m,doll_24.939 m,doll_85.994 m,doll_93.512 m,"6,218 million usd"
doll_16.668 m,doll_11.800 m,doll_28.468 m,doll_14.759 m,27 million usd
doll_6.406 m,doll_15.702 m,doll_22.108 m,doll_4.462 m,"11,549 million usd"
,,,doll_36.400 m,"86,615 million usd"
doll_9.161 m,doll_14.976 m,doll_24.137 m,doll_13.763 m,"61,787 million usd"
doll_17.614 m,doll_16.413 m,doll_34.027 m,doll_19.628 m,"97,143 million usd"
doll_1.769 m,doll_3.018 m,doll_4.787 m,doll_4.321 m,"62,540 million usd"
doll_21.973 m,doll_7.124 m,doll_29.097 m,doll_17.931 m,"39,745 million usd"
doll_397.940 m,doll_37.881 m,doll_435.830 m,doll_65.801 m,"11,777 million usd"
doll_7.298 m,doll_6.925 m,doll_14.222 m,doll_11.777 m,"65,801 million usd"
doll_40.671 m,doll_40.211 m,doll_80.883 m,doll_39.745 m,"17,931 million usd"
,,,doll_62.540 m,"4,321 million usd"
doll_125.670 m,doll_83.121 m,doll_208.800 m,doll_97.143 m,"19,628 million usd"
doll_27.763 m,doll_44.508 m,doll_72.271 m,doll_61.787 m,"13,763 million usd"
doll_9.937 m,doll_9.616 m,doll_19.553 m,doll_13.997 m,"40,247 million usd"
doll_61.029 m,doll_61.029 m,doll_371.350 m,,0 million usd
doll_13.982 m,doll_7.224 m,doll_21.206 m,doll_12.733 m,"4,117 million usd"
doll_13.319 m,doll_13.539 m,doll_26.859 m,doll_10.323 m,"32,492 million usd"
doll_71.794 m,doll_14.190 m,doll_85.984 m,doll_5.425 m,"43,076 million usd"
doll_65.160 m,doll_19.799 m,doll_84.960 m,doll_43.076 m,"5,425 million usd"
doll_1.244.100 m,doll_107.470 m,doll_1.351.500 m,doll_32.492 m,"10,323 million usd"
doll_3.746 m,doll_3.790 m,doll_7.536 m,doll_4.117 m,"12,733 million usd"
doll_1.056.500 m,doll_60.662 m,doll_1.117.200 m,0 million usd,
doll_21.473 m,doll_32.760 m,doll_54.233 m,doll_40.247 m,"13,997 million usd"
doll_2.999 m,doll_5.046 m,doll_8.045 m,doll_5.426 m,"22,687 million usd"
doll_52.359 m,doll_18.231 m,doll_52.359 m,doll_47.676 m,"17,661 million usd"
doll_127.680 m,doll_61.610 m,doll_189.290 m,doll_164.660 m,"10,281 million usd"
doll_6.666 m,doll_18.768 m,doll_25.434 m,doll_16.071 m,
doll_70.672 m,doll_28.918 m,doll_99.590 m,doll_13.964 m,"52,662 million usd"
doll_36.221 m,doll_59.704 m,doll_95.925 m,doll_52.662 m,"13,964 million usd"
,,,,"16,071 million usd"
doll_463.240 m,doll_42.397 m,doll_505.640 m,doll_10.281 m,"164,660 million usd"
doll_10.652 m,doll_3.272 m,doll_13.925 m,doll_17.661 m,"47,676 million usd"
doll_13.251 m,doll_14.653 m,doll_27.904 m,doll_22.687 m,"5,426 million usd"
doll_30.867 m,doll_1.061 m,doll_31.928 m,doll_12.193 m,"17,191 million usd"
doll_208.090 m,doll_27.464 m,doll_235.560 m,doll_12.743 m,"9,211 million usd"
doll_8.045 m,doll_9.335 m,doll_17.380 m,doll_3.415 m,"35,667 million usd"
doll_1.620 m,doll_3.924 m,doll_5.545 m,doll_3.677 m,"4,706 million usd"
doll_5.963 m,doll_4.535 m,doll_10.498 m,doll_5.138 m,"37,060 million usd"
doll_10.498 m,doll_9.359 m,doll_19.857 m,doll_37.060 m,"5,138 million usd"
