,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
1814,frigoclim Kälte-Klima,Germany,Construction,,,3890690.0,22.0,7,2014.0,1326082.0,
1815,M Coffee Company,Germany,Retail,,,2117442.0,5.0,3,2013.0,722795.0,
1816,PROTEXTYL,France,Retail,,,5324116.0,22.0,12,2011.0,1818032.0,
1817,SP architecte,France,Construction,,,2825876.0,18.0,14,2009.0,964998.0,
1818,Embargos a lo bestia,Spain,Retail,,,22559217.0,178.0,54,2011.0,7709375.0,
1819,Snigel,Ireland,Technology,,,20479764.0,3.0,2,2011.0,7000063.0,
1820,IMS Rettungsdienst,Germany,Health,,,1900000.0,120.0,5,2006.0,650000.0,
1821,Way2Global SB,Italy,Support Services,,,2411600.0,16.0,1,2017.0,828820.0,
1822,Media Access Solutions,UK,Support Services,,,3407930.0,33.0,3,2014.0,1181642.0,
1823,Exadi,Spain,Sales and Marketing,,,42525086.0,44.0,21,2008.0,14649568.0,
1824,Fiber-Service-Gesellschaft,Germany,Telecoms,,,4049655.0,29.0,10,2014.0,1395607.0,
1825,TenderHut (Group),Poland,Technology,,,10264611.0,280.0,140,2010.0,3868483.0,
1826,Worldwide Fishing Company,Spain,Food & Beverage,,,140442673.0,30.0,12,2016.0,48449141.0,
1827,Doctor Hail spa,Italy,Automobiles,,,18101114.0,43.0,26,2013.0,6246592.0,
1828,KBS Group,Germany,Support Services,,,42006000.0,1500.0,650,2011.0,14500000.0,
1829,Terre Ehitus,Estonia,Construction,,,2089215.0,12.0,5,2017.0,723064.0,
1830,Bauer Energiekonzepte,Germany,Energy,,,36223730.0,19.0,7,2013.0,12554325.0,
1831,New Euroart,Italy,Construction,,,9307640.0,77.0,26,2001.0,3226280.0,
1832,Capelli For You,Italy,Beauty,,,1658750.0,16.0,8,2015.0,575120.0,
1833,Ogury,UK,Advertising,,,108758853.0,371.0,133,2014.0,37992902.0,
1834,TFT Ernst,Germany,Construction,,,2012427.0,17.0,7,2017.0,698300.0,
1835,Somerford Associates,UK,Technology,,,18757685.0,55.0,31,2001.0,6564162.0,
1836,ARCADIA Investment,Germany,Property,,,8102218.0,38.0,12,2012.0,2818652.0,
1837,FiloBlu,Italy,Management Consulting,,,55564420.0,186.0,112,2009.0,19351090.0,
1838,Tribus Digital,UK,Technology,,,1952800.0,21.0,8,2016.0,685567.0,
1839,DoIT,Italy,Technology,,,3040000.0,35.0,20,2014.0,1060000.0,
1840,Global Perspectives,UK,Health,,,6631496.0,23.0,8,2009.0,2329522.0,
1841,Pirene,Italy,Support Services,,,1512680.0,25.0,8,1999.0,527910.0,
