04-iGMM-world_rank__jan_07_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,07-silvestri-employees_2022
"3,923","45,000",,
"3,924","277,000",,
"3,925",265,265,
"3,926",,"230,000",
"3,926",,,
"3,927",700,"1,078",
"3,928","4,066","13,594",
"3,929",,"3,400",
"3,930",111,,
"3,931",,"3,844",
"3,932","1,773","11,836",
"3,933","230,000","1,600",
"3,934",,,
"3,935","1,600","88,704",
"3,936","11,836",510,
"3,937","3,844",,
"3,938",,"3,087",
"3,939","3,400",167,
"3,940","13,594",969,
"3,941","1,078","5,637",
"3,942",,,
"3,943","88,704","13,832",
"3,944",806,806,
"3,945","13,832",134,
"3,946",,"1,162",
"3,947","5,637","20,440",
"3,948",969,"4,407",
"3,948",167,400,
"3,949","3,087","4,058",
"3,950",,"1,368",
"3,950",510,"1,500",
"3,951",134,820,
"3,952","12,000","12,000",
"3,953",820,"4,800",
"3,954","1,500","2,000",
"3,955","1,368","5,547",
"3,956","4,058","2,000",
"3,957",400,"1,354",
"3,958","4,407","31,000",
"3,958","20,440","1,000",
"3,958","1,162",,
"3,958","4,800",,
"3,958",300,300,
"3,958",,,
"3,958",,,
"3,958","1,000",,
"3,958","31,000",,
"3,958","1,354",,
"3,958","2,000",,
"3,958","5,547",,
"3,958","2,000",,
"3,958",,"1,914",
"3,958","1,253","1,253",
"3,958","1,914",278,
"3,958",,"2,621",
"3,958",,"1,900",
"3,958",,,
"3,958",,"1,300",
"3,958",,,
"3,958",,,
"3,958",,,
"3,958",278,,
"3,958",,,
"3,958",,"1,100",
"3,958",,,
"3,958",,,
"3,959",,,
"3,960","1,300","3,066",
"3,961",,,
"3,962","1,900",,
"3,962","2,621","33,617",
"3,963","1,100",626,
"3,964",71,71,
"3,965",626,"12,800",
"3,966","33,617","10,779",
"3,967",,,
"3,968",,,
"3,969","3,066","1,284",
"3,970",,603,
"3,971",,216,
"3,972",,609,
"3,973","12,800","2,691",
"3,974",,,
"3,975","2,691","12,000",
"3,976",609,"3,500",
"3,977",216,"4,081",
"3,978",603,"7,806",
"3,979","1,284","5,130",
"3,980",,,
"3,981",,"6,008",
"3,982","10,779",279,
"3,983","12,000",,
"3,984",884,884,
"3,985",,911,
"3,987",279,716,
"3,988","6,008",,
"3,989",,"8,554",
"3,990","5,130",85,
"3,991","7,806",976,
"3,992","4,081","2,245",
"3,993","3,500","3,718",
"3,994",911,"20,900",
"3,995","2,881","2,881",
"3,996","20,900","41,409",
"3,997","3,718","45,328",
"3,997","2,245",,
"3,998",976,"78,202",
"3,999",85,,
"4,000","8,554",789,
"4,001",,"7,452",
"4,002",716,"9,039",
"4,003","41,409",659,
"4,004",640,640,
"4,005",659,,
"4,006","9,039","20,990",
"4,007","7,452",861,
"4,007",789,"2,775",
"4,008",,"18,933",
"4,009","78,202","7,800",
"4,010",,313,
"4,011","45,328",75,
"4,012",,,
"4,013","1,277","1,277",
"4,014",,,
"4,015",313,,
"4,016",75,,
"4,017","7,800",,
"4,018","18,933",,
"4,019","2,775",,
"4,020",861,"7,484",
"4,021","20,990","6,120",
"4,022",,"8,000",
"4,023","1,109","1,109",
"4,024","8,000","2,532",
"4,025","6,120","1,049",
"4,026","7,484",304,
"4,027",,"13,900",
"4,028",,"9,251",
"4,029",,800,
"4,030",,,
"4,031",,"13,868",
"4,032","2,532","25,000",
"4,033","6,545","6,545",
"4,034","25,000","1,251",
"4,035","13,868",63,
"4,036",,400,
"4,037",800,"37,902",
"4,038","9,251",248,
"4,039","13,900","2,808",
"4,040",304,"1,476",
"4,041","1,049","18,195",
"4,042","1,251","12,900",
"4,043","7,823","7,823",
"4,044","12,900",356,
"4,045","18,195","1,203",
"4,046","1,476","2,054",
"4,047","2,808","5,125",
"4,048",248,,
"4,049","37,902","1,900",
"4,050",400,630,
"4,051",63,,
"4,052",356,,
"4,053",,,
"4,054",,"2,195",
"4,055",,"8,959",
"4,056",630,,
"4,057","1,900",,
"4,058",,"1,934",
"4,059","5,125","29,676",
"4,060","2,054","70,000",
"4,061","1,203",954,
"4,062","2,195",,
"4,063","3,695","3,695",
"4,064",,,
"4,065",954,"1,983",
"4,066","70,000",,
"4,067","29,676","4,900",
"4,068","1,934",,
"4,069",,"146,683",
"4,070",,"20,935",
"4,070","8,959","3,100",
"4,071",,,
"4,072","7,821","7,821",
"4,073",,870,
"4,074","3,100","7,981",
"4,075","20,935",221,
"4,076","146,683","3,000",
"4,077",,"4,409",
"4,078","4,900","1,271",
"4,079",,650,
"4,080","1,983","3,872",
"4,081",870,,
"4,082","3,245","3,245",
"4,083",,412,
"4,084","3,872",150,
"4,085",650,,
"4,086","1,271","40,141",
"4,087","4,409","32,000",
"4,088","3,000",,
"4,089",221,"12,160",
"4,090","7,981","6,341",
"4,091",412,"2,671",
"4,092","10,500","10,500",
"4,093","2,671",,
"4,094","6,341",,
"4,095","12,160","50,500",
"4,096",,"7,698",
"4,097","32,000",650,
"4,098","40,141",,
"4,099",,"2,450",
"4,099",150,,
"4,099",,"27,163",
"4,100","2,641","2,641",
"4,101","27,163","6,929",
"4,102",,"3,593",
"4,103",,713,
"4,104","2,450","6,504",
"4,105",650,,
"4,106","7,698",,
"4,107","50,500","5,000",
"4,108",,85,
"4,109","6,929","4,500",
"4,110","1,771","1,771",
"4,111","4,500","10,086",
"4,112",85,864,
"4,113","5,000","6,519",
"4,114",,"8,012",
"4,115",,"1,878",
"4,116","6,504","4,000",
"4,117",713,"42,244",
"4,118","3,593",,
"4,119","10,086","7,736",
"4,120",,,
"4,121","7,736",,
"4,122",,"1,566",
"4,123","42,244","8,191",
"4,124","4,000","27,984",
"4,125","1,878","1,448",
"4,126","8,012","1,143",
"4,127","6,519",,
"4,128",864,,
"4,129",,"14,066",
"4,130",174,174,
"4,131","14,066","4,926",
"4,132",,"4,993",
"4,133",,"10,494",
"4,134","1,143","6,588",
"4,135","1,448","5,416",
"4,136","27,984",900,
"4,137","8,191","1,699",
"4,138","1,566","16,464",
"4,139","4,926",,
"4,140","6,500","6,500",
"4,141",,,
"4,142","16,464",118,
"4,143","1,699","7,874",
"4,144",900,,
"4,145","5,416","5,179",
"4,146","6,588",292,
"4,147","10,494",438,
"4,148","4,993","62,000",
"4,149",,"1,346",
"4,150","5,900","5,900",
"4,151","1,346",,
"4,152","62,000","30,130",
"4,153",438,"2,907",
"4,154",292,"13,900",
"4,155","5,179","2,600",
"4,156",,"14,000",
"4,157","7,874","7,988",
"4,158",118,"28,786",
"4,159",,"14,000",
"4,160","14,100","14,100",
"4,161","14,000","2,637",
"4,162","28,786","4,259",
"4,163","7,988","20,284",
"4,164","14,000",409,
"4,165","2,600",,
"4,166","13,900",,
"4,167","2,907",,
"4,167","30,130",233,
"4,168","2,637","20,200",
"4,169",540,540,
"4,170","20,200","3,262",
"4,171",233,,
"4,172",,"8,331",
"4,173",,"3,270",
"4,174",,"5,903",
"4,175",409,"1,097",
"4,176","20,284",,
"4,177","4,259","5,000",
"4,178","3,262","2,000",
"4,179",,,
"4,180","2,000",,
"4,181","5,000","6,500",
"4,182",,"11,624",
"4,183","1,097","8,833",
"4,184","5,903",,
"4,185","3,270",,
"4,186","8,331","8,613",
"4,187",,"1,219",
"4,188",,"7,048",
"4,189",,,
"4,190","7,048","2,389",
"4,191","1,219","15,000",
"4,192","8,613",,
"4,193",,"3,328",
"4,194",,"1,266",
"4,195","8,833","1,782",
"4,196","11,624","1,525",
"4,197","6,500",295,
"4,198","2,389",280,
"4,199",53,53,
"4,200",280,"2,056",
"4,201",295,"1,863",
"4,202","1,525",,
"4,203","1,266",,
"4,204","1,782","2,822",
"4,205","3,328","1,366",
"4,206",,,
"4,207","15,000","3,678",
"4,208","2,056",817,
"4,209",,,
"4,210",817,"9,356",
"4,211","3,678","23,632",
"4,212",,"2,544",
"4,213","1,366","1,100",
"4,213","2,822","1,148",
"4,214",,,
"4,215",,"3,651",
"4,216","1,863","15,322",
"4,217","9,356",514,
"4,218",491,491,
"4,219",514,,
"4,220","15,322",,
"4,221","3,651","7,000",
"4,222",,,
"4,223","1,148","8,954",
"4,224","1,100","10,471",
"4,225","2,544","2,853",
"4,226","23,632",,
"4,227",,192,
"4,228","2,080","2,080",
"4,229",192,,
"4,230",,,
"4,231","2,853","5,139",
"4,232","10,471",,
"4,233","8,954",,
"4,234",,,
"4,235","7,000",264,
"4,236",,"1,073",
"4,237",,"1,839",
"4,238",61,61,
"4,239","1,839",500,
"4,240","1,073","6,047",
"4,241",264,224,
"4,242",,487,
"4,243",,"23,632",
"4,244",,"30,747",
"4,245","5,139",,
"4,246",,,
"4,247",500,"3,600",
"4,248","3,215","3,215",
"4,249","3,600","1,300",
"4,250",,545,
"4,251",,"2,732",
"4,252","30,747",,
"4,253","23,632","22,000",
"4,254",487,,
"4,255",224,"6,618",
"4,256","6,047","7,000",
"4,256","1,300",750,
"4,257","1,165","1,165",
"4,258",750,,
"4,259","7,000","6,631",
"4,260","6,618",,
"4,261",,"13,300",
"4,262","22,000","16,300",
"4,263",,"4,330",
"4,264","2,732","11,400",
"4,265",545,"1,227",
"4,266",,"8,500",
"4,267","4,249","4,249",
"4,268","8,500","4,123",
"4,269","1,227",,
"4,270","11,400",500,
"4,271","4,330","8,000",
"4,272","16,300","2,601",
"4,273","13,300","17,000",
"4,274",,,
"4,275","6,631","5,000",
"4,276","4,123","3,500",
"4,277","5,357","5,357",
"4,278","3,500","1,156",
"4,279","5,000",,
"4,280",,"6,369",
"4,281","17,000","46,000",
"4,282","2,601","11,187",
"4,283","8,000","8,005",
"4,284",500,41,
"4,285",,,
"4,286","1,156","1,207",
"4,287",287,287,
"4,288","1,207","6,200",
"4,289",,"1,259",
"4,290",41,"18,636",
"4,291","11,187",,
"4,292","8,005","5,974",
"4,293","46,000",,
"4,294","6,369","6,737",
"4,295",,"1,365",
"4,296","6,200",,
"4,297",735,735,
"4,298",,"13,735",
"4,299","1,365","471,056",
"4,300","6,737","14,402",
"4,301",,,
"4,302","5,974","5,622",
"4,303",,"17,626",
"4,304","18,636","5,667",
"4,304","1,259",,
"4,305","13,735","3,303",
"4,306",848,848,
"4,307","3,303",,
"4,308",,,
"4,309","5,667",,
"4,310","17,626","14,297",
"4,311","5,622","18,634",
"4,312",,,
"4,313","14,402",,
"4,314","471,056",,
"4,315",,,
"4,316",,,
"4,316",,,
"4,317",,714,
"4,318",,,
"4,319",,"8,316",
"4,320","18,634","7,618",
"4,321","14,297",353,
"4,322",,,
"4,323",,"10,929",
"4,324",,,
"4,325","37,075","37,075",
"4,326",,"4,213",
"4,327","10,929","2,909",
"4,328",,"1,480",
"4,329",353,"1,272",
"4,330","7,618",,
"4,331","8,316",512,
"4,332",,"7,721",
"4,333",714,"6,485",
"4,334","4,213","6,000",
"4,335",,,
"4,336","6,000","3,732",
"4,337","6,485",,
"4,338","7,721","25,032",
"4,339",512,"13,424",
"4,340",,"50,490",
"4,341","1,272",,
"4,342","1,480","57,000",
"4,343","2,909","1,783",
"4,344","3,732",,
"4,345",86,86,
"4,346",,,
"4,347","1,783","3,343",
"4,348","57,000","4,625",
"4,348",,,
"4,349","50,490","18,211",
"4,350","13,424","20,968",
"4,351","25,032","11,644",
"4,352",,"4,790",
"4,353",,"2,244",
"4,354",,,
"4,355","2,244","14,470",
"4,356","4,790",703,
"4,357","11,644",473,
"4,358","20,968","1,317",
"4,359","18,211","10,000",
"4,360",,,
"4,361","4,625","5,779",
"4,362","3,343","6,134",
"4,363","14,470",970,
"4,364","17,796","17,796",
"4,365",970,,
"4,366","6,134","5,216",
"4,367","5,779","2,345",
"4,368",,"2,500",
"4,369","10,000","4,327",
"4,370","1,317","13,711",
"4,371",473,219,
"4,372",703,"13,200",
"4,373",,"1,343",
"4,374","2,000","2,000",
"4,375","1,343","210,067",
"4,376","13,200","5,800",
"4,377",219,,
"4,378","13,711","40,200",
"4,379","4,327",,
"4,380","2,500","11,900",
"4,381","2,345",,
"4,382","5,216",,
"4,383","210,067",986,
"4,384","25,214","25,214",
"4,385",986,,
"4,386",,,
"4,387",,"7,315",
"4,388","11,900",37,
"4,389",,75,
"4,390","40,200","3,710",
"4,391",,"3,029",
"4,392","5,800","12,890",
"4,393",,"4,300",
"4,394","3,500","3,500",
"4,395","4,300",,
"4,396","12,890","4,586",
"4,397","3,029","26,286",
"4,398","3,710","2,049",
"4,399",75,,
"4,400",37,"4,325",
"4,401","7,315",,
"4,402",,,
"4,403",,"101,002",
"4,404","5,198","5,198",
"4,405","101,002","4,836",
"4,406",,"3,805",
"4,407",,"2,370",
"4,408","4,325",690,
"4,409",,,
"4,410","2,049","478,070",
"4,411","26,286","2,989",
"4,412","4,586","5,329",
"4,413","4,836","4,800",
"4,414","3,677","3,677",
"4,415","4,800","4,460",
"4,416","5,329",,
"4,417","2,989",,
"4,418","478,070","4,004",
"4,419",,,
"4,420",690,"24,298",
"4,421","2,370",,
"4,422","3,805","5,337",
"4,423","4,460",,
"4,423",200,200,
"4,424",,,
"4,425","5,337","1,055",
"4,426",,"1,319",
"4,427","24,298",,
"4,428",,"12,416",
"4,429","4,004","66,000",
"4,430",,"1,279",
"4,431",,,
"4,431",,,
"4,432",,,
"4,433",,242,
"4,434",,"6,900",
"4,435","1,279",,
"4,436","66,000","13,602",
"4,437","12,416",652,
"4,438",,"15,500",
"4,439","1,319",,
"4,440","1,055","6,148",
"4,441",242,361,
"4,442","4,800","4,800",
"4,443",361,"7,657",
"4,444","6,148","1,116",
"4,445",,"31,000",
"4,446","15,500","10,000",
"4,447",652,"2,900",
"4,448","13,602",,
"4,449",,"5,643",
"4,449","6,900","1,719",
"4,450","7,657","2,900",
"4,451","5,934","5,934",
"4,452","2,900",95,
"4,453","1,719","3,681",
"4,454","5,643","42,710",
"4,455",,"3,154",
"4,455","2,900",964,
"4,456","10,000","25,000",
"4,457","31,000",,
"4,458","1,116","11,552",
"4,459",95,"4,000",
"4,460",220,220,
"4,461","4,000",,
"4,462","11,552",,
"4,463",,,
"4,464","25,000",,
"4,465",964,"40,582",
"4,466","3,154",,
"4,467","42,710",,
"4,468","3,681","121,953",
"4,469",,,
"4,470",,,
"4,471",,"4,434",
"4,472","121,953",973,
"4,472",,"1,761",
"4,472",,600,
"4,472","40,582","1,081",
"4,472",,"2,056",
"4,472",,"2,289",
"4,472",,50,
"4,472","4,434",288,
"4,473","2,944","2,944",
"4,474",50,"2,900",
"4,475",288,"2,200",
"4,476","2,289",,
"4,476","2,056","1,283",
"4,477","1,081","1,828",
"4,478",600,553,
"4,479","1,761","15,837",
"4,480",973,230,
"4,481","2,900","6,446",
"4,482",,,
"4,483","6,446","11,377",
"4,484",230,"60,000",
"4,485","15,837","1,751",
"4,486",553,,
"4,487","1,828",,
"4,488","1,283","15,986",
"4,489",,,
"4,490","2,200","1,699",
"4,491","11,377",174,
"4,492","16,745","16,745",
"4,493",174,,
"4,494","1,699",,
"4,495",,"33,140",
"4,496","15,986","4,500",
"4,497",,239,
"4,497",,,
"4,498","1,751",,
"4,499","60,000",,
"4,500",,"8,956",
"4,501",,,
"4,502","8,956",,
"4,503",,"5,110",
"4,504",,"2,293",
"4,505",,"1,500",
"4,506",239,117,
"4,507","4,500",,
"4,508","33,140",,
"4,509",,236,
"4,510",,"9,600",
"4,511","11,400","11,400",
"4,512","9,600","1,001",
"4,513",236,495,
"4,514",,"13,676",
"4,515",,"1,543",
"4,516",117,"8,808",
"4,517","1,500",,
"4,518","2,293",,
"4,519","5,110",250,
"4,519","1,001",299,
"4,520",,,
"4,521",299,567,
"4,522",250,,
"4,523",,"4,960",
"4,524",,,
"4,525","8,808","2,817",
"4,526","1,543",,
"4,527","13,676","188,327",
"4,528",495,"2,368",
"4,529",567,"11,000",
"4,530","7,028","7,028",
"4,531","11,000","21,475",
"4,532","2,368",394,
"4,533","188,327","68,000",
"4,533",,"10,300",
"4,534","2,817",,
"4,535",,"7,228",
"4,536","4,960","1,665",
"4,537",,858,
"4,538","21,475",,
"4,539",39,39,
"4,540",,,
"4,541",858,"90,003",
"4,542","1,665",,
"4,543","7,228",,
"4,544",,34,
"4,545","10,300",,
"4,546","68,000","17,415",
"4,547",394,"15,497",
"4,548",,,
"4,549","120,000","120,000",
"4,550",,,
"4,551","15,497","3,146",
"4,552","17,415","7,054",
"4,553",,,
"4,554",34,"1,138",
"4,555",,"15,054",
"4,556",,,
"4,557",,"20,000",
"4,558","90,003",,
"4,559",,,
"4,560",,"12,000",
"4,560","20,000",,
"4,561",,"22,708",
"4,562","15,054","2,374",
"4,563","1,138","3,075",
"4,564",,"3,970",
"4,565","7,054",,
"4,566","3,146",857,
"4,567","12,000",350,
"4,568",,,
"4,569",350,"3,327",
"4,570",857,,
"4,571",,377,
"4,572","3,970","2,921",
"4,573","3,075",852,
"4,574","2,374",,
"4,575","22,708",,
"4,576",,,
"4,577","3,327","5,317",
"4,577",,,
"4,578","5,317","1,115",
"4,579",,,
"4,580",,143,
"4,581",,,
"4,582",852,"3,010",
"4,583","2,921","9,300",
"4,584",377,"3,015",
"4,585",,"2,507",
"4,586","1,115",,
"4,587",25,25,
"4,588",,"4,546",
"4,589","2,507","4,182",
"4,589","3,015",,
"4,590","9,300","3,011",
"4,591","3,010",467,
"4,592",,"4,733",
"4,593",143,"17,155",
"4,594",,,
"4,595","4,546",,
"4,596","9,762","9,762",
"4,597",,"4,562",
"4,597",,,
"4,598","17,155","10,000",
"4,599","4,733","5,767",
"4,600",467,"6,229",
"4,601","3,011",804,
"4,602",,"18,195",
"4,603","4,182",,
"4,604","4,562",,
"4,605","70,000","70,000",
"4,606",,"1,895",
"4,607",,369,
"4,608","18,195",,
"4,609",804,"1,754",
"4,610","6,229","6,856",
"4,611","5,767",,
"4,612","10,000",,
"4,613",,"5,000",
"4,614","1,895","2,384",
"4,615",,,
"4,616","2,384","26,659",
"4,616","5,000","4,800",
"4,616",,,
"4,617",,,
"4,618","6,856","21,398",
"4,619","1,754","1,650",
"4,620",,,
"4,621",369,"20,129",
"4,622","26,659","1,483",
"4,623",,,
"4,624","1,483",735,
"4,625","20,129",,
"4,626",,,
"4,627","1,650","12,556",
"4,628","21,398",,
"4,629",,"1,249",
"4,630",,420,
"4,630","4,800",,
"4,631",735,322,
"4,632",,,
"4,633",322,228,
"4,634",,"17,450",
"4,635",420,,
"4,636","1,249","23,635",
"4,637",,496,
"4,638","12,556","3,891",
"4,639",,"1,237",
"4,640",,"7,166",
"4,641",228,,
"4,642","8,600","8,600",
"4,643",,"6,957",
"4,644","7,166",,
"4,645","1,237",,
"4,646","3,891","49,933",
"4,647",496,,
"4,648","23,635",,
"4,649",,,
"4,650","17,450","8,245",
"4,651","6,957",952,
"4,652",,,
"4,652",952,"2,661",
"4,653","8,245",723,
"4,654",,"11,856",
"4,655",,467,
"4,656",,,
"4,657","49,933",,
"4,658",,"8,100",
"4,658",,,
"4,659","2,661",,
"4,660","3,136","3,136",
"4,661",,,
"4,662",,62,
"4,663","8,100","4,600",
"4,664",,"2,996",
"4,665",,131,
"4,666",467,"2,000",
"4,667","11,856",,
"4,668",723,628,
"4,669",,"60,663",
"4,670","2,631","2,631",
"4,671","60,663",,
"4,672",628,"8,200",
"4,673",,,
"4,674","2,000",,
"4,675",131,"9,800",
"4,676","2,996","2,190",
"4,677","4,600",,
"4,678",62,"3,006",
"4,679",,"6,672",
"4,680","7,400","7,400",
"4,681","6,672","24,054",
"4,682","3,006","3,350",
"4,683",,325,
"4,684","2,190","5,000",
"4,685","9,800",693,
"4,686",,"9,565",
"4,687",,"6,482",
"4,688","8,200",,
"4,689","24,054","3,963",
"4,690",,,
"4,691","3,963",51,
"4,692",,"1,883",
"4,693","6,482","6,601",
"4,694","9,565",,
"4,695",693,"11,679",
"4,696","5,000",31,
"4,697",325,,
"4,698","3,350","3,860",
"4,699",51,"18,125",
"4,700",902,902,
"4,701","18,125","3,068",
"4,702","3,860","6,100",
"4,703",,,
"4,704",31,"9,107",
"4,705","11,679",,
"4,706",,"1,643",
"4,707","6,601","1,200",
"4,708","1,883","4,300",
"4,709","3,068","23,100",
"4,710",58,58,
"4,711","23,100","1,609",
"4,712","4,300",,
"4,713","1,200",,
"4,714","1,643",,
"4,715",,"1,648",
"4,716","9,107","28,964",
"4,717",,39,
"4,718","6,100","1,353",
"4,719","1,609","33,498",
"4,720","7,111","7,111",
"4,721","33,498","14,000",
"4,722","1,353",,
"4,723",39,,
"4,724","28,964","22,800",
"4,725","1,648","5,030",
"4,726",,,
"4,727",,"82,132",
"4,728",,,
"4,729","14,000",585,
"4,730","1,862","1,862",
"4,731",585,,
"4,732",,"14,500",
"4,733",,"1,700",
"4,734","5,030",,
"4,735","22,800","5,241",
"4,736","82,132","11,193",
"4,737",,630,
"4,738",,,
"4,739","8,635",,
"4,740",,"8,635",
"4,741",,,
"4,742",630,"37,966",
"4,743","11,193",382,
"4,744","5,241",58,
"4,745",,"2,926",
"4,746","1,700",,
"4,747","14,500",55,
"4,748",,441,
"4,749",,"4,362",
"4,750",,,
"4,751","4,362",,
"4,751",441,190,
"4,752",55,,
"4,753",,,
"4,753","2,926",,
"4,754",58,"7,645",
"4,755",382,"29,576",
"4,755","37,966",,
"4,756",,"7,550",
"4,757","5,396","5,396",
"4,758","7,550","9,988",
"4,760",,250,
"4,761","29,576",,
"4,762","7,645","1,115",
"4,763",,"25,000",
"4,764",,,
"4,765",,"4,500",
"4,765",190,,
"4,766","9,988",,
"4,767",,,
"4,768",,,
"4,769",,,
"4,770","4,500","5,382",
"4,771",,,
"4,771","25,000","38,063",
"4,772","1,115",,
"4,773",,"8,650",
"4,774",250,"5,766",
"4,775",,425,
"4,776",,,
"4,777",425,"15,824",
"4,777","5,766",,
"4,778","8,650","4,974",
"4,779",,"4,894",
"4,780","38,063","9,000",
"4,781",,850,
"4,782","5,382","13,550",
"4,783",,67,
"4,784","15,824","22,482",
"4,785",,,
"4,786","22,482","1,030",
"4,787",67,"2,258",
"4,788","13,550","7,500",
"4,788",850,,
"4,789","9,000","17,330",
"4,790","4,894",,
"4,791","4,974",333,
"4,792",,"3,110",
"4,793","1,030",613,
"4,794","10,528","10,528",
"4,795",613,"42,187",
"4,796","3,110","2,490",
"4,797",333,"2,489",
"4,798",,"2,848",
"4,799","17,330",,
"4,800",,238,
"4,801","7,500","16,003",
"4,802","2,258","4,691",
"4,803","42,187",,
"4,804",,,
"4,805",,"1,809",
"4,806","4,691",,
"4,806","16,003","6,218",
"4,807",238,"1,610",
"4,808",,"2,436",
"4,809","2,848",,
"4,810","2,489",,
"4,811","2,490",,
"4,812","1,809","3,601",
"4,813",728,728,
"4,813","3,601",,
"4,814",,,
"4,815",,,
"4,816",,,
"4,817","1,610","4,300",
"4,818","2,436","3,378",
"4,819","6,218",,
"4,820",,,
"4,821",,"1,137",
"4,822","5,767","5,767",
"4,823","1,137","8,500",
"4,824",,"13,513",
"4,825",,"9,800",
"4,826","3,378","4,469",
"4,827","4,300",,
"4,828",,,
"4,829",,505,
"4,830",,,
"4,831","8,500",,
"4,832","1,009","1,009",
"4,833",,"7,583",
"4,834",,,
"4,835",505,"8,213",
"4,836",,,
"4,837",,690,
"4,838","4,469",,
"4,839","9,800","17,000",
"4,839","13,513",,
"4,840","7,583",,
"4,841","9,915","9,915",
"4,842",,,
"4,843",,"1,081",
"4,844","17,000","5,444",
"4,845",,,
"4,846",690,"2,003",
"4,847",,,
"4,848","8,213",,
"4,849",,"1,251",
"4,850",,"1,700",
"4,850",,,
"4,851","1,700","46,492",
"4,852","1,251","13,220",
"4,853",,523,
"4,854",,,
"4,855","2,003",,
"4,856",,,
"4,856","5,444","5,868",
"4,857","1,081",,
"4,858","46,492","80,000",
"4,858",363,363,
"4,859","80,000",,
"4,860",,,
"4,861","5,868","5,799",
"4,862",,"4,500",
"4,863",,,
"4,864",,"3,824",
"4,865",523,,
"4,866","13,220","9,051",
"4,867",,651,
"4,868",361,361,
"4,869",651,"2,349",
"4,870","9,051",,
"4,871",,,
"4,872","3,824",,
"4,873",,,
"4,874","4,500","1,476",
"4,875","5,799",,
"4,876",,,
"4,877","2,349","7,769",
"4,878",,,
"4,879","7,769","1,230",
"4,880",,"6,037",
"4,881",,,
"4,882","1,476",,
"4,883",,"3,980",
"4,884",,"39,403",
"4,885",,253,
"4,886",,654,
"4,887","1,230",,
"4,888","33,797","33,797",
"4,889",,"7,622",
"4,890",654,,
"4,891",253,,
"4,892","39,403","13,257",
"4,893","3,980",,
"4,894",,,
"4,895",,,
"4,896","6,037",,
"4,897","7,622",,
"4,898",,,
"4,899",,"4,497",
"4,900",,"27,909",
"4,901",,,
"4,902",,,
"4,903",,,
"4,904","13,257","23,504",
"4,905",,"1,043",
"4,906",,"4,609",
"4,907","4,497","3,000",
"4,908",,,
"4,909","3,000",,
"4,910","4,609",,
"4,911","1,043",,
"4,912","23,504","1,556",
"4,913",,"4,900",
"4,914",,"3,200",
"4,915",,,
"4,916","27,909",,
"4,917",,,
"4,918",,,
"4,918",,,
"4,919",,"3,090",
"4,920",,,
"4,921","3,200","10,700",
"4,922","4,900",,
"4,923","1,556","21,500",
"4,924",,"1,791",
"4,925",,925,
"4,926",,"133,000",
"4,927","6,065","6,065",
"4,928","133,000","12,580",
"4,929",925,,
"4,930","1,791","9,588",
"4,931","21,500",,
"4,932",,319,
"4,933","10,700",,
"4,934",,"16,000",
"4,935","3,090","9,000",
"4,936","12,580","5,950",
"4,937","1,173","1,173",
"4,938","5,950","6,864",
"4,939","9,000",,
"4,940","16,000",,
"4,941",,,
"4,942",319,9,
"4,943",,,
"4,943","9,588",,
"4,944",,,
"4,945",,706,
"4,946","6,864",,
"4,947",,,
"4,948",706,"2,840",
"4,949",,,
"4,950",,"3,500",
"4,951",,,
"4,952",9,"1,275",
"4,953",,"3,184",
"4,954",,"6,570",
"4,955",,"1,110",
"4,956","80,000","80,000",
"4,957","1,110",,
"4,958","6,570","1,218",
"4,959","3,184",,
"4,960","1,275",582,
"4,961",,"13,163",
"4,962","3,500","124,000",
"4,963",,"29,400",
"4,963","2,840",,
"4,964",,"14,000",
"4,965","6,316","6,316",
"4,966","14,000","23,000",
"4,967",,245,
"4,968","29,400","3,544",
"4,969","124,000","1,046",
"4,970","13,163",,
"4,971",582,"2,433",
"4,972",,,
"4,973","1,218",,
"4,974","23,000",,
"4,975","19,832","19,832",
"4,976",,"124,000",
"4,977",,"48,480",
"4,978",,"1,850",
"4,979","2,433",,
"4,980",,"8,999",
"4,981","1,046",,
"4,982","3,544",,
"4,983",245,865,
"4,984","124,000","4,100",
"4,985","4,200","4,200",
"4,986","4,100",,
"4,987",865,"2,028",
"4,988",,,
"4,989",,,
"4,990","8,999","1,283",
"4,991",,"10,100",
"4,992","1,850",,
"4,993","48,480",,
"4,994",,,
"4,995","2,521","2,521",
"4,996",,,
"4,997",,"4,507",
"4,998",,"2,745",
"4,999","10,100",,
"5,000","1,283",,
"5,001",,900,
"5,002",,,
"5,003","2,028",,
"5,004",,,
"5,005",,,
"5,006",,,
"5,007",,,
"5,008",,,
"5,009",900,206,
"5,010",,"1,725",
"5,011",,,
"5,012","2,745","2,419",
"5,013","4,507",,
"5,014",,,
"5,015","4,626","4,626",
"5,015",,250,
"5,016",,"1,004",
"5,017","2,419",,
"5,018",,80,
"5,019","1,725","1,837",
"5,020",206,"7,800",
"5,021",,,
"5,022",,"10,474",
"5,023",250,"2,254",
"5,024","6,370","6,370",
"5,025","2,254",,
"5,026","10,474","22,000",
"5,027",,,
"5,028","7,800",,
"5,029","1,837","9,872",
"5,030",80,"13,793",
"5,031",,,
"5,032","1,004",,
"5,033",,875,
"5,034",,,
"5,035",875,,
"5,036",,,
"5,037",,,
"5,038","13,793",,
"5,039","9,872","3,973",
"5,040",,"3,000",
"5,041",,,
