id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
4a4970d147504029a1915bc132908e14,Verofin Srl,"PIAZZA GIOVINE ITALIA 3, MILANO, 20123, MILANO, ITALY",IT06827090967,H-IT0023945680,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,2009
f1175e9dc1624e1db496bc5618fe4c29,Umana Spa,"VIA COLOMBARA 113, VENEZIA, 30176, VENEZIA, ITALY",IT03171510278,H-IT0073452858,Services,Help supply services (7363),Corporation,1997
7f75e5cc2b554acab694d9c073491885,Gruppo Ltc Spa,"VIA ORNA 35, BRENDOLA, 36040, VICENZA, ITALY",IT02796960249,H-IT0070986819,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1999
a9f64d21310544509f6be9fd5bb0538a,Alliance Healthcare Italia Distribuzione Spa,"VIA MOGGIA 75/A, LAVAGNA, 16033, GENOVA, ITALY",IT00890881006,H-IT0008848904,Wholesale Trade,Whol drugs/sundries (5122),Corporation,1949
0466db73a9c34ca088fd1b156ea3c5c1,Montanwerke Brixlegg Aktiengesellschaft,"VIA BOLZANO 63, APPIANO SULLA STRADA DEL VINO, 39057, BOLZANO, ITALY",IT03004230219,H-IT0062581627,Wholesale Trade,Metals service center (5051),Foreign Company,2018
8feceb3463f34dde8af1574c3fa5243b,Societa' Italiana Per Condotte D'acqua Spa,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY",IT00904561008,H-IT0023002832,Construction,Heavy construction (1629),Corporation,1880
26a1d004869e48aa8f0cb00adb4037a1,Sacyr Construccion S.a.,"VIA INVORIO 24/A, TORINO, 10146, TORINO, ITALY",IT09177470011,H-IT0007977557,Construction,Highway/street construction (1611),Foreign Company,2005
8bc38d3c907f400980e21cfea14cfe5f,Arneg Spa,"VIA VENEZIA 58, CAMPO SAN MARTINO, 35010, PADOVA, ITALY",IT00220200281,H-IT0009445447,Manufacturing,Mfg refrigeration/heating equipment (3585),Corporation,1963
c6ca3b150c9b4a0fa57321dafc4b80cb,General Logistics Systems Italy Spa,"VIA BASENTO 19, SAN GIULIANO MILANESE, 20098, MILANO, ITALY",IT12144660151,H-IT0070207895,Services,Business services (7389),Corporation,1993
79e79bd37ef449608b91856807e9e282,Rizzoli Corriere Della Sera Mediagroup Spa,"VIA ANGELO RIZZOLI 8, MILANO, 20132, MILANO, ITALY",IT12086540155,H-IT0072908513,Manufacturing,Misc publishing (2741),Corporation,1997
b202aede267640488e1de3daffd30f8d,Metinvest Trametal Spa,"VIA XII OTTOBRE 1, GENOVA, 16121, GENOVA, ITALY",IT05956630965,H-IT0002492334,Manufacturing,Blast furnace-steel works (3312),Corporation,2007
da1c840876244d6cabde8cda10469b62,Sarlux Srl,"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",IT02093140925,H-IT0072362200,Manufacturing,Petroleum refiner (2911),Corporation,1992
9ed484f6ca424252a0d2fe7ce9ef4299,Seetech Global Industries Spa,"VIA ANTONIO PACINOTTI 3, BOLZANO, 39100, BOLZANO, ITALY",IT02703600219,H-IT0004673077,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2011
