,name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
832,Capelli For You,Italy,Beauty,1658750,575120,16,8,2015
833,Ogury,UK,Advertising,108758853,37992902,371,133,2014
834,TFT Ernst,Germany,Construction,2012427,698300,17,7,2017
835,Somerford Associates,UK,Technology,18757685,6564162,55,31,2001
836,ARCADIA Investment,Germany,Property,8102218,2818652,38,12,2012
837,FiloBlu,Italy,Management Consulting,55564420,19351090,186,112,2009
838,Tribus Digital,UK,Technology,1952800,685567,21,8,2016
839,DoIT,Italy,Technology,3040000,1060000,35,20,2014
840,Global Perspectives,UK,Health,6631496,2329522,23,8,2009
841,Pirene,Italy,Support Services,1512680,527910,25,8,1999
842,iPulse,UK,Personal & Household Goods,105149602,36995102,183,39,2012
843,blue networks,Germany,Technology,6626713,2322241,47,23,2002
844,N. Schwegler,Germany,Construction,10514000,3686000,35,20,2009
845,Marcus Lutz Bau,Germany,Construction,1874438,659402,15,7,2002
846,HKR-Technik,Germany,Retail,6996880,2462478,4,3,2008
847,Licht + Strom,Germany,Technology,4039340,1424633,30,18,2007
848,Die Autowelt,Germany,Automobiles,16754654,5915499,40,15,2009
849,ARTHEAU AVIATION,France,Aerospace & Defence,11263318,3977562,9,4,2012
850,Cepo,Italy,Industrial Goods,4503670,1592170,22,13,2000
851,Sneakers & Jackets,France,Financial Services,2888273,1022714,2,1,2013
852,89up,UK,Advertising,1814237,647020,26,11,2009
853,LUXURY & PERFORMANCE SELECTION,France,Automobiles,6444045,2281929,4,na,2016
854,Grayce Group,UK,Management Consulting,17890928,6381674,395,117,2012
855,Nemesi Italia,Italy,Technology,1640000,581520,4,1,1993
856,Halo Service Solutions,UK,Technology,5037087,1799189,40,12,1994
857,Raspberry Pi,UK,Technology,80066074,28668484,73,36,2012
858,Giopato & Coombes,Italy,Interiors,5467910,1944000,17,8,2010
859,Ship it,Germany,Retail,3391041,1207009,8,4,2016
860,Rheinische Scheidestätte,Germany,Retail,83044963,29564866,47,19,2012
861,Whites Agency,Poland,Advertising,4076348,1586246,90,34,2011
862,Casa di Riposo Medicalizzata Sempione*,Italy,Health,2436000,867960,38,1,2017
863,CShark,Poland,Technology,11828515,4608343,269,135,2014
864,Zinox Laser,Italy,Interiors,6364000,2269510,47,30,2015
865,Tera Automation,Italy,Industrial Goods,4987860,1778890,20,14,2013
866,Innova Hts,Italy,Health,8792400,3137630,16,12,2014
867,Kentigen,Czech Republic,Technology,1507867,554004,20,8,2013
868,Teal Partners,Belgium,Technology,3873750,1386701,23,13,2015
869,LM Medical Division,Italy,Health,11281040,4040060,47,16,2010
870,BEC,Germany,Technology,7843183,2809036,47,25,2003
871,Xylon,Croatia,Technology,4491888,1610149,81,41,1995
872,Spedition Kai Rindert,Germany,Transport,3018684,1083821,9,2,2017
873,CO.GE.SA. Costruzioni Generali Saba,Italy,Construction,3453730,1241760,22,16,2009
874,Skärgårdstunnan/Skargards,Sweden,Ecommerce,15082088,5547537,20,13,2010
875,Autonova Milano,Italy,Automobiles,2790680,1006280,14,1,2015
876,Polarstern,Germany,Energy,30270074,10925375,40,25,2011
877,halsdorfer + ingenieure projekt,Germany,Property,31038460,11207566,15,5,2013
878,OPNA,France,Support Services,2317903,838200,23,9,2015
879,Stikets,Spain,Ecommerce,9318626,3372820,39,25,2010
880,CampuStore,Italy,Education,34410600,12479120,18,18,1994
881,Ars Futura,Croatia,Technology,1580154,574487,27,14,2013
882,Cemir Security,Italy,Support Services,2835330,1028730,116,64,2015
883,Borgy CZ,Czech Republic,Personal & Household Goods,22419033,8362568,60,40,2009
884,Groupe Zephyr,France,Health,16264645,5908517,600,190,2007
885,Dernier Cri,France,Technology,3956061,1438184,57,25,2015
886,yes!devs,Germany,Technology,2200000,800000,37,10,2016
887,Hydroflex Group,Germany,Retail,13166000,4788000,36,19,2009
888,Proteko Service,Italy,Support Services,5502450,2003540,31,7,2016
889,MiniCRM,Hungary,Technology,2232347,944107,26,26,2012
890,CNQ Consorzio Nazionale Qualità,Italy,Waste management & recycling,2151050,783460,39,13,2001
891,Accolade,Czech Republic,Property,83981636,31477723,n/a,n/a,2010
892,Panel Sandwich,Spain,Construction,9637845,3517519,27,9,2009
893,SYMBIOSE Informatique,France,Technology,33080096,12074454,32,28,1991
894,G.Engineering,Italy,Industrial Goods,16504780,6024830,51,24,2012
895,I-PARTICULIERS,France,Property,4071600,1488875,200,50,2011
896,Henco,Germany,Retail,6970679,2550263,48,25,2012
897,Giglio.com,Italy,Ecommerce,25355630,9283620,53,25,2007
898,Alphaspel,Sweden,Retail,4535769,1699234,16,5,2013
899,Sapiegos Klinika,Lithuania,Health,1578677,579436,24,14,2014
900,OpenCorporates,UK,Technology,2730677,1010498,25,9,2010
901,BE CLOUD,France,Support Services,10371094,3811605,49,22,2012
902,Drukarnia piga.pl,Poland,Ecommerce,4064038,1632988,130,60,2014
903,groupe mister menuiserie,France,Ecommerce,68009314,25003047,227,84,2010
904,Insetto,Germany,Retail,6010130,2210651,79,51,1999
905,Technophage,Portugal,Pharmaceuticals,2237180,823381,13,9,2005
906,skalis portage salarial,France,Support Services,6202068,2287420,68,25,2008
907,peoplegrapher,Germany,Advertising,3561298,1314806,11,5,2016
908,Reveg Fruit,Italy,Food & Beverage,2356570,870070,4,2,2016
909,Sciant,Bulgaria,Technology,3192139,1178653,79,39,2016
910,Boender & Beutel,Germany,Industrial Goods,14550131,5376347,130,50,2012
911,EKINOPS,France,Telecoms,92800000,34291000,456,419,2003
912,Sano-Técnica,Portugal,Health,4972658,1838120,13,12,1938
913,möbelando,Germany,Retail,16692390,6170577,24,16,2013
914,Democom,Italy,Telecoms,3347950,1238210,37,12,2011
915,Erbagil,Italy,Pharmaceuticals,4021010,1490280,11,3,2009
916,Axopar Boats,Finland,Travel & Leisure,78765693,29247774,32,9,2014
917,Advanced Composites Solutions,Italy,Automobiles,5393690,2006100,54,11,2012
918,Spartivento Yachts & Charter,Italy,Travel & Leisure,5194630,1932580,34,12,2000
919,Seargin,Poland,Technology,18624755,7576080,64,39,2014
920,TTP HOLDING,Germany,Support Services,37607000,13997000,32,28,2009
921,Sweef furniture,Sweden,Retail,9506903,3620585,14,5,2011
922,SONIC Tanácsadó és Szolgáltató Kft,Hungary,Technology,4646080,2009719,10,5,2008
923,spotit,Belgium,Cyber Security,20387729,7606472,71,30,2014
924,LABEL EXPERIENCE,France,Financial Services,1756470,655366,27,11,2016
925,LMM Logistics,Italy,Transport,14113040,5268390,724,2,2015
926,Medicalfit,Spain,Health,2378517,888395,35,15,2008
927,Nuova MG,Italy,Industrial Goods,2126840,794770,26,23,2017
928,innov and co handicap,France,Technology,1879824,702609,30,7,2016
929,Alma Entreprise,France,Construction,13438347,5023015,31,33,2003
930,Radit,Italy,Support Services,1879520,703190,15,8,2016
931,REGIONAL EXPRESS,France,Transport,22841800,8552857,220,80,2013
932,Aravati,France,Support Services,6671500,2500644,59,26,2004
933,Pöhner Hamburg,Germany,Retail,15603000,5851000,7,4,2013
934,Schreinerei Huber,Germany,Construction,2629044,986286,21,18,2010
935,ISR,France,Technology,4637943,1741112,12,12,1996
936,Kinga Mathe,Germany,Retail,1800494,676431,5,2,2008
937,Rivile,Lithuania,Technology,3905042,1467195,24,20,1992
938,MaGarantie5ans,France,Retail,9253546,3477788,20,8,2016
939,BEBEBOUTIK,France,Retail,29080296,10944325,98,36,2012
940,Radar Cyber Security,Austria,Technology,12727043,4794822,122,88,2011
941,CLAIR GROUP,France,Aerospace & Defence,38960985,14683064,121,49,2004
942,Appsfactory,Germany,Technology,18044631,6801966,221,105,2009
943,Stiltz Homelifts,UK,Interiors,36960953,14051407,250,142,2010
944,Star Stone,Romania,Construction,4409476,1729707,105,48,2012
945,Coptrz,UK,Aerospace & Defence,6297471,2395445,22,10,2016
946,Nurole,UK,Technology,3249493,1236098,35,15,2014
947,ABAO Energy,Germany,Construction,2406917,910386,15,10,2016
948,Welol Next,Italy,Technology,2685440,1017320,32,16,2011
949,Intent HQ,UK,Technology,5762891,2199126,75,22,2010
950,Café du Cycliste,France,Ecommerce,7445865,2826571,20,14,2009
951,LANGER Lüftungs- und Klimaanlagen,Germany,Construction,4609256,1749794,8,5,2016
952,Formind,France,Cyber Security,16845354,6398583,130,60,2010
953,Oasis Smart SIM Europe**,France,Telecoms,3065165,1167000,20,4,2010
954,Aferetica,Italy,Health,6376910,2429230,13,9,2013
955,Zero,Italy,Energy,42000000,16000000,37,15,2014
956,SKILLS,France,Support Services,11650138,4443710,70,20,2011
957,3E Studio,Italy,Support Services,2804580,1071090,22,1,2015
958,Pannonia Steel,Slovakia,Construction,1768886,675645,5,1,2013
959,Kronos,Italy,Fashion,23579000,9009270,21,15,2009
960,LaSaponaria,Italy,Beauty,6304690,2409730,22,11,2007
961,Die Wuhlewanderer,Germany,Health,4970000,1900000,95,50,2013
962,IMINT Vidhance,Sweden,Technology,4851538,1897113,27,26,2007
963,Arte e Passione,Italy,Restaurants,1671730,639410,47,18,2016
964,PAUL MARIUS,France,Retail,24869602,9515000,87,29,2011
965,Scalefocus,Bulgaria,Technology,33137857,12686177,730,330,2012
966,Whiskyzone,Germany,Retail,10750866,4117340,16,7,2014
967,Targa Telematics,Italy,Technology,37386150,14327610,113,63,2002
968,SIAN Wholesale Ltd,UK,Transport,74719260,28939861,50,23,2003
969,Visage Technologies,Sweden,Technology,5677639,2233448,104,54,2002
970,Riotloc,Lithuania,Games industry,1551468,596906,1,1,2016
971,BullionVault,UK,Precious metals,16196046,6278456,34,31,2003
972,3A Antioxidants,Spain,Chemicals & Pharmaceuticals,7704000,2968892,23,9,2000
973,on Metall,Germany,Industrial Goods,2587718,997518,6,3,2016
974,Scribbr,The Netherlands,Education,8862818,3417536,39,22,2012
975,Selectra,France,Energy,62951353,24320734,1000,500,2007
976,Energetic,Italy,Energy,1711470,661860,13,7,2010
977,Faveod,France,Support Services,2598585,1005658,9,7,2007
978,CYE Energia,Spain,Energy,23673728,9161867,15,5,2013
979,Integrata Oy,Finland,Financial Services,9409000,3647000,105,33,2008
980,Regular Trade,Germany,Retail,11671000,4526000,25,15,2010
981,Expleo,Hungary,Energy,2696785,900686,15,6,2011
982,Confezioni Velvet,Italy,Fashion,3355870,1302640,21,21,2015
983,Activ Bilanz,Germany,Property,17286985,6712146,10,12,1998
984,Family Nation,Italy,Ecommerce,5300370,2059190,12,5,2011
985,Majar – Matzaridis Bros,Greece,Technology,13224865,5144442,19,13,1994
986,Izertis,Spain,Technology,50740841,19753150,791,431,1996
987,Fashion Commerce,Italy,Ecommerce,2349000,916000,5,1,2016
988,Bulk Tainer Logistics Limited,UK,Transport,56054130,21717432,105,41,2009
989,Wingeco,Italy,Industrial Goods,3407310,1332330,22,12,2016
990,Meblobranie.pl,Poland,Ecommerce,19295429,6909799,25,12,2021
991,Queraltó,Spain,Ecommerce,21900903,8575344,67,39,1898
992,Phobos,Slovakia,Automobiles,3529454,1382844,12,8,1993
993,Archita Engineering,Italy,Support Services,2739230,1074130,5,13,2013
994,Celeritas,Spain,Transport,58139933,22805398,27,10,2006
995,peopleForecast,Germany,Technology,2086411,818658,45,15,2014
996,Digitalpa,Italy,Management Consulting,1731340,679440,12,41,2014
997,Faktenkontor,Germany,Advertising,30967000,12153143,150,100,2003
998,CLAREO,France,Retail,18854708,7399729,53,13,2012
999,Laca Trade,Italy,Property,24741510,9717860,5,5,2013
