,Name,Industry,headQuarters,Founded,Area Served
300,Kimberly-Clark,Personal care,Irving,"1872; 150 years ago (1872) Neenah, Wisconsin, U.S.",Worldwide
301,Kingston Technology,Storage devices,Irving,"1987; 35 years ago (1987) in Fountain Valley, California, United States",Worldwide
302,Klim Type Foundry,Storage devices,Irving,"1987; 35 years ago (1987) in Fountain Valley, California, United States",
303,Knorr (brand),Storage devices,Irving,"1987; 35 years ago (1987) in Fountain Valley, California, United States",
304,Komatsu Limited,"Heavy equipment (construction, mining and forestry), Defense technology",Tokyo,"May 13, 1921; 101 years ago (1921-05-13)",
305,Konami,Video games Entertainment,Tokyo,21 March 1969; 53 years ago (1969-03-21),Worldwide
306,Korg,Electronics,Inagi,1962; 60 years ago (1962) (as Keio Electronic Laboratories),
307,Keumyoung Group,"Music, Entertainment, Karaoke",Seoul,"1983; 39 years ago in Busan, South Korea",South Korea
308,KPMG,Professional services,,"1987; 35 years ago (1987) (merger of Peat Marwick International and Klynveld Main Goerdeler) 1979 (1979) (KMG) 1925 (1925) (Peat Marwick) 1897 (1897) (Marwick, Mitchell & Company) 1818 (1818) (Grace, Darbyshire, & Todd)[1]",Worldwide
309,Kraft Heinz,Food,,"July 2, 2015; 7 years ago (2015-07-02)",Worldwide
310,Lactalis,Dairy products,,19 October 1933; 89 years ago (1933-10-19),
311,Lam Research,Semiconductors,"Fremont, California",1980; 42 years ago (1980),
312,Lagardère Group,"Publishing, Travel Retail, Live Entertainment, Media",Paris,1992; 30 years ago (1992),
313,Larsen & Toubro,Conglomerate,Ballard Estate,"7 February 1946; 76 years ago (7 February 1946)[1] Bombay, Bombay Presidency, British India (present-day Mumbai, Maharashtra, India)",Worldwide
314,LATAM Airlines Group,Aviation,Santiago,22 June 2012; 10 years ago (2012-06-22),
315,Lazada,E-commerce,Santiago,"March 27, 2012; 10 years ago (2012-03-27)","Singapore, Malaysia, Indonesia, Thailand, Vietnam, and the Philippines"
316,Levi Strauss & Co.,Textile,San Francisco,"May 1, 1853; 169 years ago (1853-05-01) (as David Stern & Levi Strauss)",Worldwide
317,Lear Corporation,Manufacturing,San Francisco,"Detroit, Michigan (1917 (1917))",International
318,Lindt,Confectionery,San Francisco,1845 (177 years ago) (1845),
319,Lenovo,Computer hardware Electronics,"Hong Kong, China[1] (registered office) Beijing, China[2][3] (Operational headquarters) Lorong Chuan, Singapore[4] (operational centre) Morrisville, North Carolina, United States[5] (Operational headquarters)",1 November 1984; 38 years ago (1984-11-01) (as Legend ??) Beijing,Worldwide
320,LeEco,Conglomerate,"Hong Kong, China[1] (registered office) Beijing, China[2][3] (Operational headquarters) Lorong Chuan, Singapore[4] (operational centre) Morrisville, North Carolina, United States[5] (Operational headquarters)",8 September 2011; 11 years ago (2011-09-08),"Worldwide (China, India, USA and Russia mainly)"
321,Leonardo S.p.A.,Aerospace industry Defence industry Space industry,Rome,1948; 74 years ago (1948),
322,Leoni AG,"Manufacturing, engineering",Nuremberg,1917; 105 years ago (1917),
323,Lexmark,"Manufacturing, engineering",Lexington,"March 27, 1991; 31 years ago (March 27, 1991)",Worldwide
324,LG Electronics,Consumer electronics Home appliances Computer hardwares,Yeouido-dong,October 1958; 64 years ago (1958-10) (as GoldStar) March 1995 (1995-03) (as LG Electronics; re-incorporated in 2002),Worldwide
325,Linde plc,Chemical industry,Dublin,21 June 1879; 143 years ago (1879-06-21),
326,Linpus Linux,Chemical industry,Dublin,21 June 1879; 143 years ago (1879-06-21),
327,Lionbridge,Language localization Software testing E-learning,"Waltham, Massachusetts","Waltham, Massachusetts, US (1996)",
328,LiuGong,Conglomerate,"Waltham, Massachusetts",1958,
329,Lockheed Martin,Advanced Technologies Information Security Aerospace Defense,"Bethesda, Maryland","March 15, 1995; 27 years ago (1995-03-15)",Worldwide
330,L'Oréal,Consumer goods,"Bethesda, Maryland",30 July 1909; 113 years ago (1909-07-30),Worldwide
331,Lotte Corporation,Conglomerate,Songpa District,"March 24, 1967; 55 years ago (1967-03-24)",
332,Louisa Coffee,Coffee shop,Songpa District,2006,Worldwide
333,Lufthansa,Coffee shop,Cologne,6 January 1953; 69 years ago (1953-01-06)[note 1],
334,Lukoil,Oil and gas,Cologne,25 November 1991; 31 years ago (1991-11-25),"Europe, Kazakhstan, Uzbekistan, Iraq, Egypt, Ghana, Nigeria, Cameroon, United States, Mexico"
335,Lupin Limited,Pharmaceuticals,Cologne,1968; 54 years ago (1968)[1],
336,Luxgen,Automotive,Miaoli County,2009,Worldwide
337,Luxottica,"Eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing",Miaoli County,"1961; 61 years ago (1961) (Agordo, Italy)",Worldwide
338,LyondellBasell,Chemicals,Miaoli County,2007; 15 years ago (2007),
339,MG Cars,Sport cars,Miaoli County,21 July 1930; 92 years ago (1930-07-21),
340,Macy's,Retail,Miaoli County,"October 28, 1858; 164 years ago (1858-10-28) in New York, New York, U.S.",
341,Mahindra Group,Conglomerate,Mumbai,2 October 1945; 77 years ago (1945-10-02),Worldwide
342,"Mars, Incorporated",Food Veterinary services,,"1911; 111 years ago (1911) Tacoma, Washington",Worldwide
343,Maton,Musical instruments,,1946; 76 years ago (1946),Worldwide
344,Marshall Amplification,Amplification Musical instrument manufacturing,,"London, England (1962; 60 years ago (1962))[1]","United Kingdom, Canada, Australia, Europe, Asia, United States"
345,Mark Simonson,Amplification Musical instrument manufacturing,,"London, England (1962; 60 years ago (1962))[1]",
346,Martini & Rossi,Alcoholic beverages,,"Turin, Italy (1863)",
347,Maersk,Freight transport,Copenhagen,16 April 1904; 118 years ago (1904-04-16),
348,Mama Sita's Holding Company,Food processing,San Juan,1980 (as Marigold Commodities Corporation),
349,Mamee Double-Decker,"Food processing, snack, dairy products","Ayer Keroh, Malacca",1971; 51 years ago (1971),
350,Mattel,Toys and entertainment,,"January 1945; 77 years ago (1945-01) Los Angeles, California, U.S.",Worldwide
351,Maxxis,Toys and entertainment,Yuanlin,"January 1, 1967; 55 years ago (1967-01-01)",Worldwide
