,pricecap,revenue,earnings,share_price,url
388,doll_45.60 b,,,doll_31.04,
389,doll_45.59 b,,,doll_272.70,
390,doll_45.67 b,,,doll_336.00,
391,doll_45.72 b,,,doll_18.58,
392,doll_45.95 b,,,doll_45.57,
393,doll_45.92 b,,,doll_155.67,
394,doll_46.33 b,,,doll_62.46,
395,doll_46.07 b,,,doll_14.82,
396,doll_46.55 b,,,doll_137.93,
397,doll_46.38 b,,,doll_0.67,
398,doll_46.56 b,,,doll_70.90,
399,doll_42.52 b,,,doll_77.31,
400,doll_42.59 b,,,doll_34.96,
401,doll_42.70 b,,,doll_19.00,
402,doll_37.07 b,,,doll_6.97,
403,doll_37.22 b,,,doll_104.45,
404,doll_37.36 b,,,doll_44.68,
405,doll_37.28 b,,,doll_97.69,
406,doll_37.36 b,,,doll_7.63,
407,doll_37.36 b,,,doll_32.93,
408,doll_37.40 b,,,doll_145.45,
409,doll_37.39 b,,,doll_1.44,
410,doll_37.61 b,,,"doll_2,080",
411,doll_37.63 b,,,doll_33.73,
412,doll_37.85 b,,,doll_13.95,
413,doll_37.83 b,,,doll_69.14,
414,doll_38.12 b,,,doll_44.72,
415,doll_38.01 b,,,doll_18.29,
416,doll_38.18 b,,,doll_297.38,
417,doll_38.24 b,,,doll_141.42,
418,doll_38.55 b,,,doll_19.94,
419,doll_38.56 b,,,doll_24.23,
420,doll_38.28 b,,,doll_22.86,
421,doll_38.60 b,,,doll_89.87,
422,doll_38.81 b,,,doll_10.60,
423,doll_38.69 b,,,doll_12.53,
424,doll_38.63 b,,,doll_48.67,
425,doll_39.44 b,,,doll_62.90,
426,doll_39.28 b,,,doll_2.27,
427,doll_39.45 b,,,doll_257.66,
428,doll_39.50 b,,,doll_51.43,
429,doll_39.62 b,,,doll_107.68,
430,doll_39.55 b,,,doll_154.20,
431,doll_39.72 b,,,doll_2.83,
432,doll_39.65 b,,,doll_113.80,
433,doll_39.90 b,,,doll_125.78,
434,doll_39.87 b,,,doll_5.35,
435,doll_39.92 b,,,doll_538.18,
436,doll_39.92 b,,,doll_61.21,
437,doll_40.20 b,,,doll_261.66,
438,doll_40.20 b,,,doll_44.13,
