,Unnamed: 0,market_cap,revenue
427,427,doll_3.0 b,doll_1.2 b
428,428,doll_11.0 b,doll_1.2 b
429,429,doll_1.1 b,doll_1.2 b
430,430,doll_3.2 b,doll_1.2 b
431,431,doll_2.5 b,doll_1.2 b
432,432,doll_13.3 b,doll_1.2 b
433,433,doll_0.7765 b,doll_1.2 b
434,434,doll_1.4 b,doll_1.2 b
435,435,doll_0.0395 b,doll_1.2 b
436,436,doll_45.1 b,doll_1.2 b
437,437,doll_5.5 b,doll_1.2 b
438,438,doll_2.4 b,doll_1.2 b
439,439,doll_3.2 b,doll_1.2 b
440,440,doll_1.3 b,doll_1.2 b
441,441,doll_2.4 b,doll_1.2 b
442,442,doll_1.9 b,doll_1.2 b
443,443,doll_2.4 b,doll_1.2 b
444,444,doll_0.8107000000000001 b,doll_1.2 b
445,445,doll_8.2 b,doll_1.2 b
446,446,doll_0.177 b,doll_1.2 b
447,447,doll_3.8 b,doll_1.2 b
448,448,doll_2.8 b,doll_1.2 b
449,449,doll_4.6 b,doll_1.2 b
450,450,doll_0.5817 b,doll_1.2 b
451,451,doll_2.1 b,doll_1.2 b
452,452,doll_0.7542000000000001 b,doll_1.2 b
453,453,doll_7.6 b,doll_1.2 b
454,454,doll_2.6 b,doll_1.2 b
455,455,doll_1.5 b,doll_1.2 b
456,456,doll_2.5 b,doll_1.2 b
457,457,0,doll_1.2 b
458,458,0,doll_1.2 b
459,459,doll_5.4 b,doll_1.2 b
460,460,doll_6.1 b,doll_1.2 b
461,461,doll_9.8 b,doll_1.2 b
462,462,doll_1.2 b,doll_1.2 b
463,463,doll_8.6 b,doll_1.2 b
464,464,doll_0.941 b,doll_1.2 b
465,465,doll_0.6889 b,doll_1.2 b
466,466,doll_2.1 b,doll_1.2 b
467,467,doll_3.0 b,doll_1.2 b
468,468,doll_27.7 b,doll_1.2 b
469,469,doll_1.9 b,doll_1.2 b
470,470,doll_0.7683 b,doll_1.2 b
471,471,doll_5.2 b,doll_1.2 b
472,472,doll_0.3905 b,doll_1.2 b
473,473,doll_2.1 b,doll_1.2 b
474,474,doll_0.9925 b,doll_1.2 b
475,475,doll_1.9 b,doll_1.2 b
476,476,doll_0.3476 b,doll_1.2 b
477,477,doll_7.3 b,doll_1.3 b
478,478,doll_0.8301000000000001 b,doll_1.3 b
479,479,doll_1.0 b,doll_1.3 b
480,480,doll_1.2 b,doll_1.3 b
481,481,doll_3.9 b,doll_1.3 b
482,482,doll_4.3 b,doll_1.3 b
483,483,doll_2.3 b,doll_1.3 b
484,484,doll_2.2 b,doll_1.3 b
485,485,doll_3.1 b,doll_1.3 b
486,486,doll_4.5 b,doll_1.3 b
487,487,0,doll_1.3 b
488,488,doll_0.5029 b,doll_1.3 b
489,489,doll_5.6 b,doll_1.3 b
490,490,doll_1.3 b,doll_1.3 b
491,491,doll_23.7 b,doll_1.3 b
492,492,doll_3.3 b,doll_1.3 b
493,493,doll_1.0 b,doll_1.3 b
494,494,doll_0.39089999999999997 b,doll_1.3 b
495,495,doll_1.0 b,doll_1.3 b
496,496,doll_2.4 b,doll_1.3 b
497,497,doll_7.9 b,doll_1.3 b
498,498,doll_12.5 b,doll_1.3 b
499,499,doll_4.3 b,doll_1.3 b
