wikipedia-notes,disfold-sector,ft-sector,valuetoday-sector,wikipedia-sector,ambitiobox-industry,ariregister-industry,cbinsights-industry,disfold-industry,forbes-industry,globaldata-industry,hithorizons-industry,teamblind-industry,valuetoday-industry,wikipedia-industry,companiesmarketcap-categories,disfold-categories
blood test systems,financials,transport,,medical equipment,industrial machinery,,,asset management,,,,,"['healthcare', 'insurance']",health care,['food'],
"pharma, defunct 2002",healthcare,construction,,pharmaceuticals,metals & mining,,,diagnostics & research,,,,,"['basic materials', 'chemicals']",health care,['manufacturing'],
bread,financials,technology,,food products,pharma,,,asset management,,,,,"['healthcare', 'healthcare technology and information']",consumer goods,"['airlines', 'travel', 'transportation']",
"mail, logistics",healthcare,pharmaceuticals,,delivery services,fashion & textile,,,biotechnology,,,,,"['financial services', 'asset management']",industrials,,
"mail, part of postnord",financials,health,,delivery services,internet,,,asset management,,,,,"['financial services', 'banking services']",industrials,"['financial services', 'tech']",
portable cooking devices,financials,travel & leisure,,household goods,financial services,,,asset management,,,,,"['industries', 'industry machinery']",consumer goods,,
"brewery, part of carlsberg group (denmark)",technology,management consulting,,brewers,financial services,,,electronic components,,,,,"['industries', 'home appliances', 'home appliances', 'building automation', 'building products and equipment']",consumer goods,"['biotech', 'pharmaceuticals']",
lighting,industrials,advertising,,building materials & fixtures,analytics & kpo,,,engineering & construction,,,,,"['industries', 'marketing services', 'office equipment']",industrials,"['electricity', 'utility companies', 'energy']",
eco-burial,financials,financial services,,health care providers,industrial machinery,,,asset management,,,,,"['basic materials', 'agriculture related']",health care,['dietary supplements'],
"advertising, communication",industrials,management consulting,,business support services,engineering & construction,,,engineering & construction,,,,,financial services,industrials,['food'],
private equity,financials,energy,,real estate holding & development,oil & gas,,,asset management,,,,,"['industries', 'transportation', 'freight transport', 'logistics']",financials,"['reits', 'real estate', 'investment']",
software,financials,industrial goods,,software,chemicals,,,asset management,,,,,healthcare,technology,"['airports', 'infrastructure']",
pharmaceutical,industrials,financial services,,pharmaceuticals,retail,,,electrical equipment & parts,,,,,"['consumer cyclical', 'consumer durables', 'travel and transport']",health care,"['energy', 'renewable energy', 'manufacturing']",
"ferry-line, defunct 1993",financials,financial services,,travel & tourism,pharma,,,asset management,,,,,"['communication services', 'entertainment']",consumer services,,
software,industrials,technology,,software,consumer electronics & appliances,,,building products & equipment,,,,,"['utilities', 'electric utilities', 'renewable energy']",technology,"['financial services', 'insurance']",
bank,energy,ecommerce,,banks,building material,,,oil & gas e&p,,,,,"['real estate', 'property investments', 'commercial properties']",financials,,
"automotive, defunct 2012",industrials,technology,,automobiles,automobile,,,electrical equipment & parts,,,,,asset management,consumer goods,,
aerospace,consumer discretionary,telecoms,,aerospace,it services & consulting,,,packaging & containers,,,,,"['software and it', 'technology', 'artificial intelligence', 'internet of things']",industrials,['mining'],
software,communication services,media,,software,accounting & auditing,,,advertising agencies,,,,,"['healthcare', 'healthcare products', 'biotechnology', 'biopharmaceutical']",technology,,
engineering,financials,technology,,industrial engineering,auto components,,,asset management,,,,,"['industries', 'rent / lease services', 'cars', 'automobile dealers', 'freight transport']",industrials,,
airlines,healthcare,transport,,airlines,,,,medical care facilities,,,,,"['basic materials', 'mining']",consumer services,"['banks', 'financial services']",
paper,industrials,technology,,paper,fintech,,,rental & leasing services,,,,,"['industries', 'transportation', 'airports operating']",basic materials,,
"software, part of microsoft (us)",industrials,agricultural commodities,,software,management consulting,,,aerospace & defense,,,,,"['technology', 'semiconductors']",technology,"['financial services', 'tech']",
hotels,industrials,management consulting,,hotels,iron & steel,,,consulting services,,,,,"['utilities', 'electric utilities']",consumer services,"['biotech', 'pharmaceuticals']",
"commercial automotive, part of volkswagen group (germany)",real estate,insurance,,automobiles,banking,,,reitdiversified,,,,,"['alcoholic beverages', 'beverages', 'wine']",consumer goods,['clothing'],
software,industrials,construction,,software,education & training,,,integrated freight & logistics,,,,,"['industries', 'automobile', 'capital goods']",technology,,
financial services,real estate,technology,,investment services,logistics,,,real estatediversified,,,,,"['industries', 'airlines', 'aviation', 'freight transport']",financials,"['electronics', 'manufacturing']",
video games,healthcare,restaurants,,software,fmcg,,,diagnostics & research,,,,,"['technology', 'software and it', 'cloud services']",technology,['building materials'],
security,industrials,health,,business support services,it services & consulting,,,staffing & employment services,,,,,real estate,industrials,"['transportation', 'maritime transportation', 'container shipping']",
security,industrials,architecture,,business support services,chemicals / agri inputs,,,specialty business services,,,,,financial services,industrials,"['banks', 'financial services']",
consulting,real estate,construction,,business support services,fmcg,,,reitresidential,,,,,"['basic materials', 'coke coal']",industrials,"['software', 'tech']",
film production,financials,advertising,,broadcasting & entertainment,bpo,,,asset management,,,,,financial services,consumer services,"['conglomerate', 'professional services', 'infrastructure']",
"home electronics retailer, defunct 2017",financials,travel & leisure,,specialty retailers,pharma,,,asset management,,,,,financial services,consumer services,"['energy', 'electricity', 'utility companies']",
navigation equipment,consumer discretionary,retail,,recreational products,media & entertainment,,,footwear & accessories,,,,,"['utilities', 'electric utilities', 'renewable energy']",consumer goods,['manufacturing'],
video games,technology,retail,,software,internet,,,softwareapplication,,,,,"['technology', 'electronics', 'consumer electronics']",technology,['insurance'],
public transport,healthcare,property,,travel & tourism,metals & mining,,,medical devices,,,,,"['healthcare', 'biotechnology', 'technology', 'healthcare products']",consumer services,,
"financial services, part of old mutual (uk)",communication services,fintech,,investment services,education & training,,,advertising agencies,,,,,"['technology', 'software and it', 'software products', 'computers hardware']",financials,,
"bank, defunct 1972, merged into seb",technology,construction,,banks,engineering & construction,,,softwareapplication,,,,,"['financial services', 'banking services']",financials,"['engineering', 'professional services', 'construction']",
construction,industrials,automobiles,,heavy construction,telecom,,,specialty business services,,,,,"['healthcare', 'pharmaceutical']",industrials,"['pharmaceuticals', 'biotech']",
power,financials,retail,,conventional electricity,beauty & personal care,,,asset management,,,,,"['real estate', 'property investments']",utilities,['financial services'],
mechanical parts,energy,support services,,industrial suppliers,it services & consulting,,,oil & gas e&p,,,,,"['utilities', 'electric utilities', 'electricity generation', 'power generation']",industrials,"['construction', 'real estate']",
video games,industrials,construction,,software,hospitality,,,consulting services,,,,,"['consumer defensive', 'retail', 'fmcg']",technology,"['oil&gas', 'utility companies']",
hardware and software,technology,construction,,software,beverage,,,information technology services,,,,,"['consumer cyclical', 'retail']",technology,"['retail', 'electronics']",
"paper pulp, sawmills",healthcare,food & beverage,,paper,financial services,,,biotechnology,,,,,"['consumer cyclical', 'apparels and accessories']",basic materials,"['financial services', 'insurance']",
"hydraulics, purchased by danish company hydra-grene in 2022",financials,construction,,industrial engineering,marketing & advertising,,,asset management,,,,,"['technology', 'software and it', 'software products', 'software and it infrastructure']",industrial,"['banks', 'financial services']",
brewery,technology,advertising,,brewers,marketing & advertising,,,softwareinfrastructure,,,,,"['basic materials', 'mining']",consumer goods,"['utility companies', 'electricity']",
music streaming,financials,ecommerce,,internet,automobile,,,capital markets,,,,,"['technology', 'software and it infrastructure']",technology,,
"state broadcasting, part of sveriges radio",healthcare,ecommerce,,broadcasting & entertainment,pulp & paper,,,biotechnology,,,,,"['healthcare', 'medical equipment']",consumer services,['retail'],
steel,technology,energy,,iron & steel,government,,,scientific & technical instruments,,,,,"['technology', 'communications equipment']",basic materials,['telecommunication'],
video games,financials,transport,,software,food processing,,,asset management,,,,,"['industries', 'trading', 'commodities trading', 'real estate']",technology,['biotech'],
ferry-line,technology,construction,,travel & tourism,non-profit,,,scientific & technical instruments,,,,,"['consumer defensive', 'meat / poultry / fish / chicken', 'farming / seeds / milling']",consumer services,"['diagnostics and testing', 'biotech']",
"transportation, real estate, financials, drilling",industrials,energy,,-,facility management services,,,specialty business services,,,,,"['consumer cyclical', 'lighting products', 'electrical products', 'home furnishing']",conglomerates,"['oil&gas', 'energy', 'utility companies']",
"garden mowers, now part of global garden products s.p.a.",financials,construction,,durable household products,oil & gas,,,asset management,,,,,"['financial services', 'asset management']",consumer goods,"['education', 'software', 'tech']",
"stock exchange, part of nasdaq nordic",healthcare,fintech,,investment services,pharma,,,medical devices,,,,,"['financial services', 'banking services']",financials,,
"bank, defunct 1972, merged into seb",technology,industrial goods,,banks,it services & consulting,,,softwareapplication,,,,,"['conglomerate', 'chemicals', 'petrochemicals', 'aerospace and defense', 'construction', 'financial services', 'retail', 'resorts', 'property investments', 'real estate']",financials,"['video games', 'tech', 'entertainment']",
power,financials,automobiles,,conventional electricity,oil & gas,,,asset management,,,,,"['communication services', 'publishing']",utilities,,
swedish national public tv broadcaster,financials,food & beverage,,broadcasting & entertainment,industrial machinery,,,asset management,,,,,"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology']",consumer services,,
"consulting, part of investment ab latour",financials,property,,business support services,petrochemicals,,,asset management,,,,,"['healthcare', 'pharmaceutical']",industrials,,
bank,consumer discretionary,technology,,banks,telecom,,,leisure,,,,,"['consumer defensive', 'food products', 'fmcg', 'package foods']",financials,"['semiconductors', 'electronics', 'tech', 'tech hardware']",
tobacco products,financials,technology,,tobacco,consumer electronics & appliances,,,asset management,,,,,real estate,consumer goods,['utility companies'],
,financials,cyber security,,meat,internet,,,asset management,,,,,"['industries', 'transportation', 'shipping']",livestock,['chemicals'],
specialty healthcare,real estate,industrial goods,,health care providers,healthcare,,,reitdiversified,,,,,"['communication services', 'internet or mobile app based business']",health care,,
space,healthcare,retail,,aerospace,automobile,,,biotechnology,,,,,"['technology', 'software and it']",industrials,,
"ventilation systems, part of investment ab latour",utilities,construction,,industrial machinery,industrial machinery,,,utilitiesregulated electric,,,,,"['technology', 'communications equipment']",industrials,"['pharmaceuticals', 'biotech']",
mobile services,communication services,ecommerce,,mobile telecommunications,industrial machinery,,,entertainment,,,,,asset management,telecommunications,"['reits', 'real estate', 'investment']",
ipo protection,industrials,sales & marketing,,business support services,beauty & personal care,,,specialty business services,,,,,"['utilities', 'gas utilities']",industrials,,
software,healthcare,retail,,software,auto components,,,drug manufacturersspecialty & generic,,,,,"['industries', 'industry machinery']",technology,['real estate'],
video games,consumer staples,management consulting,,software,fashion & textile,,,farm products,,,,,"['energy', 'metal fabrication products', 'oil and gas equipment', 'engineering products', 'oil and gas']",technology,"['energy', 'utility companies', 'electricity', 'oil&gas']",
telecommunications provider,technology,support services,,fixed line telecommunications,it services & consulting,,,softwareinfrastructure,,,,,"['technology', 'software and it']",telecommunications,['real estate'],
"software, part of ibm (us)",healthcare,retail,,software,financial services,,,health information services,,,,,"['financial services', 'banking services']",technology,,
mobile networks,healthcare,food & beverage,,mobile telecommunications,financial services,,,drug manufacturersspecialty & generic,,,,,"['financial services', 'insurance']",telecommunications,['financial services'],
terrestrial broadcaster,financials,automobiles,,broadcasting & entertainment,healthcare,,,asset management,,,,,"['basic materials', 'iron and steel']",consumer services,,
mobile network,basic materials,property,,mobile telecommunications,engineering & construction,,,gold,,,,,"['healthcare', 'medical equipment']",telecommunications,"['telecommunication', 'real estate']",
food packaging,basic materials,automobiles,,containers & packaging,pharma,,,other industrial metals & mining,,,,,"['technology', 'electronics', 'home appliances', 'consumer electronics']",industrials,"['aerospace', 'aircraft manufacturers']",
automotive,financials,sales & marketing,,automobiles,industrial machinery,,,asset management,,,,,"['communication services', 'broadcasting']",consumer goods,['food'],
internet marketing,financials,technology,,internet,law enforcement & security,,,asset management,,,,,"['real estate', 'property investments']",technology,,
network solutions,financials,interiors,,fixed line telecommunications,auto components,,,asset management,,,,,"['consumer cyclical', 'sports goods', 'apparels and accessories', 'leisure']",telecommunications,['biotech'],
engineering,industrials,technology,,business support services,oil & gas,,,rental & leasing services,,,,,"['healthcare', 'pharmaceutical', 'cannabis']",industrials,,
telecommunications,healthcare,technology,,fixed line telecommunications,automobile,,,medical instruments & supplies,,,,,"['industries', 'capital goods', 'conglomerate']",telecommunications,"['media/press', 'sports goods']",
mobile identification,industrials,ecommerce,,software,financial services,,,specialty business services,,,,,"['healthcare', 'pharmaceutical', 'healthcare products']",technology,"['airlines', 'travel', 'transportation']",
online banking payments,industrials,advertising,,banks,furniture & furnishing,,,tools & accessories,,,,,"['basic materials', 'mining']",financials,"['electricity', 'energy', 'utility companies']",
media,consumer discretionary,property,,broadcasting & entertainment,automobile,,,specialty retail,,,,,"['healthcare', 'biotechnology']",consumer services,['insurance'],
"steel, a part of voestalpine (austria)",consumer discretionary,technology,,iron & steel,recruitment,,,"furnishings, fixtures & appliances",,,,,"['industries', 'technology', 'professional services', 'airports operating']",basic materials,"['semiconductors', 'tech', 'tech hardware']",
power,financials,sales & marketing,,conventional electricity,fashion & textile,,,asset management,,,,,"['real estate', 'consumer services', 'property investments', 'commercial properties']",utilities,['entertainment'],
headphones,healthcare,technology,,recreational products,beauty & personal care,,,biotechnology,,,,,"['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery', 'engineering products']",consumer goods,"['video games', 'entertainment']",
beverages,basic materials,media,,soft drinks,pharma,,,specialty chemicals,,,,,healthcare,consumer goods,['financial services'],
defunct 1911,financials,ecommerce,,diversified industrials,recruitment,,,banks,,,,,"['investments', 'asset management']",industrials,"['real estate', 'investment', 'reits']",
state power,financials,retail,,conventional electricity,advertising / pr / events,,,asset management,,,,,"['healthcare', 'medical equipment']",utilities,['insurance'],
sawmills,technology,support services,,forestry,analytics & kpo,,,information technology services,,,,,"['communication services', 'technology', 'internet providers', 'software and it infrastructure', 'telecom']",basic materials,"['energy', 'electricity', 'ev charging']",
industrial vehicles,real estate,travel & leisure,,commercial vehicles & trucks,retail,,,reitdiversified,,,,,"['mining', 'iron and steel']",industrials,"['mining', 'gold mining', 'silver mining']",
bus manufacturer,financials,industrial goods,,commercial vehicles & trucks,building material,,,asset management,,,,,"['energy', 'coal mining']",industrials,['rental & leasing services'],
"financing and insurance, part of volvo",consumer discretionary,support services,,investment services,engineering & construction,,,residential construction,,,,,"['industries', 'rent / lease services', 'technology', 'financial services']",financials,['football'],
"engines, part of volvo",healthcare,construction,,auto parts,industrial automation,,,diagnostics & research,,,,,"['healthcare', 'medical equipment']",consumer goods,"['tech', 'electronics', 'networking hardware', 'tech hardware']",
"trucks, part of volvo",financials,ecommerce,,commercial vehicles & trucks,chemicals,,,asset management,,,,,"['healthcare', 'biotechnology', 'biopharmaceutical']",industrials,,
"sewing machines, part of svp worldwide",industrials,construction,,durable household products,food processing,,,specialty industrial machinery,,,,,"['healthcare', 'biotechnology']",consumer goods,,
shipping,real estate,financial services,,marine transportation,bpo,,,reitresidential,,,,,"['industries', 'security systems and solutions', 'electronics']",industrials,['insurance'],
"bread, now part of barilla group (italy)",financials,technology,,food products,power,,,asset management,,,,,"['healthcare', 'healthcare technology and information']",consumer goods,"['transportation', 'maritime transportation']",
coffeehouse chain,healthcare,energy,,restaurants & bars,auto components,,,biotechnology,,,,,"['industries', 'logistics', 'business services']",consumer services,"['real estate', 'investment', 'reits']",
clothing,financials,technology,,clothing & accessories,real estate,,,asset management,,,,,"['real estate', 'technology']",consumer goods,"['banks', 'financial services']",
film production,consumer discretionary,retail,,broadcasting & entertainment,iron & steel,,,specialty retail,,,,,"['basic materials', 'mining']",consumer services,"['retail', 'clothing']",
"it consulting, defunct 2008",real estate,construction,,software,metals & mining,,,real estate services,,,,,"['consumer cyclical', 'fmcg', 'food products', 'consumer non durables', 'consumer services']",technology,"['banks', 'financial services']",
music recordings,financials,support services,,broadcasting & entertainment,industrial machinery,,,asset management,,,,,"['energy', 'coal mining', 'mining']",consumer services,['telecommunication'],
,basic materials,financial services,,,bpo,,,specialty chemicals,,,,,"['industries', 'industry machinery']",food and beverage,,
,financials,fintech,,,engineering & construction,,,asset management,,,,,"['consumer cyclical', 'consumer goods', 'textile']",smartphones,,
,financials,pharmaceuticals,,,healthcare,,,asset management,,,,,"['healthcare', 'hospitals', 'healthcare products', 'healthcare service', 'insurance']",smartphones,,
,financials,restaurants,,,education & training,,,asset management,,,,,"['technology', 'electronics', 'capital goods']",corporate finance,"['telecommunication', 'retail', 'investment']",
,communication services,industrial goods,,,sports & recreation,,,broadcasting,,,,,"['basic materials', 'mining']",conglomerate,,
,financials,energy,,,analytics & kpo,,,asset management,,,,,"['utilities', 'electric utilities', 'renewable energy']",retail (convenience stores),['conglomerate'],
,financials,support services,,,medical equipment,,,asset management,,,,,"['industries', 'retail', 'conglomerate']",textile,"['pharmaceuticals', 'biotech']",
,financials,health,,,government,,,banks,,,,,"['communication services', 'gaming', 'video games / mobile games / tech games / casino games', 'technology']",food biotechnology,"['biotech', 'medical devices']",
,financials,financial services,,,chemicals,,,asset management,,,,,"['utilities', 'electric utilities', 'renewable energy']",financial services,,
,industrials,industrial goods,,,engineering & construction,,,specialty business services,,,,,real estate,health care medical devices pharmaceutical,"['retail', 'supermarket chains']",
,technology,retail,,,waste management,,,information technology services,,,,,"['technology', 'software and it']",medical devices,"['retail', 'furniture']",
,financials,construction,,,metals & mining,,,credit services,,,,,"['consumer cyclical', 'automobile', 'automobile parts']",biopharmaceutical,['insurance'],
,financials,automobiles,,,it services & consulting,,,asset management,,,,,"['healthcare', 'pharmaceutical', 'healthcare products']",professional services information technology consulting,"['asset management', 'financial services', 'investment']",
,financials,pharmaceuticals,,,software product,,,asset management,,,,,real estate,banking financial services,"['utility companies', 'electricity', 'energy']",
,consumer discretionary,retail,,,healthcare,,,internet retail,,,,,"['consumer defensive', 'fmcg', 'package foods', 'food products']",electronics,['retail'],
,consumer staples,property,,,industrial automation,,,farm products,,,,,"['financial services', 'asset management', 'investments']",video games,"['banks', 'financial services']",
,real estate,management consulting,,,it services & consulting,,,real estate services,,,,,"['healthcare', 'biotechnology']","textile, footwear","['internet', 'e-commerce', 'tech']",
,technology,industrial goods,,,industrial machinery,,,softwareapplication,,,,,"['financial services', 'banking services']",retail,"['biofuel', 'renewable energy']",
,basic materials,technology,,,building material,,,gold,,,,,"['consumer defensive', 'fmcg', 'package foods', 'food products']",retail,"['energy', 'renewable energy']",
,financials,technology,,,bpo,,,credit services,,,,,"['industries', 'infrastructure']",it services it consulting,['food'],
,industrials,technology,,,metals & mining,,,specialty business services,,,,,"['consumer cyclical', 'air conditioners', 'home appliances', 'heating equipment', 'electronics', 'electrical products', 'home furnishing']",conglomerate,['medical devices'],
,industrials,telecoms,,,engineering & construction,,,specialty business services,,,,,"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'technology', 'healthcare products']",semiconductors artificial intelligence gpus graphics cards consumer electronics video games computer hardware,['media/press'],
,financials,law,,,healthcare,,,financial data & stock exchanges,,,,,"['communication services', 'entertainment', 'sports related']",financial services,['consumer goods'],
,financials,travel & leisure,,,education & training,,,asset management,,,,,"['industries', 'industry machinery']",retail,,
,consumer discretionary,ecommerce,,,sports & recreation,,,apparel manufacturing,,,,,real estate,retail wholesaling,,
,industrials,technology,,,government,,,specialty industrial machinery,,,,,"['industries', 'airlines', 'aviation']","sports equipment, textile",['insurance'],
,technology,technology,,,industrial machinery,,,communication equipment,,,,,"['technology', 'semiconductors']","aerospace, defence","['energy', 'electricity']",
,financials,construction,,,engineering & construction,,,asset management,,,,,"['consumer defensive', 'package foods']",chemicals,,
,industrials,industrial goods,,,chemicals,,,engineering & construction,,,,,"['industries', 'infrastructure']",electronics,"['construction', 'infrastructure', 'real estate']",
,financials,industrial goods,,,logistics,,,asset management,,,,,"['basic materials', 'aluminum', 'metal products manufacturing']","manufacturing, engineering and service","['pharmaceuticals', 'biotech']",
,basic materials,telecoms,,,it services & consulting,,,other industrial metals & mining,,,,,"['healthcare', 'pharmaceutical']","manufacturing, engineering and service","['energy', 'oil&gas']",
,healthcare,construction,,,marketing & advertising,,,drug manufacturersspecialty & generic,,,,,"['artificial intelligence', 'technology', 'software and it']","manufacturing, engineering and service","['software', 'tech']",
,consumer staples,travel & leisure,,,,,,packaged foods,,,,,"['cosmetics', 'beauty and personal care', 'personal care products']",financial services,"['banks', 'financial services']",
,technology,management consulting,,,financial services,,,softwareapplication,,,,,"['basic materials', 'fertilizers', 'chemicals', 'agriculture related']",technology company,,
,consumer staples,technology,,,,,,beveragesbrewers,,,,,"['oil and gas', 'energy', 'conglomerate']",food processing,,
,energy,financial services,,,edtech,,,oil & gas e&p,,,,,"['consumer cyclical', 'automobile', 'automobile parts']",rail transport,['retail'],
,consumer discretionary,fintech,,,,,,leisure,,,,,financial services,conglomerate,"['oil&gas', 'energy']",
,basic materials,property,,,recruitment,,,agricultural inputs,,,,,"['basic materials', 'chemicals']",telecommunications mass media,,
,healthcare,retail,,,fintech,,,biotechnology,,,,,"['basic materials', 'chemicals']",tobacco,"['energy', 'oil&gas']",
,energy,technology,,,ports & shipping,,,oil & gas e&p,,,,,"['consumer cyclical', 'consumer durables', 'automobile dealers']",e-commerce cloud computing artificial intelligence consumer electronics entertainment digital distribution self-driving cars supermarket,['real estate'],
,technology,technology,,,waste management,,,communication equipment,,,,,"['consumer defensive', 'baby care products', 'fmcg', 'personal care products']",packaging,"['manufacturing', 'auto parts']",
,industrials,food & beverage,,,auto components,,,building products & equipment,,,,,"['healthcare', 'biotechnology']",aviation,"['financial services', 'insurance']",
,real estate,industrial goods,,,auto components,,,real estate services,,,,,"['technology', 'software and it']",financial services,['food'],
,technology,architecture,,,food processing,,,softwareapplication,,,,,"['basic materials', 'chemicals']",industrial processing,"['cement', 'building materials']",
,financials,financial services,,,auto components,,,asset management,,,,,"['communication services', 'internet or mobile app based business']",professional services,"['banks', 'financial services']",
,basic materials,fashion,,,food processing,,,paper & paper products,,,,,"['financial services', 'banking services']",tyres,,
,financials,technology,,,recruitment,,,asset management,,,,,"['healthcare', 'animal healthcare companies', 'healthcare technology and information']",consumer electronics software services online services,['beverages'],
,financials,technology,,,chemicals,,,asset management,,,,,"['technology', 'software and it']",consumer electronics software services online services,['automotive suppliers'],
,industrials,automobiles,,,consumer electronics & appliances,,,electrical equipment & parts,,,,,,financial services,"['retail', 'pharmaceuticals', 'drugstore']",
,industrials,technology,,,healthcare,,,specialty business services,,,,,"['technology', 'consumer electronics']",automotive,"['pharmaceuticals', 'biotech']",
,consumer discretionary,management consulting,,,auto components,,,specialty retail,,,,,"['basic materials', 'chemicals']",computer hardware electronics networking hardware,"['electronics', 'manufacturing']",
,healthcare,technology,,,government,,,medical devices,,,,,"['basic materials', 'iron and steel', 'metals']",computer hardware electronics networking hardware,"['tech', 'tech hardware']",
,financials,industrial goods,,,metals & mining,,,asset management,,,,,"['technology', 'electronics', 'capital goods']",telecommunications technology,"['real estate', 'investment', 'reits']",
,financials,technology,,,fashion & textile,,,insuranceproperty & casualty,,,,,"['communication services', 'entertainment']",telecommunications technology,,
,communication services,support services,,,chemicals,,,broadcasting,,,,,"['consumer defensive', 'fmcg', 'food products', 'consumer non durables', 'package foods']",computer software,"['mining', 'silver mining', 'gold mining']",
,technology,property,,,industrial machinery,,,softwareapplication,,,,,"['consumer cyclical', 'casinos', 'consumer durables', 'entertainment', 'gaming', 'hotels']",computer software,"['financial services', 'internet']",
,energy,ecommerce,,,real estate,,,oil & gas e&p,,,,,"['technology', 'electronics', 'consumer electronics']",financial services,,
,energy,automobiles,,,it services & consulting,,,oil & gas refining & marketing,,,,,"['consumer defensive', 'package foods', 'food products', 'fmcg']",telecommunications,"['advertising', 'media/press']",
,industrials,construction,,,healthcare,,,security & protection services,,,,,"['industries', 'industry machinery']",financial services,,
,healthcare,support services,,,industrial machinery,,,biotechnology,,,,,"['utilities', 'oil and gas', 'gas utilities', 'energy']",oil and gas,['real estate'],
,financials,travel & leisure,,,,,,shell companies,,,,,"['financial services', 'asset management']",petroleum industry,['financial services'],
,technology,technology,,,other,,,information technology services,,,,,asset management,"packaging, aerospace","['automakers', 'electric vehicles', 'manufacturing']",
,financials,financial services,,,it services & consulting,,,asset management,,,,,"['basic materials', 'mining', 'gold mining']",beverage,"['software', 'tech']",
,real estate,management consulting,,,bpo/kpo,,,real estate services,,,,,"['industries', 'capital goods', 'machinery manufacturing', 'manufacturing', 'aerospace and defense']",financial services,,
,healthcare,technology,,,hospitality,,,drug manufacturersspecialty & generic,,,,,"['consumer cyclical', 'automobile', 'automobile parts']",financial services,"['mining', 'coal mining', 'energy']",
,industrials,construction,,,fashion & textile,,,rental & leasing services,,,,,"['technology', 'software and it']",video games,['medical care facilities'],
,utilities,technology,,,analytics & kpo,,,utilitiesrenewable,,,,,"['financial services', 'banking services']",banking financial services,"['investment', 'infrastructure']",
,basic materials,property,,,it services & consulting,,,building materials,,,,,waste and trash management,banking financial services,"['energy', 'oil&gas']",
,consumer discretionary,health,,,waste management,,,"furnishings, fixtures & appliances",,,,,paper and pulp,financial services,"['software', 'it security', 'tech']",
,healthcare,automobiles,,,fmcg,,,biotechnology,,,,,"['leisure', 'home improvement', 'swimming pools related', 'building products and equipment']",banking financial services,"['software', 'tech']",
,industrials,retail,,,auto components,,,aerospace & defense,,,,,"['industries', 'electrical products']",food processing,['professional services'],
,industrials,technology,,,it services & consulting,,,engineering & construction,,,,,"['consumer defensive', 'personal care products', 'consumer goods', 'fmcg']",bookselling,['professional services'],
,industrials,cyber security,,,industrial machinery,,,conglomerates,,,,,"['financial services', 'banking services']",metals and mining,['travel'],
,technology,financial services,,,consumer electronics & appliances,,,softwareapplication,,,,,"['industries', 'engineering products', 'engineering services', 'construction']",chemicals,['packaging'],
,financials,management consulting,,,it services & consulting,,,asset management,,,,,"['technology', 'software and it']",food and beverage,['chemicals'],
,consumer discretionary,retail,,,healthcare,,,home improvement retail,,,,,"['basic materials', 'cement', 'construction materials']",shoemaking retail manufacture of leather and related products,,
,financials,chemicals,,,healthcare,,,asset management,,,,,"['energy', 'oil and gas']",retail,"['oil&gas', 'energy']",
,financials,ecommerce,,,aviation,,,asset management,,,,,"['basic materials', 'chemicals']",internet artificial intelligence cloud computing,,
,financials,ecommerce,,,building material,,,asset management,,,,,"['utilities', 'electric utilities']",pharmaceuticals chemicals biotechnology healthcare,"['airlines', 'travel', 'transportation']",
,basic materials,fintech,,,agro chemicals,,,agricultural inputs,,,,,"['energy', 'oil and gas']","medical equipment, consulting",,
,consumer discretionary,food & beverage,,,fashion & textile,,,auto parts,,,,,"['consumer defensive', 'fmcg', 'package foods', 'food products']",major appliances small appliances electronics technology,"['retail', 'oil&gas', 'energy']",
,energy,technology,,,beauty & personal care,,,oil & gas e&p,,,,,"['healthcare', 'biotechnology', 'biopharmaceutical', 'pharmaceutical', 'healthcare products']",mass media,['travel'],
,consumer discretionary,media,,,power,,,"furnishings, fixtures & appliances",,,,,"['consumer defensive', 'food and beverage', 'food products', 'consumer non durables', 'chocolate & confectionery']",fashion,"['banks', 'financial services']",
,industrials,interiors,,,financial services,,,consulting services,,,,,real estate,retail,['waste & recycling'],
,real estate,support services,,,electrical equipment,,,real estatedevelopment,,,,,"['real estate', 'construction materials', 'consumer services', 'property investments', 'commercial properties']",telecommunications,"['banks', 'financial services']",
,financials,support services,,,education & training,,,asset management,,,,,"['financial services', 'asset management']",conglomerate,"['oil&gas', 'energy']",
,basic materials,transport,,,oil & gas,,,gold,,,,,"['analytics', 'healthcare', 'software and it']",conglomerate,,
,industrials,management consulting,,,fintech,,,specialty industrial machinery,,,,,"['consumer cyclical', 'automobile', 'automobile parts']",textile,"['real estate', 'investment', 'reits']",
,technology,media,,,engineering & construction,,,softwareapplication,,,,,real estate,power tools home improvement products hardware fastening technology,,
,financials,construction,,,financial services,,,asset management,,,,,"['technology', 'electronics', 'semiconductors']",investment management,['rental & leasing services'],
,financials,industrial goods,,,it services & consulting,,,asset management,,,,,"['consumer defensive', 'food products', 'fmcg', 'package foods']",automotive,"['media/press', 'telecommunication']",
,technology,food & beverage,,,,,,electronic components,,,,,financial services,consumer electronics,"['oil&gas', 'energy']",
