ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"gurgaon/gurugram, haryana, india",,,mr. thomas ronald palmer,,terrence a. duffy
"gurgaon/gurugram, haryana, india",,,mr. charles j. meyers,,bernd montag
"san francisco,california, united states",,,mr. sandeep  bakhshi b.e.,,masayoshi son
"chennai, tamil nadu, india",,,mr. piyush  gupta,,al monaco
"mumbai, maharashtra, india",,,,,
"mumbai,maharashtra, india",,,mr. james c. fish jr.,,daniel s. glaser
"noida,uttar pradesh, india",,,,,johan forssell
"new york, new york, united states (usa)",,,"mr. peter francis king f.c.a., bec, fca",,
"charlotte, unitedstates",,,ms. susan patricia griffith,,mats rahmstrom
"mumbai, maharashtra, india",,,mr. e. scott santi,,samuel n. hazen
"gurgaon/gurugram, haryana, india",,,"dr. reshma  kewalramani fasn, m.d.",,
"mumbai, maharashtra, india",,,mr. john g. morikis,,frank appel
"delhi/ncr, new delhi, india",,,mr. werner  baumann,,hironori kamezawa
"mumbai, maharashtra, india",,,mr. hisayuki  idekoba,,lei mingshan
"ahmedabad, gujrat, india",,,mr. jose ignacio  sanchez galan,,lv jiajin
"bangalore/bengaluru, karnataka, india",,,mr. frank j. bisignano,,francesco starace
"mumbai, maharashtra, india",,sberbank of russia pjsc,mr. herman oskarovich gref,,rj scaringe
"chennai, tamil nadu, india",,,mr. ralph a. j. g. hamers,,sanjiv mehta
"mumbai, maharashtra, india",,,mr. joseph d. russell jr.,,michael a mussallem
"mumbai, maharashtra, india",,,mr. daniel hajj aboumrad,,mike cannon-brookes
"mumbai, india",,,mr. jean-laurent  bonnafe,,ernest scott santi
"bangalore/bengaluru, karnataka, india",,,mr. francesco  starace,,david cordani
"indore, madhya pradesh, india",,,mr. robert m. blue,,jeffrey c. sprecher
"boston,massachusetts, united states",,,dr. thomas  buberl,,pieter van der
"varanasi,uttar pradesh, india",,,,,igor sechin
"kolkata, west bengal, india",,,mr. stephane  bancel,,bjorn rosengren
"san francisco,california, united states",,,"mr. mark  cutifani b.e., beng (mining), fellow ausimm, cengfimmm, dba",,pang kang
"mumbai, maharashtra, india",,,dr. bernhard  montag,,james a. squires
"mumbai, maharashtra, india",,,mr. ezra y. yacob,,thomas polen
"mumbai, maharashtra, india",,,,,thomas a. fanning
