ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_5.47 m,doll_219.16,doll_5.87 b,doll_90.96 b,doll_98.57 b,doll_151.0 m,doll_8.060 m,"427,339",,,doll_1.0 b,,doll_205.79 b,,doll_36.91 b,doll_42.838 m
doll_3.79 m,doll_106.71,doll_4.32 b,doll_91.80 b,doll_€86.86 b,doll_486.9 m,doll_3.864 m,"299,598",,,doll_1.0 b,,doll_54.42 b,,doll_58.39 b,doll_64.388 m
doll_1.72 m,doll_47.24,doll_8.39 b,doll_91.49 b,doll_99.22 b,doll_2.4 b,,"159,128",,,doll_1.0 b,,doll_21.85 b,,doll_130.34 b,doll_123.070 m
doll_79.3 m,doll_243.11,doll_8.47 b,doll_92.00 b,doll_100.16 b,0,doll_5.901 m,"6,753,191",,,doll_1.0 b,,doll_54.77 b,,doll_36.6 b,doll_19.374 m
doll_3.03 m,doll_68.31,doll_3.86 b,doll_93.28 b,doll_100.84 b,doll_1.8 b,doll_33.270 m,"242,368",,,doll_1.0 b,,doll_64.36 b,,doll_149.76 b,doll_76.991 m
doll_15.88 m,doll_80.19,doll_3.77 b,doll_93.10 b,doll_101.41 b,doll_969.7 m,doll_3.024 m,"1,281,462",,,doll_1.0 b,,doll_99.41 b,,doll_65.84 b,doll_80.118 m
doll_1.63 m,doll_116.87,doll_7.24 b,doll_92.04 b,doll_£77.35 b,doll_3.9 b,doll_4.199 m,"131,691",,,doll_1.0 b,,doll_90.5 b,,doll_52.28 b,doll_29.060 m
doll_7.66 m,doll_86.88,doll_12.29 b,doll_94.93 b,doll_102.98 b,doll_3.3 b,doll_6.858 m,"620,283",,,doll_1.0 b,,doll_32.12 b,,doll_54.88 b,doll_43.171 m
doll_2.68 m,doll_27.25,doll_6.99 b,doll_94.57 b,doll_¥12.711 t,doll_952.9 m,doll_-4.202 m,"252,713",,,doll_1.0 b,,doll_46.38 b,,doll_160.98 b,doll_62.286 m
doll_10.05 m,doll_42.31,doll_9.77 b,doll_94.99 b,doll_sr390.12 b,0,doll_2.390 m,"815,690",,,doll_1.1 b,,doll_38.73 b,,doll_282.86 b,doll_17.737 m
doll_1.6 m,doll_37.34,doll_7.56 b,doll_95.45 b,doll_cn¥664.45 b,doll_262.3 m,,"130,290",,,doll_1.1 b,,doll_41.83 b,,doll_203.34 b,
doll_26.89 m,doll_205.17,doll_16.97 b,doll_98.93 b,doll_104.97 b,doll_371.0 m,doll_5.893 m,"2,201,178",,,doll_1.1 b,,doll_57.37 b,,doll_33.98 b,doll_25.979 m
doll_2.51 m,doll_272.25,doll_6.92 b,doll_96.20 b,doll_105.07 b,doll_1.5 b,doll_18.247 m,"207,327",,,doll_1.1 b,,doll_26.53 b,,doll_72.74 b,doll_133.260 m
doll_1.61 m,doll_219.37,doll_22.47 b,doll_102.13 b,doll_sr399.01 b,doll_2.6 b,doll_20.758 m,"133,200",,,doll_1.1 b,,doll_54.4 b,,doll_82.03 b,doll_71.887 m
doll_2.91 m,doll_327.20,doll_6.04 b,doll_100.03 b,doll_106.77 b,doll_1.3 b,doll_3.402 m,"241,411",,,doll_1.1 b,,doll_99.83 b,,doll_35.09 b,doll_9.635 m
doll_6.71 m,doll_112.68,doll_7.72 b,doll_102.65 b,doll_106.89 b,doll_3.7 b,doll_21.635 m,"560,150",,,doll_1.1 b,,doll_39.21 b,,doll_219.71 b,doll_64.989 m
doll_8.47 m,doll_423.40,doll_6.49 b,doll_102.68 b,doll_107.99 b,doll_1.8 b,doll_4.825 m,"712,855",,,doll_1.1 b,,doll_73.61 b,,doll_31.42 b,doll_12.743 m
doll_2.12 m,doll_82.79,doll_4.98 b,doll_103.02 b,rdoll_503.13 b,doll_399.0 m,doll_1.704 m,"180,824",,,doll_1.1 b,,doll_61.64 b,,doll_88.6 b,doll_5.710 m
doll_6.69 m,doll_20.69,doll_5.51 b,doll_102.87 b,doll_108.19 b,doll_1.4 b,doll_5.963 m,"570,012",,,doll_1.1 b,,doll_210.22 b,,doll_253.39 b,doll_43.932 m
