03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
520998,"520,998","520,998",doll_2.58 m
6863940,"6,863,940","6,863,940",doll_31.85 m
1965560,"1,965,560","1,965,560",doll_9.69 m
1543824,"1,543,824","1,543,824",doll_7.52 m
464354,"464,354","464,354",doll_2.28 m
3284400,"3,284,400","3,284,400",doll_16.09 m
700007,"700,007","700,007",doll_3.43 m
3915724,"3,915,724","3,915,724",doll_19.17 m
1127652,"1,127,652","1,127,652",doll_5.51 m
1401463,"1,401,463","1,401,463",doll_6.81 m
681460,"681,460","681,460",doll_3.31 m
3035269,"3,035,269","3,035,269",doll_14.67 m
1468200,"1,468,200","1,468,200",doll_7.06 m
2663699,"2,663,699","2,663,699",doll_12.81 m
2601157,"2,601,157","2,601,157",doll_12.49 m
329298,"329,298","329,298",doll_1.58 m
2136626,"2,136,626","2,136,626",doll_10.17 m
5602132,"5,602,132","5,602,132",doll_26.45 m
1459655,"1,459,655","1,459,655",doll_6.94 m
411858,"411,858","411,858",doll_1.95 m
1201964,"1,201,964","1,201,964",doll_5.21 m
3954351,"3,954,351","3,954,351",doll_18.36 m
1906790,"1,906,790","1,906,790",doll_9.02 m
437747,"437,747","437,747",doll_2.06 m
595800,"595,800","595,800",doll_2.8 m
1541070,"1,541,070","1,541,070",doll_7.16 m
4163750,"4,163,750","4,163,750",doll_19.46 m
766510,"766,510","766,510",doll_3.58 m
3688264,"3,688,264","3,688,264",doll_17.08 m
2508842,"2,508,842","2,508,842",doll_11.6 m
1982251,"1,982,251","1,982,251",doll_9.22 m
6328462,"6,328,462","6,328,462",doll_25.34 m
443694,"443,694","443,694",doll_2.06 m
1081079,"1,081,079","1,081,079",doll_5.0 m
496790,"496,790","496,790",doll_2.3 m
110835763,"110,835,763","110,835,763",doll_468.26 m
573145,"573,145","573,145",doll_2.64 m
790712,"790,712","790,712",doll_3.65 m
22060642,"22,060,642","22,060,642",doll_101.73 m
12200275,"12,200,275","12,200,275",doll_56.12 m
699907,"699,907","699,907",doll_3.21 m
1297717,"1,297,717","1,297,717",doll_5.92 m
1050660,"1,050,660","1,050,660",doll_4.83 m
16861349,"16,861,349","16,861,349",doll_83.63 m
934994,"934,994","934,994",doll_4.29 m
736000,"736,000","736,000",doll_3.37 m
1061360,"1,061,360","1,061,360",doll_4.84 m
1114200,"1,114,200","1,114,200",doll_5.08 m
32824451,"32,824,451","32,824,451",doll_148.51 m
398676,"398,676","398,676",doll_1.82 m
45981552,"45,981,552","45,981,552",doll_191.6 m
3389300,"3,389,300","3,389,300",doll_15.38 m
