,name,address,country,hhid,industry,sic_code,type,est_of_ownership
74,Italpreziosi Spa,"LOCALITA' SAN ZENO ZONA INDUSTRIALE STRADA A 32, AREZZO, 52100, AREZZO, ITALY",IT01111420517,H-IT0034827331,Manufacturing,Primary nonferrous metal producer (3339),Corporation,1984
75,Assicurazioni Generali Spa,"PIAZZA LUIGI AMEDEO DUCA DEGLI ABRUZZI 2, TRIESTE, 34132, TRIESTE, ITALY",IT00079760328,H-IT0009234624,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1831
76,Groupe Psa Italia Spa,"VIA PLAVA 80, TORINO, 10135, TORINO, ITALY",IT00882090152,H-IT0009740473,Retail Trade,Ret new/used automobiles (5511),Corporation,1969
77,Finanziaria D'investimento Fininvest Spa,"VIA PIETRO PALEOCAPA 3, MILANO, 20121, MILANO, ITALY",IT04942331002,H-IT0009613331,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1978
78,Cassa Depositi E Prestiti Spa,"VIA GOITO 4, ROMA, 00185, ROMA, ITALY",IT07756511007,H-IT0067760325,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1946
79,Aurelia Srl,"STRADA STATALE PER NOVI LIGURE 3/13, TORTONA, 15057, ALESSANDRIA, ITALY",IT01899810061,H-IT0038913984,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1983
80,A.i.a. Agricola Italiana Alimentare Spa,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",IT00233470236,H-IT0008022720,Wholesale Trade,Whol meats/products (5147),Corporation,1967
81,Banco Bpm Spa,"PIAZZA NOGARA 2, VERONA, 37121, VERONA, ITALY",IT09722490969,H-IT0053576578,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,2016
82,Acea Spa,"PIAZZALE OSTIENSE 2, ROMA, 00154, ROMA, ITALY",IT05394801004,H-IT0025525573,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1908
83,B&d Holding Spa,"VIA GIOVANNI DA VERRAZZANO 15, NOVARA, 28100, NOVARA, ITALY",IT02324900030,H-IT0005985013,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2012
