00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo
ernie herrman,william h. “bill” rogers jr,william h. “bill” rogers jr,william h. “bill” rogers jr,,robert pace
francesco milleri,stephane bancel,stephane bancel,stephane bancel,philip jansen,william h. “bill” rogers jr
nick hayek jr.,evan g. greenberg,evan g. greenberg,evan g. greenberg,jan g. j. van de winkel,tetsuo tsuneishi
evan g. greenberg,nayla hayek,nick hayek jr.,nick hayek jr.,,evan g. greenberg
brenton l. saunders,fang hongbo,paul fang,paul fang,alistair phillips-davies,sanjeev krishan
stephen a. schwarzman,john g. morikis,john g. morikis,john g. morikis,,francois jackow
james m. foote,sanjeev krishan,,,dan carestio,fang hongbo
herman gref,jerome lambert,jerome lambert,jerome lambert,jose d. bogas galvez,jerome lambert
jay a. brown,,francois jackow,francois jackow,frank mastiaux,michael j. ward
francois jackow,landis martin,jay a. brown,jay a. brown,vincent warnery,brenton l. saunders
jerome lambert,sergey ignatiev,herman gref,herman gref,arnd kaldowski,landis martin
,michael j. ward,james m. foote,james m. foote,jens henriksson,stephen a. schwarzman
john g. morikis,stephen a. schwarzman,stephen a. schwarzman,stephen a. schwarzman,magnus groth,sergey ignatiev
paul fang,brenton l. saunders,brenton l. saunders,brenton l. saunders,steve cutler,john g. morikis
,,daniel s. glaser,daniel s. glaser,timothy p walbert,"james e. rogers, jr."
faisal omar al-sakkaf,ed crenshaw,,,amanda blanc,ed crenshaw
lynn good,al monaco,al monaco,al monaco,carina akerstrom,michael lee-chin
dara khosrowshahi,masayoshi son,masayoshi son,masayoshi son,george g. weston,not found
terrence a. duffy,,bernd montag,bernd montag,,ralf thomas
bernd montag,terrence a. duffy,terrence a. duffy,terrence a. duffy,pavel sergeevich grachev,daniel s. glaser
masayoshi son,ronald sugar,dara khosrowshahi,dara khosrowshahi,sigve brekke,ronald sugar
al monaco,"james e. rogers, jr.",lynn good,lynn good,,masayoshi son
,michael lee-chin,faisal omar al-sakkaf,faisal omar al-sakkaf,ignacio madridejos fernandez,al monaco
daniel s. glaser,,,,ester baiget,terrence a. duffy
johan forssell,michele crisostomo,francesco starace,francesco starace,scott w. wine,frank appel
,lv jiajin,lv jiajin,lv jiajin,gilles g. martin,hironori kamezawa
mats rahmstrom,ming shan lei,lei mingshan,lei mingshan,,ming shan lei
samuel n. hazen,hironori kamezawa,hironori kamezawa,hironori kamezawa,stefan bomhard,jacob wallenberg
,,frank appel,frank appel,jussi pesonen,akash ambani
frank appel,,,,paolo bertoluzzo,mats rahmstrom
hironori kamezawa,thomas frist iii,samuel n. hazen,samuel n. hazen,thierry vanlancker,dai houliang
lei mingshan,mats rahmstrom,mats rahmstrom,mats rahmstrom,jean-christophe tellier,thomas frist iii
lv jiajin,dai houliang,,,oliver hughes,lv jiajin
francesco starace,jacob wallenberg,johan forssell,johan forssell,joao manuel brito martins,michele crisostomo
rj scaringe,h edward hanway,david cordani,david cordani,bill winters,ashok sekhar ganguly
sanjiv mehta,e. scott santi,ernest scott santi,ernest scott santi,john elkann,shona brown
michael a mussallem,shona brown,mike cannon-brookes,mike cannon-brookes,alfred stern,michael a mussallem
mike cannon-brookes,michael a mussallem,michael a mussallem,michael a mussallem,daniel benes,morten wierod
ernest scott santi,,sanjiv mehta,sanjiv mehta,bernhard spalt,e. scott santi
david cordani,robert joseph scaringe,rj scaringe,rj scaringe,patrick frost,jeffrey c. sprecher
jeffrey c. sprecher,morten wierod,bjorn rosengren,bjorn rosengren,heinz-juergen bertram,gerhard schroder
pieter van der,gerhard schroder,igor sechin,igor sechin,benjamin loh,h edward hanway
igor sechin,,pieter van der,pieter van der,arkady volozh,robert joseph scaringe
bjorn rosengren,jeffrey c. sprecher,jeffrey c. sprecher,jeffrey c. sprecher,marco alvera,piero s. overmars
pang kang,antoine gosset-grainville,thomas buberl,thomas buberl,david schneider,george a cope
james a. squires,george a cope,darryl white,darryl white,rice powell,antoine gosset-grainville
thomas polen,,sandeep bakhshi,sandeep bakhshi,remo ruffini,laura cha
thomas a. fanning,laura cha,nicolas aguzin,nicolas aguzin,patrice caine,david m. ratcliffe
lee seok-hee,chen zongnian,hongjia gong,hongjia gong,fabien simon,lee seok-hee
hongjia gong,lee seok-hee,lee seok-hee,lee seok-hee,steve foots,chen zongnian
nicolas aguzin,david m. ratcliffe,thomas a. fanning,thomas a. fanning,christian bruch,charles moorman
sandeep bakhshi,edward j. ludwig,thomas polen,thomas polen,vladimir bogdanov,pang kang
darryl white,charles moorman,james a. squires,james a. squires,mark read,edward j. ludwig
thomas buberl,pang kang,pang kang,pang kang,vivek badrinath,girish chandra chaturvedi
keith creel,jose ignacio sanchez galan,jose ignacio sanchez galan,jose ignacio sanchez galan,josu jon imaz,jose ignacio sanchez galan
,frank bisignano,frank bisignano,frank bisignano,ivan arriagada,charles edelstenne
gary nagle,jose luciano duarte penido,eduardo bartolomeo,eduardo bartolomeo,aleksandr shevelev,kalidas madhavpeddi
noel r. wallace,gary a. norcross,gary a. norcross,gary a. norcross,bjorn gulden,jose luciano duarte penido
bernard charles,chihiro kanagawa,yasuhiko saito,yasuhiko saito,markus weber,gary a. norcross
yasuhiko saito,,bernard charles,bernard charles,arthur sadoun,chihiro kanagawa
gary a. norcross,noel r. wallace,noel r. wallace,noel r. wallace,david knibbe,frank bisignano
eduardo bartolomeo,,gary nagle,gary nagle,matteo del fante,andrew reardon
frank bisignano,,,,stephane dedeyan,oliver zipse
jose ignacio sanchez galan,andrew reardon,keith creel,keith creel,grigory vitalevich fedorishin,noel r. wallace
,,,,klaus-dieter maubach,not found
ross mcewan,rick hill,matthew murphy,matthew murphy,rolv erik ryssdal,colin huang zheng
,colin huang zheng,colin huang zheng,colin huang zheng,ian gallienne,andrew liveris
rob fauber,raj subramaniam,raj subramaniam,raj subramaniam,aengus kelly,mikhelson
leonid viktorovich mikhelson,peter van camp,charles j. meyers,charles j. meyers,valerie baudson,friedrich engelhorn
charles j. meyers,,leonid viktorovich mikhelson,leonid viktorovich mikhelson,jack truong,raj subramaniam
raj subramaniam,raymond w. mcdaniel,rob fauber,rob fauber,tom erixon,raymond w. mcdaniel
colin huang zheng,andrew liveris,,,hilde merete aasheim,philip chronican
matthew murphy,,ross mcewan,ross mcewan,morten hubbe,peter van camp
,,,,gilles grapinet,rick hill
ding lei,soren skou,soren skou,soren skou,tim hauwermeiren,soren skou
craig arnold,roberto castello branco,roberto castello branco,roberto castello branco,dr. jan michael mrosik,takashi tanaka
,,,,,not found
james c. fish jr,takashi tanaka,takashi tanaka,takashi tanaka,,thomas (tom) h . weidemeyer
mario greco,baoshen zhong,,,harold boel,tom de swaan
,tom de swaan,mario greco,mario greco,tim steiner,ding lei
takashi tanaka,thomas (tom) h . weidemeyer,james c. fish jr,james c. fish jr,allison kirkby,zhong shanshan
,,,,roland diggelmann,craig arnold
roberto castello branco,craig arnold,craig arnold,craig arnold,jerre stead,roberto castello branco
soren skou,ding lei,ding lei,ding lei,stefano antonio donnarumma,baoshen zhong
jun seki,koji arima,koji arima,koji arima,carlo bertazzo,carlos slim domit
richard fairbank,colm kelleher,ralph hamers,ralph hamers,andrew williams,yiping tao
christophe beck,michael lynton,evan spiegel,evan spiegel,andreas nauen,koji arima
seifi ghasemi,yiping tao,"doyle mitchell, jr.","doyle mitchell, jr.",robert kunze-concewitz,seifi ghasemi
jahja setiaatmadja,carlos slim domit,daniel hajj aboumrad,daniel hajj aboumrad,christian kullmann,shigenobu nagamori
daniel hajj aboumrad,jahja setiaatmadja,jahja setiaatmadja,jahja setiaatmadja,carsten rasch egeriis,colm kelleher
"doyle mitchell, jr.",seifi ghasemi,seifi ghasemi,seifi ghasemi,,"douglas m. baker, jr"
evan spiegel,"douglas m. baker, jr",christophe beck,christophe beck,alexandre merieux,jahja setiaatmadja
ralph hamers,richard fairbank,richard fairbank,richard fairbank,michael zahn,richard fairbank
koji arima,shigenobu nagamori,jun seki,jun seki,nicholas j. anderson,michael lynton
,noriyuki inoue,masanori togawa,masanori togawa,miuccia prada,not found
tricia griffith,jack dorsey,jack dorsey,jack dorsey,annica bresky,dhanabalan
carlos tavares,dhanabalan,piyush gupta,piyush gupta,robert swaak,yang jiping
leonard schleifer,,,,mike fries,robert m. blue
robert m. blue,yang jiping,yang jiping,yang jiping,peter cowgill,leonard schleifer
yang jiping,robert m. blue,robert m. blue,robert m. blue,evgenii nikitin,jack dorsey
,leonard schleifer,leonard schleifer,leonard schleifer,sasndor csanyi,noriyuki inoue
piyush gupta,john elkann,carlos tavares,carlos tavares,philipp rickenbacher,peter b. lewis
jack dorsey,peter b. lewis,tricia griffith,tricia griffith,,not found
masanori togawa,,,,pedro manuel de castro soares dos santos,john elkann
gregory c. case,ming-kai tsai,rick tsai,rick tsai,anthony smurfit,chano fernandez
sashidhar jagdishan,kenneth levy,richard p. wallace,richard p. wallace,iwona duda,not found
joseph d. russell jr,kathy warden,kathy warden,kathy warden,warren east,deepak parekh
,john elkann,benedetto vigna,benedetto vigna,didier michaud-daniel,kathy warden
chano fernandez,eduardo solorzano morales,guilherme loureiro,guilherme loureiro,bertrand camus,kenneth levy
guilherme loureiro,chano fernandez,chano fernandez,chano fernandez,,eduardo solorzano morales
benedetto vigna,,,,arnaud de puyfontaine,john elkann
kathy warden,joseph d. russell jr,joseph d. russell jr,joseph d. russell jr,rob smith,ming-kai tsai
richard p. wallace,,sashidhar jagdishan,sashidhar jagdishan,simon wolfson,dennis l mahoney
rick tsai,dennis l mahoney,gregory c. case,gregory c. case,dominik von achten,joseph d. russell jr
olayan m. alwetaid,,laxman narasimhan,laxman narasimhan,christian kohlpaintner,sanjiv bajaj
michael f. mahoney,,sanjiv bajaj,sanjiv bajaj,martin bouygues,christopher a. sinclair
alexandre ricard,james r moffett,richard adkerson,richard adkerson,henri poupart-lafarge,jose antonio alvarez
xavier huillard,,jose antonio alvarez,jose antonio alvarez,bracken p. darrell,xavier huillard
martin lundstedt,brian armstrong,brian armstrong,brian armstrong,michael allison,ann mukherjee
brian armstrong,carl-henric svanberg,martin lundstedt,martin lundstedt,andy ransom,michael f. mahoney
jose antonio alvarez,,xavier huillard,xavier huillard,helena stjernholm,carl-henric svanberg
richard adkerson,,alexandre ricard,alexandre ricard,augustin de romanet,brian armstrong
sanjiv bajaj,michael f. mahoney,michael f. mahoney,michael f. mahoney,fredrik lundberg,james r moffett
laxman narasimhan,olayan m. alwetaid,olayan m. alwetaid,olayan m. alwetaid,denis machuel,michael f. mahoney
duncan wanblad,,duncan wanblad,duncan wanblad,paolo rocca,lei jun
lei jun,,reinhard ploss,reinhard ploss,jette nygaard-andersen,shri dinesh kumar khara
erik engstrom,,vagit alekperov,vagit alekperov,axel wachtmeister,stuart chambers
vinay m tonse,ken miyauchi,masayoshi son,masayoshi son,,nicholas chabraja
"['kurt sievers', 'richard l. clemmer']",nicholas chabraja,phebe novakovic,phebe novakovic,,ken miyauchi
