07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
doll_12.62 m,doll_1.71 b,doll_44.41 m,doll_36.35 b
doll_10.43 m,doll_-77.0 m,0,doll_387.0 m
doll_7.68 m,doll_2.4 b,doll_39.94 m,doll_34.22 b
doll_9.72 m,doll_3.41 b,doll_44.92 m,0.0
doll_4.15 m,doll_739.0 m,0,doll_5.34 b
doll_3.57 m,doll_4.37 b,doll_35.89 m,doll_4.88 b
doll_11.81 m,doll_2.33 b,doll_64.44 m,doll_23.4 b
doll_9.65 m,doll_1.34 b,doll_15.11 m,doll_2.06 b
doll_15.01 m,doll_83.0 m,doll_31.26 m,doll_7.07 b
doll_11.8 m,doll_3.49 b,doll_48.63 m,doll_12.37 b
doll_7.68 m,doll_1.1 b,doll_78.08 m,doll_48.58 b
doll_10.71 m,doll_47.0 m,doll_65.79 m,doll_16.68 b
0,doll_1.16 b,doll_17.51 m,doll_3.0 b
doll_9.52 m,doll_1.1 b,doll_49.98 m,doll_13.86 b
doll_11.58 m,doll_1.53 b,doll_19.98 m,doll_9.9 b
doll_4.61 m,doll_4.18 b,doll_46.65 m,doll_22.43 b
doll_1.39 m,doll_979.0 m,doll_10.34 m,doll_19.85 b
doll_14.13 m,doll_1.39 b,doll_61.58 m,doll_17.49 b
doll_6.15 m,doll_4.1 b,doll_35.74 m,doll_8.82 b
doll_8.34 m,doll_4.81 b,doll_42.1 m,doll_206.88 b
doll_9.27 m,doll_1.61 b,doll_53.03 m,doll_19.56 b
doll_6.43 m,doll_2.48 b,doll_50.75 m,doll_8.2 b
doll_14.48 m,doll_2.25 b,doll_60.88 m,doll_5.12 b
doll_9.25 m,doll_2.15 b,doll_40.68 m,doll_12.68 b
doll_21.15 m,doll_621.0 m,doll_23.17 m,doll_30.15 b
doll_2.43 m,0.0,0,doll_48.73 b
doll_10.94 m,doll_1.66 b,doll_26.45 m,doll_26.98 b
doll_4.5 m,doll_5.34 b,doll_45.83 m,doll_24.9 b
doll_5.84 m,doll_2.77 b,doll_43.27 m,doll_21.73 b
doll_8.07 m,doll_-267.0 m,doll_23.05 m,doll_5.5 b
doll_3.42 m,doll_2.26 b,doll_32.39 m,doll_14.29 b
doll_16.83 m,doll_6.75 b,doll_56.98 m,doll_84.38 b
doll_5.63 m,doll_1.03 b,doll_28.15 m,doll_22.4 b
doll_13.13 m,doll_533.0 m,doll_32.68 m,doll_14.59 b
doll_2.55 m,doll_3.55 b,doll_46.5 m,doll_15.63 b
doll_7.45 m,doll_606.0 m,doll_18.98 m,doll_3.34 b
doll_7.95 m,doll_10.29 b,doll_8.12 m,doll_18.97 b
doll_10.11 m,doll_1.2 b,doll_36.16 m,doll_4.89 b
