,link,rank,name,ceo,founded,revenue,country,industry
2416,https://www.value.today/company/zhejiang-huafeng-spandex-co.-ltd,2313,zhejiang huafeng spandex co. ltd,not found,not found,doll_2.208 m,china,"['basic materials', 'apparels and accessories', 'chemicals']"
2417,https://www.value.today/company/brunswick-corporation,2319,brunswick corporation,not found,1845,doll_5.846 m,usa,"['consumer cyclical', 'machinery manufacturing', 'boats', 'leisure', 'manufacturing', 'engineering products']"
2418,https://www.value.today/company/zheshang-securities,2318,zheshang securities,not found,2002,doll_2.387 m,china,"['financial services', 'stock markets, trading, capital markets']"
2419,https://www.value.today/company/firstservice-corporation,2314,firstservice corporation,not found,1989,doll_3.249 m,canada,"['real estate', 'financial services']"
2420,https://www.value.today/company/pop-mart,2321,pop mart,not found,2010,705 million usd,china,"['toys', 'leisure', 'entertainment']"
2421,https://www.value.today/company/inspur-electronic-information-industry,2328,inspur electronic information industry,not found,1998,doll_10.524 m,china,"['technology', 'computers hardware']"
2422,https://www.value.today/company/auckland-international-airport,2329,auckland international airport,not found,1966,173 million usd,new zealand,"['industries', 'aviation', 'airports operating']"
2423,https://www.value.today/company/bajaj-holdings-investment,2323,bajaj holdings & investment,not found,1945,547 million usd,india,"['financial services', 'investments', 'asset management']"
2424,https://www.value.today/company/polymetal-international,2326,polymetal international,not found,1998,doll_2.890 m,cyprus,"['basic materials', 'mining', 'gold mining', 'silver mining', 'precious metals']"
2425,https://www.value.today/company/renaissancere-holdings,2330,renaissancere holdings,not found,1993,doll_5.308 m,bermuda,"['financial services', 'insurance']"
