00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"1,408 million usd","12,995 million usd",12995000000.0
"1,902 million usd","7,724 million usd",7724000000.0
-234 million usd,,
,-234 million usd,-234000000.0
"7,724 million usd","1,902 million usd",1902000000.0
"12,995 million usd","1,408 million usd",1408000000.0
965 million usd,"3,240 million usd",3240000000.0
532 million usd,-164 million usd,-164000000.0
"1,290 million usd",772 million usd,772000000.0
"1,245 million usd","1,846 million usd",1846000000.0
"1,165 million usd","6,467 million usd",6467000000.0
-37 million usd,"1,679 million usd",1679000000.0
"2,459 million usd","1,770 million usd",1770000000.0
"1,770 million usd","2,459 million usd",2459000000.0
"1,679 million usd",-37 million usd,-37000000.0
"6,467 million usd","1,165 million usd",1165000000.0
"1,846 million usd","1,245 million usd",1245000000.0
772 million usd,"1,290 million usd",1290000000.0
"2,170 million usd",410 million usd,410000000.0
"5,128 million usd","2,683 million usd",2683000000.0
"1,315 million usd","13,522 million usd",13522000000.0
,564 million usd,564000000.0
"6,503 million usd","2,640 million usd",2640000000.0
"2,640 million usd","6,503 million usd",6503000000.0
564 million usd,,
"13,522 million usd","1,315 million usd",1315000000.0
"2,683 million usd","5,128 million usd",5128000000.0
410 million usd,"2,170 million usd",2170000000.0
-949 million usd,252 million usd,252000000.0
187 million usd,"1,838 million usd",1838000000.0
467 million usd,"2,707 million usd",2707000000.0
"4,325 million usd","1,358 million usd",1358000000.0
"1,133 million usd","1,229 million usd",1229000000.0
"1,229 million usd","1,133 million usd",1133000000.0
"1,358 million usd","4,325 million usd",4325000000.0
"2,707 million usd",467 million usd,467000000.0
"1,838 million usd",187 million usd,187000000.0
252 million usd,-949 million usd,-949000000.0
883 million usd,"2,565 million usd",2565000000.0
"4,666 million usd","4,053 million usd",4053000000.0
"2,873 million usd","3,068 million usd",3068000000.0
"2,719 million usd","3,662 million usd",3662000000.0
489 million usd,"2,120 million usd",2120000000.0
"2,120 million usd",489 million usd,489000000.0
"3,662 million usd","2,719 million usd",2719000000.0
"3,068 million usd","2,873 million usd",2873000000.0
"4,053 million usd","4,666 million usd",4666000000.0
"2,565 million usd",883 million usd,883000000.0
"1,575 million usd","1,519 million usd",1519000000.0
376 million usd,359 million usd,359000000.0
840 million usd,"1,477 million usd",1477000000.0
"1,439 million usd","1,267 million usd",1267000000.0
"7,791 million usd",-708 million usd,-708000000.0
-708 million usd,"7,791 million usd",7791000000.0
"1,267 million usd","1,439 million usd",1439000000.0
