03-gren-market_capitalization_2022,02-GioPonSpiz-marketcap
34872000000.0,32.099 billion usd
34777000000.0,32.002 billion usd
34592000000.0,43.500 billion usd
34570000000.0,42.325 billion usd
34558000000.0,37.354 billion usd
34469000000.0,36.414 billion usd
34454000000.0,40.531 billion usd
34427000000.0,38.635 billion usd
34412000000.0,33.046 billion usd
34358000000.0,33.387 billion usd
34275000000.0,29.693 billion usd
34194000000.0,46.910 billion usd
34167000000.0,50.509 billion usd
34091000000.0,35.661 billion usd
34033000000.0,29.997 billion usd
33931000000.0,33.662 billion usd
33923000000.0,34.348 billion usd
33879000000.0,32.478 billion usd
33745000000.0,35.377 billion usd
33715000000.0,31.553 billion usd
33620000000.0,31.473 billion usd
33553000000.0,33.162 billion usd
33520000000.0,33.888 billion usd
33412000000.0,31.483 billion usd
33306000000.0,26.841 billion usd
33304000000.0,32.554 billion usd
33270000000.0,36.989 billion usd
33230000000.0,42.104 billion usd
33226000000.0,32.286 billion usd
33200000000.0,51.445 billion usd
33116000000.0,27.109 billion usd
33099000000.0,20.005 billion usd
33094000000.0,27.069 billion usd
33044000000.0,28.646 billion usd
33017000000.0,36.744 billion usd
32936000000.0,31.437 billion usd
32878000000.0,33.201 billion usd
32868000000.0,30.169 billion usd
32810000000.0,34.703 billion usd
32804000000.0,27.722 billion usd
32737000000.0,31.389 billion usd
32707000000.0,34.527 billion usd
32699000000.0,71.923 billion usd
32629000000.0,33.171 billion usd
32559000000.0,31.689 billion usd
32511000000.0,38.554 billion usd
32483000000.0,33.569 billion usd
32433000000.0,28.423 billion usd
32404000000.0,34.213 billion usd
32355000000.0,34.143 billion usd
32359000000.0,32.735 billion usd
32289000000.0,30.953 billion usd
32210000000.0,35.646 billion usd
32189000000.0,26.942 billion usd
32100000000.0,35.070 billion usd
,651
32080000000.0,35.710 billion usd
32032000000.0,36.946 billion usd
31986000000.0,28.686 billion usd
31937000000.0,28.003 billion usd
31943000000.0,27.818 billion usd
31925000000.0,31.256 billion usd
31916000000.0,
31798000000.0,32.979 billion usd
31755000000.0,31.393 billion usd
31738000000.0,28.840 billion usd
31726000000.0,33.915 billion usd
31721000000.0,51.469 billion usd
31710000000.0,20.451 billion usd
31590000000.0,36.610 billion usd
31593000000.0,31.879 billion usd
31575000000.0,36.034 billion usd
31497000000.0,33.078 billion usd
31426000000.0,31.018 billion usd
31386000000.0,30.789 billion usd
31370000000.0,27.734 billion usd
31350000000.0,27.697 billion usd
31344000000.0,27.323 billion usd
31273000000.0,33.395 billion usd
31253000000.0,32.951 billion usd
