08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"25,727 million usd",,236 million usd,375 million usd,1752000000.0
"6,875 million usd",,"1,602 million usd","25,727 million usd",1602000000.0
"2,082 million usd",,"1,752 million usd",624 million usd,236000000.0
375 million usd,,178 million usd,"3,415 million usd",953000000.0
"3,415 million usd",,,"1,669 million usd",6759000000.0
"4,100 million usd",,"3,318 million usd",975 million usd,2082000000.0
not found,,"6,875 million usd",,6875000000.0
"1,864 million usd",,"1,205 million usd","1,205 million usd",4100000000.0
not found,,,"2,221 million usd",375000000.0
"2,221 million usd",,975 million usd,771 million usd,25727000000.0
"2,718 million usd",,"1,669 million usd",,624000000.0
"15,140 million usd",,"3,415 million usd",921 million usd,3415000000.0
"1,205 million usd",,624 million usd,"2,718 million usd",1669000000.0
771 million usd,,"25,727 million usd","15,140 million usd",975000000.0
921 million usd,,375 million usd,"1,864 million usd",
"1,791 million usd",,"4,100 million usd","1,791 million usd",1205000000.0
"2,027 million usd",,"2,221 million usd",826 million usd,2221000000.0
528 million usd,,,,771000000.0
826 million usd,,826 million usd,"1,332 million usd",
"3,993 million usd",,"1,791 million usd","3,185 million usd",921000000.0
"1,332 million usd",,"1,864 million usd","3,202 million usd",2718000000.0
"1,982 million usd",,"15,140 million usd","2,027 million usd",15140000000.0
not found,,"2,718 million usd","1,982 million usd",1864000000.0
"3,202 million usd",,921 million usd,,1791000000.0
"3,185 million usd",,,528 million usd,826000000.0
not found,,771 million usd,"3,993 million usd",
785 million usd annual revenue for year ending dec-2020,,"1,332 million usd","13,022 million usd",1332000000.0
"13,022 million usd",,733 million usd,733 million usd,3185000000.0
"1,345 million usd",,"13,022 million usd",,3202000000.0
733 million usd,,"3,993 million usd",598 million usd,2027000000.0
944 million usd,,528 million usd,"3,381 million usd",1982000000.0
"8,559 million usd",,,173 million usd,
395 million usd,,"1,982 million usd",944 million usd,528000000.0
"3,381 million usd",,"2,027 million usd","8,559 million usd",3993000000.0
598 million usd,,"3,202 million usd",395 million usd,13022000000.0
173 million usd,,"3,185 million usd","1,345 million usd",733000000.0
480 million usd,,,"3,725 million usd",
"3,725 million usd",,"5,909 million usd","5,909 million usd",598000000.0
not found,,"3,725 million usd","1,617 million usd",3381000000.0
"15,789 million usd",,"1,345 million usd","1,089 million usd",173000000.0
not found,,395 million usd,982 million usd,944000000.0
"1,089 million usd",,"8,559 million usd","3,240 million usd",8559000000.0
"1,617 million usd",,944 million usd,,395000000.0
982 million usd,,173 million usd,480 million usd,1345000000.0
"3,240 million usd",,"3,381 million usd","15,789 million usd",3725000000.0
"5,909 million usd",,598 million usd,,5909000000.0
480 million usd annual revenue for year ending dec-2020,,"1,617 million usd",,1617000000.0
"1,841 million usd",,440 million usd,440 million usd,1089000000.0
not found,,,777 million usd,982000000.0
"4,734 million usd",,,"4,583 million usd",3240000000.0
777 million usd,,480 million usd,387 million usd,
440 million usd,,,"1,819 million usd",480000000.0
"4,583 million usd",,"3,240 million usd","4,734 million usd",15789000000.0
387 million usd,,"15,789 million usd","1,841 million usd",
"1,551 million usd",,982 million usd,,
"1,819 million usd",,"1,089 million usd","1,551 million usd",440000000.0
"5,515 million usd",,"2,012 million usd","5,515 million usd",777000000.0
489 million usd,,"5,515 million usd","2,012 million usd",4583000000.0
"1,659 million usd",,"1,551 million usd","4,322 million usd",387000000.0
not found,,,"6,403 million usd",1819000000.0
"4,322 million usd",,"1,841 million usd",,4734000000.0
289 million usd,,"4,734 million usd",289 million usd,1841000000.0
"6,403 million usd",,"1,819 million usd",489 million usd,
267 million usd,,387 million usd,"1,659 million usd",1551000000.0
"2,012 million usd",,"4,583 million usd",267 million usd,5515000000.0
"2,283 million usd",,777 million usd,"2,283 million usd",2012000000.0
"1,662 million usd",,"4,322 million usd","1,662 million usd",4322000000.0
961 million usd,,,,6403000000.0
"4,136 million usd",,"1,662 million usd",,
not found,,"2,283 million usd",5 million usd,289000000.0
"1,117 million usd",,267 million usd,961 million usd,489000000.0
not found,,"1,659 million usd","1,829 million usd",1659000000.0
5 million usd,,489 million usd,"1,117 million usd",267000000.0
"1,829 million usd",,289 million usd,"4,136 million usd",2283000000.0
"3,582 million usd",,,"3,582 million usd",1662000000.0
not found,,"6,403 million usd",,
"5,830 million usd",,,"4,593 million usd",
"4,593 million usd",,"2,484 million usd","2,484 million usd",5000000.0
not found,,"4,593 million usd","2,734 million usd",961000000.0
not found,,,"1,100 million usd",1829000000.0
395 million usd,,"3,582 million usd",64 million usd,1117000000.0
"1,001 million usd",,"4,136 million usd",,4136000000.0
"2,734 million usd",,"1,117 million usd",395 million usd,3582000000.0
64 million usd,,"1,829 million usd","5,830 million usd",
"2,484 million usd",,961 million usd,"1,001 million usd",4593000000.0
"1,100 million usd",,5 million usd,,2484000000.0
905 million usd,,"2,734 million usd",905 million usd,2734000000.0
not found,,205 million usd,205 million usd,1100000000.0
205 million usd,,905 million usd,,64000000.0
37 million usd,,,37 million usd,
0 million usd,,"1,001 million usd",,395000000.0
"9,832 million usd",,"5,830 million usd",,5830000000.0
not found,,395 million usd,"4,573 million usd",1001000000.0
not found,,,"9,832 million usd",
not found,,64 million usd,0 million usd,905000000.0
"4,573 million usd",,"1,100 million usd",,205000000.0
not found,,,"1,227 million usd",
147 million usd,,"13,186 million usd","13,186 million usd",37000000.0
not found,,"1,227 million usd","4,398 million usd",
"2,060 million usd",,,,
not found,,0 million usd,"2,060 million usd",4573000000.0
"1,227 million usd",,"9,832 million usd","1,542 million usd",9832000000.0
"4,398 million usd",,"4,573 million usd",,0.0
261 million usd,,,147 million usd,
"13,186 million usd",,,,1227000000.0
"1,542 million usd",,37 million usd,261 million usd,13186000000.0
742 million usd,,"4,398 million usd",742 million usd,4398000000.0
"4,267 million usd",,3 million usd,3 million usd,
not found,,742 million usd,483 million usd,2060000000.0
44 million usd,,261 million usd,44 million usd,1542000000.0
"1,168 million usd",,,"1,168 million usd",
483 million usd,,147 million usd,,147000000.0
"16,458 million usd",,,"4,467 million usd",
3 million usd,,"1,542 million usd","16,458 million usd",261000000.0
"4,467 million usd",,"2,060 million usd",-155 million usd,742000000.0
-155 million usd,,,"4,267 million usd",3000000.0
769 million usd,,483 million usd,188 million usd,483000000.0
231 million usd,,-257 million usd,-257 million usd,44000000.0
-257 million usd,,188 million usd,,1168000000.0
not found,,"4,267 million usd",916 million usd,
916 million usd,,-155 million usd,327 million usd,4467000000.0
"13,068 million usd",,"16,458 million usd",769 million usd,16458000000.0
"2,970 million usd",,"4,467 million usd","1,290 million usd",-155000000.0
188 million usd,,,231 million usd,4267000000.0
"1,290 million usd",,"1,168 million usd","2,970 million usd",188000000.0
327 million usd,,44 million usd,"13,068 million usd",-257000000.0
not found,,,,
not found,,"1,047 million usd","1,047 million usd",916000000.0
733 million usd,,,"1,438 million usd",327000000.0
368 million usd,,"13,068 million usd",,769000000.0
"2,011 million usd",,"2,970 million usd",733 million usd,1290000000.0
258 million usd,,231 million usd,368 million usd,231000000.0
"1,438 million usd",,"1,290 million usd",425 million usd,2970000000.0
425 million usd,,769 million usd,568 million usd,13068000000.0
568 million usd,,327 million usd,258 million usd,
"1,047 million usd",,916 million usd,"2,011 million usd",1047000000.0
759 million usd,,"1,438 million usd",759 million usd,1438000000.0
"1,144 million usd",,819 million usd,819 million usd,
"1,131 million usd",,759 million usd,,733000000.0
159 million usd,,"2,011 million usd",353 million usd,368000000.0
356 million usd,,258 million usd,356 million usd,425000000.0
not found,,568 million usd,"1,231 million usd",568000000.0
353 million usd,,368 million usd,"1,144 million usd",258000000.0
not found,,425 million usd,"1,131 million usd",2011000000.0
"1,231 million usd",,733 million usd,,759000000.0
819 million usd,,,159 million usd,819000000.0
821 million usd,,,821 million usd,
"4,731 million usd",,"1,774 million usd","1,774 million usd",353000000.0
"2,553 million usd",,821 million usd,"4,731 million usd",356000000.0
"1,201 million usd",,159 million usd,"1,952 million usd",1231000000.0
"1,773 million usd",,,"2,553 million usd",1144000000.0
321 million usd,,"1,131 million usd","1,773 million usd",1131000000.0
"1,086 million usd",,"1,144 million usd","1,201 million usd",
"1,774 million usd",,"1,231 million usd",321 million usd,159000000.0
"10,498 million usd",,356 million usd,"1,086 million usd",821000000.0
"1,952 million usd",,353 million usd,"10,498 million usd",1774000000.0
741 million usd,,"4,731 million usd",,4731000000.0
not found,,,,1952000000.0
173 million usd,,,"1,688 million usd",2553000000.0
328 million usd,,"10,498 million usd",741 million usd,1773000000.0
"2,645 million usd",,"1,086 million usd","2,645 million usd",1201000000.0
not found,,321 million usd,173 million usd,321000000.0
not found,,"1,201 million usd",328 million usd,1086000000.0
"2,131 million usd",,"1,773 million usd",,10498000000.0
not found,,"2,553 million usd","2,131 million usd",
"1,688 million usd",,"1,952 million usd",,
"1,099 million usd",,"1,688 million usd","1,099 million usd",1688000000.0
not found,,"8,503 million usd","8,503 million usd",741000000.0
"1,582 million usd",,"1,099 million usd",665 million usd,2645000000.0
222 million usd,,,,173000000.0
not found,,"2,131 million usd","1,218 million usd",328000000.0
not found,,,,
"1,218 million usd",,328 million usd,526 million usd,2131000000.0
"8,503 million usd",,173 million usd,222 million usd,
665 million usd,,"2,645 million usd","1,582 million usd",1099000000.0
526 million usd,,741 million usd,,8503000000.0
322 million usd,,665 million usd,322 million usd,665000000.0
199 million usd,,,,
"2,778 million usd",,322 million usd,"7,786 million usd",1218000000.0
"1,512 million usd",,,"1,170 million usd",
719 million usd,,"1,582 million usd",,526000000.0
not found,,222 million usd,"13,435 million usd",222000000.0
"1,170 million usd",,526 million usd,199 million usd,1582000000.0
not found,,,719 million usd,
"13,435 million usd",,"1,218 million usd","1,512 million usd",322000000.0
"7,786 million usd",,,"2,778 million usd",
"28,487 million usd",,"7,786 million usd","28,487 million usd",7786000000.0
"1,451 million usd",,,,1170000000.0
978 million usd,,"28,487 million usd",139 million usd,
"5,189 million usd",,"2,778 million usd",,13435000000.0
"2,761 million usd",,"1,512 million usd","67,306 million usd",199000000.0
"5,272 million usd",,719 million usd,"1,451 million usd",719000000.0
"67,306 million usd",,199 million usd,978 million usd,1512000000.0
not found,,"13,435 million usd","5,189 million usd",2778000000.0
not found,,,"5,272 million usd",28487000000.0
139 million usd,,"1,170 million usd","2,761 million usd",
323 million usd,,139 million usd,323 million usd,139000000.0
"1,483 million usd",,,,
"3,952 million usd",,323 million usd,"8,541 million usd",67306000000.0
not found,,"2,761 million usd",166 million usd,1451000000.0
"8,925 million usd",,"5,272 million usd","1,107 million usd",978000000.0
"1,107 million usd",,"5,189 million usd","3,952 million usd",5189000000.0
166 million usd,,978 million usd,"8,925 million usd",5272000000.0
"2,092 million usd",,"1,451 million usd","2,092 million usd",2761000000.0
not found,,"67,306 million usd",,323000000.0
"8,541 million usd",,,"1,483 million usd",
"2,360 million usd",,"8,541 million usd","2,360 million usd",8541000000.0
865 million usd,,143 million usd,143 million usd,166000000.0
70 million usd,,"2,360 million usd",573 million usd,1107000000.0
not found,,"1,483 million usd",,3952000000.0
"6,058 million usd",,,"2,361 million usd",8925000000.0
573 million usd,,"2,092 million usd",865 million usd,2092000000.0
"9,007 million usd",,"8,925 million usd","9,007 million usd",
264 million usd,,"3,952 million usd","6,058 million usd",1483000000.0
"2,361 million usd",,"1,107 million usd",70 million usd,2360000000.0
143 million usd,,166 million usd,264 million usd,143000000.0
"1,883 million usd",,573 million usd,"1,883 million usd",573000000.0
0 million usd,,365 million usd,365 million usd,
365 million usd,,"1,883 million usd","1,156 million usd",2361000000.0
not found,,264 million usd,,865000000.0
not found,,70 million usd,,9007000000.0
"1,156 million usd",,"6,058 million usd","3,638 million usd",6058000000.0
not found,,"9,007 million usd",211 million usd,70000000.0
"1,396 million usd",,865 million usd,,264000000.0
211 million usd,,"2,361 million usd",0 million usd,1883000000.0
"3,638 million usd",,,"1,396 million usd",365000000.0
"1,069 million usd",,"1,156 million usd",728 million usd,1156000000.0
not found,,,,
728 million usd,,728 million usd,"1,446 million usd",
164 million usd,,"1,396 million usd","1,150 million usd",3638000000.0
"1,446 million usd",,0 million usd,413 million usd,211000000.0
"2,896 million usd",,,244 million usd,
not found,,211 million usd,,0.0
413 million usd,,"3,638 million usd","2,896 million usd",1396000000.0
"1,150 million usd",,,164 million usd,728000000.0
244 million usd,,,"1,069 million usd",
"1,013 million usd",,"1,446 million usd","1,204 million usd",1446000000.0
386 million usd,,543 million usd,543 million usd,1150000000.0
not found,,"1,204 million usd","4,517 million usd",413000000.0
