08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"16,911 million usd","3,869 million usd","7,839 million usd","39,083 million usd",39083000000.0
"39,083 million usd","2,820 million usd",0 million usd,"55,080 million usd",55080000000.0
"7,839 million usd","3,060 million usd","22,845 million usd","8,821 million usd",8821000000.0
"22,845 million usd","2,607 million usd","2,522 million usd","11,888 million usd",11888000000.0
"11,888 million usd","19,206 million usd","17,323 million usd","16,911 million usd",16911000000.0
"51,577 million usd","6,521 million usd","41,554 million usd","41,554 million usd",41554000000.0
"27,958 million usd","5,013 million usd","51,577 million usd","12,188 million usd",12188000000.0
"41,554 million usd","1,835 million usd","9,482 million usd","110,010 million usd",110010000000.0
"38,469 million usd",658 million usd,"27,958 million usd","41,524 million usd",41524000000.0
"41,524 million usd","16,617 million usd","11,063 million usd","38,469 million usd",38469000000.0
"1,578 million usd","7,661 million usd","1,578 million usd","1,578 million usd",1578000000.0
"11,063 million usd","5,792 million usd","38,469 million usd","11,063 million usd",11063000000.0
"12,188 million usd","7,899 million usd","41,524 million usd","27,958 million usd",27958000000.0
"9,482 million usd","30,611 million usd","110,010 million usd","9,482 million usd",9482000000.0
"110,010 million usd","1,976 million usd","12,188 million usd","51,577 million usd",51577000000.0
"71,080 million usd","27,148 million usd","4,768 million usd","4,768 million usd",4768000000.0
"69,054 million usd","1,941 million usd","71,080 million usd","4,526 million usd",4526000000.0
"5,750 million usd",940 million usd,"18,236 million usd","4,386 million usd",4386000000.0
"4,386 million usd","1,580 million usd","14,552 million usd","5,750 million usd",5750000000.0
"19,669 million usd","13,463 million usd","69,054 million usd","12,519 million usd",12519000000.0
"4,768 million usd","17,525 million usd","19,669 million usd","19,669 million usd",19669000000.0
"18,236 million usd","3,873 million usd","12,519 million usd","69,054 million usd",69054000000.0
"14,552 million usd","12,453 million usd","5,750 million usd","14,552 million usd",14552000000.0
"12,519 million usd","2,907 million usd","4,386 million usd","18,236 million usd",18236000000.0
"4,526 million usd","1,396 million usd","4,526 million usd","71,080 million usd",71080000000.0
"2,906 million usd","2,029 million usd","4,776 million usd","7,574 million usd",7574000000.0
"24,545 million usd","8,511 million usd","24,010 million usd","2,906 million usd",2906000000.0
"35,540 million usd","12,601 million usd","35,540 million usd",0 million usd,0.0
