00-avengers-total_liabilities_in_usd
"4,838 million usd"
"10,861 million usd"
"21,102 million usd"
"8,654 million usd"
"19,543 million usd"
"1,466 million usd"
"13,802 million usd"
"11,810 million usd"
"8,200 million usd"
"2,150 million usd"
"1,649 million usd"
"2,316 million usd"
"38,632 million usd"
"33,490 million usd"
"33,656 million usd"
"2,532 million usd"
"19,915 million usd"
"145,450 million usd"
"98,495 million usd"
"17,399 million usd"
"5,598 million usd"
"32,764 million usd"
"18,282 million usd"
"8,070 million usd"
405 million usd
"1,000 million usd"
"5,298 million usd"
"5,155 million usd"
""
"5,284 million usd"
""
"7,049 million usd"
"24,885 million usd"
"21,565 million usd"
"58,498 million usd"
"36,472 million usd"
"1,300 million usd"
"7,106 million usd"
982 million usd
"16,161 million usd"
"2,832 million usd"
"2,736 million usd"
"6,189 million usd"
"4,961 million usd"
"71,881 million usd"
"11,575 million usd"
"7,786 million usd"
"21,072 million usd"
"1,244 million usd"
"29,415 million usd"
"1,917 million usd"
"7,937 million usd"
"22,561 million usd"
"45,248 million usd"
"5,881 million usd"
"32,160 million usd"
"1,227 million usd"
"31,067 million usd"
"219,110 million usd"
365 million usd
"2,016 million usd"
"11,681 million usd"
"2,869 million usd"
""
""
"31,748 million usd"
"7,994 million usd"
"21,009 million usd"
"505,480 million usd"
"11,754 million usd"
"10,302 million usd"
"9,197 million usd"
"37,292 million usd"
"5,355 million usd"
"158,570 million usd"
"32,078 million usd"
"15,971 million usd"
"20,073 million usd"
"8,181 million usd"
"1,625 million usd"
"5,568 million usd"
""
"8,928 million usd"
"3,608 million usd"
"65,721 million usd"
"33,841 million usd"
""
"6,032 million usd"
"11,115 million usd"
"2,045 million usd"
"336,540 million usd"
"17,278 million usd"
"5,410 million usd"
"133,780 million usd"
"34,350 million usd"
"26,927 million usd"
"1,478 million usd"
450 million usd
"1,094 million usd"
874 million usd
"1,460 million usd"
"2,903 million usd"
"8,253 million usd"
"12,945 million usd"
"6,047 million usd"
""
"4,701 million usd"
"1,576 million usd"
"1,837 million usd"
"3,055 million usd"
"1,492 million usd"
"8,034 million usd"
"1,706 million usd"
"31,555 million usd"
"4,139 million usd"
"34,720 million usd"
425 million usd
"13,741 million usd"
"3,874 million usd"
""
"84,322 million usd"
"4,667 million usd"
""
"9,012 million usd"
"1,492 million usd"
"165,060 million usd"
"11,739 million usd"
"2,114 million usd"
811 million usd
"15,614 million usd"
46 million usd
"5,145 million usd"
"26,732 million usd"
""
"272,540 million usd"
"239,060 million usd"
"13,966 million usd"
"28,910 million usd"
"38,618 million usd"
"6,537 million usd"
"13,702 million usd"
