01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"12,259,540",253.65,"12,259,540"
"1,031,733",253.55,"1,031,733"
"681,652",253.35,"681,652"
"1,055,100",253.11,"1,055,100"
"3,350,270",251.91,"3,350,270"
"32,428,296",251.66,"32,428,296"
"1,084,616",251.57,"1,084,616"
"1,482,100",251.56,"1,482,100"
"5,031,697",251.48,"5,031,697"
"2,178,629",250.06,"2,178,629"
"2,363,526",249.64,"2,363,526"
"1,809,858",249.58,"1,809,858"
"9,100,083",248.98,"9,100,083"
"547,084",248.88,"547,084"
"1,568,506",248.43,"1,568,506"
"910,973",247.28,"910,973"
"2,195,780",247.20,"2,195,780"
"5,325,214",247.05,"5,325,214"
"1,954,609",246.88,"1,954,609"
"658,317",246.63,"658,317"
"1,079,340",245.48,"1,079,340"
"6,137,755",245.45,"6,137,755"
"541,582",245.44,"541,582"
"2,608,093",244.64,"2,608,093"
"452,557",243.94,"452,557"
"5,283,415",243.36,"5,283,415"
"776,268",243.07,"776,268"
"25,858,983",242.59,"25,858,983"
"12,106,480",242.58,"12,106,480"
"1,808,710",242.17,"1,808,710"
"1,030,000",241.26,"1,030,000"
"15,241,075",241.26,"15,241,075"
"1,451,770",241.12,"1,451,770"
"13,309,441",240.39,"13,309,441"
"22,730,529",240.33,"22,730,529"
"3,842,670",240.06,"3,842,670"
"7,381,686",239.23,"7,381,686"
"687,958",239.19,"687,958"
"9,987,236",238.38,"9,987,236"
"943,718",237.95,"943,718"
"973,460",237.58,"973,460"
"2,543,343",237.43,"2,543,343"
"616,520",236.58,"616,520"
"10,247,832",236.55,"10,247,832"
"3,044,054",236.46,"3,044,054"
"947,000",235.69,"947,000"
"1,351,164",235.05,"1,351,164"
"2,410,212",234.97,"2,410,212"
"700,960",234.87,"700,960"
"3,811,838",234.84,"3,811,838"
"881,275",234.74,"881,275"
"1,385,662",234.07,"1,385,662"
"4,476,517",234.00,"4,476,517"
"17,203,160",233.96,"17,203,160"
"2,618,069",233.95,"2,618,069"
"2,002,982",233.87,"2,002,982"
"10,518,963",233.75,"10,518,963"
"793,957",233.68,"793,957"
"1,058,063",233.32,"1,058,063"
"1,862,272",233.23,"1,862,272"
"4,461,170",233.18,"4,461,170"
"772,943",232.57,"772,943"
"1,414,501",231.75,"1,414,501"
"660,767",231.73,"660,767"
"4,180,523",231.45,"4,180,523"
"1,926,967",231.36,"1,926,967"
"1,271,353",231.14,"1,271,353"
"4,587,687",231.05,"4,587,687"
"7,265,350",231.00,"7,265,350"
"8,110,160",230.75,"8,110,160"
"1,020,690",230.22,"1,020,690"
"1,163,241",230.16,"1,163,241"
"810,750",230.03,"810,750"
"694,501",229.61,"694,501"
"1,001,740",229.36,"1,001,740"
"9,915,609",229.03,"9,915,609"
"1,226,000",228.55,"1,226,000"
"17,515,305",228.30,"17,515,305"
"1,222,870",228.26,"1,222,870"
"1,825,769",227.87,"1,825,769"
"5,602,279",226.81,"5,602,279"
