07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct
"6,137,755",6137755,"6,137,755",245.45
"541,582",541582,"541,582",245.44
"2,608,093",2608093,"2,608,093",244.64
"452,557",452557,"452,557",243.94
"5,283,415",5283415,"5,283,415",243.36
"776,268",776268,"776,268",243.07
"25,858,983",25858983,"25,858,983",242.59
"12,106,480",12106480,"12,106,480",242.58
"1,808,710",1808710,"1,808,710",242.17
"1,030,000",1030000,"1,030,000",241.26
"15,241,075",15241075,"15,241,075",241.26
"1,451,770",1451770,"1,451,770",241.12
"13,309,441",13309441,"13,309,441",240.39
"22,730,529",22730529,"22,730,529",240.33
"3,842,670",3842670,"3,842,670",240.06
"7,381,686",7381686,"7,381,686",239.23
"687,958",687958,"687,958",239.19
"9,987,236",9987236,"9,987,236",238.38
"943,718",943718,"943,718",237.95
"973,460",973460,"973,460",237.58
"2,543,343",2543343,"2,543,343",237.43
"616,520",616520,"616,520",236.58
"10,247,832",10247832,"10,247,832",236.55
"3,044,054",3044054,"3,044,054",236.46
"947,000",947000,"947,000",235.69
"1,351,164",1351164,"1,351,164",235.05
"2,410,212",2410212,"2,410,212",234.97
"700,960",700960,"700,960",234.87
"3,811,838",3811838,"3,811,838",234.84
"881,275",881275,"881,275",234.74
"1,385,662",1385662,"1,385,662",234.07
"4,476,517",4476517,"4,476,517",234.00
"17,203,160",17203160,"17,203,160",233.96
"2,618,069",2618069,"2,618,069",233.95
"2,002,982",2002982,"2,002,982",233.87
