03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
524750.0,doll_4.07 m,doll_4.07 m,doll_4.07 m,doll_1.84 m
274966.0,doll_2.13 m,doll_2.13 m,doll_2.13 m,doll_3.58 m
214713.0,doll_1.66 m,doll_1.66 m,doll_1.66 m,doll_7.0 m
755191.0,doll_5.74 m,doll_5.74 m,doll_5.74 m,doll_11.8 m
7522000.0,doll_57.38 m,doll_57.38 m,doll_57.38 m,doll_15.42 m
1556607.0,doll_11.86 m,doll_11.86 m,doll_11.86 m,doll_3.51 m
2058315.0,doll_15.65 m,doll_15.65 m,doll_15.65 m,doll_2.12 m
8508398.0,doll_63.88 m,doll_63.88 m,doll_63.88 m,doll_4.38 m
2570000.0,doll_19.43 m,doll_19.43 m,doll_19.43 m,doll_3.46 m
26626422.0,doll_197.26 m,doll_197.26 m,doll_197.26 m,doll_22.76 m
546226.0,doll_4.11 m,doll_4.11 m,doll_4.11 m,doll_3.51 m
2708983.0,doll_20.2 m,doll_20.2 m,doll_20.2 m,doll_210.56 m
975140.0,doll_7.32 m,doll_7.32 m,doll_7.32 m,doll_5.82 m
316525.0,doll_2.16 m,doll_2.16 m,doll_2.16 m,doll_6.73 m
884885.0,doll_6.56 m,doll_6.56 m,doll_6.56 m,doll_4.4 m
559778.0,doll_4.15 m,doll_4.15 m,doll_4.15 m,doll_39.9 m
2146950.0,doll_15.87 m,doll_15.87 m,doll_15.87 m,doll_6.72 m
340000.0,doll_2.5 m,doll_2.5 m,doll_2.5 m,doll_5.37 m
1062649.0,doll_7.65 m,doll_7.65 m,doll_7.65 m,doll_6.13 m
621636.0,doll_4.53 m,doll_4.53 m,doll_4.53 m,doll_1.16 m
350019.0,doll_2.57 m,doll_2.57 m,doll_2.57 m,doll_19.12 m
330522.0,doll_2.42 m,doll_2.42 m,doll_2.42 m,doll_1.57 m
410520.0,doll_2.99 m,doll_2.99 m,doll_2.99 m,doll_3.19 m
2051133.0,doll_14.94 m,doll_14.94 m,doll_14.94 m,doll_4.49 m
674805.0,doll_4.8 m,doll_4.8 m,doll_4.8 m,doll_56.02 m
670685.0,doll_4.88 m,doll_4.88 m,doll_4.88 m,doll_4.18 m
255000.0,doll_1.85 m,doll_1.85 m,doll_1.85 m,doll_5.33 m
3417815.0,doll_24.58 m,doll_24.58 m,doll_24.58 m,doll_14.0 m
364485.0,doll_2.64 m,doll_2.64 m,doll_2.64 m,doll_7.06 m
15653388.0,doll_111.54 m,doll_111.54 m,doll_111.54 m,doll_1.09 m
954700.0,doll_6.79 m,doll_6.79 m,doll_6.79 m,doll_10.35 m
49833511.0,doll_352.88 m,doll_352.88 m,doll_352.88 m,doll_56.10 m
