05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
computer peripherals,,stockholm,
investments,,gothenburg,
investments,,stockholm,
investments,,stockholm,
cosmetics,,malmö,
financial technology,,stockholm,
clothing,,stockholm,
software,,stockholm,
railways,,stockholm,
"sport equipment, part of reebok (us)",,malung,
part of husqvarna group,,jonsered,
investments,,stockholm,
e-commerce,,stockholm,
shipyard,,malmö,
automotive,,ängelholm,
retailing group,,stockholm,
brewery,,kopparberg,
glass,,kosta,
brewery,,halmstad,
food,,järna,
investments,,stockholm,
insurance cooperative,,stockholm[12],
"bank, part of länsförsäkringar",,stockholm,
agriculture cooperative,,stockholm,
mobile gaming,,stockholm,
fashion retailer,,gothenburg,
"airline, defunct 1993, acquired by sas",,stockholm,
mining,,luleå,
security,,stockholm,
petroleum,,stockholm,
"defunct home electronics, acquired by nokia (finland)",,motala,
"video games, part of zenimax media (us)",,uppsala,
power,,västerås,
music production,,stockholm,
"video games, part of ubisoft (france)",,malmö,
software and systems consulting,,gothenburg,
pharmaceutical,,solna,
industrial coatings,,täby,
digital entertainment,,stockholm,
"video games, acquired by microsoft (us)",,stockholm,
medical device,,gothenburg,
bicycle,,vansbro,
"defunct 2008, acquired by sun microsystems (us)",,uppsala,
sailing yachts,,henån,
"wireless semiconductors, part of samsung (south korea)",,kista,
"stock exchange, part of nasdaq, inc. (us)",,stockholm,
construction,,solna,
role-playing game publisher,,gothenburg,
touch technology,,stockholm,
regional airline,,stockholm,
kitchen goods,,stockholm,
public transport,,stockholm,
"manufacturing, defunct 1979",,trollhättan,
retail department stores,,stockholm,
part of axel johnson group,,stockholm,
lead-acid batteries,,stockholm,
clothing,,gothenburg,
"stainless steel, a part of outokumpu (finland)",,torshälla,
optical fiber equipment,,stockholm,
petrochemical products,,stockholm,
clothing,,stockholm,
automotive parts,,upplands väsby,
"retail chain, defunct 2011",,upplands väsby,
pharmaceutical,,uppsala,
cosmetics,,stockholm,
glassworks,,orrefors,
shipyard,,oskarshamn,
steel,,stockholm,
bakery,,malmö,
video games,,stockholm,
construction,,förslöv,
software,,stockholm,
blood test systems,,uppsala,
"pharma, defunct 2002",,stockholm,
bread,,älvsbyn,
"mail, logistics",,solna,
"mail, part of postnord",,solna,
portable cooking devices,,stockholm,
"brewery, part of carlsberg group (denmark)",,gothenburg,
lighting,,stockholm,
eco-burial,,gothenburg,
"advertising, communication",,stockholm,
private equity,,stockholm,
software,,helsingborg,
pharmaceutical,,haninge,
"ferry-line, defunct 1993",,gothenburg,
software,,linköping,
bank,,helsingborg,
"automotive, defunct 2012",,trollhättan,
aerospace,,stockholm,
software,,stockholm,
engineering,,stockholm,
airlines,,solna,
paper,,stockholm,
"software, part of microsoft (us)",,lund,
hotels,,stockholm,
"commercial automotive, part of volkswagen group (germany)",,södertälje,
software,,malmö,
financial services,,stockholm,
video games,,lidköping,
security,,stockholm,
security,,malmö,
consulting,,gothenburg,
film production,,stockholm,
"home electronics retailer, defunct 2017",,gothenburg,
navigation equipment,,stockholm,
video games,,malmö,
public transport,,stockholm,
"financial services, part of old mutual (uk)",,stockholm,
"bank, defunct 1972, merged into seb",,gothenburg,
construction,,stockholm,
power,,skellefteå,
mechanical parts,,gothenburg,
video games,,gothenburg,
hardware and software,,gothenburg,
"paper pulp, sawmills",,växjö,
"hydraulics, purchased by danish company hydra-grene in 2022",,gothenburg,
brewery,,stockholm,
music streaming,,stockholm,
"state broadcasting, part of sveriges radio",,stockholm,
steel,,stockholm,
video games,,stockholm,
ferry-line,,gothenburg,
"transportation, real estate, financials, drilling",,gothenburg,
"garden mowers, now part of global garden products s.p.a.",,eskilstuna,
"stock exchange, part of nasdaq nordic",,stockholm,
"bank, defunct 1972, merged into seb",,stockholm,
power,,nyköping,
swedish national public tv broadcaster,,stockholm,
"consulting, part of investment ab latour",,stockholm,
bank,,stockholm,
tobacco products,,stockholm,
,,stockholm,
specialty healthcare,,stockholm,
space,,solna,
"ventilation systems, part of investment ab latour",,gothenburg,
mobile services,,stockholm,
ipo protection,,stockholm,
software,,stockholm,
video games,,malmö,
telecommunications provider,,stockholm,
"software, part of ibm (us)",,malmö,
mobile networks,,stockholm,
terrestrial broadcaster,,stockholm,
mobile network,,lund,
food packaging,,lund/pully,
automotive,,hillerstorp,
internet marketing,,stockholm,
network solutions,,stockholm,
engineering,,trelleborg,
telecommunications,,stockholm,
mobile identification,,stockholm,
online banking payments,,stockholm,
media,,stockholm,
"steel, a part of voestalpine (austria)",,hagfors,
power,,umeå,
headphones,,stockholm,
beverages,,stockholm,
defunct 1911,,södertälje,
state power,,stockholm,
sawmills,,alvesta,
industrial vehicles,,gothenburg,
bus manufacturer,,gothenburg,
"financing and insurance, part of volvo",,gothenburg,
"engines, part of volvo",,skövde,
"trucks, part of volvo",,gothenburg,
"sewing machines, part of svp worldwide",,huskvarna,
shipping,,stockholm,
"bread, now part of barilla group (italy)",,skellefteå,
coffeehouse chain,,stockholm,
clothing,,stockholm,
film production,,malmö,
"it consulting, defunct 2008",,stockholm,
music recordings,,stockholm,
