01-DDD-valuation,04-iGMM-valuation
doll_1.75b,doll_1.49
doll_1.8b,doll_1.48
doll_1.7b,doll_1.48
doll_1.66b,doll_1.46
doll_1.73b,doll_1.45
doll_1.69b,doll_1.45
doll_1.75b,doll_1.45
doll_1.7b,doll_1.45
doll_1.75b,doll_1.45
doll_1.79b,doll_1.45
doll_1.78b,doll_1.44
doll_1.6b,doll_1.43
doll_1.8b,doll_1.43
doll_1.8b,doll_1.42
doll_1.83b,doll_1.4
doll_1.9b,doll_1.4
doll_1.8b,doll_1.4
doll_1.8b,doll_1.4
doll_1.9b,doll_1.4
doll_1.9b,doll_1.4
doll_1.9b,doll_1.4
doll_1.9b,doll_1.4
doll_1.9b,doll_1.4
doll_1.98b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2.25b,doll_1.4
doll_1.8b,doll_1.4
doll_2b,doll_1.4
doll_1.7b,doll_1.4
 doll_1.94 b,doll_1.4
doll_1.73b,doll_1.4
doll_2b,doll_1.4
doll_1.85b,doll_1.4
doll_1.8b,doll_1.4
doll_2b,doll_1.4
doll_1.94b,doll_1.4
doll_1.95b,doll_1.4
doll_1.87b,doll_1.4
 doll_1.93b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.4
doll_2b,doll_1.38
doll_2b,doll_1.36
doll_2b,doll_1.35
doll_2b,doll_1.35
doll_2b,doll_1.35
doll_8b,doll_1.35
doll_2b,doll_1.34
doll_2b,doll_1.34
doll_2b,doll_1.33
doll_2b,doll_1.33
doll_2b,doll_1.32
doll_2b,doll_1.32
doll_2b,doll_1.32
doll_2b,doll_1.32
doll_2b,doll_1.31
doll_2b,doll_1.31
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2.1b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2.7b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.3
doll_2b,doll_1.28
doll_2b,doll_1.28
doll_2b,doll_1.28
doll_2b,doll_1.27
doll_2b,doll_1.26
doll_2b,doll_1.26
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2b,doll_1.25
doll_2.1b,doll_1.24
doll_2b,doll_1.24
doll_2b,doll_1.24
doll_2b,doll_1.24
doll_2.1b,doll_1.23
doll_2.1b,doll_1.23
doll_2.1b, doll_1.23 
doll_2.1b,doll_1.22
doll_2.1b,doll_1.22
doll_2.1b, doll_1.22 
doll_2.1b,doll_1.2
doll_2.1b,doll_1.2
doll_2.1b,doll_1.2
doll_2.15b,doll_1.65
doll_2.15b,doll_1.2
doll_2.18b,doll_1.2
doll_2.19b,doll_1.2
doll_2.17b,doll_1.2
doll_2.17b,doll_1.2
doll_2b,doll_1.2
doll_2.2b,doll_1
doll_2.2b,doll_1.3
doll_2.2b,doll_1.2
doll_2.2b,doll_1.2
doll_2.2b,doll_1.2
 doll_2.20 b,doll_1.2
doll_2.2b,doll_1.2
doll_2.2b,doll_1.2
doll_2.17b,doll_1.2
doll_2.2b,doll_1.2
doll_2.25b,doll_1.2
doll_2.25b,doll_1.2
doll_2.2b,doll_1.2
doll_2.25b,doll_1.2
doll_2.27b,doll_1.2
doll_2.3b,doll_1.2
doll_2.35b,doll_1.4
doll_2.19b,doll_1.2
doll_2.85b,doll_1.2
doll_2.31b,doll_1.2
doll_2.3b,doll_1.2
doll_2.34b,doll_1.2
doll_2.3b,doll_1.2
doll_2.3b,doll_1.2
doll_2.32b,doll_1.2
doll_2.35b,doll_1.2
doll_2.62b,doll_1.2
doll_2.4b,doll_1.2
doll_2.62b,doll_1.2
doll_2.4b,doll_1.2
doll_2.4b,doll_1.2
doll_2.4b,doll_1.15
doll_2.4b,doll_1.19
doll_2.4b,doll_1.19
doll_2.41b,doll_1.18
doll_2.41b,doll_1.17
doll_2.4b,doll_1.17
doll_2.41b,doll_1.17
doll_2.4b,doll_1.16
doll_2.44b, doll_1.16 
doll_2.5b,doll_1.15
doll_2.5b,doll_1.15
doll_2.5b,doll_1.15
doll_2.45b,doll_1.15
doll_2.5b,doll_1.15
doll_2.5b,doll_1.15
doll_2.5b,doll_1.12
doll_2.45b,doll_1.13
doll_2.5b,doll_1.12
doll_2.68b, doll_1.12 
doll_2.45b, doll_1.1
doll_2.5b, doll_1.1
doll_2.5b, doll_1
doll_2.5b,doll_1.1
doll_2.4b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2.59b,doll_1.1
doll_2.6b,doll_1.1
doll_2.5b,doll_1.1
doll_2.5b,doll_1.1
doll_2b,doll_1.1
doll_2.6b,doll_1.1
doll_2.5b,doll_1
doll_2.62b,doll_1.1
doll_2.55b,doll_1.1
doll_2.6b,doll_1.1
doll_2.6b,doll_1.1
doll_2.6b,doll_1.1
doll_2.7b,doll_1.1
doll_2.75b,doll_1.1
doll_2.75b,doll_1.1
doll_2.7b,doll_1.1
doll_3.95b,doll_1.1
doll_2.6b,doll_1.1
doll_2.7b,doll_1.1
doll_2.7b,doll_1.1
doll_2.62b,doll_1.1
doll_2.75b,doll_1.1
doll_2.74b,doll_1.1
doll_2.66b,doll_1.1
doll_2.79b,doll_1.1
doll_2.7b,doll_1.1
doll_2.8b,doll_1.1
doll_2.77b,doll_1.1
doll_3b,doll_1.1
doll_2.85b,doll_1.1
doll_2.9b,doll_1.1
doll_2.8b,doll_1.1
doll_2.9b,doll_1.1
doll_2.92b,doll_1.08
doll_2.88b,doll_1.08
doll_3b,doll_1.08
doll_3b,doll_1.07
doll_2.85b,doll_1.07
doll_3b,doll_1.07
doll_3b,doll_1.07
