08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
34,,,
202,,,
not found,,,
6,,,
27,,,
140,,,
15,,,
265,,,
623,,,
not found,,,
162,,,
41,,,
46,,,
13,,,
105,,,
60,,,
23,,,
69,,,
112,,,
219,,,
94,,,
85,,,
8,,,
5,,,
7,,,
133,,,
22,,,
7,,,
884,,,
176,,,
7,,,
12,,,
12,,,
85,,,
27,,,
120,,,
76,,,
5,,,
37,,,
4,,,
231,,,
190,,,
8,,,
250,,,
not found,,,
7800,,,
18,,,
3,,,
150,,,
295,,,
200,,,
31,,,
10,,,
38,,,
843,,,
1000,,,
226,,,
26,,,
4,,,
111,,,
28,,,
50,,,
623,,,
43,,,
216,,,
90,,,
21,,,
35,,,
40,,,
5,,,
33,,,
49,,,
45,,,
17,,,
11,,,
"1,156",,,
36,,,
1328,,,
65,,,
30,,,
5,,,
19,,,
10,,,
169,,,
163,,,
29,,,
"1,780",,,
106,,,
114,,,
306,,,
12,,,
47,,,
90,,,
102,,,
44,,,
52,,,
103,,,
not found,,,
160,,,
18,,,
25,,,
9,,,
45,,,
14,,,
54,,,
15,,,
265,,,
125,,,
not found,,,
12,,,
5,,,
70,,,
4,,,
66,,,
123,,,
30,,,
372,,,
12,,,
1647,,,
65,,,
42,,,
3,,,
37,,,
21,,,
10,,,
714,,,
49,,,
619,,,
42,,,
1805,,,
38,,,
166,,,
120,,,
3,,,
45,,,
64,,,
429,,,
974,,,
21,,,
438,,,
16,,,
not found,,,
117,,,
23,,,
286,,,
15,,,
33,,,
7,,,
118,,,
39,,,
416,,,
470,,,
6,,,
48,,,
15,,,
65,,,
36,,,
860,,,
15,,,
60,,,
645,,,
55,,,
180,,,
52,,,
2,,,
7,,,
44,,,
87,,,
11,,,
3,,,
77,,,
72,,,
233,,,
401,,,
38,,,
939,,,
245,,,
45,,,
1,,,
4,,,
104,,,
5,,,
50,,,
"1,872",,,
120,,,
42,,,
not found,,,
410,,,
78,,,
24,,,
6,,,
62,,,
38,,,
16,,,
28,,,
2,,,
131,,,
114,,,
300,,,
28,,,
207,,,
271,,,
not found,,,
50,,,
25,,,
50,,,
131,,,
47,,,
26,,,
791,,,
305,,,
702,,,
6,,,
3,,,
20,,,
3,,,
725,,,
185,,,
12,,,
5649,,,
not found,,,
72,,,
46,,,
55,,,
31,,,
29,,,
12,,,
142,,,
543,,,
not found,,,
87,,,
not found,,,
95,,,
57,,,
6,,,
10,,,
70,,,
256,,,
5,,,
134,,,
45,,,
18,,,
57,,,
60,,,
5,,,
102,,,
329,,,
"5,300",,,
311,,,
1293,,,
8,,,
320,,,
107,,,
90,,,
6,,,
71,,,
20,,,
42,,,
436,,,
18,,,
144,,,
84,,,
6,,,
290,,,
32,,,
18,,,
901,,,
120,,,
36,,,
200,,,
306,,,
70,,,
84,,,
52,,,
17,,,
8,,,
35,,,
30,,,
221,,,
61,,,
55,,,
43,,,
55,,,
9,,,
7,,,
16,,,
9,,,
