08-slytherin-revenue,07-silvestri-revenue_2020,03-gren-revenue_2020_eu,01-DDD-revenue_2020_euro
2.72,"5,922,043",5922043.0,"5,922,043"
2.35,"4,828,920",4828920.0,"4,828,920"
3.49,"83,632,640",83632640.0,"83,632,640"
6.50,"4,285,766",4285766.0,"4,285,766"
6.81,"3,366,730",3366730.0,"3,366,730"
5.64,"4,842,410",4842410.0,"4,842,410"
68.44,"5,083,140",5083140.0,"5,083,140"
42.55,"148,505,285",148505285.0,"148,505,285"
"57,670,541","1,816,274",1816274.0,"1,816,274"
"66,007,267","191,601,076",191601076.0,"191,601,076"
2.8,"15,377,000",15377000.0,"15,377,000"
129.11,"15,901,220",15901220.0,"15,901,220"
21.24,"7,007,093",7007093.0,"7,007,093"
26.51,"2,910,737",2910737.0,"2,910,737"
2.20,"5,078,464",5078464.0,"5,078,464"
3.03,"2,262,490",2262490.0,"2,262,490"
9.72,"2,310,000",2310000.0,"2,310,000"
"109,248,030","3,445,698",3445698.0,"3,445,698"
"2,184,590","3,394,214",3394214.0,"3,394,214"
54.4,"6,607,564",6607564.0,"6,607,564"
17.26,"1,601,000",1601000.0,"1,601,000"
4.39,"39,355,846",39355846.0,"39,355,846"
10.41,"6,107,018",6107018.0,"6,107,018"
40.07,"3,769,100",3769100.0,"3,769,100"
13.35,"2,391,654",2391654.0,"2,391,654"
10.30,"6,984,956",6984956.0,"6,984,956"
399.20,"9,085,936",9085936.0,"9,085,936"
"2,210,636","40,391,360",40391360.0,"40,391,360"
"3,063,085","3,249,140",3249140.0,"3,249,140"
6.0,"4,853,930",4853930.0,"4,853,930"
2.79,"4,603,740",4603740.0,"4,603,740"
29.05,"9,501,888",9501888.0,"9,501,888"
1.45,"1,952,000",1952000.0,"1,952,000"
5.50,"10,827,070",10827070.0,"10,827,070"
49.45,"2,718,640",2718640.0,"2,718,640"
3.30,"4,168,220",4168220.0,"4,168,220"
"3,999,023","2,132,001",2132001.0,"2,132,001"
"5,158,786","2,843,048",2843048.0,"2,843,048"
"9,577,450","2,964,852",2964852.0,"2,964,852"
5.1,"1,891,361",1891361.0,"1,891,361"
28.12,"3,932,792",3932792.0,"3,932,792"
4.11,"4,851,997",4851997.0,"4,851,997"
315.42,"7,260,096",7260096.0,"7,260,096"
9.92,"13,479,380",13479380.0,"13,479,380"
10.88,"4,011,415",4011415.0,"4,011,415"
"1,825,546","93,438,770",93438770.0,"93,438,770"
"2,212,606","17,453,187",17453187.0,"17,453,187"
"3,510,478","9,719,750",9719750.0,"9,719,750"
7.2,"82,238,372",82238372.0,"82,238,372"
3.97,"34,677,235",34677235.0,"34,677,235"
6.72,"3,375,810",3375810.0,"3,375,810"
5.66,"38,599,408",38599408.0,"38,599,408"
6.32,"22,704,300",22704300.0,"22,704,300"
6.44,"119,161,137",119161137.0,"119,161,137"
1.33,"4,546,110",4546110.0,"4,546,110"
17.04,"2,789,489",2789489.0,"2,789,489"
24.28,"89,332,521",89332521.0,"89,332,521"
"20,150,800","11,320,706",11320706.0,"11,320,706"
"40,813,930","1,573,480",1573480.0,"1,573,480"
"2,607,000","1,979,050",1979050.0,"1,979,050"
3.4,"10,807,048",10807048.0,"10,807,048"
2.92,"23,501,473",23501473.0,"23,501,473"
8.98,"8,358,760",8358760.0,"8,358,760"
13.42,"4,715,363",4715363.0,"4,715,363"
11.84,"5,302,985",5302985.0,"5,302,985"
8.02,"1,862,632",1862632.0,"1,862,632"
8.18,"3,268,813",3268813.0,"3,268,813"
5.00,"26,386,701",26386701.0,"26,386,701"
11.03,"4,319,146",4319146.0,"4,319,146"
"4,459,170","3,328,791",3328791.0,"3,328,791"
"11,761,268","21,974,565",21974565.0,"21,974,565"
"6,816,368","4,899,200",4899200.0,"4,899,200"
5.3,"4,133,980",4133980.0,"4,133,980"
36.30,"4,785,480",4785480.0,"4,785,480"
2.37,"2,443,117",2443117.0,"2,443,117"
18.09,"14,000,000",14000000.0,"14,000,000"
25.03,"411,390,748",411390748.0,"411,390,748"
"4,897,950","6,774,867",6774867.0,"6,774,867"
"2,134,802","12,609,000",12609000.0,"12,609,000"
3.0,"7,532,293",7532293.0,"7,532,293"
13.64,"1,822,227",1822227.0,"1,822,227"
3.82,"4,363,977",4363977.0,"4,363,977"
1.77,"2,243,594",2243594.0,"2,243,594"
237.77,"9,485,173",9485173.0,"9,485,173"
113.47,"2,727,392",2727392.0,"2,727,392"
180.58,"3,499,555",3499555.0,"3,499,555"
3.50,"3,059,440",3059440.0,"3,059,440"
"3,871,782","2,810,120",2810120.0,"2,810,120"
"4,838,407","5,993,895",5993895.0,"5,993,895"
"108,406,675","4,706,000",4706000.0,"4,706,000"
2.9,"12,120,207",12120207.0,"12,120,207"
4.38,"5,034,595",5034595.0,"5,034,595"
4.92,"2,280,542",2280542.0,"2,280,542"
108.03,"117,997,000",117997000.0,"117,997,000"
