05-MalPatSaj-name,07-silvestri-name,08-slytherin-name
samsung life insurance,samsung life insurance,samsung life insurance
vmware,vmware,vmware
albertsons,albertsons,albertsons
crrc,crrc,crrc
cbre group,cbre group,cbre group
toshiba,toshiba,toshiba
samsung c&t,samsung c&t,samsung c&t
infosys,infosys,infosys
prudential,prudential,prudential
yankuang energy group,yankuang energy group,yankuang energy group
canadian pacific railway,canadian pacific railway,canadian pacific railway
loews,loews,loews
tokyo electron,tokyo electron,tokyo electron
lg electronics,lg electronics,lg electronics
csl,csl,csl
magna international,magna international,magna international
analog devices,analog devices,analog devices
kubota,kubota,kubota
air products & chemicals,air products & chemicals,air products & chemicals
newmont mining,newmont mining,newmont mining
te connectivity,te connectivity,te connectivity
aon,aon,aon
telus,telus,telus
dollar tree,dollar tree,dollar tree
keycorp,keycorp,keycorp
wtw,wtw,wtw
china zheshang bank,china zheshang bank,china zheshang bank
wesfarmers,wesfarmers,wesfarmers
suzuki motor,suzuki motor,suzuki motor
best buy,best buy,best buy
svb financial group,svb financial group,svb financial group
advanced micro devices,advanced micro devices,advanced micro devices
markel,markel,markel
muyuan foodstuff,muyuan foodstuff,muyuan foodstuff
kimberly-clark,kimberly-clark,kimberly-clark
swedbank,swedbank,swedbank
cognizant,cognizant,cognizant
corning,corning,corning
infineon technologies,infineon technologies,infineon technologies
citizens financial group,citizens financial group,citizens financial group
devon energy,devon energy,devon energy
asahi group holdings,asahi group holdings,asahi group holdings
jsw steel,jsw steel,jsw steel
lumen technologies,lumen technologies,lumen technologies
regions financial,regions financial,regions financial
svenska handelsbanken,svenska handelsbanken,svenska handelsbanken
raymond james financial,raymond james financial,raymond james financial
byd,byd,byd
illinois tool works,illinois tool works,illinois tool works
pinduoduo,pinduoduo,pinduoduo
activision blizzard,activision blizzard,activision blizzard
liberty global,liberty global,liberty global
colgate-palmolive,colgate-palmolive,colgate-palmolive
sse,sse,sse
nan ya plastics,nan ya plastics,nan ya plastics
vivendi,vivendi,vivendi
baxter international,baxter international,baxter international
fosun international,fosun international,fosun international
weichai power,weichai power,weichai power
fidelity national financial,fidelity national financial,fidelity national financial
parker-hannifin,parker-hannifin,parker-hannifin
vedanta limited,vedanta limited,vedanta limited
woori financial group,woori financial group,woori financial group
sysco,sysco,sysco
telstra,telstra,telstra
credit suisse group,credit suisse group,credit suisse group
rogers communications,rogers communications,rogers communications
m&t bank,m&t bank,m&t bank
boston scientific,boston scientific,boston scientific
edison international,edison international,edison international
financiere de l'odet,financiere de l'odet,financiere de l'odet
sumitomo mitsui trust,sumitomo mitsui trust,sumitomo mitsui trust
entergy,entergy,entergy
swisscom,swisscom,swisscom
enbw-energie baden,enbw-energie baden,enbw-energie baden
hikvision,hikvision,hikvision
nippon yusen,nippon yusen,nippon yusen
stanley black & decker,stanley black & decker,stanley black & decker
oneok,oneok,oneok
marriott international,marriott international,marriott international
warner bros. discovery,warner bros. discovery,warner bros. discovery
s.f. holding,s.f. holding,s.f. holding
delta air lines,delta air lines,delta air lines
bharat petroleum,bharat petroleum,bharat petroleum
halliburton,halliburton,halliburton
metallurgical corp of china,metallurgical corp of china,metallurgical corp of china
northern trust,northern trust,northern trust
heidelbergcement,heidelbergcement,heidelbergcement
china steel,china steel,china steel
eversource energy,eversource energy,eversource energy
sany heavy industry,sany heavy industry,sany heavy industry
hermès international,hermã¨s international,hermès international
international paper,international paper,international paper
koç holding,koã§ holding,koç holding
nidec,nidec,nidec
meituan,meituan,meituan 
kotak mahindra bank,kotak mahindra bank,kotak mahindra bank
teck resources,teck resources,teck resources
southwest airlines,southwest airlines,southwest airlines
deutsche boerse,deutsche boerse,deutsche boerse
labcorp,labcorp,labcorp
china tower corp.,china tower corp.,china tower corp.
inpex,inpex,inpex
coca-cola european partners,coca-cola european partners,coca-cola european partners
wuliangye yibin,wuliangye yibin,wuliangye yibin
shimao property holdings,shimao property holdings,shimao property holdings
idemitsu kosan,idemitsu kosan,idemitsu kosan
formosa petrochemical,formosa petrochemical,formosa petrochemical
crown castle international,crown castle international,crown castle international
firstenergy,firstenergy,firstenergy
rongsheng petrochemical,rongsheng petrochemical,rongsheng petrochemical
hindalco industries,hindalco industries,hindalco industries
bank of hangzhou,bank of hangzhou,bank of hangzhou
renault,renault,renault
international holding company,international holding company,international holding company
cincinnati financial,cincinnati financial,cincinnati financial
mitsubishi estate,mitsubishi estate,mitsubishi estate
cleveland-cliffs,cleveland-cliffs,cleveland-cliffs
grupo acs,grupo acs,grupo acs
cgn power,cgn power,cgn power
ase technology holding,ase technology holding,ase technology holding
jfe holdings,jfe holdings,jfe holdings
dte energy,dte energy,dte energy
china hongqiao group,china hongqiao group,china hongqiao group
nxp semiconductors,nxp semiconductors,nxp semiconductors
western digital,western digital,western digital
booking holdings,booking holdings,booking holdings
aeon,aeon,aeon
first republic bank,first republic bank,first republic bank
lufax holding,lufax holding,lufax holding
atlas copco,atlas copco,atlas copco
fidelity national information (fis),fidelity national information (fis),fidelity national information (fis)
mitsubishi chemical,mitsubishi chemical,mitsubishi chemical
edp-energias de portugal,edp-energias de portugal,edp-energias de portugal
kyocera,kyocera,kyocera
xiamen c&d,xiamen c&d,xiamen c&d
autozone,autozone,autozone
china taiping insurance,china taiping insurance,china taiping insurance
cenovus energy,cenovus energy,cenovus energy
neste,neste,neste
porsche automobil holding,porsche automobil holding,porsche automobil holding
h&m - hennes & mauritz,h&m - hennes & mauritz,h&m - hennes & mauritz
relx,relx,relx
pg&e,pg&e,pg&e
republic services,republic services,republic services
ross stores,ross stores,ross stores
wec energy group,wec energy group,wec energy group
cardinal health,cardinal health,cardinal health
carmax,carmax,carmax
china development financial,china development financial,china development financial
riyad bank,riyad bank,riyad bank
thomson reuters,thomson reuters,thomson reuters
transneft,transneft,transneft
ferguson,ferguson,ferguson
iqvia,iqvia,iqvia
hong kong exchanges,hong kong exchanges,hong kong exchanges
ppg,ppg,ppg 
legend holding,legend holding,legend holding
ecolab,ecolab,ecolab
sinopharm group,sinopharm group,sinopharm group
luxshare precision industry,luxshare precision industry,luxshare precision industry
seazen group,seazen group,seazen group
global payments,global payments,global payments
china energy engineering,china energy engineering,china energy engineering
safran,safran,safran
s&p global,s&p global,s&p global
huntington bank,huntington bank,huntington bank
arch capital group,arch capital group,arch capital group
jackson financial,jackson financial,jackson financial
bank leumi,bank leumi,bank leumi
trane technologies,trane technologies,trane technologies
veolia environnement,veolia environnement,veolia environnement
o'reilly automotive,o'reilly automotive,o'reilly automotive
biogen,biogen,biogen
publicis groupe,publicis groupe,publicis groupe
hanwha,hanwha,hanwha
the mosaic company,the mosaic company,the mosaic company
bharti airtel,bharti airtel,bharti airtel
daqin railway,daqin railway,daqin railway
uber,uber,uber
stmicroelectronics,stmicroelectronics,stmicroelectronics
gemdale,gemdale,gemdale
ageas,ageas,ageas
quanta computer,quanta computer,quanta computer
george weston,george weston,george weston
weyerhaeuser,weyerhaeuser,weyerhaeuser
korea electric power,korea electric power,korea electric power
fox,fox,fox
mitsubishi heavy industries,mitsubishi heavy industries,mitsubishi heavy industries
steel dynamics,steel dynamics,steel dynamics
keyence,keyence,keyence
longi green energy technology,longi green energy technology,longi green energy technology
reckitt benckiser group,reckitt benckiser group,reckitt benckiser group
coal india,coal india,coal india
aisin seiki,aisin seiki,aisin seiki
digital realty trust,digital realty trust,digital realty trust
tata motors,tata motors,tata motors
resona holdings,resona holdings,resona holdings
simon property group,simon property group,simon property group
industrial bank of korea,industrial bank of korea,industrial bank of korea
clp holdings,clp holdings,clp holdings
national bank of kuwait,national bank of kuwait,national bank of kuwait 
singtel,singtel,singtel
coinbase,coinbase,coinbase
centerpoint energy,centerpoint energy,centerpoint energy
saudi arabian mining,saudi arabian mining,saudi arabian mining
china cinda asset management,china cinda asset management,china cinda asset management
asahi kasei,asahi kasei,asahi kasei
nec,nec,nec
united airlines holdings,united airlines holdings,united airlines holdings
mgm resorts,mgm resorts,mgm resorts
dsm,dsm,dsm
telkom indonesia,telkom indonesia,telkom indonesia
pkn orlen,pkn orlen,pkn orlen
guotai junan securities,guotai junan securities,guotai junan securities
norsk hydro,norsk hydro,norsk hydro
formosa plastics,formosa plastics,formosa plastics
nrg energy,nrg energy,nrg energy
public bank,public bank,public bank
tcl,tcl,tcl 
huatai securities,huatai securities,huatai securities
kellogg,kellogg,kellogg
inner mongolia yili,inner mongolia yili,inner mongolia yili 
wpp,wpp,wpp
omnicom group,omnicom group,omnicom group
sekisui house,sekisui house,sekisui house
