09-wissel-company_status,10-DeBiGa-company_status
,active
,dissolved
,active
,active
,active
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,dissolved
,dissolved
,active
,dissolved
,active
,dissolved
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,active
,dissolved
,active
,active
,active
,active
,active
,active
,active
,active
