02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
consumer goods,industrials,restaurants,food products,marine transportation,wasabröd,atlantska plovidba,jollibee foods corporation
consumer services,consumer goods,financial services,restaurants & bars,distillers & vintners,wayne's coffee,badel 1862,jpmorgan chase
consumer goods,health care,electronics,clothing & accessories,pharmaceuticals,wesc,biognost,jvckenwood
consumer services,industrials,consumer electronics,broadcasting & entertainment,marine transportation,wg film,blue line international,jxd
technology,telecommunications,financial services,software,mobile telecommunications,wm-data,bonbon,kbc group
consumer services,industrials,heavy equipment automotive defense,broadcasting & entertainment,commercial vehicles & trucks,x5 music group,brodosplit,kawasaki heavy industries
technology,consumer goods,sports equipment textile,software,food products,3scale,čakovečki mlinovi,kappa (brand)
conglomerates,consumer goods,food processing,-,brewers,abengoa,carlsberg croatia,kellogg's
conglomerates,consumer goods,food,-,soft drinks,abertis,cedevita,kikkoman
industrials,consumer services,beverage,heavy construction,airlines,acciona,croatia airlines,kirin company
basic materials,consumer services,personal care,iron & steel,broadcasting & entertainment,acerinox,croatia film,kimberly-clark
industrials,financials,storage devices,heavy construction,full line insurance,acs group,croatia osiguranje,kingston technology
consumer services,consumer services,storage devices,specialty retailers,broadcasting & entertainment,afinsa,croatia records,klim type foundry
technology,financials,storage devices,software,banks,akamon entertainment,croatian national bank,knorr (brand)
health care,consumer services,"heavy equipment (construction, mining and forestry), defense technology",pharmaceuticals,broadcasting & entertainment,almirall,croatian radiotelevision,komatsu limited
technology,industrials,video games entertainment,software,railroads,amadeus it group,croatian railways,konami
industrials,technology,electronics,shipbuilding,software,astilleros y talleres del noroeste,croteam,korg
consumer services,industrials,"music, entertainment, karaoke",broadcasting & entertainment,commercial vehicles & trucks,atresmedia,crotram,keumyoung group
consumer goods,industrials,professional services,durable household products,electrical components & equipment,balay,dalekovod,kpmg
financials,consumer services,food,banks,broadcasting & entertainment,banco bilbao vizcaya argentaria,dallas records,kraft heinz
financials,industrials,dairy products,banks,electronic equipment,banco popular español,digitron,lactalis
financials,industrials,semiconductors,banks,diversified industrials,banco sabadell,dok-ing,lam research
financials,industrials,"publishing, travel retail, live entertainment, media",banks,diversified industrials,banco santander,ðuro ðaković,lagardère group
financials,telecommunications,conglomerate,banks,mobile telecommunications,banesto,ericsson nikola tesla,larsen & toubro
financials,consumer services,aviation,banks,airlines,bankinter,european coastal airlines,latam airlines group
consumer goods,consumer goods,e-commerce,textiles,food products,bassols 1790,fortenova group,lazada
financials,consumer goods,textile,banks,soft drinks,bolsas y mercados españoles,franck,levi strauss & co.
consumer services,technology,manufacturing,broadcasting & entertainment,software,brb internacional,geofoto,lear corporation
consumer services,consumer services,confectionery,travel & tourism,publishing,budgetplaces,hanza media,lindt
consumer goods,consumer services,computer hardware electronics,food & beverage,broadcasting & entertainment,calidad pascual,hit records,lenovo
industrials,industrials,conglomerate,aerospace,business support services,catuav,hönigsberg & deutsch,leeco
consumer goods,utilities,aerospace industry defence industry space industry,food products,conventional electricity,chupa chups,hrvatska elektroprivreda,leonardo s.p.a.
consumer goods,industrials,"manufacturing, engineering",auto parts,delivery services,cie automotive,hrvatska pošta,leoni ag
industrials,financials,"manufacturing, engineering",heavy construction,banks,cintra,hrvatska poštanska banka,lexmark
oil & gas,industrials,consumer electronics home appliances computer hardwares,exploration & production,transportation services,cepsa,hrvatske autoceste,lg electronics
utilities,telecommunications,chemical industry,oil & gas distribution,fixed line telecommunications,compañía logística de hidrocarburos,hrvatski telekom,linde plc
industrials,industrials,chemical industry,aerospace,defense,construcciones aeronáuticas sa,hs produkt,linpus linux
industrials,technology,language localization software testing e-learning,commercial vehicles & trucks,software,construcciones y auxiliar de ferrocarriles,in2,lionbridge
industrials,oil & gas,conglomerate,heavy construction,exploration & production,copisa,ina,liugong
industrials,technology,advanced technologies information security aerospace defense,delivery services,software,correos,infobip,lockheed martin
consumer services,industrials,consumer goods,apparel retailers,heavy construction,cortefiel,ingra,l'oréal
consumer goods,industrials,conglomerate,automobiles,heavy construction,cupra,institut igh,lotte corporation
health care,technology,coffee shop,biotechnology,internet,curaxys,iskon internet,louisa coffee
consumer goods,consumer services,coffee shop,food products,broadcasting & entertainment,deoleo,jadran film,lufthansa
consumer services,oil & gas,oil and gas,food retailers & wholesalers,pipelines,dia,jadranski naftovod,lukoil
consumer goods,industrials,pharmaceuticals,food products,marine transportation,ebro foods,jadrolinija,lupin limited
consumer goods,consumer goods,automotive,automobiles,soft drinks,ebro trucks,jamnica,luxgen
consumer services,consumer services,"eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing",food retailers & wholesalers,broadcasting & entertainment,el corte inglés,jugoton,luxottica
utilities,consumer goods,chemicals,oil & gas distribution,brewers,enagás,karlovačka pivovara,lyondellbasell
utilities,consumer goods,sport cars,conventional electricity,food products,endesa,kandit,mg cars
consumer services,consumer goods,retail,food retailers & wholesalers,food products,eroski,koestlin,macy's
telecommunications,industrials,conglomerate,fixed line telecommunications,electronic equipment,euskaltel,končar group,mahindra group
consumer goods,industrials,food veterinary services,durable household products,heavy construction,fagor,konstruktor-split,"mars, incorporated"
industrials,consumer services,musical instruments,heavy construction,food retailers & wholesalers,ferrovial,konzum,maton
consumer goods,industrials,amplification musical instrument manufacturing,clothing & accessories,commercial vehicles & trucks,festina,kraljevica shipyard,marshall amplification
conglomerates,consumer goods,amplification musical instrument manufacturing,-,food products,fierro group,kraš,mark simonson
industrials,consumer goods,alcoholic beverages,heavy construction,food products,fomento de construcciones y contratas,ledo,martini & rossi
oil & gas,industrials,freight transport,renewable energy equipment,transportation services,gamesa,luka ploče,maersk
utilities,consumer services,food processing,oil & gas distribution,publishing,naturgy,matica hrvatska,mama sita's holding company
conglomerates,consumer services,"food processing, snack, dairy products",-,broadcasting & entertainment,gmv innovating solutions,menart records,mamee double-decker
technology,consumer services,toys and entertainment,telecommunications equipment,broadline retailers,grundig mobile,narodni trgovački lanac,mattel
utilities,technology,toys and entertainment,water,internet,grupo agbar,odašiljači i veze,maxxis
consumer goods,basic materials,frozen food,auto parts,commodity chemicals,grupo antolin,petrokemija,mccain foods
consumer goods,consumer goods,"restaurants, real estate[1][2]",food products,brewers,grupo calvo,pivovara ličanka,mcdonald's
utilities,utilities,semiconductors gpus graphics cards consumer electronics computer hardware,oil & gas distribution,gas distribution,grupo gea perona,plinacro,mediatek
consumer goods,health care,food pharmaceutical healthcare,furnishings,pharmaceuticals,grupo lo monaco,pliva,meiji holdings
industrials,industrials,consumer electronics,building materials & fixtures,transportation services,grupo puma,plovput,meitu
consumer goods,consumer goods,consumer electronics,brewers,food products,hijos de rivera,podravka,meizu
consumer services,financials,beverages diversified financial services it/bpo manufacturing health telecommunications plantation power hospitality logistics media,food retailers & wholesalers,banks,hipercor,primorska banka,melstacorp
utilities,financials,automotive,conventional electricity,banks,iberdrola,privredna banka zagreb,mercedes-benz
consumer services,consumer goods,social media social network advertising consumer electronics virtual reality,airlines,automobiles,iberia,rimac automobili,meta platforms
