02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
industrials,industrials,iron and steel,business support services,delivery services,semcon,bulgarian posts,gerdau
consumer services,industrials,bicycle manufacturing,broadcasting & entertainment,railroads,sf studios,bulgarian state railways,giant bicycles
consumer services,consumer goods,telecommunications remittance mass media,specialty retailers,tobacco,siba,bulgartabac,globe telecom
consumer goods,industrials,video games,recreational products,delivery services,silva compass,cargoair,gungho online entertainment
technology,financials,video games,software,banks,simogo,central cooperative bank,guinness
consumer services,conglomerates,fashion,travel & tourism,-,sj ab,chimimport,guess (clothing)
financials,consumer services,pharmaceutical biotechnology,investment services,specialty retailers,skandia,corecom,gsk plc
financials,basic materials,automotive,banks,nonferrous metals,skandinaviska banken,cumerio med,geely
industrials,consumer services,manufacturing,heavy construction,broadcasting & entertainment,skanska,diema,goodyear tire and rubber company
utilities,financials,artificial intelligence advertising cloud computing computer software computer hardware internet,conventional electricity,banks,skellefteå kraft,dsk bank,google
industrials,financials,"internet, it consulting, smes",industrial suppliers,full line insurance,skf,dzi,godaddy
technology,consumer services,technology videography consumer electronics,software,publishing,skygoblin,economedia,gopro
technology,consumer services,technology videography consumer electronics,software,publishing,smart eye,egmont bulgaria,harley-davidson
basic materials,consumer services,luxury goods,paper,publishing,södra,era,hermès
industrial,consumer services,home appliances consumer electronics,industrial engineering,gambling,specma,eurofootball,haier
consumer goods,consumer services,retail,brewers,food retailers & wholesalers,spendrups,fantastico,harrods
technology,financials,confectionery,internet,banks,spotify,first investment bank,haribo
consumer services,financials,"casual dining restaurants, casinos, hotels",broadcasting & entertainment,banks,sr international – radio sweden,girdap,hard rock cafe
basic materials,technology,fossil fuel,iron & steel,software,ssab,haemimont games,halliburton
technology,consumer services,auto and truck parts,software,airlines,starbreeze studios,heli air services,hankook tire
consumer services,consumer services,food,travel & tourism,hotels,stena line,hotel rodina,house foods
conglomerates,financials,food,-,banks,stena sphere,hvb bank biochim,hartwall
consumer goods,consumer goods,retail,durable household products,brewers,stiga,kamenitza,h&m
financials,consumer goods,toys and entertainment,investment services,brewers,stockholm stock exchange,karlsberg bulgaria ad,hasbro
financials,consumer services,media,banks,broadcasting & entertainment,stockholms enskilda bank,kino nova,hearst communications
utilities,industrials,fmcg,conventional electricity,defense,studsvik,kintex,henkel
consumer services,basic materials,information technology,broadcasting & entertainment,iron & steel,sveriges television,kremikovtzi ad,hewlett packard enterprise
industrials,consumer services,manufacturing,business support services,broadcasting & entertainment,sweco,"m3 communications group, inc",hilti
financials,consumer goods,pharmaceuticals,banks,recreational products,swedbank,maxeurope,hisamitsu pharmaceutical
consumer goods,telecommunications,conglomerate,tobacco,mobile telecommunications,swedish match,mtel (mobiltel),hitachi
livestock,conglomerates,manufacturing,meat,-,swedish meats,multigroup,honda
health care,industrials,conglomerate,health care providers,marine transportation,swedish orphan biovitrum,navibulgar,honeywell
industrials,oil & gas,computer hardware,aerospace,exploration & production,swedish space corporation,lukoil neftochim burgas,hp inc.
industrials,utilities,financial services,industrial machinery,conventional electricity,swegon,nek ead,hsbc
telecommunications,telecommunications,telecommunications equipment,mobile telecommunications,fixed line telecommunications,symsoft,neterra,htc
technology,technology,entertainment,software,software,syncron international ab,nimero,huayi brothers
technology,technology,consumer electronics telecom equipment networking equipment semiconductors artificial intelligence automation cloud computing internet of things,software,software,tarsier studios,ontotext,huawei
telecommunications,oil & gas,banking,fixed line telecommunications,pipelines,tele2,overgas,huntington bancshares
technology,oil & gas,"defense, shipbuilding, defense technologies",software,pipelines,telelogic,petrol ad,huntington ingalls industries
telecommunications,consumer goods,chemicals,mobile telecommunications,brewers,telia company,pirinsko pivo,huntsman corporation
consumer services,basic materials,telecommunications,broadcasting & entertainment,specialty chemicals,teracom,prista oil,hytera
telecommunications,consumer services,consumer electronics,mobile telecommunications,publishing,terranet ab,prosveta publishing house,hmd global
industrials,financials,automotive,containers & packaging,banks,tetra pak,raiffeisen bulgaria,hyundai motor company
consumer goods,consumer goods,information technology,automobiles,food products,thule group,sucreries raffineries bulgares,ibm
technology,consumer services,financial services,internet,consumer electronics,tradedoubler,technomarket,nex group
telecommunications,telecommunications,financial services,fixed line telecommunications,mobile telecommunications,transmode,telenor bulgaria,icici bank
industrials,industrials,construction property infrastructure plantations industry,business support services,defense,trelleborg,terem,ijm corporation
technology,financials,construction property infrastructure plantations industry,software,banks,truecaller,texim bank,indeed
financials,financials,conglomerate,banks,banks,trustly,unicredit bulbank,intracom holdings
consumer services,financials,retail,broadcasting & entertainment,banks,tv4 group,unionbank,ikea
basic materials,financials,manufacturing,iron & steel,banks,uddeholms ab,united bulgarian bank,illinois tool works
utilities,industrials,information technology consulting outsourcing,conventional electricity,shipbuilding,umeå energi,varna shipyard,infosys
consumer goods,consumer goods,financial services,recreational products,food products,urbanears,vitta foods,ing group
consumer goods,telecommunications,diversified machinery,soft drinks,fixed line telecommunications,v&s group,vivacom,ingersoll rand
industrials,industrials,semiconductors computer hardware autonomous cars automation artificial intelligence,diversified industrials,commercial vehicles & trucks,vabis,vrz karlovo,intel
utilities,industrials,financial services,conventional electricity,commercial vehicles & trucks,vattenfall,3. maj,intesa sanpaolo
basic materials,industrials,manufacturing,forestry,business support services,vida ab,3lhd,isuzu
industrials,telecommunications,confections,commercial vehicles & trucks,mobile telecommunications,volvo,a1 hrvatska,jelly belly
industrials,oil & gas,confections,commercial vehicles & trucks,exploration & production,volvo buses,lng hrvatska,jim beam
financials,consumer services,food beverage,investment services,travel & tourism,volvo financial services,adriatic croatia international club,the j.m. smucker company
consumer goods,consumer goods,conglomerate,auto parts,tobacco,volvo penta,adris grupa,jardine matheson
industrials,consumer goods,various,commercial vehicles & trucks,food products,volvo trucks,agrokor,jg summit holdings
consumer goods,consumer services,various,durable household products,broadcasting & entertainment,vsm group,aquarius records,johnnie walker
industrials,consumer goods,pharmaceutical medical technology consumer healthcare,marine transportation,food products,wallenius lines,atlantic grupa,johnson & johnson
