foundation_year,headquarter,industry,name,ownership
1962,"jamshedpur, jharkhand, india",auto components,trf,public
2000,"noida, india",pharma,jubilant biosys,private
1976,"london, united kingdom",financial services,travelex,private
1958,"mumbai, maharashtra, india",fmcg,hindustan pencils,private
1984,"pune, maharashtra, india",auto components,jayashree polymers,private
1999,"noida, uttar pradesh, india",industrial machinery,general energy management systems,private
1969,"mumbai, maharashtra, india",metals & mining,chandan steel,public
1991,"bangkok, thailand",oil & gas,cr asia,
2016,"chennai, tamil nadu, india",healthcare,global healthcare billing partners,private
0,france,hospitality,ibis,private
1986,"delhi/ncr, delhi, india",healthcare,rg stone urology & laparoscopy hospital,private
2007,"new delhi, india",education & training,national institute of technology,public
1988,"miami beach, florida, united states (usa)",it services & consulting,apex covantage,private
1993,"mumbai, maharashtra, india",financial services,weizmann forex,public
1995,"hyderabad/secunderabad, telangana, india",broadcasting,etv network,private
1928,"gothenburg, sweden",automobile,volvo trucks,private
1997,"bangalore/bengaluru, karnataka, india",beauty & personal care,health & glow,private
2001,"kota, rajasthan, india",edtech,resonance eduventures,public
1974,"chennai, tamil nadu, india",financial services,shriram fortune solutions,private
1990,"delhi/ncr, new delhi, india",healthcare,brawn laboratories,private
2004,"ahmedabad, gujrat, india",clinical research,cliantha research,public
2009,"mumbai, india",banking,icici merchant service,private
1995,"dundalk, county louth, ireland",other,cimpress,private
1991,"mumbai, maharashtra, india",consumer electronics & appliances,control print,public
2009,"noida, uttar pradesh, india",it services & consulting,rnf technologies,private
2016,"pune, maharashtra, india",auto components,volkswagen it services india,private
2003,"bangalore/bengaluru, karnataka, india",education & training,qspiders,private
1978,"hyderabad/secunderabad, telangana, india",fintech,karvy fintech,
1977,"mumbai, maharashtra, india",retail,gangar eyenation,private
2001,"bengaluru, karnataka, india",,nandi toyota,
1994,"new york city, new york, united states (usa)",it services & consulting,cognizant softvision,llc
1971,"seattle, washington, us",hospitality,starbucks,public
1969,"new york, united states (usa)",recruitment,abc consultants,private
1991,"noida, india",it services & consulting,hcl infotech,private
1996,"tel aviv,tel aviv, israel",telecom,ceragon networks,private
1998,"new york, new york, united states (usa)",analytics & kpo,s&p capital iq,private
1979,"surat, gujarat, india",fashion & textile,garden silk mills,public
2007,"hyderabad/secunderabad, telangana, india",it services & consulting,jnet technologies,private
1985,"ludhiana, punjab, india",automobile,bajajsons,public
2012,"hyderabad/secunderabad, telangana, india",healthcare,apollo medskills,jv
1999,"hyderabad/secunderabad, telangana, india",telecom,pyro group,private
1933,"delhi/ncr, new delhi, india",agro chemicals,dhampur sugar mills,public
1980,"muscat, oman",oil & gas,special technical services,private
1909,"bangalore/bengaluru, karnataka, india",education & training,indian institute of science,
1987,"new delhi, india",beverage,moon beverages,public
1988,"pune, maharashtra, india",auto components,star engineers india,private
1999,"aurangabad, maharashtra, india",bpo,expert global solutions,
2002,"mumbai, maharashtra, india",healthcare,asian heart institute and research centre,private
2007,"noida, uttar pradesh, india",oil & gas,sanmarg projects,private
2013,"kolkata, india",analytics & kpo,royal research,private
2000,"rapperswil-jona, switzerland",it services & consulting,pit solutions,private
1986,"delhi/ncr, delhi, india",pharma,wings biotech,public
1997,"toronto, ontario, canada",hospitality,four seasons hotel,public
2003,"chennai, tamil nadu, india",industrial machinery,elite elevators,private
1996,"new delhi, india",real estate,pacific india,private
2014,"singapore, singapore",it services & consulting,cloud4c,private
1920,"gurgaon/gurugram, haryana, india",chemicals,sakata inx,private
1997,"kolkata, india",it services & consulting,mol information processing services india,private
1963,"anjar, india",engineering & construction,mkc infrastructure,public
1758,"munich, munich, germany",automobile,man truck & bus,private
1974,"hyderabad, india",fmcg,ushodaya enterprises,private
2016,"dayton, oh, united states (usa)",it services & consulting,stellar innovations,private
2016,"gurgaon,haryana, india",internet,gomechanic,private
2018,"new jersey, us",it services & consulting,shorthills tech,private
2019,"gurgaon,haryana, india",education & training,sunstone,private
2002,"kolkata, west bengal, india",retail,kolkata bazaar,private
2004,"mumbai, maharashtra, india",jewellery,orra fine jewellery,private
2015,"new york city, new york, usa",it services & consulting,arcesium,llc
1919,"paris, france",food processing,danone foods beverages,private
1977,"faridabad, haryana, india",industrial machinery,kk spun pipes,private
1942,"mumbai, maharashtra, india",oil & gas,raj petro specialities,private
2002,"albuquerque, new mexico, us",it services & consulting,speridian technologies,private
2004,"gurgaon/gurugram, haryana, india",real estate,ireo,private
2011,"vadodara, india",chemicals,deepak phenolics,
1985,"hyderabad/secunderabad, telangana, india",building material,sagar cements,public
1997,"delhi/ncr, delhi, india",fmcg,organic india,private
2002,"gurgaon/gurugram, haryana, india",auto components,eastman auto & power,public
2016,"mumbai, maharashtra, india",education & training,zee learn,public
1986,"delhi/ncr, delhi, india",auto components,sun vacuum formers,private
1984,"chandigarh, chandigarh, india",nbfc,paul merchants,public
2003,"vadodara/baroda, gujarat, india",chemicals,gulbrandsen,private
1969,"chennai, tamil nadu, india",agro chemicals,southern petrochemical industries corporation,public
2000,"gurgaon/gurugram, haryana, india",telecom,spectranet,private
1985,"pune, india",automobile,sai service,private
2017,"hosur, india",auto components,psa avtec powertrain,
2015,"dallas, tx, united states of america",it services & consulting,qentelli,private
0,"burlington, united states",healthcare,labcorp,
2007,"gurgaon,haryana, india",automobile,hero electric,private
1859,"farmers branch,texas, united states",logistics,brink's,private
2006,"pune,",telecom,vodafone intelligent services,
1898,"kansas city, missouri, united states (usa)",engineering & construction,burns & mcdonnell,private
1988,"amsterdam, netherland",it services & consulting,tmf group,private
2011,"gurgaon, haryana, india",recruitment,hays business solutions,public
1989,"delhi,nct, india",internet,mymoneymantra,private
1963,"dubai, dubai, united arab emirates (uae)",banking,emirates nbd,public
1989,"mumbai, india",it services & consulting,softcell technologies,private
2015,"new york, united states",recruitment,entigrity solutions,
2014,"mumbai, maharashtra, india",pharma,alivira animal health,public
1939,"seoul, southkorea",petrochemicals,daelim industrial co.,private
1984,"bangalore/bengaluru, karnataka, india",manufacturing,dixcy textiles,private
2000,"mumbai, maharashtra, india",electronics manufacturing,gm modular,private
1994,"rajkot, gujarat, india",food processing,gopal snacks,
1999,"pune, maharashtra, india",logistics,ugc supply chain solutions,private
1999,"chengalpattu, tamil nadu, india",auto components,comstar automotive technologies,private
2003,"somerset, new jersey, united states of america",it services & consulting,galax e solutions,private
1874,"milwaukee, unitedstates",consumer electronics & appliances,a.o. smith,private
1979,"meerut, india",agro chemicals,dayal fertilizers,partnership
2002,"delhi/ncr, delhi, india",agro chemicals,insecticides india,public
2006,"mumbai, maharashtra, india",petrochemicals,ssf plastics,private
2001,"kolkata, west bengal, india",non-profit,bandhan konnagar,
2004,"mumbai,maharashtra, india",food processing,theobroma foods,private
2018,"irvine, california, united states of america",bpo,alorica,private
2011,"mumbai,maharashtra, india",financial services,oneassist consumer solutions,private
2000,"bellevue, washington, united states",management consulting,course5,
1994,"mumbai, maharashtra, india",financial services,bob financial solutions,public
0,,building material,finolex ind,
0,,recruitment,ikya human capital,
0,,engineering & construction,bic contracting,
1977,,it services & consulting,ultimate kronos group,private
1901,"st. louis, unitedstates",agriculture,monsanto,public
2015,"delhi,nct, india",logistics,shyplite,private
1996,"new udupi, karnataka, india",it services & consulting,robosoft technologies,private
1998,"hyderabad/secunderabad, telangana, india",pharma,med manor organics,private
2003,"mumbai, maharashtra, india",recruitment,lobo staffing solutions,private
1959,"kolkata, west bengal, india",medical equipment,gkb rx lens,private
1997,"st louis, missouri, united states (usa)",it services & consulting,perficient,private
1934,"nuremberg,bavaria, germany",analytics & kpo,gfk mode,private
1991,"amsterdam,north holland, netherlands",it services & consulting,tomtom,public
1982,"abu dhabi, united arab emirates (uae)",oil & gas,applus velosi,private
1999,"chennai, india",it services & consulting,ibm info services,private
1964,"mumbai, maharashtra, india",biotechnology,acg pam pharma technologies,private
1967,"gurgaon/gurugram, haryana, india",food processing,barmalt malting,private
1972,"ahmedabad, gujrat, india",fashion & textile,chiripal industries,public
2005,"chennai, tamil nadu, india",it services & consulting,galore networks,private
1991,"mumbai, maharashtra, india",real estate,balaji enterprises,private
1974,"atlanta,georgia, united states of america",it services & consulting,nextgen healthcare,private
1959,"gurgaon/gurugram, haryana, india",auto components,jay ushin,public
1930,"chennai, india",auto components,lucas indian service,private
2005,"delhi/ncr, delhi, india",law enforcement & security,orion security solutions,private
2009,"bengaluru, india",government,nabard financial services,public
1976,"abu dhabi, uae",hospitality,abu dhabi national hotels,private
2008,"mumbai, maharashtra, india",nbfc,hinduja finance,private
2001,"bengaluru, india",education & training,institute of language management,
1971,"delhi/ncr, delhi, india",oil & gas,technofab engineering,public
2015,"jaipur,rajasthan, india",nbfc,finova capital,private
2000,"bangalore,karnataka, india",hardware & networking,paladion networks,private
0,,analytics & kpo,eaton india innovation center,
2016,"boulder, colorado, united states of america",engineering & construction,congruex asia pacific,llc
2003,"gurgaon,haryana, india",,maxicus,
2002,"bangalore/bengaluru, karnataka, india",furniture & furnishing,royaloak incorporation,private
1850,"ann arbor, detroit, usa",law enforcement & security,pinkerton,private
1939,"new delhi, india",building material,dalmia bharat group,private
1984,"mumbai, maharashtra, india",electronics manufacturing,stelmec,public
1999,"sriperumbudur, tamil nadu, india",auto components,pha india,private
2008,"coventry, england",automobile,jaguar land rover,private
1963,"mumbai, india",chemicals,inox air products,private
1999,"folsom, california, united states (usa)",it services & consulting,agreeya solutions,private
1986,"gurugram, india",it services & consulting,binary semantics,private
2008,"gurgaon/gurugram, haryana, india",engineering & construction,gawar construction,
1999,"irvine, california, united states of america",it services & consulting,preludesys,private
1991,"new delhi, india",pharma,ozone pharmaceuticals,private
1978,"mumbai, maharashtra, india",electrical equipment,vashi electricals,private
2008,"coventry, england",automobile,jaguar land rover,private
2008,"gurgaon/gurugram, haryana, india",engineering & construction,gawar construction,
1989,"jakarta, indonesia",investment banking / venture capital / private equity,mnc group,
2001,"the hague, netherlands",ports & shipping,apm terminals,private
2009,"mumbai, maharashtra, india",hospitality,the fern residency,private
2000,"mumbai, india",fashion & textile,welspun global brands,public
1963,"mumbai, india",chemicals,inox air products,private
1999,"irvine, california, united states of america",it services & consulting,preludesys,private
2009,"hyderabad/secunderabad, telangana, india",power,mytrah energy,private
2015,"bawal, india",auto components,minda kosei aluminum wheel,private
1987,"hyderabad/secunderabad, telangana, india",healthcare,l. v. prasad eye institute,private
2017,"saint quentin en yvelines, france",it services & consulting,expleo group,
2001,"pune, india",insurance,bajaj allianze general insurance,jv
0,,,pwc acceleration centers,
2013,"dublin, ireland",healthcare,allergan,private
2000,"gurgaon/gurugram, haryana, india",industrial machinery,konica minolta,private
2011,"bangalore/bengaluru, karnataka, india",bpo,grassroots bpo,private
1978,"vitthal udyognagar, india",industrial machinery,idmc,private
1999,"bhubaneswar, odisha, india",it services & consulting,mindfire solutions,private
2005,"chennai, tamil nadu, india",oil & gas,enmas o & m services,private
1970,"faridabad, haryana, india",auto components,escorts construction equipment,public
2000,"mumbai,maharashtra, india",content development,hurix systems,private
2013,"tucson, arizona, united states (usa)",bpo,assimilate solutions,private
1992,"mumbai, maharashtra, india",beauty & personal care,anchor health and beauty care,private
1979,"ludhiana, punjab, india",iron & steel,aarti steels,public
2001,"pune, maharashtra, india",industrial machinery,sopan,private
2006,"bangalore/bengaluru, karnataka, india",telecom,teleindia networks,private
1983,"delhi/ncr, new delhi, india",bpo,bls international services,public
1992,"mumbai, maharashtra, india",beauty & personal care,anchor health and beauty care,private
1987,"bangalore,karnataka, india",packaging,tcpl packaging,public
1989,"new delhi, india",edtech,vidya mandir classes,private
1982,"delhi/ncr, delhi, india",printing & publishing,ratna sagar,private
1994,"noida, uttar pradesh, india",it services & consulting,aditya infotech,private
2006,"bangalore/bengaluru, karnataka, india",telecom,teleindia networks,private
1979,"ludhiana, punjab, india",iron & steel,aarti steels,public
2013,"gurgaon/gurugram, haryana, india",education & training,sgt university,private
2000,"mumbai,maharashtra, india",content development,hurix systems,private
2007,"schaumburg, illinois, united states",it services & consulting,ameex technologies,private
2005,"chennai, tamil nadu, india",oil & gas,enmas o & m services,private
2007,"gurgaon, india",investment banking / venture capital / private equity,clix capital services,private
0,,electronics manufacturing,holitech india,
1975,"mumbai, maharashtra, india",hospitality,the pride hotel,private
2007,"bellevue,washington, united states",it services & consulting,expedia,private
2010,"mumbai,maharashtra, india",software product,peel-works,private
1931,"sioux falls, unitedstates",telecom,midco,private
1998,"new york, new york, united states (usa)",it services & consulting,ipsoft,private
1998,"hyderabad/secunderabad, telangana, india",it services & consulting,pramati technologies,private
2011,"bangalore/bengaluru, karnataka, india",it services & consulting,klaus it solutions,private
1961,"pune, maharashtra, india",industrial machinery,wirtgen india,private
1478,"oxford, oxfordshire, united kingdom (uk)",printing & publishing,oxford university press,private
2007,"noida, india",oil & gas,hmel,private
2001,"california, usa",bpo,office beacon,private
2002,"jericho, new york, united states (usa)",it services & consulting,porteck india infoservices,private
2000,"kolkata, india",management consulting,c-quel management services,
1983,"pune, maharashtra, india",auto components,autocomp corporation panse,private
2011,"gurgram, india",telecom,i p integrated services,private
1982,"dammam, united arab emirates (uae)",management consulting,sraco,private
2012,"noida, uttar pradesh, india",healthcare,nayati hospital,private
1976,"philadelphia, pennsylvania, united states (usa)",engineering & construction,hill international,public
1990,"noida, uttar pradesh, india",it services & consulting,eastern software systems,private
2002,"bengaluru, india",management consulting,ascent consulting services,private
2000,"mumbai, maharashtra, india",facility management services,property solutions,private
2001,"mumbai, maharashtra, india",retail,major brands,private
1981,"huizhou, china",consumer electronics & appliances,tcl,private
1992,"solapur, maharashtra, india",auto components,precision camshafts,public
1991,"pune, maharashtra, india",other,ultra engineers,private
1991,"chennai, tamil nadu, india",healthcare,dr mohan's diabetes specialities centre,proprietorship
2006,"pune, india",financial services,axis sales,
2007,"princeton, new jersey, united states (usa)",it services & consulting,freyr solutions,private
1984,"noida, uttar pradesh, india",engineering & construction,interarch building product,private
1971,"faridabad, haryana, india",power,new allenberry works,private
2010,"kundli, india",auto components,jsg group,private
1996,"bangalore/bengaluru, karnataka, india",electronics manufacturing,essae digitronics,private
1983,"ahmedabad, india",pharma,dishman pharmaceuticals and chemicals,public
2007,"salem, tamil nadu, india",nbfc,capital finserve,private
2016,"noida,uttar pradesh, india",financial services,wishfin,private
0,india,engineering & construction,l&t buildings & factories,
2018,"noida,uttar pradesh, india",fintech,rapipay,private
1995,"abu dhabi, abu dhabi, united arab emirates (uae)",fintech,uae exchange,public
1916,"munich, germany",automobile,bmw,private
1978,"mumbai, maharashtra, india",electrical equipment,marine electricals,private
2000,"pune, maharashtra, india",recruitment,paysquare consultancy,private
2013,"bangalore,karnataka, india",fmcg,global consumer products,private
1988,"dallas, united states",it services & consulting,affiliated computer services,private
1976,"bhubaneswar, odisha, india",industrial machinery,central tool room & training centre,public
2004,"kolkata, india",bpo,xplore-tech services,private
0,"paris, france",broadcasting,fashion tv,
2005,"bangalore, india",recruitment,zyoin,private
1976,"bhubaneswar, odisha, india",industrial machinery,central tool room & training centre,public
2003,"pune, india",healthcare,aditya birla memorial hospital,private
1999,"chennai, tamil nadu, india",bpo,lapiz digital services,private
1956,"mumbai, maharashtra, india",oil & gas,aegis logistics,public
0,"paris, france",broadcasting,fashion tv,
1990,"noida, india",law enforcement & security,jaguar security services,
1997,"noida, india",engineering & construction,kanwar enterprises,
2005,"gurgaon/gurugram, haryana, india",bpo,cns comnet,private
2013,"bangalore,karnataka, india",fmcg,global consumer products,private
2008,"pune, maharashtra, india",engineering & construction,zamil steel buildings india,private
1996,"bangalore/bengaluru, karnataka, india",it services & consulting,r-logic technology services,private
2002,"gurgaon/gurugram, haryana, india",facility management services,a2z infraservices,public
1999,"hyderabad, india",building material,bharathi cement,private
2014,"new delhi, india",government,deen dayal upadhyaya grameen kaushalya yojana,public
2005,"bangalore, india",recruitment,zyoin,private
1984,"doha, qatar",oil & gas,qatargas,
2008,"new jersey, united states",real estate,signature global,private
2010,"mumbai, maharashtra, india",chemicals,epsilon carbon,private
1991,"hyderabad/secunderabad, telangana, india",hospitality,green park hotels,private
2018,"bangalore,karnataka, india",edtech,verzeo,
1969,"kolkata, india",healthcare,ck birla hospitals,private
1906,"kowloon, hong kong",electrical equipment,li & fung,private
1959,"massy, france",retail,carrefour,private
1991,"chandigarh, chandigarh, india",engineering & construction,stylam industries,public
1980,"delhi/ncr, delhi, india",hospitality,jaypee hotels,public
1989,"delhi/ncr, delhi, india",industrial machinery,lloyd electric & engineering,public
2012,"mumbai,maharashtra, india",edtech,talentedge,private
2000,"gurugram, india",education & training,bharti foundation,partnership
2005,"delhi/ncr, delhi, india",bpo,om innovation call services,private
1960,"delhi/ncr, delhi, india",real estate,nbcc,private
1975,"mumbai, maharashtra, india",other,sterlite industries,public
1991,"ahmednagar, india",industrial machinery,cummins generator technologies,private
1961,"pune, india",industrial machinery,pmt machines,private
1989,"fort lauderdale, florida, united states (usa)",it services & consulting,citrix,private
2012,"gurgaon,haryana, india",hospitality,massive restaurants,private
1964,"mumbai, maharashtra, india",industrial machinery,geo chem laboratories,private
1981,"mumbai, maharashtra, india",fmcg,everest spices,private
1972,"ernakulam, kerala, india",food processing,synthite industries,private
1996,"chennai, tamil nadu, india",industrial machinery,polyhose,private
1992,"london, united kingdom",travel & tourism,teletext holidays,private
1993,"mumbai, maharashtra, india",building material,varmora granito,private
1979,"thane, maharashtra, india",chemicals,indo amines,public
2009,"indore, madhya pradesh, india",fmcg,yellow diamond,public
2019,"yongin-si, gyeonggi-do, south korea",consumer electronics & appliances,samsung display,private
0,,industrial machinery,honda india power products,
1962,"mumbai, maharashtra, india",building material,borosil glass works,public
1982,"delhi/ncr, delhi, india",pharma,systopic laboratories,private
2005,"kolkata, west bengal, india",financial services,bma wealth creators,private
1979,"mumbai, india",logistics / shipping,hyva,
1987,"bangalore, india",nbfc,can fin homes,public
2003,"san jose, united states",it services & consulting,jade global,private
2008,"mumbai, india",it services & consulting,mindgate solutions,private
1981,"chennai, tamil nadu, india",auto components,axles india,private
2010,"tokyo,tokyo-to, japan",healthcare,olympus,private
1863,"zurich, switzerland",insurance,swiss re,public
2012,"bellevue, washington, united states (usa)",it services & consulting,sirionlabs,private
2000,"new delhi, delhi, india",logistics,bhadra international,private
1998,"delhi/ncr, delhi, india",internet,teleone,private
1971,"lagos, nigeria",metals & mining,african industries,private
2009,"bhubaneswar,odisha, india",food processing,milk mantra dairy,private
2000,"new delhi, delhi, india",logistics,bhadra international,private
1962,"mumbai, maharashtra, india",building material,borosil glass works,public
1971,"lagos, nigeria",metals & mining,african industries,private
1998,"delhi/ncr, delhi, india",internet,teleone,private
1987,"bangalore, india",nbfc,can fin homes,public
2012,"bellevue, washington, united states (usa)",it services & consulting,sirionlabs,private
1982,"delhi/ncr, delhi, india",pharma,systopic laboratories,private
2001,"muscat, oman",engineering & construction,towell engineering group,
2009,"bhubaneswar,odisha, india",food processing,milk mantra dairy,private
2010,"tokyo,tokyo-to, japan",healthcare,olympus,private
1997,"trivandrum/thiruvananthapuram, kerala, india",software product,innoval digital solutions,private
2009,"ahmedabad,gujarat, india",beauty & personal care,vini cosmetics,private
1981,"delhi/ncr, delhi, india",fashion & textile,radnik exports,private
2008,"san jose,california, united states",software product,zscaler softech,private
1975,"paris,?éle-de-france, france",analytics & kpo,ipsos,private
2007,"leiden, netherlands",aviation,airbus,public
1996,"bangalore/bengaluru, karnataka, india",logistics,snowman logistics,public
1953,"velagapudi, india",government,government of andhra pradesh,public
1997,finland,medical equipment,trivitron healthcare,private
1995,"noida, india",bpo,intarvo technologies,private
1891,"mclean, united states",fmcg,wrigley,private
1999,"bangalore,karnataka, india",it services & consulting,ninestars information technologies,private
1998,"wayne,pennsylvania, united states",it services & consulting,unilog content solutions ( p),private
1999,"new york, us",recruitment,monster com india,private
2010,"noida, india",education & training,techavera solutions,
1991,"mumbai, india",nbfc,m & m financial services,public
2014,"gurgaon/gurugram, haryana, india",power,livguard energy technologies,private
1999,"hyderabad, india",healthcare,rainbow hospital,private
1953,"mumbai, india",facility management services,writer business services,private
1976,"ahmedabad, gujarat, india",food processing,rasna,private
1988,"faridabad, haryana, india",industrial machinery,shivani locks,private
1996,"new delhi, india",non-profit,childline india foundation,private
2013,"mumbai,maharashtra, india",pharma,koye pharmaceuticals,private
1965,"faridabad, haryana, india",industrial machinery,plasser india,private
1925,"mumbai, maharashtra, india",healthcare,sir hn reliance foundation hospital,private
2000,"ruwi, oman",engineering & construction,al hassan engineering company saog,private
2015,"panchkula, haryana, india",it services & consulting,75way technologies,private
2004,"chennai, tamil nadu, india",power,r.k.m powergen,private
2012,"mumbai, maharashtra, india",real estate,propertypistol realty,private
1946,"mumbai, india",pharma,novo medisciences,
1903,"milwaukee, wisconsin, united states (usa)",automobile,harley-davidson,private
1999,"faridabad, haryana, india",management consulting,franchise india holdings,public
1988,"bangalore/bengaluru, karnataka, india",engineering & construction,adarsh developers,private
1930,"lyngby, denmark",engineering & construction,cowi,private
2005,"pune, maharashtra, india",it services & consulting,automatic infotech,private
1986,"mumbai, maharashtra, india",financial services,sbi capital markets,public
1984,"balasore, odisha, india",metals & mining,balasore alloys,public
0,"patiala,",education & training,govt. medical college,private
1998,"kolkata, west bengal, india",railways,titagarh wagons,public
1990,"delhi/ncr, new delhi, india",building material,balaji action buildwell,private
2004,"cergy,val doise, france",oil & gas,spie oil & gas services,private
2006,"bangalore, india",power,enzen global solutions,private
2008,"ahmedabad, gujrat, india",other,abellon clean energy,public
2012,"pune, maharashtra, india",real estate,xrbia developers,private
1958,"bangalore/bengaluru, karnataka, india",food processing,indo nissin foods,private
2005,"mumbai,maharashtra, india",logistics,kd logistics,
1944,"kapurthala , punjab, india",beverage,jagatjit industries,public
2011,"aurangabad, india",auto components,som autotech,private
1978,"noida, india",chemicals / agri inputs,oriental carbon & chemicals,public
1985,"bilaspur, india",metals & mining,south eastern coalfields,government
1939,"new delhi, india",law enforcement & security,crpf,
1991,"radnor township, pennsylvania, united states",biotechnology,avantor,private
1978,"noida, india",chemicals / agri inputs,oriental carbon & chemicals,public
2005,"mumbai,maharashtra, india",logistics,kd logistics,
1944,"kapurthala , punjab, india",beverage,jagatjit industries,public
2015,"ahmedabad, india",industrial machinery,mundra solar technopark,
1987,"chennai, tamil nadu, india",real estate,arun excello,private
2019,"mumbai,maharashtra, india",education & training,expertrons,
2010,"augsburg, germany",industrial machinery,man energy solutions,
1928,"kanagawa, japan",engineering & construction,jgc corporation,private
1901,"kolkata, west bengal, india",media & entertainment,saregama india,public
1981,"west kingston, ri, united states (usa)",electrical equipment,apc by schneider electric,private
2003,"kochi/cochin, kerala, india",it services & consulting,beo software,
2014,"bangalore,karnataka, india",financial services,razorpay,private
1974,"mumbai, india",iron & steel,uttam value steels,public
1956,"gurgaon/gurugram, haryana, india",industrial machinery,toyota material handling,private
2003,"mumbai, maharashtra, india",agro chemicals,biostadt,private
2001,"delhi/ncr, new delhi, india",education & training,entab infotech,private
1987,"fuschl, austria",beverage,red bull,private
2007,"chennai, tamil nadu, india",broadcasting,sun direct tv,private
1987,"mumbai, maharashtra, india",hardware & networking,compuage infocom,public
1990,"gurgaon, india",industrial machinery,unique engineers,private
2004,"new delhi, india",financial services,incrementors web solutions,private
1998,"noida, uttar pradesh, india",engineering & construction,karam industries,private
2005,"noida, uttar pradesh, india",engineering & construction,sa infrastructure consultants,private
2009,"secunderabad,andhra pradesh, india",healthcare,sunshine hospitals,private
2012,"mumbai,maharashtra, india",it services & consulting,aeries technology,private
2010,"hyderabad/secunderabad, telangana, india",marketing & advertising,mediamint,private
1997,"fahaheel, ahmadi, kuwait",engineering & construction,gulf spic general trading & contracting company,private
1980,"mumbai, maharashtra, india",pharma,blue cross laboratories,public
1956,"gurgaon/gurugram, haryana, india",industrial machinery,toyota material handling,private
1998,"noida, uttar pradesh, india",engineering & construction,karam industries,private
2012,"mumbai,maharashtra, india",it services & consulting,aeries technology,private
1974,"mumbai, india",iron & steel,uttam value steels,public
1981,"west kingston, ri, united states (usa)",electrical equipment,apc by schneider electric,private
1997,"fahaheel, ahmadi, kuwait",engineering & construction,gulf spic general trading & contracting company,private
2008,"gurgaon/gurugram, haryana, india",power,sembcorp energy india,public
1997,"singapore, india",it services & consulting,optimum infosystem,private
1998,"allahabad, india",telecom,reecomps teleservices,private
2003,"kochi/cochin, kerala, india",it services & consulting,beo software,
2014,"bangalore,karnataka, india",financial services,razorpay,private
2010,"hyderabad , india",railways,hyderabad metro rail,private
2004,"new delhi, india",financial services,incrementors web solutions,private
2005,"noida, uttar pradesh, india",engineering & construction,sa infrastructure consultants,private
2007,"mumbai, maharashtra, india",telecom,aksentt tech services,public
2016,singapore,education & training,the sparks foundation,
2005,"lagos , nigeria",oil & gas,sterling oil exploration & energy production,private
1963,"pune, maharashtra, india",industrial machinery,accurate engineering company,
1981,"bhubaneswar, odisha, india",metals & mining,nalco,private
1965,"mumbai, maharashtra, india",chemicals,henkel,private
1968,"bangalore/bengaluru, karnataka, india",electrical equipment,triveni turbines,public
1933,"westport, connecticut, united states (usa)",industrial machinery,terex,private
2003,"thiruvananthapuram, india",education & training,rm education solutions,private
1989,"hyderabad, india",biotechnology,jk agri genetics,public
1929,"new delhi, india",education & training,indian council of agricultural research,private
1999,"cambridge, united states (usa)",industrial machinery,mita,private
1995,"ranchi, jharkhand, india",nbfc,vedika credit capital,public
2000,"bagsværd, denmark",biotechnology,novozymes south asia,private
2010,"navi mumbai, maharashtra, india",financial services,logicash,private
1959,"bangalore/bengaluru, karnataka, india",defence & aerospace,national aerospace laboratories,private
2000,"bagsværd, denmark",biotechnology,novozymes south asia,private
1948,"menlo park, california, united states",management consulting,protiviti india member,private
2006,"delhi/ncr, new delhi, india",healthcare,moolchand medcity,private
2010,"navi mumbai, maharashtra, india",financial services,logicash,private
2009,"howrah, india",retail,metro retail.pvt.ltd.,private
1997,"thane, india",auto components,ring plus aqua,public
1929,"new delhi, india",education & training,indian council of agricultural research,private
1999,"cambridge, united states (usa)",industrial machinery,mita,private
2012,"bangalore,karnataka, india",pharma,aspiro pharma,private
2011,"mumbai,maharashtra, india",architecture & interior design,flipspaces,private
0,,management consulting,b s r & co llp,
1860,"london, united kingdom",engineering & construction,keller ground engineering,private
1995,"ranchi, jharkhand, india",nbfc,vedika credit capital,public
2002,"mumbai, maharashtra, india",pharma,bdr pharmaceuticals international,private
2006,"thane, maharashtra, india",insurance,dealmoney securities,
2016,"gurgaon/gurugram, haryana, india",it services & consulting,moretasks,private
2020,"bangalore,karnataka, india",edtech,brightchamps,
1999,"nagpur, maharashtra, india",waste management,vishvaraj infrastructure,public
1969,"new york city,new york, united states",financial services,msci,public
2004,"noida, uttar pradesh, india",bpo,vcare call center,private
1995,"kanpur, uttar pradesh, india",healthcare,regency hospital,private
2005,"hyderabad/secunderabad, telangana, india",healthcare,star hospitals,private
1982,"mumbai, maharashtra, india",chemicals,privi organics,public
1970,"bangalore/bengaluru, karnataka, india",pharma,global calcium,private
2013,"delhi/ncr, delhi, india",education & training,jitm skills,private
1981,"faridabad, haryana, india",industrial machinery,star wire india,private
1999,"mumbai, maharashtra, india",other,international certification services,private
2009,"new york city,new york, united states",software product,sprinklr,private
1946,"hoshiarpur, punjab, india",fashion & textile,jct,public
1998,"vadodara/baroda, gujarat, india",beverage,manpasand beverages,private
1982,"mumbai, maharashtra, india",chemicals,privi organics,public
2005,"hyderabad/secunderabad, telangana, india",healthcare,star hospitals,private
1946,"hoshiarpur, punjab, india",fashion & textile,jct,public
1926,"mumbai, india",healthcare,kem hospital,private
2013,"delhi/ncr, delhi, india",education & training,jitm skills,private
0,,building material,sanghi cement,
1999,"mumbai, maharashtra, india",other,international certification services,private
0,,,ebix payment services,
2018,"orlando, united states",it services & consulting,onpassive,
