name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
chanel,neuilly-sur-seine,1909,consumer goods,clothing & accessories,fashion,,,,,,,,,,
chantelle,cachan,1876,consumer goods,clothing & accessories,"lingerie, apparel",,,,,,,,,,
christian dior se,paris,1946,consumer goods,clothing & accessories,luxury goods,,,,,,,,,,
citroën,rueil-malmaison,1919,consumer goods,automobiles,part of stellantis (netherlands),,,,,,,,,,
cma cgm,marseille,1978,industrials,delivery services,shipping,,,,,,,,,,
com one group,cestas,1987,technology,telecommunications equipment,,,,,,,,,,,
crédit agricole,montrouge,1894,financials,banks,banking network,,,,,,,,,,
crédit commercial de france,paris,1894,financials,banks,"commercial bank, now hsbc france part of hsbc (uk)",,,,,,,,,,
crédit mutuel,paris,1882,financials,banks,banking group,,,,,,,,,,
conforama,saint-priest,1967,consumer services,retail,europe's second largest home furnishment company,,,,,,,,,,
crédit foncier de france,charenton-le-pont,1852,financials,banks,"bank, part of groupe bpce",,,,,,,,,,
crédit lyonnais,paris,1863,financials,banks,"defunct, now part of crédit agricole",,,,,,,,,,
criteo,paris,2005,technology,internet,online advertising,,,,,,,,,,
danone,paris,1919,consumer goods,food products,food and dairy,,,,,,,,,,
dassault aviation,paris,1929,industrials,defense,aviation,,,,,,,,,,
dassault systèmes,vélizy-villacoublay,1981,technology,software,software,,,,,,,,,,
debacq & cie,paris,1812,consumer goods,clothing & accessories,"jewelry, watches",,,,,,,,,,
decathlon,villeneuve-d'ascq,1976,consumer goods,clothing & accessories,clothing and sportswear,,,,,,,,,,
dexia,paris,1996,financials,banks,"franco-belgian, defunct",,,,,,,,,,
diptyque,paris,1961,consumer goods,personal products,luxury goods,,,,,,,,,,
edenred,paris,2010,industrials,specialized consumer services,food services and facilities,,,,,,,,,,
éditions philippe amaury,boulogne-billancourt,1944,consumer services,publishing,"newspaper, television",,,,,,,,,,
eisenberg paris,paris,2000,consumer goods,personal products,luxury goods,,,,,,,,,,
électricité de france (edf),paris,1946,utilities,conventional electricity,power generation,,,,,,,,,,
elf aquitaine,courbevoie[9],1967,oil & gas,exploration & production,merged into totalenergies in 2003.,,,,,,,,,,
engie,la défense,2008,utilities,electricity generation,merger of gaz de france and suez,,,,,,,,,,
essilorluxottica,charenton-le-pont,1849,health care,health care equipment,"optical equipment, part of essilorluxottica",,,,,,,,,,
eutelsat,paris,1977,telecommunications,mobile telecommunications,satellite provider,,,,,,,,,,
fnac,ivry-sur-seine,1954,consumer services,specialty retailers,retail chain,,,,,,,,,,
framatome,courbevoie,1958,nuclear industries,nuclear engineering,nuclear reactors,,,,,,,,,,
free,paris,1999,telecommunications,fixed line telecommunications,"isp, part of iliad sa",,,,,,,,,,
galeries lafayette,paris,1912,consumer services,broadline retailers,department store chain,,,,,,,,,,
gameloft,paris,2000,technology,software,"video games, part of vivendi",,,,,,,,,,
gandi,paris,1999,technology,internet,domain name registrar,,,,,,,,,,
gaumont,neuilly-sur-seine,1895,consumer services,broadcasting & entertainment,film studio,,,,,,,,,,
genset,paris,1989,health care,biotechnology,"defunct 2002, now part of merck serono (germany)",,,,,,,,,,
getlink,paris,1986,industrials,transportation services,"infrastructure, operates channel tunnel",,,,,,,,,,
groupe bpce,paris,2009,financials,banks,bank,,,,,,,,,,
