,market_cap,revenue,net_income,gbp
429,doll_4.265 b,0,0,0
430,doll_4.266 b,0,0,0
431,doll_27.157 b,0,0,doll_4.268 b
432,doll_4.281000000000001 b,0,0,0
433,doll_27.258999999999997 b,0,0,doll_4.284000000000001 b
434,doll_5253.0 b,0,0,doll_4.288 b
435,doll_4.2909999999999995 b,0,0,0
436,doll_5.745 b,0,0,doll_4.309 b
437,doll_33.765 b,0,0,doll_4.3100000000000005 b
438,doll_4.321 b,0,0,0
439,doll_4.338 b,0,0,0
440,doll_5318.0 b,0,0,doll_4.340999999999999 b
441,doll_5.446 b,0,0,doll_4.35 b
442,doll_4.359 b,0,0,0
443,doll_4.369 b,0,0,0
444,doll_3.332 b,0,0,doll_4.37 b
445,doll_3.972 b,0,0,0
446,doll_25.28 b,0,0,doll_3.973 b
447,doll_5.391 b,0,0,doll_3.973 b
448,doll_3.976 b,0,0,0
449,doll_3.996 b,0,0,0
450,doll_3.527 b,0,0,0
451,doll_4.711 b,0,0,doll_3.533 b
452,doll_3.537 b,0,0,0
453,doll_2.699 b,0,0,doll_3.54 b
454,doll_3.5439999999999996 b,0,0,0
455,doll_3.219 b,0,0,doll_3.557 b
456,doll_22.805 b,0,0,doll_3.5840000000000005 b
457,doll_3.245 b,0,0,doll_3.586 b
458,doll_3.586 b,0,0,0
459,doll_3.592 b,0,0,0
460,doll_3.2520000000000002 b,0,0,doll_3.593 b
461,doll_3.596 b,0,0,0
462,doll_3.614 b,0,0,0
463,doll_3.614 b,0,0,0
464,doll_3.628 b,0,0,0
465,doll_4.5520000000000005 b,0,0,doll_3.6369999999999996 b
466,doll_23.296 b,0,0,doll_3.661 b
467,doll_4.59 b,0,0,doll_3.6670000000000003 b
468,doll_23.362000000000002 b,0,0,doll_3.6719999999999997 b
469,doll_3.6740000000000004 b,0,0,0
470,doll_3.338 b,0,0,doll_3.689 b
471,doll_23.48 b,0,0,doll_3.69 b
472,doll_23.482 b,0,0,doll_3.69 b
473,doll_4220.0 b,0,0,doll_3.6990000000000003 b
474,doll_3.7049999999999996 b,0,0,0
475,doll_4543.0 b,0,0,doll_3.7079999999999997 b
476,doll_3.7359999999999998 b,0,0,0
477,doll_3.7380000000000004 b,0,0,0
478,doll_3.751 b,0,0,0
479,doll_535638.0 b,0,0,doll_3.751 b
480,doll_3.399 b,0,0,doll_3.755 b
481,doll_2.877 b,0,0,doll_3.7729999999999997 b
482,doll_4630.0 b,0,0,doll_3.779 b
483,doll_3.4229999999999996 b,0,0,doll_3.782 b
484,doll_3.793 b,0,0,0
485,doll_3.8 b,0,0,0
486,doll_3.44 b,0,0,doll_3.8009999999999997 b
487,doll_3.4509999999999996 b,0,0,doll_3.813 b
488,doll_29.885 b,0,0,doll_3.815 b
489,doll_3.816 b,0,0,0
490,doll_3.4619999999999997 b,0,0,doll_3.825 b
491,doll_3.839 b,0,0,0
492,doll_3.8689999999999998 b,0,0,0
493,doll_3.6 b,0,0,doll_3.8899999999999997 b
494,doll_2.9739999999999998 b,0,0,doll_3.9 b
495,doll_26.269 b,0,0,doll_3.903 b
496,doll_3.6369999999999996 b,0,0,doll_3.929 b
497,doll_3.934 b,0,0,0
498,doll_5.0 b,0,0,doll_3.9560000000000004 b
499,doll_3.594 b,0,0,doll_3.971 b
500,doll_3.119 b,0,0,doll_3.3689999999999998 b
501,doll_3.3729999999999998 b,0,0,0
502,doll_3.3729999999999998 b,0,0,0
503,doll_3.3950000000000005 b,0,0,0
504,doll_3.401 b,0,0,0
505,doll_97.701 b,0,0,doll_3.406 b
506,doll_3.411 b,0,0,0
507,doll_21.717 b,0,0,doll_3.4130000000000003 b
508,doll_3.4219999999999997 b,0,0,0
509,doll_4194.0 b,0,0,doll_3.4240000000000004 b
510,doll_3.439 b,0,0,0
511,doll_4.736 b,0,0,doll_3.44 b
512,doll_3.117 b,0,0,doll_3.444 b
513,doll_3.4490000000000003 b,0,0,0
514,doll_3.4579999999999997 b,0,0,0
515,doll_3.464 b,0,0,0
516,doll_3.4659999999999997 b,0,0,0
517,doll_27.204 b,0,0,doll_3.473 b
518,doll_22.169 b,0,0,doll_3.4840000000000004 b
519,doll_3.489 b,0,0,0
520,doll_3.492 b,0,0,0
521,doll_3.4939999999999998 b,0,0,0
522,doll_27.445999999999998 b,0,0,doll_3.504 b
523,doll_3.5119999999999996 b,0,0,0
524,doll_4.397 b,0,0,doll_3.5130000000000003 b
525,doll_3.5189999999999997 b,0,0,0
526,doll_3.186 b,0,0,doll_3.5200000000000005 b
527,doll_3.1870000000000003 b,0,0,doll_3.521 b
528,doll_4.699 b,0,0,doll_3.524 b
529,doll_2.495 b,0,0,doll_3.272 b
530,doll_3.281 b,0,0,0
531,doll_3.2840000000000003 b,0,0,0
532,doll_2.9859999999999998 b,0,0,doll_3.2990000000000004 b
533,doll_4.134 b,0,0,doll_3.3020000000000005 b
534,doll_3.3020000000000005 b,0,0,0
535,doll_3.3049999999999997 b,0,0,0
536,doll_4.141 b,0,0,doll_3.308 b
537,doll_3.309 b,0,0,0
538,doll_3.322 b,0,0,0
539,doll_26.054000000000002 b,0,0,doll_3.3259999999999996 b
540,doll_31.2 b,0,0,doll_3.3289999999999997 b
541,doll_3.332 b,0,0,0
542,doll_21.219 b,0,0,doll_3.335 b
543,doll_3.0260000000000002 b,0,0,doll_3.343 b
544,doll_1122.0 b,0,0,doll_3.346 b
545,doll_4101.0 b,0,0,doll_3.347 b
546,doll_3.349 b,0,0,0
547,doll_21.404 b,0,0,doll_3.364 b
548,doll_26.367 b,0,0,doll_3.3659999999999997 b
549,doll_4126.0 b,0,0,doll_3.368 b
550,doll_2.763 b,0,0,doll_3.053 b
551,doll_3.069 b,0,0,0
552,doll_3.843 b,0,0,doll_3.07 b
553,doll_3.076 b,0,0,0
554,doll_3.0829999999999997 b,0,0,0
555,doll_28.974 b,0,0,doll_3.091 b
556,doll_19.678 b,0,0,doll_3.093 b
557,doll_3.0949999999999998 b,0,0,0
558,doll_2.806 b,0,0,doll_3.1 b
559,doll_3.8810000000000002 b,0,0,doll_3.1 b
560,doll_19.741 b,0,0,doll_3.102 b
561,doll_3.103 b,0,0,0
562,doll_19.750999999999998 b,0,0,doll_3.104 b
563,doll_2.817 b,0,0,doll_3.112 b
