,market_cap,revenue
488,doll_502.9 m,doll_1.3 b
489,doll_5.6 b,doll_1.3 b
490,doll_1.3 b,doll_1.3 b
491,doll_23.7 b,doll_1.3 b
492,doll_3.3 b,doll_1.3 b
493,doll_1.0 b,doll_1.3 b
494,doll_390.9 m,doll_1.3 b
495,doll_1.0 b,doll_1.3 b
496,doll_2.4 b,doll_1.3 b
497,doll_7.9 b,doll_1.3 b
498,doll_12.5 b,doll_1.3 b
499,doll_4.3 b,doll_1.3 b
500,0,doll_1.3 b
501,doll_800.2 m,doll_1.3 b
502,doll_5.7 b,doll_1.3 b
503,doll_1.5 b,doll_1.3 b
504,doll_4.7 b,doll_1.3 b
505,doll_1.3 b,doll_1.3 b
506,0,doll_1.3 b
507,doll_912.6 m,doll_1.3 b
508,doll_693.9 m,doll_1.3 b
509,doll_1.1 b,doll_1.3 b
510,doll_210.8 m,doll_1.3 b
511,doll_303.8 m,doll_1.3 b
512,doll_753.0 m,doll_1.3 b
513,doll_1.0 b,doll_1.3 b
514,doll_1.6 b,doll_1.3 b
515,doll_786.9 m,doll_1.3 b
516,doll_3.1 b,doll_1.3 b
517,doll_1.8 b,doll_1.3 b
518,0,doll_1.3 b
519,doll_4.7 b,doll_1.3 b
520,0,doll_1.3 b
521,doll_485.8 m,doll_1.3 b
522,doll_150.5 m,doll_1.3 b
523,doll_1.1 b,doll_1.3 b
524,doll_2.9 b,doll_1.3 b
525,doll_1.3 b,doll_1.3 b
526,0,doll_1.3 b
527,doll_1.4 b,doll_1.3 b
528,doll_4.5 b,doll_1.3 b
529,doll_6.8 b,doll_1.3 b
530,doll_1.5 b,doll_1.3 b
531,doll_8.0 b,doll_1.3 b
532,doll_1.7 b,doll_1.3 b
533,doll_306.8 m,doll_1.3 b
534,doll_149.4 m,doll_1.3 b
535,doll_13.0 b,doll_1.3 b
536,doll_657.5 m,doll_1.3 b
537,doll_2.5 b,doll_1.3 b
538,doll_876.3 m,doll_1.3 b
539,doll_4.3 b,doll_1.3 b
540,doll_433.3 m,doll_1.3 b
541,doll_805.6 m,doll_1.3 b
542,doll_2.2 b,doll_1.3 b
