,index,founded,industry,headquarters,name,size,website
827,827,2003,computer hardware,"carlsbad, ca",maxlinear careers,201 to 500 employees,www.maxlinear.com
828,828,2006,financial services,"newton, ma",first help financial careers,51 to 200 employees,www.firsthelpfinancial.com
829,829,1961,"apparel, fashion & luxury","milan, italy",luxottica careers,"10,000+ employees",www.luxottica.com
830,830,2012,information technology & services,"chicago, il",modelop careers,1 to 50 employees,www.modelop.com
831,831,2003,chemicals,"wichita, ks",invista careers,"5,001 to 10,000 employees",www.invista.com
832,832,1902,mechanical & industrial engineering,"palm beach gardens, fl",carrier careers,"10,000+ employees",www.carrier.com
833,833,1996,environmental services,"san juan capistrano, ca",yorke engineering careers,51 to 200 employees,www.yorkeengr.com
834,834,2010,computer & network security,"san francisco, ca",kenna security careers,51 to 200 employees,www.kennasecurity.com
835,835,2018,computer software,"santa monica, ca",buildops careers,1 to 50 employees,buildops.com
836,836,2017,computer & network security,"palo alto, ca",truu careers,1 to 50 employees,www.truu.a
837,837,1994,computer hardware,"milpitas, ca",headway technologies careers,"501 to 1,000 employees",www.headway.com
838,838,1989,computer hardware,"taipei, taiwan",asus careers,"10,000+ employees",www.asus.com
839,839,2005,computer software,"irvine, ca",clubspeed careers,51 to 200 employees,clubspeed.com
840,840,1882,government administration,"long beach, ca",city of long beach careers,"5,001 to 10,000 employees",www.longbeach.gov
841,841,1906,oil & energy,"columbus, oh",american electric power careers,"10,000+ employees",www.aep.com
842,842,2011,computer software,"new york, ny",enigma careers,51 to 200 employees,enigma.com
843,843,2017,real estate,"san francisco, ca",zenlist careers,1 to 50 employees,zenlist.com
844,844,2012,human resources,"new york, ny",justworks careers,201 to 500 employees,www.justworks.com
845,845,2009,information technology & services,"macomb, mi",solid cage careers,1 to 50 employees,www.solidcage.com
846,846,1983,retail,"elgin, il",colony display careers,201 to 500 employees,www.colonydisplay.com
847,847,2012,information technology & services,"santa ana, ca",verys careers,201 to 500 employees,verys.com
848,848,1976,retail,"hauts-de-france, france",decathlon france careers,"10,000+ employees",www.decathlon.com
849,849,1999,semiconductors,"phoenix, az",onsemi careers,"10,000+ employees",www.onsemi.com
850,850,1997,entertainment,"new york, ny",the orchard careers,201 to 500 employees,www.theorchard.com
851,851,1987,biotechnology,"luxembourg, luxembourg",eurofins careers,"10,000+ employees",www.eurofins.com
852,852,1989,internet,"atlanta, ga",rentpath careers,"501 to 1,000 employees",www.rentpath.com
853,853,2020,information technology & services,"san ramon, ca",riiid labs careers,51 to 200 employees,www.riiidlabs.ai
854,854,1955,retail,"kansas city, mo",h&r block careers,"10,000+ employees",www.hrblock.com
855,855,2012,computer software,"san francisco, ca",miro careers,"501 to 1,000 employees",miro.com
856,856,2014,entertainment,"burbank, ca",stx entertainment careers,51 to 200 employees,stxentertainment.com
857,857,1982,information technology & services,"reading, united kingdom",mastek careers,"1,001 to 5,000 employees",www.mastek.com
858,858,1989,financial services,"irvine, ca",hyundai capital america careers,"1,001 to 5,000 employees",www.hyundaicapitalamerica.com
859,859,2000,information technology & services,"mumbai, india",eclerx careers,"10,000+ employees",www.eclerx.com
860,860,1914,financial services,"boston, ma",federal reserve bank of boston careers,"1,001 to 5,000 employees",www.bostonfed.org
861,861,2019,banking,"los angeles, ca",comcard careers,1 to 50 employees,comcard.us
862,862,2007,marketing & advertising,"kansas city, mo",yoodle careers,1 to 50 employees,www.yoodle.com
863,863,1926,financial services,"new york, ny",mckinsey & company careers,"10,000+ employees",www.mckinsey.com
864,864,2016,information technology & services,"dã¼sseldorf, germany",cognigy careers,1 to 50 employees,www.cognigy.com
865,865,2003,internet,"amsterdam, netherlands",backbase careers,"501 to 1,000 employees",www.backbase.com
866,866,1886,utilities,"camden, nj",american water careers,"5,001 to 10,000 employees",www.amwater.com
867,867,1930,"transportation, trucking & rail","winnipeg, canada",new flyer careers,"5,001 to 10,000 employees",www.newflyer.com
868,868,2000,information technology & services,"seattle, wa",avanade careers,"10,000+ employees",www.avanade.com
869,869,1962,utilities,"rome, italy",enel careers,"10,000+ employees",www.enel.com
870,870,1981,non-profit organization,"bengaluru, karnataka",the art of living careers,"10,000+ employees",www.artofliving.org
871,871,2003,telecommunications,"belmont, ca",ringcentral careers,"1,001 to 5,000 employees",www.ringcentral.com
872,872,1919,automotive,"columbus, in",cummins careers,"10,000+ employees",www.cummins.com
873,873,2004,computer software,"diamond bar, ca",liferay careers,"501 to 1,000 employees",www.liferay.com
874,874,1958,investment management,"kansas city, mo",american century investments careers,"1,001 to 5,000 employees",ipro.americancentury.com
875,875,1988,biotechnology,"tarrytown, ny",regeneron careers,"5,001 to 10,000 employees",www.regeneron.com
876,876,2019,information technology & services,"dallas, tx",emergere careers,51 to 200 employees,www.emergertech.com
877,877,1938,"libraries, museums & institutions","ann arbor, mi",proquest careers,"1,001 to 5,000 employees",www.proquest.com
878,878,1985,computer networking,"huntsville, al",adtran careers,"1,001 to 5,000 employees",www.adtran.com
879,879,1969,management consulting,"fairfax, va",icf careers,"5,001 to 10,000 employees",www.icf.com
880,880,2016,information technology & services,"madrid, spain",minsait careers,"1,001 to 5,000 employees",www.minsait.com
881,881,2012,"health, wellness & fitness","san francisco, ca",calm careers,51 to 200 employees,www.calm.com
882,882,2016,computer software,"indianapolis, in",lifeomic careers,51 to 200 employees,www.lifeomic.com
883,883,1996,retail,"baltimore, md",under armour careers,"10,000+ employees",www.underarmour.com
884,884,2011,telecommunications,"costa mesa, ca",ultra mobile careers,51 to 200 employees,www.ultramobile.com
885,885,2014,financial services,"nairobi, kenya",cellulant careers,201 to 500 employees,www.cellulant.com
886,886,1991,information technology & services,"san francisco, ca",pro unlimited careers,"1,001 to 5,000 employees",www.prounlimited.com
887,887,2010,computer & network security,"london, united kingdom",gatekeeper careers,51 to 200 employees,www.gatekeeperhq.com
888,888,1991,electrical & electronic manufacturing,"vaughan, canada",mircom group of companies careers,"501 to 1,000 employees",www.mircom.com
889,889,2015,information technology & services,"san mateo, ca",second measure careers,51 to 200 employees,secondmeasure.com
890,890,2016,human resources,"lagos, nigeria",vbs careers,201 to 500 employees,www.vbslimited.com.ng
891,891,2006,internet,"tel aviv, israel",kenshoo careers,"501 to 1,000 employees",www.kenshoo.com
892,892,2010,computer software,"milpitas, ca",gridx careers,51 to 200 employees,www.gridx.com
893,893,1958,information technology & services,"mclean, va",mitre careers,"5,001 to 10,000 employees",www.mitre.org
894,894,2005,computer software,"north hollywood, ca",mediaplatform careers,1 to 50 employees,www.mediaplatform.com
895,895,1897,biotechnology,"basel, switzerland",lonza careers,"10,000+ employees",www.lonza.com
896,896,1999,computer software,"palo alto, ca",accellion careers,51 to 200 employees,www.accellion.com
897,897,1981,investment management,"singapore, singapore",gic careers,"1,001 to 5,000 employees",gic.com.sg
898,898,2013,computer software,"venice, ca",gem careers,1 to 50 employees,gem.co
899,899,1990,computer games,"santa monica, ca",activision blizzard careers,"5,001 to 10,000 employees",www.activisionblizzard.com
900,900,2014,cosmetics,"nashville, tn",smiledirectclub careers,"1,001 to 5,000 employees",www.smiledirectclub.com
901,901,2012,internet,"san francisco, ca",clever careers,51 to 200 employees,clever.com
902,902,2015,computer software,"san francisco, ca",vim careers,51 to 200 employees,www.getvim.com
903,903,2010,information technology & services,"vienna, va",aveshka careers,201 to 500 employees,www.aveshka.com
904,904,2017,retail,"new york, ny",line corp. careers,1 to 50 employees,linefriends.com
905,905,1965,semiconductors,"norwood, ma",analog devices careers,"10,000+ employees",www.analog.com
906,906,2015,medical device,"san francisco, ca",verily careers,201 to 500 employees,www.verily.com
907,907,2000,computer software,"bellevue, wa",k2 careers,"501 to 1,000 employees",www.k2.com
908,908,1970,food & beverages,"houston, tx",sysco careers,"10,000+ employees",www.sysco.com
909,909,2020,financial services,"tempe, az",bankfolio careers,1 to 50 employees,bankfolio.app
910,910,2013,information services,"seattle, wa",livestories careers,1 to 50 employees,www.livestories.com
911,911,1864,marketing & advertising,"chicago, il",r.r. donnelley careers,"10,000+ employees",www.rrdonnelley.com
912,912,1991,information technology & services,"glen ellyn, il",innovative systems careers,201 to 500 employees,www.innovativesys.com
913,913,1994,hospital & health care,"providence, ri",lifespan careers,"10,000+ employees",www.lifespan.org
914,914,2000,management consulting,"new york, ny",fractal careers,"1,001 to 5,000 employees",www.fractal.ai
