04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
ctas,002594,002594,002594,2594,wday
iqv,2010,2010,2010,2010,dg
azo,9432,9432,9432,9432,300760
tel,mo,mo,mo,mo,scco
isp,bats,bats,bats,bats,7010
lkoh,syk,syk,syk,syk,9633
1211,spgi,spgi,spgi,spgi,rkt
8031,el,el,el,el,anz
ddog,ge,ge,ge,ge,panw
dd,dai,dai,dai,dai,emr
600309,cb,cb,cb,cb,cof
u11,alv,alv,alv,alv,0388
xel,pbr,pbr,pbr,pbr,9999
well,air,air,air,air,dpwa
msci,lfc,lfc,lfc,lfc,sq
2388,adp,adp,adp,adp,ntr
bax,bp.,bp.,bp.,bp.,0883
600030,601088,601088,601088,601088,atco.a
gpn,bkng,bkng,bkng,bkng,adyen
a,cnr,cnr,cnr,cnr,hlag
wba,enb,enb,enb,enb,san
dlr,su,su,su,su,fis
o39,dte,dte,dte,dte,adi
carr,mrk,mrk,mrk,mrk,etn
bk,mdlz,mdlz,mdlz,mdlz,pxd
mplx,9618,9618,9618,9618,7974
wow,vulc,vulc,vulc,vulc,mco
isrg,zts,zts,zts,zts,uber
expn,csl,csl,csl,csl,se
rmd,mmm,mmm,mmm,mmm,payx
neste,duk,duk,duk,duk,cnc
600809,bns,bns,bns,bns,khc
coin,bx,bx,bx,bx,rop
nio,bam.a,bam.a,bam.a,bam.a,meli
net,glen,glen,glen,glen,ilmn
bn,cme,cme,cme,cme,saf
lyb,mmc,mmc,mmc,mmc,snps
wcn,mu,mu,mu,mu,nvtk
tdg,8306,8306,8306,8306,ecl
peg,ci,ci,ci,ci,601888
t,shop,shop,shop,shop,2317
nwg,ai,ai,ai,ai,fmg
hes,hca,hca,hca,hca,aep
ora,nab,nab,nab,nab,adm
db1,cci,cci,cci,cci,gaca
cve,el,el,el,el,agrip
aptv,usb,usb,usb,usb,lhx
rok,8035,8035,8035,8035,7203
slf,bmo,bmo,bmo,bmo,6902
otis,ker,ker,ker,ker,bce
zm,600900,600900,600900,600900,stla
1109,600028,600028,600028,600028,eni
eric.a,so,so,so,so,8001
iff,lrcx,lrcx,lrcx,lrcx,xlnx
