00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
vulcan international corp,"marsh & mclennan companies, inc.","marsh & mclennan companies, inc.",lyondellbasell industries n.v.,"marsh & mclennan companies, inc.",energean plc,"marsh & mclennan companies, inc.",euro multivision ltd,"synopsys, inc."
jd.com,"micron technology, inc.","micron technology, inc.","waste connections, inc.","micron technology, inc.",worldwide healthcare,"micron technology, inc.",medigus ltd.,novatek pjsc
"mondelez international, inc.","mitsubishi ufj financial group, inc.","mitsubishi ufj financial group, inc.",transdigm group incorporated,"mitsubishi ufj financial group, inc.",fevertree drinks plc,"mitsubishi ufj financial group, inc.",cofix group ltd,ecolab inc.
merck kommanditgesellschaft auf aktien,cigna corporation,cigna corporation,public service enterprise group incorporated,cigna corporation,vistry group plc,cigna corporation,ludan engineering co. ltd,china tourism group duty free corp ltd
deutsche telekom ag,shopify inc.,shopify inc.,telus corporation,shopify inc.,hays plc,shopify inc.,elsight limited,hon hai precision industry co. ltd
schneider electric se,air liquide sa,air liquide sa,natwest group plc,air liquide sa,grainger plc,air liquide sa,b.s.d crown ltd.,fortescue metals group limited
enbridge inc.,"hca healthcare, inc.","hca healthcare, inc.",hess corporation,"hca healthcare, inc.",itm power plc,"hca healthcare, inc.",rewalk robotics ltd.,"american electric power company, inc."
canadian national railway company,national australia bank limited,national australia bank limited,orange sa,national australia bank limited,primary health properties plc,national australia bank limited,qualitau ltd,archer-daniels-midland company
booking holdings inc.,crown castle international corp. (reit),crown castle international corp. (reit),deutsche börse ag,crown castle international corp. (reit),witan investment trust plc,crown castle international corp. (reit),airtouch solar ltd,general accident plc
china shenhua energy company ltd,essilorluxottica sa,essilorluxottica sa,cenovus energy inc.,essilorluxottica sa,caledonia investments plc,essilorluxottica sa,shagrir group vehicle services ltd,"agribank, fcb"
bp plc,u.s. bancorp,u.s. bancorp,aptiv plc,u.s. bancorp,"pershing square holdings, ltd.",u.s. bancorp,the trendlines group ltd,"l3harris technologies, inc."
"automatic data processing, inc.",tokyo electron ltd,tokyo electron ltd,"rockwell automation, inc.",tokyo electron ltd,deliveroo plc,tokyo electron ltd,spring ventures ltd,toyota motor corporation
edwards lifesciences corporation,bank of montreal,bank of montreal,sun life financial inc.,bank of montreal,cranswick plc,bank of montreal,china suntien green energy corp ltd,denso corp
zurich insurance group ag,kering sa,kering sa,otis worldwide corporation,kering sa,great portland estates plc,kering sa,beijing tiantan biological products co. ltd,bce inc.
atlassian corporation plc,china yangtze power co. ltd,china yangtze power co. ltd,"zoom video communications, inc.",china yangtze power co. ltd,hgcapital trust plc,china yangtze power co. ltd,amplitude surgical sa,stellantis n.v.
"the tjx companies, inc.",china petroleum & chemical corporation,china petroleum & chemical corporation,china resources land ltd,china petroleum & chemical corporation,zimplats holdings limited,china petroleum & chemical corporation,china conch venture holdings ltd,eni s.p.a.
"intercontinental exchange, inc.",the southern company,the southern company,telefonaktiebolaget lm ericsson,the southern company,wh smith plc,the southern company,nicox sa,itochu corp
canadian natural resources limited,lam research corporation,lam research corporation,international flavors & fragrances inc.,lam research corporation,finsbury growth & income trust plc,lam research corporation,actia group,"xilinx, inc."
truist financial corporation,"the pnc financial services group, inc.","the pnc financial services group, inc.",china vanke co. ltd,"the pnc financial services group, inc.",redrow plc,"the pnc financial services group, inc.",gascogne,nxp semiconductors n.v.
"regeneron pharmaceuticals, inc.","becton, dickinson and company","becton, dickinson and company",koninklijke ahold delhaize n.v.,"becton, dickinson and company",playtech plc,"becton, dickinson and company",quantum genomics sa,fast retailing co. ltd
"gilead sciences, inc.","gilead sciences, inc.","gilead sciences, inc.",ptt pcl,"gilead sciences, inc.",close brothers group plc,"gilead sciences, inc.",catering international & services sa,"liberty bancshares, inc. (oh)"
"becton, dickinson and company","regeneron pharmaceuticals, inc.","regeneron pharmaceuticals, inc.","coupang, inc.","regeneron pharmaceuticals, inc.",pets at home group plc,"regeneron pharmaceuticals, inc.",fonciere euris sa,occidental petroleum corporation
"the pnc financial services group, inc.",truist financial corporation,truist financial corporation,henkel ag & co kgaa,truist financial corporation,ssp group plc,truist financial corporation,paref sa,sempra energy
lam research corporation,canadian natural resources limited,canadian natural resources limited,energy transfer lp,canadian natural resources limited,assura plc,canadian natural resources limited,fleury michon sa,basf se
the southern company,"intercontinental exchange, inc.","intercontinental exchange, inc.",loblaw companies limited,"intercontinental exchange, inc.",diversey holdings ltd,"intercontinental exchange, inc.",credit regionale de credit agricole mutuel sud rhone alpes,thomson reuters corporation
china petroleum & chemical corporation,"the tjx companies, inc.","the tjx companies, inc.",veeva systems inc.,"the tjx companies, inc.",the city of london investment trust plc,"the tjx companies, inc.",eurofins-cerep,london stock exchange group plc
china yangtze power co. ltd,atlassian corporation plc,atlassian corporation plc,"twitter, inc.",atlassian corporation plc,serco group plc,atlassian corporation plc,verimatrix sa,lonza group ltd
kering sa,zurich insurance group ag,zurich insurance group ag,nokia corporation,zurich insurance group ag,manchester united plc,zurich insurance group ag,les agences de papa sa,ferrari n.v.
bank of montreal,edwards lifesciences corporation,edwards lifesciences corporation,saic motor corp ltd,edwards lifesciences corporation,domino's pizza group plc,edwards lifesciences corporation,cie lebon sa,snap inc.
