02-GioPonSpiz-country,03-gren-country,04-iGMM-country,05-MalPatSaj-country,06-MarScoToc-country,07-silvestri-country,10-DeBiGa-country,00-avengers-headquarters_country
ireland,ireland,germany,ireland,united kingdom,south africa,china,central
united states,united states,united states,united states,united kingdom,ireland,united states,montreal
ireland,ireland,united kingdom,ireland,united kingdom,united states,united states,tokyo
japan,japan,united states,japan,united kingdom,ireland,united states,hamilton
,bermuda,spain,bermuda,united kingdom,japan,france,tokyo
japan,japan,australia,japan,united kingdom,,hong kong,tralee
canada,canada,united states,canada,united kingdom,japan,united kingdom,marlborough
hong kong,hong kong,japan,hong kong,united kingdom,canada,china,swords
united states,united states,china,united states,united kingdom,hong kong,united states,johannesburg
china,china,germany,china,united kingdom,united states,united states,london
united states,united states,united states,united states,united kingdom,china,australia,
china,china,united kingdom,china,united kingdom,united states,china,
china,china,india,china,united kingdom,china,canada,northreading
united states,united states,united states,united states,united kingdom,china,france,tokyo
,bermuda,united kingdom,bermuda,united kingdom,united states,united states,saopaulo
united states,united states,united states,united states,united kingdom,,united states,oklahomacity
brazil,brazil,united states,brazil,united kingdom,united states,ireland,mumbai
hong kong,hong kong,united states,hong kong,united kingdom,brazil,united states,changzhou
united states,united states,united states,united states,united kingdom,hong kong,united states,newyork
united states,united states,france,united states,united kingdom,united states,canada,
spain,spain,norway,spain,united kingdom,united states,united states,hanover
,portugal,belgium,portugal,united kingdom,spain,united states,waltham
germany,germany,united states,germany,united kingdom,,united states,oslo
sweden,sweden,united states,sweden,united kingdom,germany,china,desmoines
south korea,south korea,hong kong,south korea,united kingdom,sweden,united states,bristol
canada,canada,united kingdom,canada,united kingdom,south korea,united kingdom,
italy,italy,japan,italy,united kingdom,canada,netherlands,kowloon
china,china,australia,china,united kingdom,italy,united states,fornebu
united kingdom,united kingdom,china,united kingdom,united kingdom,china,united states,zurich
united states,united states,canada,united states,united kingdom,united kingdom,united states,osaka
china,china,france,china,united kingdom,united states,united states,kwuntong
united states,united states,united states,united states,united kingdom,china,united states,chiba
denmark,denmark,united states,denmark,united kingdom,united states,china,cambridge
israel,israel,ireland,israel,united kingdom,denmark,china,
united states,united states,united states,united states,united kingdom,israel,united states,newyork
japan,japan,united states,japan,united kingdom,united states,china,midrand
,luxembourg,canada,luxembourg,united kingdom,japan,united states,atlanta
united states,united states,united states,united states,united kingdom,,united states,
israel,israel,united states,israel,united kingdom,united states,united states,hollywood
japan,japan,united states,japan,,israel,united states,
south korea,south korea,china,south korea,,japan,united states,beijing
indonesia,indonesia,united states,indonesia,,south korea,united kingdom,perth
united states,united states,united kingdom,united states,,indonesia,switzerland,
china,china,netherlands,china,,united states,united kingdom,
united states,united states,united states,united states,,china,netherlands,
united kingdom,united kingdom,united states,united kingdom,,united states,brazil,zurich
canada,canada,united states,canada,,united kingdom,germany,englewood
united states,united states,united states,united states,,canada,switzerland,tokyo
united states,united states,united states,united states,,united states,germany,denver
japan,japan,china,japan,,united states,united states,sunnyvale
united states,united states,china,united states,,japan,united states,toronto
switzerland,switzerland,united states,switzerland,,united states,united states,
china,china,china,china,,switzerland,united states,memphis
china,china,united states,china,,china,united kingdom,
china,china,united states,china,,china,united states,newyork
australia,australia,united states,australia,,china,japan,jakarta
china,china,united states,china,,australia,saudi arabia,seoul
,macao,united states,macao,,china,china,tokyo
united states,united states,united kingdom,united states,,united states,united states,telaviv
china,china,switzerland,china,,china,united states,providence
united states,united states,united kingdom,united states,,united states,saudi arabia,luxembourgcity
south africa,south africa,united states,south africa,,south africa,india,tokyo
united states,united states,united states,united states,,united states,united states,milford
china,china,united states,china,,china,united states,raâanana
united states,united states,united states,united states,,united states,brazil,copenhagen
japan,japan,netherlands,japan,,japan,united states,windsor
hong kong,hong kong,china,hong kong,,hong kong,germany,
japan,japan,united states,japan,,japan,united states,newyork
united states,united states,united states,united states,,united states,united kingdom,parsippany
united states,united states,united states,united states,,united states,germany,aubervilliers
united states,united states,taiwan,united states,,united states,united states,prague
china,china,united states,china,,china,united kingdom,shanghai
japan,japan,united states,japan,,japan,india,toronto
south africa,south africa,united states,south africa,,south africa,united states,stellenbosch
canada,canada,united states,canada,,canada,united kingdom,tokyo
china,china,united states,china,,china,united states,shanghai
,czechia,united states,czechia,,,united states,somerset
france,france,saudi arabia,france,,france,united states,houston
united states,united states,united states,united states,,united states,united states,newyork
