02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
insurance brokers,insurance brokers,banks,insurance brokers,asset management,auto manufacturers
internet content & information,internet content & information,building materials,internet content & information,semiconductor equipment & materials,airports & air services
banks,banks,telecom services,banks,asset management,marine shipping
banks,banks,utilities—regulated electric,banks,shell companies,oil & gas e&p
insurance—life,insurance—life,communication equipment,insurance—life,beverageswineries & distilleries,entertainment
specialty business services,specialty business services,tobacco,specialty business services,asset management,banks
,internet content & information,electronic components,internet content & information,specialty industrial machinery,utilities—regulated electric
financial data & stock exchanges,financial data & stock exchanges,reit—diversified,financial data & stock exchanges,oil & gas e&p,household & personal products
reit—specialty,reit—specialty,oil & gas midstream,reit—specialty,auto parts,software—infrastructure
utilities—regulated electric,utilities—regulated electric,diagnostics & research,utilities—regulated electric,asset management,oil & gas e&p
packaging & containers,packaging & containers,telecom services,packaging & containers,auto & truck dealerships,biotechnology
scientific & technical instruments,scientific & technical instruments,specialty chemicals,scientific & technical instruments,electronic components,software—infrastructure
drug manufacturers—general,drug manufacturers—general,banks,drug manufacturers—general,asset management,airlines
information technology services,information technology services,real estate—development,information technology services,asset management,utilities—renewable
utilities—diversified,utilities—diversified,auto manufacturers,utilities—diversified,asset management,information technology services
telecom services,telecom services,farm & heavy construction machinery,telecom services,asset management,information technology services
farm products,farm products,specialty industrial machinery,farm products,other industrial metals & mining,agricultural inputs
resorts & casinos,resorts & casinos,beverages—wineries & distilleries,resorts & casinos,asset management,banks
utilities—diversified,utilities—diversified,banks,utilities—diversified,restaurants,resorts & casinos
marine shipping,marine shipping,leisure,marine shipping,asset management,specialty industrial machinery
banks,banks,telecom services,banks,asset management,solar
railroads,railroads,"furnishings, fixtures & appliances",railroads,asset management,real estate—development
tools & accessories,tools & accessories,telecom services,tools & accessories,asset management,specialty chemicals
utilities—regulated gas,utilities—regulated gas,conglomerates,utilities—regulated gas,personal services,utilities—diversified
utilities—regulated gas,utilities—regulated gas,biotechnology,utilities—regulated gas,industrial distribution,thermal coal
packaged foods,packaged foods,real estate—development,packaged foods,asset management,utilities—regulated electric
health information services,health information services,medical distribution,health information services,biotechnology,medical instruments & supplies
rental & leasing services,rental & leasing services,utilities—regulated electric,rental & leasing services,building products & equipment,residential construction
consulting services,consulting services,apparel retail,consulting services,consulting services,specialty chemicals
semiconductors,semiconductors,banks,semiconductors,oil & gas e&p,rental & leasing services
auto manufacturers,auto manufacturers,asset management,auto manufacturers,asset management,banks
grocery stores,grocery stores,real estate—development,grocery stores,asset management,banks
broadcasting,broadcasting,railroads,broadcasting,asset management,software—infrastructure
airports & air services,airports & air services,specialty industrial machinery,airports & air services,diagnostics & research,electrical equipment & parts
conglomerates,conglomerates,integrated freight & logistics,conglomerates,consulting services,diagnostics & research
insurance—property & casualty,insurance—property & casualty,credit services,insurance—property & casualty,biotechnology,insurance—diversified
travel services,travel services,farm products,travel services,biotechnology,utilities—diversified
banks,banks,oil & gas equipment & services,banks,banks,auto manufacturers
diagnostics & research,diagnostics & research,asset management,diagnostics & research,electrical equipment & parts,railroads
insurance—life,insurance—life,telecom services,insurance—life,auto & truck dealerships,telecom services
beverages—wineries & distilleries,beverages—wineries & distilleries,reit—residential,beverages—wineries & distilleries,asset management,electronic gaming & multimedia
insurance—reinsurance,insurance—reinsurance,biotechnology,insurance—reinsurance,personal services,banks
utilities—regulated electric,utilities—regulated electric,insurance brokers,utilities—regulated electric,conglomerates,reit—retail
publishing,publishing,internet retail,publishing,asset management,medical instruments & supplies
semiconductors,semiconductors,consulting services,semiconductors,waste management,banks
banks,banks,airports & air services,banks,apparel retail,chemicals
insurance—diversified,insurance—diversified,utilities—renewable,insurance—diversified,asset management,computer hardware
reit—industrial,reit—industrial,medical devices,reit—industrial,other precious metals & mining,banks
medical instruments & supplies,medical instruments & supplies,industrial distribution,medical instruments & supplies,reitdiversified,insurance—property & casualty
residential construction,residential construction,asset management,residential construction,asset management,utilities—regulated electric
industrial distribution,industrial distribution,steel,industrial distribution,softwareapplication,airlines
specialty industrial machinery,specialty industrial machinery,beverages—brewers,specialty industrial machinery,consulting services,aerospace & defense
specialty industrial machinery,specialty industrial machinery,banks,specialty industrial machinery,specialty business services,software—application
packaged foods,packaged foods,utilities—regulated electric,packaged foods,asset management,railroads
information technology services,information technology services,oil & gas midstream,information technology services,other precious metals & mining,utilities—regulated electric
chemicals,chemicals,trucking,chemicals,asset management,oil & gas midstream
semiconductors,semiconductors,real estate—development,semiconductors,biotechnology,specialty industrial machinery
capital markets,capital markets,restaurants,capital markets,asset management,real estate services
oil & gas integrated,oil & gas integrated,oil & gas integrated,oil & gas integrated,asset management,biotechnology
insurance—life,insurance—life,reit—residential,insurance—life,personal services,gambling
specialty retail,specialty retail,insurance—diversified,specialty retail,asset management,auto parts
confectioners,confectioners,scientific & technical instruments,confectioners,diagnostics & research,medical devices
software—application,software—application,telecom services,software—application,asset management,medical care facilities
thermal coal,thermal coal,packaged foods,thermal coal,biotechnology,thermal coal
medical care facilities,medical care facilities,software—application,medical care facilities,asset management,software—application
medical devices,medical devices,banks,medical devices,asset management,confectioners
auto parts,auto parts,internet content & information,auto parts,electronic components,specialty retail
gambling,gambling,insurance—reinsurance,gambling,engineering & construction,insurance—life
biotechnology,biotechnology,railroads,biotechnology,asset management,oil & gas integrated
real estate services,real estate services,drug manufacturers—general,real estate services,engineering & construction,capital markets
specialty industrial machinery,specialty industrial machinery,insurance—property & casualty,specialty industrial machinery,asset management,semiconductors
oil & gas midstream,oil & gas midstream,specialty industrial machinery,oil & gas midstream,asset management,chemicals
utilities—regulated electric,utilities—regulated electric,specialty industrial machinery,utilities—regulated electric,electrical equipment & parts,information technology services
railroads,railroads,specialty industrial machinery,railroads,asset management,packaged foods
software—application,software—application,electronic gaming & multimedia,software—application,building products & equipment,specialty industrial machinery
aerospace & defense,aerospace & defense,oil & gas refining & marketing,aerospace & defense,oil & gas e&p,specialty industrial machinery
airlines,airlines,banks,airlines,electrical equipment & parts,industrial distribution
utilities—regulated electric,utilities—regulated electric,medical instruments & supplies,utilities—regulated electric,packaging & containers,residential construction
insurance—property & casualty,insurance—property & casualty,restaurants,insurance—property & casualty,advertising agencies,medical instruments & supplies
banks,banks,drug manufacturers—general,banks,asset management,reit—industrial
computer hardware,computer hardware,information technology services,computer hardware,medical care facilities,insurance—diversified
