00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
"3,730","5,030",not found," 88,100"
"7,763","2,646",199," 18,248"
"2,440","1,739",150," 3,388"
"98,105","22,000",not found," 158,000"
"19,100","55,302",70," 25,428"
"19,998","61,564",not found," 10,793"
"13,300",,not found," 122,909"
"12,684","171,508",791," 12,236"
"90,800","31,000",not found," 18,680"
"59,159","60,400",not found," 14,000"
"16,000","14,068",not found," 13,500"
"61,686","8,600",not found," 94,400"
"8,600","240,786",1," 250,000"
"39,281","57,992",not found," 10,200"
,"6,081",1," 5,200"
,"24,586",not found," 1,531"
"43,257","40,000",12," 7,375"
"54,640","18,352",not found," 20,500"
"20,619","18,700",not found," 8,700"
"37,000","19,500",10," 32,258"
"11,000",,not found," 1,384"
"14,000",,not found," 10,059"
"79,398","9,095",51," 82,000"
"10,409","26,000",not found," 39,035"
"480,000","7,100",24,
"16,033","21,975",38," 18,612"
"324,700","43,293",56," 22,000"
"1,596","20,000",24," 6,705"
"61,886","37,840",108," 17,000"
"75,975","20,567",134," 49,224"
"92,144","4,492",not found," 22,000"
"27,125","71,300",16," 133,294"
"133,000","47,710",90," 25,000"
"110,432","1,890",45," 5,900"
"54,000","118,400",33," 33,409"
"18,000","11,865",157,
"24,389","9,258",not found," 5,385"
"23,000",434,33," 17,047"
"6,184","9,669",not found," 18,645"
"16,842","7,500",471," 1,046"
"10,800","8,249",67," 4,948"
"98,000","12,369",130," 3,346"
"1,059","13,000",52," 16,700"
"73,516","57,750",339," 31,264"
"16,700","9,994",248," 18,600"
"137,000","10,000",not found," 30,300"
"40,000","33,153",27," 21,159"
"7,529","69,015",not found," 288,729"
"20,341",,not found," 18,000"
"2,400","5,100",50," 8,623"
,902,8," 193,494"
"39,000",870,4," 172,907"
"22,531","2,675",4,
"9,367","2,920",11," 5,590"
418,"83,000",216, 888
"2,870","2,114",2," 17,354"
"22,540","16,600",28," 360,000"
"18,370","13,900",162," 12,700"
"12,000","12,525",not found," 21,033"
"158,000","15,500",6," 25,150"
,"17,088",37," 20,000"
"57,062","38,207",67," 2,000"
"13,871","2,260",4," 7,231"
"1,550","54,000",10," 51,426"
"23,663","6,000",not found," 20,900"
"38,500","12,395",125," 6,567"
"36,000","63,869",181," 29,379"
"5,400","7,061",17," 18,902"
"2,839","8,692",not found," 44,500"
,"10,753",251," 25,549"
"22,097",,49," 23,000"
"26,728","20,400",39," 163,423"
"58,735","86,266",402," 15,936"
"1,545","48,834","2,792"," 15,455"
"132,002","145,653",133," 14,300"
"8,855","2,539",127," 24,300"
"5,938","67,950",180,
"155,000","18,100",197," 9,214"
"24,500","24,519",56," 5,814"
"22,719","11,901",70," 6,617"
"70,000","30,153",56," 8,600"
"6,787","104,150",43," 57,347"
"47,537","1,600",617," 80,879"
"100,454","44,133",99," 33,916"
"24,000","16,051",21," 2,500"
"140,565","3,103",382," 46,000"
"144,550","8,987",434," 5,660"
,"138,036",769," 29,427"
"54,492","19,500",848," 59,900"
"3,238","22,808",36," 51,000"
,"36,344",84, 559
,"5,100",14," 167,816"
"8,256","14,000",not found," 10,065"
"52,450","22,000","1,341"," 126,371"
"12,558","44,461",not found," 6,400"
"200,000",,not found," 105,000"
"4,506","2,571",40," 19,112"
"7,500","3,291",not found," 89,600"
"87,927","5,533",75," 31,000"
"204,815","139,677",not found," 12,244"
"38,784","14,000",10, 936
"154,364","62,720",572,
38,"8,806",964," 14,500"
,"22,700",not found," 17,654"
"3,153","11,788",341," 17,115"
,"13,832","2,425"," 64,823"
"63,227","4,309",not found," 16,000"
"18,500","13,340","2,350"," 9,800"
,"49,607","23,700"," 2,773"
,"30,000",not found," 5,700"
"21,358","19,454",not found, 340
"18,905","13,003",58," 18,442"
"9,610","13,985",47," 71,895"
"243,612",,not found," 20,400"
"77,400","28,000","1,820"," 2,970"
"278,922","78,189",6," 5,166"
"9,227","6,295",622," 66,947"
,"6,567",102," 11,149"
,"29,379",73," 22,536"
"61,200","18,902",14," 16,665"
941,"44,500",88," 3,000"
"2,847","25,549",10," 11,000"
"15,600","23,000",1," 164,177"
"20,817","163,423",14," 1,254"
"49,300","15,936","3,852"," 18,442"
"12,451","15,455",3," 320,808"
"44,065","14,300",not found," 420,000"
"63,174","24,300",48," 7,900"
"28,500",,29," 155,000"
"36,987","9,214",33," 84,597"
"4,700","5,814",18," 75,278"
"81,600","6,617","1,101"," 74,920"
"52,000","8,600",not found," 14,506"
"22,914","57,347",59," 5,030"
,"80,879","1,112"," 2,646"
"2,877","33,916",204," 1,739"
"135,304","2,500",145," 22,000"
"9,864","46,000",115," 55,302"
"5,916","5,660",69," 61,564"
"38,000","29,427",127,
"6,938","59,900",53," 171,508"
"88,100","51,000",124," 31,000"
"68,000",559,78," 60,400"
"193,494","167,816",44," 14,068"
"172,907","10,065",32," 8,600"
,"126,371",87," 240,786"
"5,590","6,400",572," 57,992"
"360,000","105,000",684," 6,081"
888,"19,112",9," 15,529"
,"89,600",586," 11,912"
"12,700","31,000",729," 99,700"
"21,033","2,526","8,191"," 73,275"
"25,150",,"5,344"," 316,078"
"20,000","21,358","3,015"," 2,429"
"2,000","18,905","1,058"," 1,664"
"7,231","9,610",788," 21,100"
"51,426","243,612",not found," 5,084"
"20,900","77,400","1,951"," 8,162"
"6,567","278,922","13,225",
"29,379","9,227","7,398"," 3,684"
"18,902","196,159","2,106"," 10,200"
"44,500","55,381","34,412"," 59,262"
,"61,200","18,549"," 9,116"
"23,000",941,"4,969"," 5,100"
"163,423","2,847","21,222", 902
"15,936","15,600",not found, 870
"15,455","20,817",388," 2,675"
"14,300","49,300","6,306"," 2,920"
"24,300","12,451","6,063"," 83,000"
,"44,065","15,042"," 2,114"
"9,214","63,174","2,082"," 16,600"
"5,814","28,500","13,401"," 13,900"
"6,617","36,987",281," 12,525"
"8,600","4,700","2,144"," 15,500"
,"81,600","22,145"," 17,088"
"80,879","52,000","2,000"," 38,207"
"33,916","22,914","9,174"," 2,260"
"2,500","99,299","10,120"," 54,000"
"46,000","2,877","12,952"," 6,000"
"5,660","135,304","25,201"," 12,395"
"29,427","9,864","1,970"," 63,869"
,"5,916","4,544"," 7,061"
