00-avengers-market_cap,06-MarScoToc-master_cap,09-wissel-earnings,02-GioPonSpiz-pricecap,03-gren-market_capitalization_usd,09-wissel-revenue,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap
doll_161.68 b,doll_131.03 b,doll_1.08 b,doll_131.92 b,doll_129.29 b,doll_3.67 b,doll_2.83 b,doll_41.71 b,doll_128.31 b,doll_2.51 b
doll_166.77 b,doll_129.95 b,doll_0.15 b,doll_131.24 b,doll_128.8 b,doll_0.44 b,doll_2.83 b,doll_41.63 b,doll_128.26 b,doll_0.69 b
doll_163.80 b,doll_129.15 b,-doll_11.5 m,doll_131.09 b,doll_127.66 b,doll_0.86 b,doll_2.83 b,doll_27.67 b,doll_128.07 b,doll_1.36 b
doll_167.38 b,doll_128.28 b,doll_0.12 b,doll_130.76 b,doll_127.18 b,doll_1.43 b,doll_2.83 b,doll_42.00 b,doll_127.76 b,doll_0.38 b
doll_169.30 b,doll_127.83 b,-doll_0.23 b,doll_130.76 b,doll_126.94 b,doll_0.71 b,doll_2.84 b,doll_42.04 b,doll_127.15 b,doll_5.56 b
doll_87.16 b,doll_127.04 b,-doll_84.64 m,doll_130.63 b,doll_126.62 b,doll_0.43 b,doll_2.83 b,doll_41.84 b,doll_124.83 b,doll_0.79 b
doll_123.17 b,doll_126.56 b,-doll_0.53 b,doll_130.24 b,doll_125.36 b,doll_1.83 b,doll_2.85 b,doll_42.06 b,doll_124.27 b,doll_14.47 b
doll_88.10 b,doll_126.35 b,-doll_0.19 b,doll_128.29 b,doll_125.3 b,doll_1.45 b,doll_2.85 b,doll_42.45 b,doll_122.63 b,doll_0.15 b
doll_87.19 b,doll_123.67 b,-doll_70.58 m,doll_127.61 b,doll_125.29 b,doll_0.58 b,doll_2.84 b,doll_42.48 b,doll_122.28 b,doll_2.19 b
doll_90.17 b,doll_123.22 b,-doll_83.36 m,doll_126.64 b,doll_124.02 b,doll_7.24 b,doll_2.84 b,doll_42.33 b,doll_122.03 b,doll_60.60 b
doll_90.96 b,doll_123.10 b,-doll_92.18 m,doll_126.29 b,doll_123.03 b,doll_1.48 b,doll_2.85 b,doll_42.68 b,doll_122.02 b,doll_1.56 b
doll_91.80 b,doll_122.11 b,doll_0.44 b,doll_125.69 b,doll_122.45 b,doll_1.77 b,doll_2.84 b,doll_42.66 b,doll_121.55 b,doll_4.80 b
doll_91.49 b,doll_122.01 b,doll_87.98 m,doll_125.51 b,doll_121.52 b,doll_0.92 b,doll_2.82 b,doll_42.84 b,doll_121.22 b,doll_1.03 b
doll_92.00 b,doll_121.34 b,doll_0.95 b,doll_124.31 b,doll_121.33 b,doll_5.18 b,doll_2.85 b,doll_42.14 b,doll_120.21 b,doll_11.79 b
doll_93.28 b,doll_120.91 b,doll_0.66 b,doll_124.26 b,doll_120.35 b,doll_2.11 b,doll_2.85 b,doll_42.69 b,doll_119.61 b,doll_12.79 b
doll_93.10 b,doll_120.75 b,doll_0.27 b,doll_123.57 b,doll_120.05 b,doll_0.83 b,doll_2.86 b,doll_43.33 b,doll_117.68 b,doll_2.90 b
doll_92.04 b,doll_120.59 b,-doll_1.5 b,doll_123.07 b,doll_118.56 b,doll_6.00 b,doll_2.86 b,doll_43.44 b,doll_117.56 b,doll_0.58 b
doll_94.93 b,doll_120.56 b,doll_17.1 m,doll_122.91 b,doll_117.87 b,doll_1.53 b,doll_2.85 b,doll_43.09 b,doll_117.29 b,doll_22.37 b
doll_94.57 b,doll_119.91 b,doll_0.33 b,doll_122.64 b,doll_117.8 b,doll_0.95 b,doll_2.85 b,doll_43.11 b,doll_116.62 b,doll_2.82 b
doll_94.99 b,doll_117.38 b,-doll_0.11 b,doll_120.80 b,doll_117.65 b,doll_0.35 b,doll_2.86 b,doll_44.06 b,doll_116.58 b,doll_0.23 b
doll_95.45 b,doll_116.17 b,-doll_0.13 b,doll_119.81 b,doll_113.59 b,doll_1.21 b,doll_2.85 b,doll_43.92 b,doll_116.02 b,doll_0.51 b
doll_98.93 b,doll_114.51 b,-doll_0.3 b,doll_119.63 b,doll_113.55 b,doll_0.51 b,doll_2.87 b,doll_44.05 b,doll_115.28 b,doll_0.27 b
doll_96.20 b,doll_114.48 b,doll_0.15 b,doll_118.15 b,doll_113.32 b,doll_1.70 b,doll_2.87 b,doll_43.40 b,doll_115.15 b,doll_5.46 b
doll_102.13 b,doll_114.31 b,doll_0.68 b,doll_117.88 b,doll_112.21 b,doll_1.24 b,doll_2.89 b,doll_34.27 b,doll_115.03 b,doll_5.73 b
doll_100.03 b,doll_113.37 b,doll_0.21 b,doll_116.38 b,doll_110.84 b,doll_0.76 b,doll_2.89 b,doll_34.47 b,doll_113.80 b,doll_1.30 b
doll_102.65 b,doll_113.28 b,,doll_115.35 b,doll_110.47 b,,doll_2.89 b,doll_34.29 b,doll_112.22 b,
doll_102.68 b,doll_112.97 b,-doll_0.18 b,doll_114.47 b,doll_109.91 b,doll_2.47 b,doll_2.88 b,doll_34.40 b,doll_112.19 b,doll_10.36 b
doll_103.02 b,doll_111.82 b,doll_69.4 m,doll_113.48 b,doll_108.58 b,doll_0.54 b,doll_2.88 b,doll_34.50 b,doll_111.13 b,doll_1.16 b
doll_102.87 b,doll_111.07 b,doll_74.76 m,doll_112.91 b,doll_107.67 b,doll_0.78 b,doll_2.89 b,doll_34.50 b,doll_110.87 b,doll_2.16 b
doll_105.90 b,doll_110.90 b,doll_0.20 b,doll_112.52 b,doll_107.55 b,doll_1.50 b,doll_2.89 b,doll_34.47 b,doll_110.09 b,doll_1.00 b
doll_105.29 b,doll_108.91 b,doll_17.09 m,doll_110.82 b,doll_107.45 b,doll_0.57 b,doll_2.88 b,doll_34.62 b,doll_107.88 b,doll_0.49 b
doll_105.71 b,doll_108.05 b,doll_21.82 m,doll_110.46 b,doll_104.37 b,doll_0.76 b,doll_2.87 b,doll_34.62 b,doll_107.27 b,doll_0.53 b
doll_107.07 b,doll_107.62 b,doll_77.3 m,doll_108.39 b,doll_103.54 b,doll_1.38 b,doll_2.87 b,doll_34.66 b,doll_106.86 b,doll_3.29 b
doll_108.84 b,doll_107.21 b,doll_8.63 m,doll_108.20 b,doll_103.12 b,doll_0.79 b,doll_2.90 b,doll_34.79 b,doll_105.69 b,doll_0.16 b
doll_107.08 b,doll_106.83 b,doll_3.98 m,doll_107.75 b,doll_101.89 b,doll_0.40 b,doll_2.91 b,doll_34.86 b,doll_104.90 b,doll_26.22 m
doll_107.94 b,doll_106.64 b,doll_1.30 b,doll_107.46 b,doll_101.73 b,doll_2.12 b,doll_2.90 b,doll_34.89 b,doll_104.80 b,doll_9.75 b
doll_108.98 b,doll_105.37 b,-doll_41.96 m,doll_107.19 b,doll_101.53 b,doll_0.61 b,doll_2.88 b,doll_34.89 b,doll_102.36 b,doll_4.98 b
doll_109.16 b,doll_105.05 b,doll_60.23 m,doll_106.16 b,doll_99.62 b,doll_2.11 b,doll_2.88 b,doll_34.78 b,doll_102.32 b,doll_0.99 b
doll_111.66 b,doll_104.11 b,-doll_0.41 b,doll_105.95 b,doll_99.46 b,doll_0.99 b,doll_2.93 b,doll_35.08 b,doll_101.84 b,doll_3.35 b
doll_111.96 b,doll_103.08 b,doll_0.10 b,doll_103.84 b,doll_98.83 b,doll_1.87 b,doll_2.91 b,doll_35.15 b,doll_101.36 b,doll_1.69 b
doll_113.15 b,doll_102.45 b,-doll_0.28 b,doll_103.07 b,doll_98.61 b,doll_0.81 b,doll_2.91 b,doll_35.48 b,doll_100.58 b,doll_6.04 b
doll_113.81 b,doll_101.71 b,doll_0.12 b,doll_101.78 b,doll_96.97 b,doll_0.81 b,doll_2.92 b,doll_35.50 b,doll_100.44 b,doll_1.71 b
doll_114.09 b,doll_101.60 b,doll_70.8 m,doll_101.31 b,doll_96.78 b,doll_1.29 b,doll_2.92 b,doll_35.21 b,doll_100.28 b,doll_1.05 b
doll_115.00 b,doll_100.47 b,-doll_0.19 b,doll_100.55 b,doll_95.58 b,doll_0.89 b,doll_2.93 b,doll_35.24 b,doll_99.17 b,doll_14.43 b
doll_114.59 b,doll_98.95 b,-doll_0.21 b,doll_99.04 b,doll_95.55 b,doll_0.97 b,doll_2.92 b,doll_35.48 b,doll_98.79 b,doll_4.89 b
doll_115.97 b,doll_98.38 b,-doll_31.89 m,doll_98.71 b,doll_94.98 b,doll_0.55 b,doll_2.93 b,doll_35.56 b,doll_97.43 b,doll_3.98 b
doll_115.89 b,doll_97.62 b,-doll_0.44 b,doll_98.32 b,doll_94.13 b,doll_4.09 b,doll_2.93 b,doll_33.97 b,doll_96.05 b,doll_2.59 b
doll_117.12 b,doll_96.96 b,doll_0.10 b,doll_98.03 b,doll_93.71 b,doll_2.00 b,doll_2.93 b,doll_35.58 b,doll_95.03 b,doll_20.94 b
doll_117.22 b,doll_96.53 b,doll_1.52 b,doll_96.68 b,doll_92.88 b,doll_4.56 b,doll_2.93 b,doll_29.20 b,doll_94.32 b,doll_31.14 b
doll_120.11 b,doll_95.46 b,doll_0.22 b,doll_96.40 b,doll_92.54 b,doll_1.26 b,doll_2.92 b,doll_28.99 b,doll_94.16 b,doll_1.19 b
doll_120.50 b,doll_94.27 b,-doll_0.23 b,doll_96.06 b,doll_91.83 b,doll_3.12 b,doll_2.91 b,doll_29.17 b,doll_91.95 b,doll_7.07 b
doll_120.57 b,doll_94.15 b,doll_0.28 b,doll_95.92 b,doll_91.63 b,doll_2.56 b,doll_2.92 b,doll_29.25 b,doll_91.85 b,doll_4.86 b
doll_121.37 b,doll_92.75 b,doll_0.13 b,doll_95.34 b,doll_90.97 b,doll_2.04 b,doll_2.93 b,doll_29.45 b,doll_91.61 b,doll_0.61 b
doll_120.89 b,doll_92.55 b,doll_62.48 m,doll_94.29 b,doll_90.62 b,doll_1.26 b,doll_2.94 b,doll_29.50 b,doll_89.99 b,doll_1.04 b
