01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_224.62 m,doll_1.4 b,doll_2 b
non e,doll_1.4 b,doll_2 b
doll_236.04 m,doll_1.4 b, doll_1.93 b
doll_329.32 m,doll_1.4 b,doll_1.98 b
doll_292.76 m,doll_1.4 b,doll_1.95 b
doll_523.18 m,doll_1.4 b,doll_1.9 b
doll_389.94 m,doll_1.4 b,doll_1.9 b
doll_256.56 m,doll_1.4 b,doll_1.9 b
doll_436 m,doll_1.4 b,doll_1.9 b
non e,doll_1.3 b,doll_1.9 b
doll_264 m,doll_1.4 b,doll_1.9 b
doll_523.6 m,doll_1.4 b,doll_1.94 b
doll_770 k,doll_1.4 b, doll_1.94  b
doll_362 m,doll_1.4 b,doll_1.9 b
doll_170.5 m,doll_1.4 b,doll_1.9 b
doll_181.1 m,doll_1.4 b,doll_1.87 b
doll_461 m,doll_1.4 b,doll_1.85 b
doll_1.24 b,doll_1.4 b,doll_1.83 b
doll_20.55 m,doll_1.4 b,doll_1.85 b
doll_476.14 m,doll_1.4 b,doll_1.8 b
doll_235.89 m,doll_1.4 b,doll_1.8 b
doll_242.05 m,doll_1.4 b,doll_1.8 b
doll_336.69 m,doll_1.4 b,doll_1.8 b
doll_290.88 m,doll_1.4 b,doll_1.8 b
doll_182.5 m,doll_1.42 b,doll_1.8 b
doll_163.84 m,doll_1.4 b,doll_1.79 b
doll_433.72 m,doll_1.45 b,doll_1.78 b
doll_328.17 m,doll_1.45 b,doll_1.75 b
doll_143 m,doll_1.43 b,doll_1.75 b
doll_452.18 m,doll_1.47 b,doll_1.75 b
doll_228 m,doll_1.45 b,doll_1.8 b
doll_658.49 m,doll_1.49 b,doll_1.73 b
doll_133 m,doll_1.43 b,doll_1.7 b
doll_361 m,doll_1.48 b,doll_1.7 b
doll_247.65 m,doll_1.46 b,doll_1.7 b
doll_569.91 m,doll_1.48 b,doll_1.7 b
doll_280 m,doll_1.5 b,doll_1.7 b
doll_45 m,doll_1.5 b,doll_1.7 b
doll_299.28 m,doll_1.5 b,doll_1.7 b
doll_165 m,doll_1.5 b,doll_1.7 b
doll_121.75 m,doll_1.5 b,doll_1.69 b
doll_432.11 m,doll_1.5 b,doll_1.66 b
doll_281.38 m,doll_1.45 b,doll_1.66 b
doll_210 m, doll_1.50  b,doll_1.6 b
doll_226.6 m,doll_1.45 b,doll_1.7 b
doll_150 k, doll_1.50  b,doll_1.7 b
doll_650.82 m,doll_1.44 b,doll_1.7 b
doll_300 m,doll_1.45 b,doll_1.7 b
doll_292.58 m,doll_1.5 b,doll_1.7 b
doll_62.67 m,doll_1.5 b,doll_1.7 b
doll_192.32 m,doll_1.5 b,doll_1.7 b
doll_303 m,doll_1.5 b,doll_1.7 b
doll_300.34 m,doll_1.5 b,doll_1.7 b
doll_29 m,doll_1.5 b,doll_1.7 b
