00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_47.69 b,doll_12.4 m,doll_33.43 b,doll_46.01 b,doll_46.01 b,doll_955.4 m,doll_52.28 b,doll_19.63 b,doll_46.01 b
doll_r696.34 b,doll_11.9 m,doll_33.46 b,doll_45.98 b,doll_45.98 b,0,,doll_19.65 b,doll_45.98 b
doll_47.89 b,doll_12.4 m,doll_33.47 b,doll_45.89 b,doll_45.89 b,doll_946.9 m,doll_52.19 b,doll_19.67 b,doll_45.89 b
mxdoll_953.25 b,doll_12.4 m,doll_33.49 b,doll_45.83 b,doll_45.83 b,doll_946.4 m,doll_52.00 b,doll_19.67 b,doll_45.83 b
doll_48.14 b,doll_12.4 m,doll_33.64 b,doll_45.77 b,doll_45.77 b,doll_945.6 m,doll_51.80 b,doll_19.69 b,doll_45.77 b
doll_48.15 b,doll_12.6 m,doll_33.66 b,,doll_45.74 b,doll_937.2 m,doll_51.71 b,doll_19.70 b,doll_45.74 b
doll_48.17 b,doll_12.6 m,doll_33.68 b,doll_45.74 b,doll_45.74 b,doll_931.6 m,doll_51.58 b,doll_19.73 b,doll_45.74 b
cdoll_60.42 b,doll_12.5 m,doll_33.69 b,doll_45.64 b,doll_45.64 b,doll_928.5 m,doll_51.55 b,doll_19.74 b,doll_45.64 b
doll_48.46 b,doll_12.8 m,doll_33.73 b,doll_45.56 b,doll_45.56 b,doll_925.5 m,doll_51.51 b,doll_19.75 b,doll_45.56 b
doll_₽4.159 t,doll_12.9 m,doll_33.73 b,doll_45.35 b,doll_45.35 b,doll_920.7 m,,doll_19.78 b,doll_45.35 b
doll_48.50 b,doll_12.9 m,doll_33.95 b,doll_45.21 b,doll_45.21 b,doll_915.0 m,doll_51.43 b,doll_19.82 b,doll_45.21 b
doll_48.52 b,doll_13.2 m,doll_34.01 b,doll_45.13 b,doll_45.13 b,doll_906.3 m,doll_51.03 b,doll_19.82 b,doll_45.13 b
twdoll_1.398 t,doll_13.2 m,doll_34.06 b,doll_45.09 b,doll_45.09 b,doll_905.8 m,doll_50.95 b,doll_19.83 b,doll_45.09 b
adoll_65.11 b,doll_13.2 m,doll_34.11 b,doll_45.00 b,doll_45.0 b,doll_904.5 m,doll_50.76 b,doll_19.84 b,doll_45.00 b
doll_¥5.993 t,doll_13.2 m,doll_34.13 b,doll_44.96 b,doll_44.96 b,doll_904.0 m,doll_50.75 b,doll_19.85 b,doll_44.96 b
doll_43.90 b,doll_3.0 m,doll_34.22 b,doll_44.95 b,doll_44.95 b,doll_903.9 m,doll_50.46 b,doll_19.85 b,doll_44.95 b
