link,name,industry,founded,country,ceo,employees,revenue
https://www.forbes.com/companies/intesa-sanpaolo,Intesa Sanpaolo,Banking,2007,Italy,Carlo Messina,"108,043",$47.8B
https://www.forbes.com/companies/manulife,Manulife,Banking and Financial Services,1887,Canada,Roy Gori,"38,000",$47.2B
https://www.forbes.com/companies/us-bancorp,US Bancorp,Banking,1929,United States,Andrew J. Cecere,"68,796",$23.1B
https://www.forbes.com/companies/basf,BASF,Chemicals,1865,Germany,Martin Brudermüller,"111,047",$92.9B
https://www.forbes.com/companies/cnooc,CNOOC,Oil & Gas Operations,1999,Hong Kong,Xin Huai Zhou,"19,086",$37.8B
https://www.forbes.com/companies/abbott-laboratories,Abbott Laboratories,Health Care Equipment & Services,1888,United States,Robert B. Ford,"113,000",$44.5B
https://www.forbes.com/companies/iberdrola,Iberdrola,Utilities,1992,Spain,José Ignacio Sánchez Galán,"45,000",$46.2B
https://www.forbes.com/companies/china-shenhua-energy,China Shenhua Energy,Materials,2004,China,Zhi Ren Lu,"77,872",$52B
https://www.forbes.com/companies/itau-unibanco-holding,Itaú Unibanco Holding,Banking,1944,Brazil,Milton Maluhy Filho,"99,600",$36B
https://www.forbes.com/companies/caterpillar,Caterpillar,"Engineering, Manufacturing",1925,United States,James Umpleby,"107,700",$51B
https://www.forbes.com/companies/mitsui,Mitsui,Trading Companies,1947,Japan,Kenichi Hori,"44,509",$108.3B
https://www.forbes.com/companies/itochu,Itochu,Trading Companies,1858,Japan,Masahiro Okafuji,"125,944",$108B
https://www.forbes.com/companies/charles-schwab,Charles Schwab,Banking and Financial Services,1971,United States,Walter W. Bettinger II,"33,000",$19B
https://www.forbes.com/companies/truist-financial,Truist Financial,Banking,1872,United States,William H. Rogers Jr.,"52,641",$23.2B
https://www.forbes.com/companies/enbridge,Enbridge,"Construction, Oil & Gas Operations, Mining and Chemicals",1949,Canada,Albert Monaco,"13,000",$37.6B
https://www.forbes.com/companies/hitachi,Hitachi,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1910,Japan,Toshiaki Higashihara,"368,247",$91.9B
https://www.forbes.com/companies/kddi,KDDI,Telecommunications Services,1984,Japan,", Tomonari Sato","47,320",$49.2B
https://www.forbes.com/companies/hyundai-motor,Hyundai Motor,Consumer Durables,1967,South Korea,Chung Eui-sun,"71,982",$102.7B
https://www.forbes.com/companies/china-citic-bank,China Citic Bank,Banking,1987,China,He Ying Fang,"55,419",$57B
https://www.forbes.com/companies/visa,Visa,Banking and Financial Services,1958,United States,Alfred F. Kelly Jr.,"21,500",$25.5B
https://www.forbes.com/companies/target,Target,Retail and Wholesale,1902,United States,Brian Cornell,"450,000",$106B
https://www.forbes.com/companies/bbva-banco-bilbao-vizcaya,BBVA-Banco Bilbao Vizcaya,Banking,1999,Spain,Onur Genç,"110,432",$42B
https://www.forbes.com/companies/tesla,tesla,Consumer Durables,2003,United States,Elon Reeve Musk,"99,290",$53.8B
https://www.forbes.com/companies/john-deere,Deere & Company,Capital Goods,1837,United States,John C. May,"75,600",$44.5B
https://www.forbes.com/companies/hdfc-bank,HDFC Bank,Banking,1994,India,Sashidhar Jagdishan,"141,579",$22.5B
https://www.forbes.com/companies/barclays,Barclays,Banking and Financial Services,1896,United Kingdom,C. S. Venkatakrishnan,"83,500",$30.2B
https://www.forbes.com/companies/munich-re,Munich Re,Insurance,1880,Germany,Joachim Wenning PhD,"39,281",$84.9B
https://www.forbes.com/companies/japan-post-holdings,Japan Post Holdings,Insurance,1871,Japan,Hiroya Masuda,"243,612",$103.6B
https://www.forbes.com/companies/walgreens,Walgreens,Retail and Wholesale,1901,United States,Stefano Pessina,"315,000",$135.9B
https://www.forbes.com/companies/danaher,Danaher,"Engineering, Manufacturing",1984,United States,Rainer M. Blair,"80,000",$30.3B
https://www.forbes.com/companies/generali-group,Generali Group,Insurance,1831,Italy,Philippe Donnet,"75,000",$102.1B
https://www.forbes.com/companies/moller-maersk,Møller-Maersk,Transportation,2009,Denmark,Søren Skou,"2,852",$62B
https://www.forbes.com/companies/lowes,Lowe's,Retailing,1921,United States,Marvin R. Ellison,"340,000",$96.2B
https://www.forbes.com/companies/fedex,FedEx,Transportation and Logistics,1971,United States,Frederick W. Smith,"600,000",$91.5B
https://www.forbes.com/companies/deutsche-post,Deutsche Post,Transportation,1995,Germany,Frank Appel,"592,263",$96.6B
https://www.forbes.com/companies/pnc-financial-services,PNC Financial Services,Banking and Financial Services,1845,United States,William S. Demchak,"59,426",$19.9B
https://www.forbes.com/companies/broadcom,Broadcom,Semiconductors,1961,United States,Hock E. Tan,"20,000",$28.5B
https://www.forbes.com/companies/lukoil,LukOil,Oil & Gas Operations,1991,Russia,Vadim Nikolayevich Vorobyov,Not found,$125.1B
https://www.forbes.com/companies/medtronic,Medtronic,Health Care Equipment & Services,1949,Ireland,Geoffrey Straub Martha,"90,000",$31.8B
https://www.forbes.com/companies/sap,SAP,"IT, Internet, Software & Services",1972,Germany,Christian Klein,"105,000",$33.2B
https://www.forbes.com/companies/sk-hynix,SK Hynix,Semiconductors,1949,South Korea,Seok-Hee Lee,"30,135",$37.5B
https://www.forbes.com/companies/engie,ENGIE ,Oil & Gas Operations,2008,France,Catherine MacGregor,"171,474",$68.4B
https://www.forbes.com/companies/lockheed-martin,Lockheed Martin,Aerospace & Defense,1912,United States,James D. Taiclet,"106,020",$65.8B
https://www.forbes.com/companies/blackrock,BlackRock,Diversified Financials,1988,United States,Laurence Douglas Fink,"18,400",$20.3B
https://www.forbes.com/companies/westpac-banking,Westpac Banking Group,Banking,1817,Australia,Peter Francis King,"40,143",$20.5B
https://www.forbes.com/companies/duke-energy,Duke Energy,Utilities,1904,United States,Lynn J. Good,"27,605",$25.1B
https://www.forbes.com/companies/dell-technologies,Dell Technologies,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1984,United States,Michael Dell,"42,560",$106.8B
https://www.forbes.com/companies/vinci,VINCI,"Construction, Oil & Gas Operations, Mining and Chemicals",1899,France,Xavier Huillard,"219,299",$59.1B
https://www.forbes.com/companies/tokio-marine-holdings,Tokio Marine Holdings,Insurance,1879,Japan,Satoru Komiya,"43,257",$50.6B
https://www.forbes.com/companies/america-movil,América Móvil,"Telecommunications Services, Cable Supplier",2000,Mexico,Daniel Hajj Aboumrad,"181,205",$48.4B
https://www.forbes.com/companies/eon,E.ON,Utilities,2000,Germany,Leonhard Birnbaum,"72,000",$91.4B
https://www.forbes.com/companies/anglo-american,Anglo American,Materials,1917,United Kingdom,Duncan Graham Wanblad,"63,698",$41.5B
https://www.forbes.com/companies/banco-bradesco,Banco Bradesco,Banking,1943,Brazil,Octávio de Lazari Jr.,"87,274",$28.3B
https://www.forbes.com/companies/ing-group,ING Group,Diversified Financials,1991,Netherlands,Steven van Rijswijk,"56,000",$21.5B
https://www.forbes.com/companies/accenture,Accenture,Professional Services,1955,Ireland,Julie Spellman Sweet,"624,000",$56.7B
https://www.forbes.com/companies/honeywell-international,Honeywell International,Conglomerates,1906,United States,Darius Adamczyk,"99,000",$34.4B
https://www.forbes.com/companies/mizuho-financial,Mizuho Financial,Banking,2003,Japan,Masahiro Kihara,"54,492",$26.8B
https://www.forbes.com/companies/linde,Linde,Chemicals,1879,United Kingdom,Sanjiv Lamba,"72,327",$30.8B
https://www.forbes.com/companies/arcelormittal,ArcelorMittal,Materials,2006,Luxembourg,Aditya Mittal,"157,909",$76.7B
https://www.forbes.com/companies/canadian-imperial-bank,Canadian Imperial Bank,Banking,1867,Canada,Victor Dodig,"45,282",$18.7B
https://www.forbes.com/companies/poly-developments-holdings-group,Poly Developments & Holdings Group,Construction,1992,China,Dong Li Zhou,"61,854",$42.9B
https://www.forbes.com/companies/micron-technology,Micron Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1978,United States,Sanjay Mehrotra,"43,000",$31.2B
