,employees,team
993,668.0,09-wissel
994,667.0,09-wissel
995,667.0,09-wissel
996,665.0,09-wissel
997,665.0,09-wissel
998,661.0,09-wissel
999,660.0,09-wissel
1000,660.0,09-wissel
1001,659.0,09-wissel
1002,659.0,09-wissel
1003,658.0,09-wissel
1004,657.0,09-wissel
1005,656.0,09-wissel
1006,655.0,09-wissel
1007,652.0,09-wissel
1008,650.0,09-wissel
1009,650.0,09-wissel
1010,650.0,09-wissel
1011,650.0,09-wissel
1012,650.0,09-wissel
1013,650.0,09-wissel
1014,650.0,09-wissel
1015,649.0,09-wissel
1016,649.0,09-wissel
1017,648.0,09-wissel
1018,646.0,09-wissel
1019,645.0,09-wissel
1020,645.0,09-wissel
1021,643.0,09-wissel
1022,641.0,09-wissel
1023,639.0,09-wissel
1024,639.0,09-wissel
1025,639.0,09-wissel
1026,639.0,09-wissel
1027,637.0,09-wissel
1028,636.0,09-wissel
1029,635.0,09-wissel
1030,635.0,09-wissel
1031,633.0,09-wissel
1032,633.0,09-wissel
1033,632.0,09-wissel
1034,631.0,09-wissel
1035,630.0,09-wissel
1036,623.0,09-wissel
1037,622.0,09-wissel
1038,620.0,09-wissel
1039,614.0,09-wissel
1040,614.0,09-wissel
1041,613.0,09-wissel
1042,612.0,09-wissel
1043,612.0,09-wissel
1044,611.0,09-wissel
1045,608.0,09-wissel
1046,608.0,09-wissel
1047,607.0,09-wissel
1048,607.0,09-wissel
1049,606.0,09-wissel
1050,606.0,09-wissel
1051,606.0,09-wissel
1052,603.0,09-wissel
1053,601.0,09-wissel
1054,601.0,09-wissel
1055,600.0,09-wissel
1056,600.0,09-wissel
1057,600.0,09-wissel
1058,600.0,09-wissel
1059,600.0,09-wissel
1060,600.0,09-wissel
1061,600.0,09-wissel
1062,596.0,09-wissel
1063,594.0,09-wissel
1064,590.0,09-wissel
1065,590.0,09-wissel
1066,586.0,09-wissel
1067,586.0,09-wissel
1068,583.0,09-wissel
1069,583.0,09-wissel
1070,582.0,09-wissel
1071,580.0,09-wissel
1072,579.0,09-wissel
1073,579.0,09-wissel
1074,578.0,09-wissel
1075,578.0,09-wissel
1076,576.0,09-wissel
1077,576.0,09-wissel
1078,573.0,09-wissel
1079,572.0,09-wissel
1080,570.0,09-wissel
1081,570.0,09-wissel
1082,570.0,09-wissel
1083,566.0,09-wissel
1084,564.0,09-wissel
1085,563.0,09-wissel
1086,562.0,09-wissel
1087,561.0,09-wissel
1088,560.0,09-wissel
1089,559.0,09-wissel
1090,559.0,09-wissel
1091,558.0,09-wissel
1092,556.0,09-wissel
1093,555.0,09-wissel
1094,552.0,09-wissel
1095,552.0,09-wissel
1096,550.0,09-wissel
1097,546.0,09-wissel
1098,545.0,09-wissel
1099,542.0,09-wissel
1100,541.0,09-wissel
1101,541.0,09-wissel
1102,540.0,09-wissel
1103,540.0,09-wissel
1104,539.0,09-wissel
1105,539.0,09-wissel
1106,537.0,09-wissel
1107,536.0,09-wissel
1108,535.0,09-wissel
1109,535.0,09-wissel
1110,534.0,09-wissel
1111,530.0,09-wissel
1112,530.0,09-wissel
1113,530.0,09-wissel
1114,530.0,09-wissel
1115,530.0,09-wissel
1116,527.0,09-wissel
1117,527.0,09-wissel
1118,525.0,09-wissel
1119,524.0,09-wissel
1120,523.0,09-wissel
1121,523.0,09-wissel
1122,519.0,09-wissel
1123,519.0,09-wissel
1124,518.0,09-wissel
1125,517.0,09-wissel
1126,517.0,09-wissel
1127,513.0,09-wissel
1128,513.0,09-wissel
1129,512.0,09-wissel
1130,512.0,09-wissel
1131,511.0,09-wissel
1132,511.0,09-wissel
1133,510.0,09-wissel
1134,510.0,09-wissel
1135,509.0,09-wissel
1136,508.0,09-wissel
1137,507.0,09-wissel
1138,506.0,09-wissel
1139,504.0,09-wissel
1140,503.0,09-wissel
1141,500.0,09-wissel
1142,500.0,09-wissel
1143,500.0,09-wissel
1144,500.0,09-wissel
1145,500.0,09-wissel
1146,500.0,09-wissel
1147,500.0,09-wissel
1148,500.0,09-wissel
1149,498.0,09-wissel
1150,497.0,09-wissel
1151,496.0,09-wissel
