name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Bank Albilad,1140.SR,1222,$12.53 B,Saudi Arabia,$12.54,-0.32%,48.05%,"['Banks', 'Financialservices']"
Kirin Holdings,2503.T,1224,$12.53 B,Japan,$15.44,-0.35%,-7.32%,"['Food', 'Beverages', 'Alcoholicbeverages']"
POOLCORP,POOL,1223,$12.53 B,USA,$321.08,0.97%,-42.99%,[]
Snap-on,SNA,1221,$12.55 B,USA,$236.23,-0.37%,10.25%,"['Toolmanufacturers', 'Manufacturing']"
KPN,KPN.F,1220,$12.55 B,Netherlands,$3.06,-0.78%,5.15%,['Telecommunication']
Subaru,7270.T,1218,$12.60 B,Japan,$16.43,-0.31%,-12.19%,['Automakers']
Zhongsheng Group,0881.HK,1219,$12.58 B,China,$5.23,0.74%,-34.87%,"['Retail', 'Carrental']"
Essential Utilities,WTRG,1217,$12.61 B,USA,$48.09,0.27%,-4.13%,['Utilitycompanies']
Carrefour,CA.PA,1215,$12.62 B,France,$17.29,-1.26%,1.23%,"['Retail', 'CAC40', 'SupermarketChains']"
United Therapeutics,UTHR,1216,$12.62 B,USA,$277.08,0.17%,45.52%,"['Pharmaceuticals', 'Biotech']"
Amerco,UHAL,1214,$12.64 B,USA,$64.47,1.26%,-90.95%,"['Insurance', 'RentalLeasingServices']"
Power Financial,PWF-PS.TO,1211,$12.67 B,Canada,$13.79,-0.37%,-29.43%,"['AssetManagement', 'Financialservices']"
South32,S32.AX,1213,$12.66 B,Australia,$2.77,-5.08%,4.92%,['Mining']
Bio-Techne,TECH,1212,$12.66 B,USA,$80.67,0.00%,-82.94%,['Pharmaceuticals']
Tech Mahindra,TECHM.NS,1210,$12.69 B,India,$13.04,-0.36%,-37.64%,[]
Poste Italiane,PST.MI,1208,$12.70 B,Italy,$9.71,-2.37%,-24.14%,['Courier']
SS&C Technologies,SSNC,1207,$12.71 B,USA,$50.47,-0.45%,-35.67%,"['Software', 'Tech']"
Acciona Energías Renovables,ANE.MC,1209,$12.70 B,Spain,$38.61,-1.66%,10.41%,"['Energy', 'Renewableenergy', 'Electricity']"
Siemens India,SIEMENS.NS,1206,$12.74 B,India,$35.76,1.39%,21.96%,[]
Advantest,6857.T,1205,$12.74 B,Japan,$68.24,-0.53%,-23.87%,[]
Newcrest Mining,NCM.AX,1203,$12.76 B,Australia,$14.29,2.02%,-12.97%,['Mining']
Host Hotels & Resorts,HST,1204,$12.75 B,USA,$17.58,0.98%,6.03%,"['Realestate', 'Hotels', 'Investment', 'Travel']"
Mitsubishi Heavy Industries,7011.T,1177,$13.07 B,Japan,$38.95,-0.04%,62.97%,[]
Hindalco Industries,HINDALCO.NS,1202,$12.77 B,India,$5.72,1.58%,-2.56%,[]
Worldline,WLN.PA,1200,$12.80 B,France,$43.99,-0.59%,-21.35%,"['Financialservices', 'CAC40']"
Nitori Holdings,9843.T,1176,$13.11 B,Japan,$116.17,0.95%,-28.48%,['Retail']
Bank Leumi,LUMI.TA,1175,$13.11 B,Israel,$8.91,0.92%,,"['Banks', 'Financialservices']"
Shinkin Central Bank,8421.T,1174,$13.13 B,Japan,"$1,958",-0.04%,-8.24%,"['Banks', 'Financialservices']"
Indian Oil,IOC.NS,1173,$13.15 B,India,$0.93,0.07%,-41.88%,"['OilGas', 'Energy']"
Viatris,VTRS,1169,$13.21 B,USA,$10.90,-0.27%,-12.10%,"['Pharmaceuticals', 'Biotech']"
Suzano,SUZ,1168,$13.23 B,Brazil,$10.11,0.20%,-3.53%,[]
Domino's Pizza,DPZ,1172,$13.17 B,USA,$372.14,0.75%,-30.76%,"['Pizza', 'Food', 'Restaurantchains']"
First Horizon National,FHN,1170,$13.20 B,USA,$24.60,0.41%,47.57%,[]
Nissan,7201.T,1171,$13.20 B,Japan,$3.37,-0.45%,-32.87%,"['Automakers', 'Manufacturing']"
Hubbell,HUBB,1167,$13.25 B,USA,$246.78,0.55%,18.04%,['Electronics']
American Homes 4 Rent,AMH,1166,$13.25 B,USA,$32.75,2.12%,-21.31%,"['Realestate', 'Investment']"
Vodacom,5VD.F,1165,$13.27 B,South Africa,$7.62,6.62%,-8.19%,['Telecommunication']
RPM International,RPM,1164,$13.29 B,USA,$102.95,0.22%,6.76%,"['PaintCoating', 'Buildingmaterials']"
Philips,PHG,1163,$13.30 B,Netherlands,$14.20,0.00%,-59.42%,[]
Huaneng Power,600011.SS,1160,$13.36 B,China,$1.03,-1.37%,-15.57%,"['Energy', 'Electricity']"
Sysmex,6869.T,1162,$13.32 B,Japan,$63.53,-0.38%,-49.86%,['Healthcare']
Weichai Power,2338.HK,1159,$13.36 B,China,$1.34,2.97%,-34.63%,['Manufacturing']
Loews Corporation,L,1161,$13.35 B,USA,$56.24,-1.54%,-1.07%,[]
Bank of Beijing,601169.SS,1157,$13.37 B,China,$0.63,1.15%,-10.00%,"['Banks', 'Financialservices']"
Gaming and Leisure Properties,GLPI,1156,$13.37 B,USA,$51.95,-0.86%,10.89%,"['Gambling', 'Realestate', 'REITs', 'Investment']"
Swatch,UHR.SW,1158,$13.37 B,Switzerland,$268.23,1.20%,-14.49%,[]
Metro,MRU.TO,1152,$13.40 B,Canada,$56.97,0.31%,14.72%,"['SupermarketChains', 'Retail']"
OBIC,4684.T,1154,$13.39 B,Japan,$151.02,0.78%,-17.90%,[]
Franklin Resources,BEN,1155,$13.37 B,USA,$26.78,0.68%,-18.80%,['Investment']
Nordson,NDSN,1150,$13.45 B,USA,$235.14,0.66%,-11.22%,['Manufacturing']
Eurofins Scientific,ERF.PA,1151,$13.43 B,Luxembourg,$67.57,-1.71%,-42.77%,"['CAC40', 'DiagnosticsandTesting']"
Jack Henry & Associates,JKHY,1149,$13.47 B,USA,$184.78,0.70%,17.42%,"['Financialservices', 'Tech']"
EQT Corporation,EQT,1148,$13.48 B,USA,$36.73,-0.49%,78.73%,[]
Huazhu Hotels,HTHT,1145,$13.49 B,China,$41.27,-3.46%,2.31%,"['Hotels', 'Travel']"
Toyota Tsusho,8015.T,1146,$13.49 B,Japan,$38.36,0.77%,-13.99%,[]
Shaw Communications,SJR,1147,$13.49 B,Canada,$26.95,-0.04%,-9.14%,['Telecommunication']
NetApp,NTAP,1143,$13.57 B,USA,$62.98,-0.16%,-30.54%,"['Software', 'Tech']"
ASM International,ASM.AS,1142,$13.59 B,Netherlands,$278.48,0.09%,-37.30%,"['Semiconductors', 'Engineering', 'Tech']"
Formosa Chemicals & Fibre,1326.TW,1144,$13.56 B,Taiwan,$2.32,-2.20%,-20.27%,['Chemicals']
Westlake Chemical,WLK,1140,$13.60 B,USA,$106.66,0.29%,10.06%,['Chemicals']
Kimco Realty,KIM,1141,$13.59 B,USA,$21.99,-0.45%,-6.86%,"['REITs', 'Realestate', 'Investment']"
Unity Software,U,1139,$13.61 B,USA,$33.77,-1.60%,-78.00%,"['Software', 'Tech', 'Videogames']"
Formula One Group,FWONK,1138,$13.61 B,USA,$58.99,-0.69%,-4.44%,[]
Healthpeak Properties,PEAK,1136,$13.62 B,USA,$25.35,-1.78%,-25.83%,"['Realestate', 'Investment']"
Cboe,CBOE,1135,$13.63 B,USA,$128.50,0.09%,-1.89%,"['Stockexchanges', 'Financialservices', 'StockCryptoexchanges']"
Liberty Media,LSXMB,1133,$13.68 B,USA,$46.01,10.20%,-7.98%,"['MediaPress', 'Entertainment']"
Dassault Aviation,AM.PA,1137,$13.62 B,France,$164.56,1.62%,56.35%,"['Aircraftmanufacturers', 'Defensecontractors', 'Manufacturing']"
Alliant Energy,LNT,1134,$13.68 B,USA,$54.50,-1.46%,-6.57%,"['Utilitycompanies', 'Electricity', 'Energy']"
Evergy,EVRG,1132,$13.69 B,USA,$59.67,2.05%,-10.50%,"['Utilitycompanies', 'Electricity', 'Energy']"
China Eastern Airlines,CEA,1129,$13.71 B,China,$20.55,7.70%,9.72%,"['Airlines', 'Travel', 'Transportation']"
Splunk,SPLK,1130,$13.70 B,USA,$83.72,-1.04%,-29.04%,"['Software', 'Tech']"
Moncler,MONC.MI,1131,$13.70 B,Italy,$50.03,0.57%,-36.01%,[]
B3,B3SA3.SA,1128,$13.73 B,Brazil,$2.36,0.57%,11.32%,"['Stockexchanges', 'Financialservices', 'StockCryptoexchanges']"
Fleetcor,FLT,1125,$13.75 B,USA,$186.44,0.57%,-15.31%,['Financialservices']
Edenred,EDEN.PA,1127,$13.74 B,France,$55.23,0.61%,20.75%,[]
Sompo Holdings,8630.T,1124,$13.77 B,Japan,$41.24,-0.27%,-5.37%,['Insurance']
Toshiba,6502.T,1123,$13.78 B,Japan,$31.86,-1.11%,-23.80%,[]
MTN Group,MTN.JO,1122,$13.83 B,South Africa,$7.66,-2.91%,-18.60%,['Telecommunication']
Jerónimo Martins,JEM.F,1126,$13.74 B,Portugal,$21.65,0.39%,-1.99%,['Retail']
Almarai,2280.SR,1121,$13.93 B,Saudi Arabia,$14.02,1.15%,9.45%,[]
Teleperformance,TEP.PA,1120,$13.93 B,France,$234.45,-1.28%,-44.64%,"['CAC40', 'Professionalservices']"
Swire Properties,1972.HK,1119,$13.96 B,Hong Kong,$2.39,2.54%,-0.83%,['Realestate']
MGM Resorts,MGM,1118,$13.97 B,USA,$36.38,-2.52%,-14.88%,"['Gambling', 'Hotels', 'Entertainment', 'Travel']"
Apache Corporation,APA,1117,$14.03 B,USA,$43.66,-0.48%,62.37%,[]
Booz Allen Hamilton,BAH,1116,$14.04 B,USA,$106.25,-1.26%,23.20%,"['ITservices', 'Professionalservices']"
Akamai,AKAM,1113,$14.09 B,USA,$89.66,-0.17%,-20.14%,"['Tech', 'Internet', 'Software', 'ITsecurity']"
LKQ Corporation,LKQ,1115,$14.06 B,USA,$52.65,-1.99%,-10.28%,['autoparts']
BT Group,BT-A.L,1114,$14.08 B,UK,$1.38,-3.31%,-39.74%,['Telecommunication']
Fairfax Financial,FFH.TO,1112,$14.11 B,Canada,$564.76,-0.19%,22.09%,[]
MFHC,2886.TW,1111,$14.14 B,Taiwan,$1.01,0.48%,-20.47%,"['Financialservices', 'Banks']"
Erie Indemnity,ERIE,1109,$14.15 B,USA,$270.76,-2.58%,39.62%,['Insurance']
Expedia Group,EXPE,1106,$14.17 B,USA,$90.79,-6.32%,-45.49%,"['Travel', 'Internet', 'OnlineTravel', 'Tech']"
Bandai Namco,7832.T,1110,$14.15 B,Japan,$64.33,-0.53%,-20.97%,"['Videogames', 'Entertainment', 'Tech']"
Nomura Research Institute,4307.T,1103,$14.17 B,Japan,$23.96,0.46%,-44.24%,['Professionalservices']
Sunny Optical,2382.HK,1108,$14.15 B,China,$12.91,6.35%,-55.91%,[]
Prada,1913.HK,1102,$14.18 B,Italy,$5.54,1.05%,-18.29%,"['Luxurygoods', 'Clothing']"
Vedanta,VEDL.NS,1107,$14.16 B,India,$3.81,0.30%,-16.45%,['Mining']
Teradyne,TER,1101,$14.22 B,USA,$91.36,1.07%,-42.58%,['Electronics']
Astra International,ASII.JK,1072,$14.70 B,Indonesia,$0.36,-0.87%,-12.20%,[]
Skyworks Solutions,SWKS,1070,$14.72 B,USA,$91.96,-0.30%,-41.55%,"['Electronics', 'Tech', 'Semiconductors', 'TechHardware']"
Volvo Car,VOLCAR-B.ST,1068,$14.75 B,Sweden,$4.75,-1.71%,-42.77%,"['Automakers', 'Manufacturing']"
WSP Global,WSP.TO,1074,$14.70 B,Canada,$118.16,0.72%,-18.48%,"['Engineering', 'Professionalservices']"
Link REIT,0823.HK,1071,$14.72 B,Hong Kong,$6.99,3.62%,-18.53%,"['Investment', 'Realestate', 'REITs']"
Gen Digital,GEN,1067,$14.75 B,USA,$22.65,-2.08%,,"['ITsecurity', 'Tech', 'Software']"
Tryg,TRYG.CO,1069,$14.74 B,Denmark,$23.15,-0.67%,-7.18%,['Insurance']
Leidos,LDOS,1065,$14.83 B,USA,$108.50,-0.90%,20.80%,"['Software', 'ITsecurity', 'Tech']"
Shionogi,4507.T,1066,$14.77 B,Japan,$49.31,-0.75%,-25.89%,['Pharmaceuticals']
Daiwa House,1925.T,1064,$14.85 B,Japan,$22.65,0.03%,-24.85%,['Construction']
KB Financial Group,KB,1061,$14.87 B,South Korea,$38.52,-1.98%,-21.31%,"['Financialservices', 'Banks']"
JDE Peet's,JDE.F,1063,$14.85 B,Netherlands,$29.32,-1.13%,1.88%,['Beverages']
Snap,SNAP,1060,$15.00 B,USA,$9.30,-1.27%,-81.55%,"['Internet', 'Tech']"
Tradeweb,TW,1062,$14.87 B,USA,$64.35,-0.62%,-33.16%,['Financialservices']
Blue Owl Capital,OWL,1058,$15.06 B,USA,$10.80,0.93%,-32.12%,"['AssetManagement', 'Financialservices']"
HDFC Life,HDFCLIFE.NS,1059,$15.06 B,India,$7.01,-0.74%,-23.89%,['Insurance']
Aristocrat,ALL.AX,1057,$15.07 B,Australia,$22.85,-0.09%,-28.35%,"['Gambling', 'Videogames', 'Entertainment']"
GAC (Guangzhou Automobile Group),601238.SS,1056,$15.08 B,China,$1.75,-0.16%,-29.72%,"['Automakers', 'Manufacturing']"
NVR,NVR,1055,$15.10 B,USA,"$4,725",2.72%,-16.69%,"['Construction', 'Financialservices']"
Shimano,7309.T,1054,$15.12 B,Japan,$166.87,0.62%,-40.24%,['Sportsgoods']
Textron,TXT,1052,$15.15 B,USA,$72.57,-1.36%,-3.54%,['Conglomerate']
Coles Group,COL.AX,1051,$15.16 B,Australia,$11.33,0.48%,-9.86%,['Retail']
Aviva,AV.L,1050,$15.17 B,UK,$5.39,-0.11%,-22.11%,['Insurance']
MS&AD Insurance,8725.T,1053,$15.14 B,Japan,$28.34,-0.31%,-5.91%,['Insurance']
Adani Power,ADANIPOWER.NS,1049,$15.17 B,India,$3.93,-0.22%,195.49%,"['Electricity', 'Energy']"
Nippon Steel,5401.T,1048,$15.26 B,Japan,$16.58,0.31%,-0.36%,"['Steelproducers', 'Steelindustry']"
XL Axiata,E5F.F,1047,$15.27 B,Indonesia,$0.12,-1.69%,-36.84%,['Telecommunication']
PChem (Petronas Chemicals Group),5183.KL,1046,$15.28 B,Malaysia,$1.91,-1.64%,-4.50%,['Chemicals']
Bank of Nanjing,601009.SS,1043,$15.33 B,China,$1.48,1.08%,0.68%,"['Banks', 'Financialservices']"
Norsk Hydro,NHY.OL,1044,$15.33 B,Norway,$7.50,2.01%,9.33%,[]
Symrise,SY1.DE,1041,$15.38 B,Germany,$110.08,-0.76%,-21.88%,"['FlavorsFragrances', 'DAX']"
Pinterest,PINS,1042,$15.38 B,USA,$22.68,-0.18%,-41.37%,['Internet']
SBI Life Insurance,SBILIFE.NS,1040,$15.38 B,India,$15.38,0.38%,0.00%,['Insurance']
Danske Bank,DANS.VI,1038,$15.43 B,Denmark,$18.13,0.15%,3.25%,"['Banks', 'Financialservices']"
Omnicom,OMC,1039,$15.43 B,USA,$75.67,-0.60%,8.29%,"['Professionalservices', 'Advertising']"
Brookfield Infrastructure Partners,BIP,1036,$15.48 B,Bermuda,$33.77,-0.32%,-42.09%,[]
Targa Resources,TRGP,1034,$15.52 B,USA,$68.57,-1.55%,28.46%,"['OilGas', 'Energy']"
Terna,TRN.MI,1037,$15.47 B,Italy,$7.65,-0.52%,-0.26%,"['Electricity', 'Energy', 'Infrastructure']"
Cooper Companies,COO,1033,$15.52 B,USA,$314.58,0.47%,-22.55%,['Glassesandcontactlenses']
Jacobs Engineering,J,1035,$15.50 B,USA,$122.72,0.68%,-14.49%,[]
Avery Dennison,AVY,1032,$15.52 B,USA,$191.76,0.41%,-10.90%,[]
Aéroports de Paris,ADP.PA,1031,$15.58 B,France,$137.61,0.61%,13.10%,"['Airports', 'Infrastructure']"
Fresenius,FRE.DE,1029,$15.61 B,Germany,$27.72,-0.23%,-29.61%,"['DAX', 'Healthcare']"
Synchrony,SYF,1030,$15.60 B,USA,$34.63,-0.03%,-27.23%,['Financialservices']
3i Group,III.L,1026,$15.76 B,UK,$16.15,0.99%,-16.28%,['Investment']
Howmet Aerospace,HWM,1028,$15.66 B,USA,$37.87,0.00%,22.83%,['Aerospace']
Sonova,SOON.SW,1027,$15.69 B,Switzerland,$256.65,-0.86%,-31.71%,['Medicaldevices']
Iron Mountain,IRM,1025,$15.82 B,USA,$54.43,-0.44%,13.25%,['Professionalservices']
First Quantum Minerals,FM.TO,1024,$15.83 B,Canada,$22.87,-1.79%,0.84%,['Mining']
Santos,STO.AX,1023,$15.85 B,Australia,$4.77,-1.12%,0.63%,"['OilGas', 'Energy']"
Wharf REIC,1997.HK,1022,$15.87 B,Hong Kong,$5.23,4.63%,-1.51%,"['Realestate', 'Investment']"
Swiss Life,SLHN.SW,1021,$15.88 B,Switzerland,$525.95,-0.98%,-10.98%,['Insurance']
Associated British Foods,ABF.L,1018,$15.93 B,UK,$20.18,-0.48%,-22.44%,['Food']
Bank of Jiangsu,600919.SS,1020,$15.89 B,China,$1.08,1.08%,13.68%,"['Banks', 'Financialservices']"
Asahi Group,2502.T,1013,$15.99 B,Japan,$31.56,-0.78%,-21.92%,"['Beverages', 'Alcoholicbeverages']"
Hai Di Lao Hot Pot,6862.HK,1019,$15.89 B,China,$2.85,6.22%,21.28%,"['Restaurantchains', 'Food']"
Advanced Info Service (AIS),ADVANC.BK,1016,$15.94 B,Thailand,$5.36,0.00%,-14.10%,['Telecommunication']
China Merchants Securities,600999.SS,1017,$15.94 B,China,$1.98,0.22%,-29.29%,[]
China Railway Construction,601186.SS,1015,$15.96 B,China,$1.27,0.91%,3.25%,"['Railways', 'Construction']"
PhosAgro,PHOR.ME,1012,$16.06 B,Russia,$124.09,0.11%,65.52%,"['Chemicals', 'Agriculture']"
ICON plc,ICLR,1011,$16.07 B,Ireland,$196.89,-1.71%,-29.33%,['Pharmaceuticals']
Publicis Groupe,PUB.PA,1010,$16.08 B,France,$64.33,-0.36%,-2.63%,"['CAC40', 'Advertising', 'Professionalservices']"
KeyCorp (KeyBank),KEY,1009,$16.10 B,USA,$17.26,0.58%,-25.64%,"['Financialservices', 'Banks']"
FMC,FMC,1008,$16.11 B,USA,$127.92,-0.02%,19.44%,['Chemicals']
OMV,OMV.F,1006,$16.12 B,Austria,$49.27,-0.53%,-13.10%,"['OilGas', 'Energy']"
DiDi,DIDIY,1004,$16.21 B,China,$3.34,7.74%,-53.61%,"['Ridesharing', 'Internet', 'Tech', 'Transportation']"
The Mosaic Company,MOS,1007,$16.11 B,USA,$47.33,-0.80%,31.95%,['Fertilizercompanies']
Fox Corporation,FOX,1003,$16.22 B,USA,$28.92,-1.06%,-14.82%,['MediaPress']
Henderson Land Development,0012.HK,1005,$16.16 B,Hong Kong,$3.34,6.34%,-20.10%,['Realestate']
China Merchants Shekou Industrial Zone,001979.SZ,1002,$16.23 B,China,$2.10,0.00%,6.60%,[]
Rentokil Initial,RTO.L,974,$16.67 B,UK,$6.52,-0.56%,-21.63%,[]
Brown & Brown,BRO,1001,$16.23 B,USA,$57.32,-1.12%,-14.51%,[]
Take 2 Interactive,TTWO,973,$16.69 B,USA,$99.49,-1.76%,-40.53%,"['Videogames', 'Esports', 'Entertainment', 'Tech']"
Hong Kong and China Gas,0003.HK,972,$16.70 B,Hong Kong,$0.88,0.00%,-41.72%,"['OilGas', 'Energy']"
CP All,CPALL.BK,971,$16.72 B,Thailand,$1.86,0.00%,5.68%,"['Retail', 'SupermarketChains']"
Renesas Electronics,6723.T,975,$16.67 B,Japan,$9.31,0.04%,-25.22%,"['Electronics', 'Semiconductors', 'Tech', 'TechHardware']"
Broadridge Financial Solutions,BR,969,$16.75 B,USA,$142.39,-0.66%,-18.27%,"['Professionalservices', 'Financialservices']"
Toyota Industries,6201.T,967,$16.80 B,Japan,$54.14,-1.07%,-34.51%,[]
POSCO,PKX,968,$16.78 B,South Korea,$55.02,0.92%,-10.75%,"['Steelproducers', 'Steelindustry']"
Suzuki Motor,7269.T,970,$16.74 B,Japan,$34.48,-0.80%,-16.05%,"['Automakers', 'Manufacturing']"
ZTE,000063.SZ,965,$16.91 B,China,$3.82,0.23%,-21.40%,['Telecommunication']
Campbell Soup,CPB,966,$16.82 B,USA,$56.18,6.02%,36.62%,['Food']
Guotai Junan Securities,601211.SS,964,$16.93 B,China,$2.04,-0.07%,-24.72%,"['Financialservices', 'Banks', 'Investment']"
Alinma Bank,1150.SR,960,$16.99 B,Saudi Arabia,$8.50,1.11%,37.10%,"['Banks', 'Financialservices']"
Quest Diagnostics,DGX,963,$16.96 B,USA,$149.00,0.02%,-6.96%,['DiagnosticsandTesting']
Warner Music Group,WMG,961,$16.99 B,USA,$33.00,-0.75%,-23.72%,['Entertainment']
Lasertec,6920.T,962,$16.98 B,Japan,$188.35,-1.90%,-28.65%,"['Semiconductors', 'Tech', 'TechHardware']"
Kubota,6326.T,959,$17.01 B,Japan,$14.28,-0.89%,-35.91%,[]
Pidilite,PIDILITIND.NS,954,$17.03 B,India,$33.52,-0.38%,14.17%,[]
Ubiquiti,UI,955,$17.03 B,USA,$281.96,-1.16%,-1.96%,"['Electronics', 'Networkinghardware', 'TechHardware']"
Abiomed,ABMD,956,$17.03 B,USA,$377.79,-0.04%,17.77%,['Medicaldevices']
Icahn Enterprises,IEP,958,$17.01 B,USA,$50.43,0.32%,0.38%,[]
Snam,SRG.MI,957,$17.03 B,Italy,$5.03,-0.48%,-13.72%,"['Energy', 'Infrastructure']"
Ryanair,RYAAY,952,$17.13 B,Ireland,$75.24,-1.09%,-25.73%,"['Airlines', 'Travel', 'Transportation']"
FactSet,FDS,951,$17.15 B,USA,$450.29,-0.85%,-3.54%,"['Financialservices', 'Software', 'Tech']"
Expeditors,EXPD,953,$17.12 B,USA,$107.60,-2.35%,-16.88%,['Transportation']
Mengniu Dairy,2319.HK,947,$17.21 B,China,$4.35,0.59%,-23.42%,"['Food', 'Dairycompanies']"
Antofagasta,ANTO.L,948,$17.20 B,UK,$17.45,1.52%,-7.28%,"['Conglomerate', 'Mining']"
SGS,SGSN.SW,950,$17.18 B,Switzerland,"$2,294",-0.74%,-28.31%,[]
Saudi Arabian Fertilizer Company,2020.SR,949,$17.19 B,Saudi Arabia,$36.12,1.34%,-20.56%,['Fertilizercompanies']
Coal India,COALINDIA.NS,945,$17.23 B,India,$2.80,0.28%,40.00%,"['Mining', 'CoalMining', 'Energy']"
Ajinomoto,2802.T,946,$17.23 B,Japan,$32.12,-0.43%,4.97%,['Food']
Aeon,8267.T,942,$17.31 B,Japan,$20.45,-0.27%,-15.64%,"['Retail', 'SupermarketChains']"
Chongqing Changan,000625.SZ,944,$17.25 B,China,$1.99,-1.35%,-26.84%,"['Automakers', 'Manufacturing']"
Monolithic Power Systems,MPWR,943,$17.26 B,USA,$367.77,1.07%,-31.74%,"['Electronics', 'Tech', 'TechHardware', 'Semiconductors']"
Huatai Securities,206G.F,941,$17.32 B,China,$17.23,4.46%,-25.89%,[]
Vantage Towers,VTWR.DE,940,$17.34 B,Germany,$34.30,0.00%,1.93%,"['Telecommunication', 'Infrastructure', 'Realestate']"
SolarEdge,SEDG,939,$17.37 B,Israel,$310.79,3.95%,-4.62%,"['Energy', 'Electricity', 'Renewableenergy']"
Marathon Oil,MRO,937,$17.40 B,USA,$27.41,-0.15%,68.06%,"['OilGas', 'Energy']"
Darden Restaurants,DRI,938,$17.40 B,USA,$142.21,-0.45%,-3.99%,"['Restaurantchains', 'Food']"
Markel,MKL,936,$17.40 B,USA,"$1,294",-1.61%,3.58%,"['Insurance', 'Investment']"
Chewy,CHWY,935,$17.42 B,USA,$41.23,-1.17%,-32.15%,"['Internet', 'ECommerce', 'Tech']"
Tsingtao,600600.SS,934,$17.43 B,China,$15.66,0.50%,-2.49%,"['Alcoholicbeverages', 'Beverages']"
West Pharmaceutical,WST,932,$17.46 B,USA,$235.89,0.38%,-45.14%,"['Pharmaceuticals', 'Packaging']"
ČEZ Group,CEZ.F,933,$17.44 B,Czech Republic,$32.49,1.38%,-2.29%,"['Electricity', 'OilGas', 'Energy']"
Ventas,VTR,931,$17.51 B,USA,$43.82,-2.69%,-11.33%,['Realestate']
PerkinElmer,PKI,930,$17.59 B,USA,$139.30,1.46%,-24.93%,"['Chemicals', 'Healthcare']"
Exor,EYX.F,929,$17.60 B,Netherlands,$76.80,-2.95%,-13.98%,['Investment']
Brookfield Renewable Partners,BEP,928,$17.64 B,Bermuda,$27.52,-0.11%,-21.26%,"['Energy', 'Renewableenergy', 'Electricity']"
China Southern Airlines,ZNH,927,$17.72 B,China,$31.19,3.35%,6.52%,"['Airlines', 'Travel', 'Transportation']"
Essity,ESWB.F,924,$17.73 B,Sweden,$25.60,1.84%,-19.75%,[]
Dollarama,DOL.TO,925,$17.73 B,Canada,$61.52,5.21%,36.53%,[]
CMS Energy,CMS,923,$17.74 B,USA,$61.13,0.15%,-1.45%,"['Electricity', 'Energy', 'Utilitycompanies']"
IDEX,IEX,926,$17.72 B,USA,$235.05,0.54%,-0.04%,[]
China Communications Construction,601800.SS,922,$17.75 B,China,$1.33,-1.28%,5.56%,"['Engineering', 'Construction']"
Veolia,VIE.PA,919,$17.83 B,France,$25.69,-0.61%,-23.40%,"['CAC40', 'WasteRecycling']"
Cathay Financial Holding,2882.TW,920,$17.78 B,Taiwan,$1.33,-1.57%,-39.27%,"['Financialservices', 'Banks', 'Insurance']"
Mitsubishi Estate,8802.T,921,$17.78 B,Japan,$13.44,-0.30%,-5.75%,['Realestate']
LPL Financial,LPLA,918,$17.86 B,USA,$224.46,-1.14%,36.69%,['Financialservices']
CLP Group,0002.HK,917,$17.88 B,Hong Kong,$7.08,-0.63%,-26.78%,"['Electricity', 'Energy']"
China Unicom,0762.HK,916,$17.88 B,Hong Kong,$0.58,1.56%,18.37%,['Telecommunication']
Wheaton Precious Metals,WPM,915,$17.89 B,Canada,$39.42,1.57%,-4.06%,"['Mining', 'SilverMining', 'Goldmining']"
Straumann,STMN.SW,912,$17.95 B,Switzerland,$112.98,-0.42%,-94.86%,['Medicaldevices']
Kyocera,6971.T,911,$17.97 B,Japan,$50.08,-0.15%,-18.58%,[]
Amcor,AMCR,909,$18.06 B,Switzerland,$12.13,-0.16%,4.66%,['Packaging']
Best Buy,BBY,910,$18.00 B,USA,$81.37,-2.29%,-23.73%,"['Retail', 'Electronics']"
United Microelectronics,UMC,906,$18.10 B,Taiwan,$7.16,-0.28%,-42.90%,"['Semiconductors', 'Tech']"
Garmin,GRMN,908,$18.08 B,Switzerland,$94.34,-0.17%,-30.86%,[]
Formosa Plastics,1301.TW,904,$18.13 B,Taiwan,$2.85,-0.91%,-23.80%,['Chemicals']
Porsche SE,PAH3.DE,905,$18.11 B,Germany,$59.14,-1.26%,-35.72%,"['Investment', 'Financialservices', 'DAX']"
Mitsui Fudosan,8801.T,907,$18.10 B,Japan,$19.08,-0.29%,-14.67%,['Realestate']
J. B. Hunt,JBHT,901,$18.25 B,USA,$176.30,-0.78%,-10.13%,[]
George Weston,WN.TO,902,$18.22 B,Canada,$125.90,0.80%,15.84%,['Food']
Grupo Bimbo,BIMBOA.MX,876,$18.80 B,Mexico,$4.24,1.22%,56.46%,['Food']
Nexon,3659.T,877,$18.75 B,Japan,$21.69,-0.54%,10.33%,"['Videogames', 'Entertainment', 'Tech']"
Mid-America Apartment Communities,MAA,874,$18.89 B,USA,$159.23,1.30%,-25.94%,"['Realestate', 'REITs', 'Investment']"
Steel Dynamics,STLD,875,$18.89 B,USA,$107.60,-0.62%,73.02%,"['Steelproducers', 'Steelindustry']"
Hologic,HOLX,903,$18.14 B,USA,$73.80,-0.57%,-3.09%,['Medicaldevices']
Coca-Cola FEMSA,KOF,873,$18.90 B,Mexico,$67.38,-1.33%,32.14%,['Beverages']
Nan Ya Plastics,1303.TW,872,$18.97 B,Taiwan,$2.39,-2.53%,-21.90%,['Chemicals']
