name,codice,pricecap,price,country
Reckitt Benckiser,RKT.L,$52.50 B,$73.36,UK
Valero Energy,VLO,$52.48 B,$136.13,USA
Dominion Energy,D,$52.42 B,$62.92,USA
Dollar General,DG,$52.20 B,$233.52,USA
ANZ Bank,ANZ.AX,$52.08 B,$17.34,Australia
Kraft Heinz,KHC,$51.96 B,$42.42,USA
General Motors,GM,$51.86 B,$36.51,USA
Deutsche Post,DPW.DE,$51.58 B,$42.35,Germany
Dassault Systèmes,DSY.PA,$51.56 B,$38.60,France
Shin-Etsu Chemical,4063.T,$51.37 B,$127.00,Japan
Public Storage,PSA,$51.22 B,$290.87,USA
Marriott International,MAR,$51.20 B,$161.78,USA
Ford,F,$51.14 B,$12.72,USA
O'Reilly Automotive,ORLY,$51.02 B,$815.47,USA
Adani Enterprises,ADANIENT.NS,$50.78 B,$44.55,India
Synopsys,SNPS,$50.75 B,$332.97,USA
Recruit,6098.T,$50.72 B,$31.62,Japan
EDF (Electricité de France),EDF.PA,$50.67 B,$13.04,France
Sempra Energy,SRE,$50.55 B,$160.83,USA
Keurig Dr Pepper,KDP,$50.54 B,$35.69,USA
Adani Total Gas,ATGL.NS,$50.52 B,$45.92,India
Saudi Telecom Company,7010.SR,$50.47 B,$10.11,S. Arabia
ITC,ITC.NS,$50.44 B,$4.06,India
Takeda Pharmaceutical,TAK,$50.05 B,$16.10,Japan
Bank of Communications,601328.SS,$50.03 B,$0.72,China
LONGi Green Energy Technology,601012.SS,$49.78 B,$6.57,China
ING,ING,$49.74 B,$13.70,Netherlands
Stellantis,STLA,$49.55 B,$15.42,Netherlands
Shopify,SHOP,$49.47 B,$38.89,Canada
Woodside Energy,WDS,$49.02 B,$25.82,Australia
London Stock Exchange,LS4C.F,$48.97 B,$91.23,UK
Nintendo,7974.T,$48.95 B,$41.91,Japan
Hikvision,002415.SZ,$48.79 B,$5.17,China
Munich RE (Münchener Rück),MUV2.DE,$48.76 B,$348.83,Germany
American Electric Power,AEP,$48.73 B,$94.84,USA
Itaú Unibanco,ITUB,$48.71 B,$5.03,Brazil
Phillips 66,PSX,$48.69 B,$103.03,USA
General Mills,GIS,$48.64 B,$82.51,USA
Archer Daniels Midland (ADM),ADM,$48.56 B,$88.40,USA
Macquarie,MQG.AX,$48.48 B,$125.42,Australia
Edwards Lifesciences,EW,$48.41 B,$78.31,USA
Mitsubishi Corporation,8058.T,$48.33 B,$33.10,Japan
First Abu Dhabi Bank,FAB.AE,$48.24 B,$4.37,UAE
Oriental Land,4661.T,$48.22 B,$147.25,Japan
Maaden,1211.SR,$48.12 B,$19.55,S. Arabia
Daikin,6367.T,$48.11 B,$164.39,Japan
Baidu,BIDU,$48.02 B,$138.98,China
Fortescue,FMG.AX,$47.90 B,$15.56,Australia
American International Group,AIG,$47.85 B,$64.41,USA
Amphenol,APH,$47.82 B,$80.37,USA
Roper Technologies,ROP,$47.82 B,$450.98,USA
SK Hynix,000660.KS,$47.68 B,$69.35,S. Korea
FedEx,FDX,$47.60 B,$188.63,USA
Intesa Sanpaolo,ISP.MI,$47.34 B,$2.48,Italy
Johnson Controls,JCI,$47.26 B,$68.83,Ireland
Simon Property Group,SPG,$46.99 B,$125.57,USA
Hess,HES,$46.92 B,$152.21,USA
Alimentation Couche-Tard,ATD.TO,$46.90 B,$47.04,Canada
Universal Music Group,UMG.AS,$46.62 B,$25.24,Netherlands
The Hershey Company,HSY,$46.47 B,$226.61,USA
Agilent Technologies,A,$46.45 B,$156.92,USA
National Grid,NGG,$46.43 B,$63.15,UK
Cadence Design Systems,CDNS,$46.43 B,$169.26,USA
Samsung Biologics,207940.KS,$46.42 B,$652.26,S. Korea
Hitachi,6501.T,$46.28 B,$49.35,Japan
Kimberly-Clark,KMB,$46.17 B,$136.83,USA
Itōchū Shōji,8001.T,$45.79 B,$31.22,Japan
Cintas,CTAS,$45.61 B,$448.92,USA
The Travelers Companies,TRV,$45.44 B,$193.92,USA
Mitsui Bussan,8031.T,$45.36 B,$29.24,Japan
Adyen,ADYEN.AS,$45.32 B,"$1,463",Netherlands
Bank Rakyat Indonesia,BYRA.F,$45.31 B,$0.28,Indonesia
Snowflake,SNOW,$45.30 B,$140.87,USA
Aflac,AFL,$45.29 B,$72.85,USA
CITIC Securities,600030.SS,$45.28 B,$3.21,China
Infineon,IFX.DE,$44.98 B,$34.55,Germany
Foxconn (Hon Hai Precision Industry),2317.TW,$44.90 B,$3.24,Taiwan
Corteva,CTVA,$44.81 B,$62.72,USA
Bajaj Finance,BAJFINANCE.NS,$44.78 B,$73.98,India
Wanhua Chemical,600309.SS,$44.73 B,$14.25,China
Zijin Mining,601899.SS,$44.70 B,$1.72,China
S.F. Express,002352.SZ,$44.63 B,$9.12,China
NXP Semiconductors,NXPI,$44.52 B,$171.82,Netherlands
Motorola Solutions,MSI,$44.47 B,$266.01,USA
AutoZone,AZO,$44.45 B,"$2,369",USA
East Money Information,300059.SZ,$44.41 B,$3.36,China
Bayan Resources,BYAN.JK,$44.25 B,$1.33,Indonesia
Ecolab,ECL,$43.98 B,$154.43,USA
Suncor Energy,SU,$43.76 B,$32.44,Canada
Realty Income,O,$43.70 B,$66.19,USA
Ping An Bank,000001.SZ,$43.67 B,$2.25,China
Prudential,PUK,$43.65 B,$31.75,UK
Kotak Mahindra Bank,KOTAKBANK.NS,$43.62 B,$21.97,India
Centene,CNC,$43.62 B,$77.04,USA
Budweiser APAC,1876.HK,$43.58 B,$3.29,Hong Kong
Banco Santander Brasil,BSBR,$43.57 B,$5.86,Brazil
Paychex,PAYX,$43.36 B,$120.31,USA
Autodesk,ADSK,$43.28 B,$200.59,USA
WuXi AppTec,2359.HK,$43.23 B,$13.39,China
Newmont,NEM,$43.13 B,$54.35,USA
Exelon Corporation,EXC,$43.10 B,$43.38,USA
Ferrari,RACE,$43.03 B,$235.92,Italy
OCBC Bank,O39.SI,$42.99 B,$9.57,Singapore
Workday,WDAY,$42.95 B,$167.15,USA
Block,SQ,$42.85 B,$71.65,USA
TC Energy,TRP,$42.83 B,$42.79,Canada
Ambev,ABEV,$42.77 B,$2.71,Brazil
BCE,BCE,$42.58 B,$46.66,Canada
DexCom,DXCM,$42.57 B,$108.47,USA
Nordea Bank,NDA-FI.HE,$42.53 B,$11.55,Finland
Kinder Morgan,KMI,$42.36 B,$18.85,USA
Chipotle Mexican Grill,CMG,$42.26 B,"$1,525",USA
Tokio Marine,8766.T,$42.26 B,$21.05,Japan
Trane Technologies,TT,$42.21 B,$183.31,Ireland
Naspers,NPSNY,$42.03 B,$40.07,South Africa
Las Vegas Sands,LVS,$42.00 B,$54.97,USA
Palo Alto Networks,PANW,$41.98 B,$138.86,USA
YANGHE,002304.SZ,$41.89 B,$27.80,China
