07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,01-DDD-revenue_2020_euro
"310,810",310810,"310,810",566.63,doll_2.07 m
"4,601,266",4601266,"4,601,266",566.22,doll_30.44 m
"1,411,811",1411811,"1,411,811",564.06,doll_9.38 m
"1,587,500",1587500,"1,587,500",563.94,doll_10.54 m
"404,819",404819,"404,819",561.59,doll_2.68 m
"251,795",251795,"251,795",556.12,doll_1.65 m
"5,033,032",5033032,"5,033,032",555.65,doll_32.27 m
"3,241,629",3241629,"3,241,629",555.52,doll_21.25 m
"436,610",436610,"436,610",554.25,doll_2.86 m
"6,936,038",6936038,"6,936,038",552.07,doll_45.23 m
"461,000",461000,"461,000",551.35,doll_3.0 m
"656,172",656172,"656,172",550.00,doll_4.11 m
"1,034,093",1034093,"1,034,093",548.14,doll_6.69 m
"449,771",449771,"449,771",548.05,doll_2.91 m
"4,954,590",4954590,"4,954,590",546.65,doll_32.04 m
"4,979,484",4979484,"4,979,484",546.03,doll_32.17 m
"422,610",422610,"422,610",539.22,doll_2.7 m
"322,050",322050,"322,050",538.99,doll_2.0 m
"304,833",304833,"304,833",538.61,doll_1.95 m
"789,058",789058,"789,058",529.56,doll_4.97 m
"5,361,088",5361088,"5,361,088",527.70,doll_33.65 m
"4,653,721",4653721,"4,653,721",527.48,doll_28.99 m
"245,974",245974,"245,974",526.03,doll_1.53 m
"11,756,712",11756712,"11,756,712",525.30,doll_73.51 m
"1,765,457",1765457,"1,765,457",524.73,doll_11.03 m
"318,940",318940,"318,940",523.93,doll_1.99 m
"385,266",385266,"385,266",520.62,doll_2.39 m
"3,733,539",3733539,"3,733,539",517.38,doll_22.89 m
"923,000",923000,"923,000",517.01,doll_5.7 m
"598,678",598678,"598,678",515.99,doll_3.69 m
"4,174,549",4174549,"4,174,549",515.51,doll_25.0 m
"737,936",737936,"737,936",514.46,doll_4.53 m
"698,300",698300,"698,300",513.48,doll_4.28 m
"551,848",551848,"551,848",513.18,doll_3.38 m
"1,277,410",1277410,"1,277,410",509.86,doll_7.79 m
"1,644,899",1644899,"1,644,899",507.97,doll_10.0 m
"5,643,295",5643295,"5,643,295",505.07,doll_33.9 m
"685,370",685370,"685,370",502.79,doll_4.13 m
"1,002,579",1002579,"1,002,579",502.19,doll_6.04 m
"1,043,440",1043440,"1,043,440",499.55,doll_6.26 m
"1,122,907",1122907,"1,122,907",498.36,doll_6.31 m
"1,091,925",1091925,"1,091,925",493.89,doll_6.48 m
"492,860",492860,"492,860",491.72,doll_2.92 m
"916,511",916511,"916,511",488.50,doll_5.36 m
"1,207,613",1207613,"1,207,613",488.24,doll_7.1 m
"1,396,400",1396400,"1,396,400",487.83,doll_8.21 m
"2,484,783",2484783,"2,484,783",487.47,doll_14.6 m
"521,250",521250,"521,250",486.88,doll_3.06 m
"2,076,139",2076139,"2,076,139",486.24,doll_12.17 m
"580,644",580644,"580,644",486.08,doll_3.4 m
"3,380,420",3380420,"3,380,420",485.69,doll_19.8 m
"853,561",853561,"853,561",483.67,doll_4.98 m
"352,000",352000,"352,000",482.78,doll_2.05 m
"287,985",287985,"287,985",481.07,doll_1.67 m
"877,275",877275,"877,275",479.95,doll_5.09 m
"441,260",441260,"441,260",479.40,doll_2.56 m
"473,344",473344,"473,344",478.83,doll_2.72 m
"7,007,000",7007000,"7,007,000",478.65,doll_40.55 m
"638,739",638739,"638,739",474.45,doll_3.67 m
"347,190",347190,"347,190",474.38,doll_1.99 m
"349,641",349641,"349,641",473.16,doll_2.0 m
"332,372",332372,"332,372",471.65,doll_1.9 m
"493,000",493000,"493,000",471.60,doll_2.82 m
"3,185,180",3185180,"3,185,180",470.40,doll_18.17 m
"2,423,113",2423113,"2,423,113",470.21,doll_13.82 m
"631,500",631500,"631,500",469.76,doll_3.6 m
"2,267,165",2267165,"2,267,165",469.71,doll_12.82 m
"408,336",408336,"408,336",468.80,doll_2.31 m
"2,884,392",2884392,"2,884,392",468.18,doll_16.39 m
"558,820",558820,"558,820",467.98,doll_3.17 m
"338,300",338300,"338,300",465.92,doll_1.91 m
"1,644,134",1644134,"1,644,134",465.78,doll_9.24 m
"3,878,370",3878370,"3,878,370",462.56,doll_21.82 m
"9,719,653",9719653,"9,719,653",461.12,doll_54.15 m
"2,610,679",2610679,"2,610,679",460.83,doll_14.64 m
"419,240",419240,"419,240",459.21,doll_2.34 m
"2,696,485",2696485,"2,696,485",458.13,doll_15.05 m
"1,600,000",1600000,"1,600,000",456.25,doll_8.9 m
"751,071",751071,"751,071",455.45,doll_4.06 m
"532,690",532690,"532,690",452.48,doll_2.94 m
"12,709,000",12709000,"12,709,000",452.20,doll_70.18 m
"289,766",289766,"289,766",450.85,doll_1.6 m
"539,486",539486,"539,486",449.16,doll_2.94 m
"910,963",910963,"910,963",447.76,doll_4.99 m
"318,370",318370,"318,370",446.74,doll_1.74 m
"348,129",348129,"348,129",444.42,doll_1.88 m
"1,418,769",1418769,"1,418,769",443.14,doll_7.05 m
"2,982,238",2982238,"2,982,238",442.64,doll_16.07 m
"856,790",856790,"856,790",441.64,doll_4.64 m
"4,253,600",4253600,"4,253,600",439.61,doll_22.95 m
"4,893,654",4893654,"4,893,654",439.22,doll_26.2 m
"1,349,250",1349250,"1,349,250",438.38,doll_7.26 m
"635,400",635400,"635,400",435.19,doll_3.4 m
"1,013,181",1013181,"1,013,181",433.20,doll_5.4 m
"1,481,398",1481398,"1,481,398",432.02,doll_7.83 m
"564,910",564910,"564,910",431.82,doll_3.0 m
"20,436,426",20436426,"20,436,426",430.92,doll_108.5 m
"2,127,151",2127151,"2,127,151",427.38,doll_11.22 m
"7,339,330",7339330,"7,339,330",427.36,doll_38.43 m
"461,671",461671,"461,671",425.60,doll_2.41 m
"4,176,347",4176347,"4,176,347",425.57,doll_21.79 m
"569,646",569646,"569,646",421.70,doll_2.97 m
"391,540",391540,"391,540",420.34,doll_2.04 m
"6,035,116",6035116,"6,035,116",420.23,doll_31.4 m
"826,430",826430,"826,430",420.04,doll_4.3 m
"3,013,629",3013629,"3,013,629",418.96,doll_15.64 m
"655,000",655000,"655,000",418.47,doll_3.4 m
"2,635,420",2635420,"2,635,420",417.12,doll_12.47 m
"1,454,711",1454711,"1,454,711",416.23,doll_7.34 m
"2,148,122",2148122,"2,148,122",415.23,doll_11.07 m
"1,304,060",1304060,"1,304,060",411.71,doll_6.67 m
"1,090,920",1090920,"1,090,920",411.64,doll_5.58 m
"2,577,297",2577297,"2,577,297",411.37,doll_13.09 m
"4,356,500",4356500,"4,356,500",406.66,doll_22.07 m
"340,309",340309,"340,309",404.97,doll_1.72 m
"846,360",846360,"846,360",404.13,doll_4.27 m
"1,061,327",1061327,"1,061,327",403.10,doll_5.34 m
"792,093",792093,"792,093",402.58,doll_3.98 m
"4,641,712",4641712,"4,641,712",402.13,doll_22.44 m
"2,408,187",2408187,"2,408,187",400.90,doll_12.06 m
"5,629,906",5629906,"5,629,906",399.83,doll_28.14 m
"2,163,006",2163006,"2,163,006",399.44,doll_10.8 m
"7,671,961",7671961,"7,671,961",398.90,doll_38.0 m
"770,031",770031,"770,031",398.70,doll_3.81 m
"303,615",303615,"303,615",398.69,doll_1.51 m
"11,728,040",11728040,"11,728,040",398.15,doll_58.42 m
"341,370",341370,"341,370",396.92,doll_1.7 m
"608,053",608053,"608,053",396.52,doll_3.02 m
"520,998",520998,"520,998",394.55,doll_2.58 m
"6,863,940",6863940,"6,863,940",394.51,doll_31.85 m
"1,965,560",1965560,"1,965,560",393.21,doll_9.69 m
"1,543,824",1543824,"1,543,824",390.55,doll_7.52 m
"464,354",464354,"464,354",390.53,doll_2.28 m
"3,284,400",3284400,"3,284,400",389.87,doll_16.09 m
"700,007",700007,"700,007",389.78,doll_3.43 m
"3,915,724",3915724,"3,915,724",389.56,doll_19.17 m
"1,127,652",1127652,"1,127,652",388.82,doll_5.51 m
"1,401,463",1401463,"1,401,463",385.68,doll_6.81 m
"681,460",681460,"681,460",385.16,doll_3.31 m
"3,035,269",3035269,"3,035,269",383.45,doll_14.67 m
"1,468,200",1468200,"1,468,200",381.19,doll_7.06 m
"2,663,699",2663699,"2,663,699",380.80,doll_12.81 m
"2,601,157",2601157,"2,601,157",380.13,doll_12.49 m
"329,298",329298,"329,298",378.99,doll_1.58 m
"2,136,626",2136626,"2,136,626",375.90,doll_10.17 m
"5,602,132",5602132,"5,602,132",375.47,doll_26.45 m
"1,459,655",1459655,"1,459,655",375.30,doll_6.94 m
"411,858",411858,"411,858",373.76,doll_1.95 m
"1,201,964",1201964,"1,201,964",373.42,doll_5.21 m
"3,954,351",3954351,"3,954,351",373.09,doll_18.36 m
"1,906,790",1906790,"1,906,790",372.95,doll_9.02 m
"437,747",437747,"437,747",371.54,doll_2.06 m
"595,800",595800,"595,800",369.96,doll_2.8 m
"1,541,070",1541070,"1,541,070",368.02,doll_7.16 m
"4,163,750",4163750,"4,163,750",367.32,doll_19.46 m
"766,510",766510,"766,510",367.12,doll_3.58 m
"3,688,264",3688264,"3,688,264",366.38,doll_17.08 m
"2,508,842",2508842,"2,508,842",365.87,doll_11.6 m
"1,982,251",1982251,"1,982,251",365.14,doll_9.22 m
"6,328,462",6328462,"6,328,462",364.94,doll_25.34 m
"443,694",443694,"443,694",364.90,doll_2.06 m
"1,081,079",1081079,"1,081,079",362.48,doll_5.0 m
"496,790",496790,"496,790",362.41,doll_2.3 m
"110,835,763",110835763,"110,835,763",361.78,doll_468.26 m
"573,145",573145,"573,145",361.24,doll_2.64 m
"790,712",790712,"790,712",361.17,doll_3.65 m
"22,060,642",22060642,"22,060,642",361.12,doll_101.73 m
"12,200,275",12200275,"12,200,275",360.01,doll_56.12 m
"699,907",699907,"699,907",359.98,doll_3.21 m
"1,297,717",1297717,"1,297,717",359.62,doll_5.92 m
"1,050,660",1050660,"1,050,660",359.61,doll_4.83 m
"16,861,349",16861349,"16,861,349",358.59,doll_83.63 m
"934,994",934994,"934,994",358.37,doll_4.29 m
"736,000",736000,"736,000",357.44,doll_3.37 m
"1,061,360",1061360,"1,061,360",356.25,doll_4.84 m
"1,114,200",1114200,"1,114,200",356.21,doll_5.08 m
"32,824,451",32824451,"32,824,451",355.67,doll_148.51 m
"398,676",398676,"398,676",355.58,doll_1.82 m
"45,981,552",45981552,"45,981,552",355.45,doll_191.6 m
"3,389,300",3389300,"3,389,300",353.69,doll_15.38 m
"3,525,720",3525720,"3,525,720",351.01,doll_15.9 m
"1,698,358",1698358,"1,698,358",350.96,doll_7.01 m
"645,633",645633,"645,633",350.83,doll_2.91 m
"1,128,243",1128243,"1,128,243",350.12,doll_5.08 m
"505,520",505520,"505,520",347.56,doll_2.26 m
"516,640",516640,"516,640",347.12,doll_2.31 m
"775,341",775341,"775,341",344.41,doll_3.45 m
"771,504",771504,"771,504",343.11,doll_3.39 m
"1,492,190",1492190,"1,492,190",342.81,doll_6.61 m
"361,790",361790,"361,790",342.52,doll_1.6 m
"8,935,361",8935361,"8,935,361",340.45,doll_39.36 m
"1,389,534",1389534,"1,389,534",339.50,doll_6.11 m
"857,590",857590,"857,590",339.50,doll_3.77 m
"544,943",544943,"544,943",338.88,doll_2.39 m
"1,593,667",1593667,"1,593,667",338.29,doll_6.98 m
"2,091,995",2091995,"2,091,995",337.44,doll_9.09 m
"9,235,130",9235130,"9,235,130",337.37,doll_40.39 m
"743,130",743130,"743,130",337.22,doll_3.25 m
"1,119,494",1119494,"1,119,494",336.69,doll_4.85 m
"1,062,010",1062010,"1,062,010",333.49,doll_4.6 m
"2,199,640",2199640,"2,199,640",331.97,doll_9.5 m
