,name,symbol,marketcap,price,country
337,oriental land,4661.t,doll_47.27 b,doll_144.32,japan
338,stellantis,stla,doll_47.26 b,doll_14.71,netherlands
339,hikvision,002415.sz,doll_47.26 b,doll_5.01,china
340,centene,cnc,doll_46.99 b,doll_83.00,usa
341,sberbank,sber.me,doll_46.99 b,doll_2.09,russia
342,kimberly-clark,kmb,doll_46.94 b,doll_139.10,usa
343,edwards lifesciences,ew,doll_46.87 b,doll_75.82,usa
344,sumitomo mitsui financial group,smfg,doll_46.78 b,doll_6.83,japan
345,novatek,nvtk.me,doll_46.65 b,doll_15.54,russia
346,cintas,ctas,doll_46.63 b,doll_459.28,usa
347,itōchū shōji,8001.t,doll_46.59 b,doll_31.76,japan
348,american international group,aig,doll_46.55 b,doll_62.66,usa
349,roper technologies,rop,doll_46.53 b,doll_438.79,usa
350,ambev,abev,doll_46.38 b,doll_2.85,brazil
351,mitsui bussan,8031.t,doll_46.37 b,doll_29.89,japan
352,fedex,fdx,doll_46.33 b,doll_178.07,usa
353,alimentation couche-tard,atd.to,doll_46.32 b,doll_45.94,canada
354,national grid,ngg,doll_46.22 b,doll_63.14,uk
355,bank of communications,601328.ss,doll_46.20 b,doll_0.68,china
356,valero energy,vlo,doll_46.15 b,doll_119.73,usa
357,workday,wday,doll_46.07 b,doll_179.29,usa
358,woodside energy,wds,doll_45.96 b,doll_24.21,australia
359,foxconn (hon hai precision industry),2317.tw,doll_45.80 b,doll_3.30,taiwan
360,johnson controls,jci,doll_45.70 b,doll_66.55,ireland
361,agilent technologies,a,doll_45.66 b,doll_154.81,usa
362,munich re (münchener rück),muv2.de,doll_45.64 b,doll_326.52,germany
363,basf,bas.de,doll_45.62 b,doll_49.68,germany
364,cadence design systems,cdns,doll_45.39 b,doll_165.47,usa
365,enphase energy,enph,doll_45.23 b,doll_332.80,usa
366,biontech,bntx,doll_45.15 b,doll_186.05,germany
367,macquarie,mqg.ax,doll_45.12 b,doll_116.74,australia
368,kotak mahindra bank,kotakbank.ns,doll_44.96 b,doll_22.64,india
369,simon property group,spg,doll_44.80 b,doll_119.71,usa
370,samsung biologics,207940.ks,doll_44.75 b,doll_628.87,s. korea
371,universal music group,umg.as,doll_44.66 b,doll_24.64,netherlands
372,nxp semiconductors,nxpi,doll_44.45 b,doll_171.57,netherlands
373,motorola solutions,msi,doll_44.44 b,doll_265.83,usa
374,autozone,azo,doll_44.36 b,"doll_2,360",usa
375,paychex,payx,doll_44.21 b,doll_122.67,usa
376,constellation brands,stz,doll_44.19 b,doll_239.55,usa
377,ing,ing,doll_44.09 b,doll_12.01,netherlands
378,corteva,ctva,doll_44.08 b,doll_61.70,usa
379,aflac,afl,doll_43.76 b,doll_70.39,usa
380,the travelers companies,trv,doll_43.73 b,doll_186.64,usa
381,mercadolibre,meli,doll_43.62 b,doll_867.30,gentina
382,infineon,ifx.de,doll_43.53 b,doll_33.43,germany
383,autodesk,adsk,doll_43.16 b,doll_200.06,usa
384,chugai pharmaceutical,4519.t,doll_43.13 b,doll_26.23,japan
385,fidelity national information services,fis,doll_42.96 b,doll_72.41,usa
386,republic services,rsg,doll_42.95 b,doll_135.93,usa
387,maaden,1211.sr,doll_42.95 b,doll_17.45,s. arabia
388,ecolab,ecl,doll_42.84 b,doll_150.44,usa
389,fortescue,fmg.ax,doll_42.72 b,doll_13.88,australia
390,chipotle mexican grill,cmg,doll_42.64 b,"doll_1,538",usa
391,block,sq,doll_42.61 b,doll_71.25,usa
392,exelon corporation,exc,doll_42.55 b,doll_42.82,usa
393,lululemon athletica,lulu,doll_42.50 b,doll_333.33,canada
394,fortinet,ftnt,doll_42.39 b,doll_54.27,usa
395,tc energy,trp,doll_42.33 b,doll_42.33,canada
396,itaú unibanco,itub,doll_42.22 b,doll_4.36,brazil
397,maybank,mlyby,doll_42.18 b,doll_7.00,malaysia
398,sk hynix,000660.ks,doll_42.14 b,doll_61.28,s. korea
399,hess,hes,doll_41.97 b,doll_136.16,usa
400,intesa sanpaolo,isp.mi,doll_41.97 b,doll_2.20,italy
401,suncor energy,su,doll_41.96 b,doll_31.11,canada
402,microchip technology,mchp,doll_41.86 b,doll_76.11,usa
403,tokio marine,8766.t,doll_41.78 b,doll_20.81,japan
404,compass group,cpg.l,doll_41.72 b,doll_23.77,uk
405,sysco,syy,doll_41.62 b,doll_82.14,usa
406,biogen,biib,doll_41.62 b,doll_289.05,usa
407,bce,bce,doll_41.53 b,doll_45.55,canada
408,l3harris technologies,lhx,doll_41.51 b,doll_218.04,usa
409,baidu,bidu,doll_41.19 b,doll_119.22,china
410,s.f. express,002352.sz,doll_41.12 b,doll_8.40,china
411,wanhua chemical,600309.ss,doll_41.12 b,doll_13.10,china
412,williams companies,wmb,doll_41.08 b,doll_33.72,usa
413,ocbc bank,o39.si,doll_41.08 b,doll_9.14,singapore
414,ferrari,race,doll_41.07 b,doll_225.18,italy
415,budweiser apac,1876.hk,doll_40.97 b,doll_3.09,hong kong
416,honda,hmc,doll_40.83 b,doll_24.07,japan
417,citic securities,600030.ss,doll_40.78 b,doll_2.91,china
418,arthur j. gallagher & co.,ajg,doll_40.71 b,doll_193.11,usa
419,kinder morgan,kmi,doll_40.70 b,doll_18.11,usa
420,trane technologies,tt,doll_40.65 b,doll_176.54,ireland
421,cheniere energy,lng,doll_40.58 b,doll_163.20,usa
422,realty income,o,doll_40.55 b,doll_64.66,usa
423,devon energy,dvn,doll_40.47 b,doll_61.92,usa
424,ross stores,rost,doll_40.43 b,doll_117.42,usa
425,denso,6902.t,doll_40.26 b,doll_53.66,japan
426,arista networks,anet,doll_40.25 b,doll_130.99,usa
427,nornickel,gmkn.me,doll_40.20 b,doll_261.66,russia
428,lukoil,lkoh.me,doll_39.92 b,doll_61.21,russia
429,msci,msci,doll_39.85 b,doll_498.48,usa
430,iqvia,iqv,doll_39.78 b,doll_214.21,usa
431,apollo global management,apo,doll_39.64 b,doll_66.08,usa
432,nutrien,ntr,doll_39.56 b,doll_76.06,canada
433,ørsted,dogef,doll_39.48 b,doll_93.94,denmark
434,te connectivity,tel,doll_39.41 b,doll_124.25,switzerland
435,sika,sika.sw,doll_39.32 b,doll_256.83,switzerland
436,xcel energy,xel,doll_38.99 b,doll_71.25,usa
437,adani green energy,adanigreen.ns,doll_38.88 b,doll_24.54,india
438,sun hung kai properties,0016.hk,doll_38.84 b,doll_13.40,hong kong
439,nordea bank,nda-fi.he,doll_38.54 b,doll_10.55,finland
440,atlassian,team,doll_38.28 b,doll_149.85,australia
441,uob,u11.si,doll_38.20 b,doll_22.81,singapore
442,zijin mining,601899.ss,doll_38.14 b,doll_1.47,china
443,parker-hannifin,ph,doll_38.13 b,doll_296.99,usa
444,lloyds banking group,lyg,doll_38.01 b,doll_2.26,uk
445,nucor,nue,doll_37.95 b,doll_147.93,usa
