,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
336,,,,,,,,,
337,Carl Zeiss Meditec,AFXA.F,1288.0,doll_11.56 B,Germany,doll_129.26,1.65_perc,-29.30_perc,[]
338,New China Life Insurance,601336.SS,1287.0,doll_11.57 B,China,doll_4.34,0.50_perc,-29.55_perc,['Insurance']
339,Globe Life,GL,1285.0,doll_11.58 B,USA,doll_119.13,-0.07_perc,29.71_perc,['Insurance']
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,,,,,,,,
344,,,,,,,,,
345,Hansoh Pharma,3692.HK,1280.0,doll_11.65 B,China,doll_1.97,2.41_perc,-9.22_perc,['Pharmaceuticals']
346,,,,,,,,,
347,Graco,GGG,1303.0,doll_11.42 B,USA,doll_67.78,0.52_perc,-12.79_perc,[]
348,,,,,,,,,
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,Adani Wilmar,AWL.NS,1398.0,doll_10.29 B,India,doll_7.92,0.15_perc,,['Food']
353,Impala Platinum,IMP.JO,1394.0,doll_10.34 B,South Africa,doll_12.21,0.36_perc,-6.51_perc,['Mining']
354,MarketAxess,MKTX,1393.0,doll_10.35 B,USA,doll_275.14,-3.48_perc,-27.72_perc,['Financialservices']
355,,,,,,,,,
356,,,,,,,,,
357,Swire Pacific,0019.HK,1392.0,doll_10.37 B,Hong Kong,doll_7.83,2.09_perc,38.10_perc,['Investment']
358,,,,,,,,,
359,,,,,,,,,
360,Aramark,ARMK,1388.0,doll_10.41 B,USA,doll_40.26,-1.95_perc,14.18_perc,['Food']
361,Boliden,BOL.ST,1389.0,doll_10.39 B,Sweden,doll_38.01,2.23_perc,3.82_perc,['Mining']
362,,,,,,,,,
363,Sarepta Therapeutics,SRPT,1383.0,doll_10.51 B,USA,doll_119.76,-0.28_perc,40.35_perc,['Pharmaceuticals']
364,Emera,EMA.TO,1385.0,doll_10.44 B,Canada,doll_38.92,0.30_perc,-17.44_perc,[]
365,,,,,,,,,
366,,,,,,,,,
367,Kikkoman,2801.T,1380.0,doll_10.52 B,Japan,doll_55.01,0.80_perc,-29.39_perc,['Food']
368,,,,,,,,,
369,,,,,,,,,
370,News Corp,NWS,1378.0,doll_10.53 B,USA,doll_18.47,-1.39_perc,-16.95_perc,['MediaPress']
371,Carlyle Group,CG,1376.0,doll_10.54 B,USA,doll_29.00,-3.81_perc,-46.92_perc,[]
372,,,,,,,,,
373,Solvay,SOLB.VI,1406.0,doll_10.22 B,Belgium,doll_98.65,0.00_perc,-16.00_perc,[]
374,,,,,,,,,
375,CubeSmart,CUBE,1500.0,doll_9.51 B,USA,doll_42.09,0.65_perc,-23.43_perc,[]
376,,,,,,,,,
377,,,,,,,,,
378,LG Corp,003550.KS,1497.0,doll_9.53 B,South Korea,doll_60.35,1.40_perc,-13.00_perc,['Electronics']
379,Vivendi,VIV.PA,1496.0,doll_9.55 B,France,doll_9.33,-0.56_perc,-27.51_perc,['CAC40']
380,Eiffage,FGR.PA,1495.0,doll_9.56 B,France,doll_100.29,-0.06_perc,3.39_perc,['Construction']
381,,,,,,,,,
382,,,,,,,,,
383,GFL Environmental,GFL,1492.0,doll_9.57 B,Canada,doll_27.89,-0.68_perc,-26.61_perc,['WasteRecycling']
384,Gjensidige Forsikring,XGJ.F,1491.0,doll_9.58 B,Norway,doll_18.86,-1.37_perc,-17.39_perc,['Insurance']
385,Sumitomo Metal Mining,5713.T,1489.0,doll_9.58 B,Japan,doll_34.90,-1.12_perc,-10.83_perc,['Mining']
386,Allegion,ALLE,1490.0,doll_9.58 B,Ireland,doll_109.15,-0.02_perc,-17.15_perc,[]
387,Svenska Cellulosa Aktiebolaget (SCA),SCA-B.ST,1488.0,doll_9.60 B,Sweden,doll_13.46,-0.53_perc,-20.59_perc,['Pulpandpaper']
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,Isuzu,7202.T,1483.0,doll_9.62 B,Japan,doll_12.42,-0.06_perc,-9.08_perc,['Automakers']
392,,,,,,,,,
393,,,,,,,,,
394,BorgWarner,BWA,1480.0,doll_9.64 B,USA,doll_41.18,0.44_perc,-9.59_perc,['AutomotiveSuppliers']
395,Builders FirstSource,BLDR,1481.0,doll_9.63 B,USA,doll_65.47,5.29_perc,-13.86_perc,['Buildingmaterials']
396,,,,,,,,,
397,Full Truck Alliance,YMM,1478.0,doll_9.64 B,China,doll_8.70,0.00_perc,-24.74_perc,['Transportation']
398,Keppel,BN4.SI,1477.0,doll_9.64 B,Singapore,doll_5.51,0.54_perc,45.77_perc,[]
399,,,,,,,,,
400,Tingyi (master kang),0322.HK,1476.0,doll_9.65 B,China,doll_1.71,1.83_perc,-12.76_perc,['Food']
401,,,,,,,,,
402,Penske Automotive,PAG,1560.0,doll_8.95 B,USA,doll_125.57,-0.36_perc,21.18_perc,[]
403,,,,,,,,,
404,Korea Zinc,010130.KS,1600.0,doll_8.54 B,South Korea,doll_457.89,-0.17_perc,9.43_perc,[]
405,,,,,,,,,
406,Owens Corning,OC,1599.0,doll_8.55 B,USA,doll_90.60,2.10_perc,-4.08_perc,['Buildingmaterials']
407,Comerica,CMA,1598.0,doll_8.56 B,USA,doll_65.41,-0.37_perc,-23.55_perc,[]
408,SK Group,034730.KS,1597.0,doll_8.56 B,South Korea,doll_154.65,0.00_perc,-31.36_perc,[]
409,Pure Storage,PSTG,1596.0,doll_8.57 B,USA,doll_28.68,-1.17_perc,-13.93_perc,['Tech']
410,Deutsche Wohnen,DWNI.DE,1593.0,doll_8.59 B,Germany,doll_21.65,1.73_perc,-52.50_perc,['Realestate']
