"Name","Master Cap","Country","Rank","Share Price"
"RELX","$56.51 B","UK","#281","$29.38"
"Santander","$56.33 B","Spain","#282","$3.35"
"Bharti Airtel","$56.09 B","India","#283","$9.41"
"Enterprise Products","$55.99 B","USA","#284","$25.74"
"Industrial Bank","$55.68 B","China","#285","$2.68"
"MercadoLibre","$55.22 B","","#286","$1,098"
"Foshan Haitian Flavouring and Food","$55.14 B","China","#287","$11.90"
"MetLife","$55.07 B","USA","#288","$70.19"
"Valero Energy","$55.02 B","USA","#289","$142.73"
"Life Insurance Corporation of India (LIC)","$54.39 B","India","#290","$8.60"
"McKesson","$53.60 B","USA","#291","$378.04"
"Tokyo Electron","$53.59 B","Japan","#292","$344.11"
"United Heavy Machinery","$53.58 B","Russia","#293","$63.30"
"Pernod Ricard","$53.49 B","France","#294","$207.97"
"LONGi Green Energy Technology","$53.35 B","China","#295","$7.04"
"Adani Total Gas","$53.22 B","India","#296","$48.23"
"ENI","$53.04 B","Italy","#297","$31.71"
"Marriott International","$52.83 B","USA","#298","$166.91"
"Vmware","$52.76 B","USA","#299","$124.02"
"Deutsche Post","$52.65 B","Germany","#300","$43.23"
"Shin-Etsu Chemical","$52.61 B","Japan","#301","$130.06"
"Monster Beverage","$52.21 B","USA","#302","$100.00"
"Synopsys","$52.19 B","USA","#303","$342.42"
"Dominion Energy","$52.01 B","USA","#304","$62.42"
"ANZ Bank","$51.79 B","Australia","#305","$17.25"
"Recruit","$51.62 B","Japan","#306","$32.19"
"Dollar General","$51.55 B","USA","#307","$230.61"
"Shopify","$51.49 B","Canada","#308","$40.48"
"Hikvision","$51.33 B","China","#309","$5.48"
"ITC","$51.12 B","India","#310","$4.12"
"London Stock Exchange","$50.92 B","UK","#311","$92.86"
"BASF","$50.92 B","Germany","#312","$56.97"
"Public Storage","$50.91 B","USA","#313","$289.10"
"Emerson","$50.86 B","USA","#314","$87.35"
"Oriental Land","$50.85 B","Japan","#315","$155.26"
"EDF (Electricité de France)","$50.73 B","France","#316","$13.03"
"Reckitt Benckiser","$50.73 B","UK","#317","$70.89"
"Takeda Pharmaceutical","$50.58 B","Japan","#318","$16.27"
"Phillips 66","$50.55 B","USA","#319","$106.96"
"Munich RE (Münchener Rück)","$50.35 B","Germany","#320","$360.23"
"Bank of Communications","$50.29 B","China","#321","$0.73"
"General Motors","$50.22 B","USA","#322","$35.35"
"Dassault Systèmes","$49.96 B","France","#323","$37.24"
"Saudi Telecom Company","$49.87 B","Saudi Arabia","#324","$9.99"
"Ford","$49.85 B","USA","#325","$12.40"
"Nintendo","$49.83 B","Japan","#326","$42.66"
"Sempra Energy","$49.66 B","USA","#327","$157.99"
"O'Reilly Automotive","$49.64 B","USA","#328","$793.38"
"Woodside Energy","$49.32 B","Australia","#329","$25.98"
"Daikin","$49.32 B","Japan","#330","$168.53"
"Keurig Dr Pepper","$49.15 B","USA","#331","$34.71"
"Maaden","$49.04 B","Saudi Arabia","#332","$19.93"
"Edwards Lifesciences","$49.02 B","USA","#333","$79.29"
"Cadence Design Systems","$48.89 B","USA","#334","$178.26"
"Kraft Heinz","$48.85 B","USA","#335","$39.88"
"Stellantis","$48.84 B","Netherlands","#336","$15.20"
"Mitsubishi Corporation","$48.74 B","Japan","#337","$33.38"
"Macquarie","$48.69 B","Australia","#338","$125.98"
"SK Hynix","$48.68 B","South Korea","#339","$70.80"
"ING","$48.58 B","Netherlands","#340","$13.38"
"Adani Enterprises","$48.49 B","India","#341","$42.54"
"Fortescue","$48.48 B","Australia","#342","$15.75"
"Hitachi","$48.23 B","Japan","#343","$51.43"
"Itaú Unibanco","$48.03 B","Brazil","#344","$4.96"
"Hess","$47.72 B","USA","#345","$154.80"
"Bayan Resources","$47.72 B","Indonesia","#346","$1.43"
"Rational AG","$47.68 B","Germany","#347","$679.85"
"Adyen","$47.63 B","Netherlands","#348","$1,437"
"American Electric Power","$47.36 B","USA","#349","$92.17"
"National Grid","$47.33 B","UK","#350","$64.38"
"First Abu Dhabi Bank","$47.22 B","United Arab Emirates","#351","$4.27"
"FedEx","$47.16 B","USA","#352","$186.88"
"Baidu","$46.90 B","China","#353","$135.75"
"Universal Music Group","$46.84 B","Netherlands","#354","$25.57"
"Roper Technologies","$46.83 B","USA","#355","$441.59"
"Snowflake","$46.57 B","USA","#356","$144.82"
"Archer Daniels Midland (ADM)","$46.55 B","USA","#357","$84.75"
"Bank Rakyat Indonesia","$46.54 B","Indonesia","#358","$0.29"
"Amphenol","$46.45 B","USA","#359","$78.07"
"American International Group","$46.41 B","USA","#360","$62.47"
"It?ch? Sh?ji","$46.31 B","Japan","#361","$31.57"
"Alimentation Couche-Tard","$46.29 B","Canada","#362","$46.43"
"Simon Property Group","$46.27 B","USA","#363","$123.65"
"Agilent Technologies","$46.16 B","USA","#364","$155.92"
"Zijin Mining","$46.15 B","China","#365","$1.78"
"Mitsui Bussan","$46.14 B","Japan","#366","$29.74"
"Samsung Biologics","$46.02 B","South Korea","#367","$646.61"
"East Money Information","$45.81 B","China","#368","$3.47"
"Intesa Sanpaolo","$45.68 B","Italy","#369","$2.37"
"General Mills","$45.67 B","USA","#370","$77.46"
"CITIC Securities","$45.63 B","China","#371","$3.23"
"Kimberly-Clark","$45.60 B","USA","#372","$135.13"
"Block","$45.54 B","USA","#373","$76.16"
"Johnson Controls","$45.35 B","Ireland","#374","$66.05"
"Prudential","$45.22 B","UK","#375","$32.57"
"Foxconn (Hon Hai Precision Industry)","$44.90 B","Taiwan","#376","$3.24"
"Ferrari","$44.63 B","Italy","#377","$242.38"
"Workday","$44.56 B","USA","#378","$173.40"
"Suncor Energy","$44.55 B","Canada","#379","$33.03"
"Corteva","$44.55 B","USA","#380","$62.36"
"Wanhua Chemical","$44.47 B","China","#381","$14.17"
"Autodesk","$44.42 B","USA","#382","$205.90"
"Cintas","$44.36 B","USA","#383","$436.55"
"Aflac","$44.17 B","USA","#384","$71.05"
"Palo Alto Networks","$44.17 B","USA","#385","$146.10"
"S.F. Express","$44.10 B","China","#386","$9.01"
"Infineon","$44.02 B","Germany","#387","$33.81"
"The Hershey Company","$43.99 B","USA","#388","$214.52"
"Fidelity National Information Services","$43.86 B","USA","#389","$73.92"
"Realty Income","$43.82 B","USA","#390","$66.38"
"Ping An Bank","$43.81 B","China","#391","$2.26"
"Bajaj Finance","$43.66 B","India","#392","$72.13"
"NXP Semiconductors","$43.66 B","Netherlands","#393","$168.50"
"AutoZone","$43.66 B","USA","#394","$2,327"
"Ecolab","$43.54 B","USA","#395","$152.88"
"The Travelers Companies","$43.43 B","USA","#396","$185.33"
"TC Energy","$43.41 B","Canada","#397","$43.42"
"Centene","$43.12 B","USA","#398","$76.15"
"Chipotle Mexican Grill","$43.11 B","USA","#399","$1,555"
"Kotak Mahindra Bank","$43.09 B","India","#400","$21.70"
"OCBC Bank","$43.02 B","Singapore","#401","$9.57"
"WuXi AppTec","$43.00 B","China","#402","$13.73"
"Motorola Solutions","$42.68 B","USA","#403","$255.31"
"Chugai Pharmaceutical","$42.66 B","Japan","#404","$25.95"
"BCE","$42.58 B","Canada","#405","$46.70"
"Ambev","$42.51 B","Brazil","#406","$2.60"
"Paychex","$42.50 B","USA","#407","$117.93"
"Budweiser APAC","$42.39 B","Hong Kong","#408","$3.20"
"Tokio Marine","$42.39 B","Japan","#409","$21.11"
"Newmont","$42.33 B","USA","#410","$53.34"
"DexCom","$42.33 B","USA","#411","$107.86"
"Devon Energy","$42.32 B","USA","#412","$64.75"
"Naspers","$42.20 B","South Africa","#413","$39.72"
"Sika","$42.16 B","Switzerland","#414","$275.35"
"Volvo Group","$42.07 B","Sweden","#415","$19.83"
"Exelon Corporation","$42.07 B","USA","#416","$42.34"
"Nordea Bank","$42.06 B","Finland","#417","$11.58"
"Kinder Morgan","$41.89 B","USA","#418","$18.64"
"Banco Santander Brasil","$41.79 B","Brazil","#419","$5.62"
"Las Vegas Sands","$41.70 B","USA","#420","$54.57"
"Banco Bilbao Vizcaya Argentaria","$41.68 B","Spain","#421","$6.91"
"IQVIA","$41.53 B","USA","#422","$223.61"
"Compass Group","$41.48 B","UK","#423","$23.37"
"Jiangsu Hengrui Medicine","$41.45 B","China","#424","$6.50"
"Sun Hung Kai Properties","$41.41 B","Hong Kong","#425","$14.29"
"Lloyds Banking Group","$41.22 B","UK","#426","$2.44"
"YANGHE","$41.18 B","China","#427","$27.33"
"Biogen","$41.15 B","USA","#428","$285.77"
"Anta Sports","$41.09 B","China","#429","$15.13"
"Nutrien","$41.00 B","Canada","#430","$78.82"
"MSCI","$40.91 B","USA","#431","$511.76"
"Arthur J. Gallagher & Co.","$40.88 B","USA","#432","$193.90"
"Constellation Brands","$40.76 B","USA","#433","$220.88"
"7-Eleven","$40.75 B","Japan","#434","$46.15"
"Honda","$40.65 B","Japan","#435","$23.95"
"IDEXX Laboratories","$40.48 B","USA","#436","$488.88"
"Microchip Technology","$40.48 B","USA","#437","$73.60"
"Dow","$40.42 B","USA","#438","$57.44"
"Atlassian","$40.30 B","Australia","#439","$157.75"
"Apollo Global Management","$40.24 B","USA","#440","$67.07"
"Hapag-Lloyd","$40.12 B","Germany","#441","$228.28"
"lululemon athletica","$39.88 B","Canada","#442","$312.80"
"Ross Stores","$39.85 B","USA","#443","$115.73"
"Bank of New York Mellon","$39.80 B","USA","#444","$49.24"
"Mizuho Financial Group","$39.78 B","Japan","#445","$3.14"
"Capital One","$39.76 B","USA","#446","$104.18"
"STMicroelectronics","$39.51 B","Switzerland","#447","$41.79"
"CIBC","$39.45 B","Canada","#448","$43.54"
"Sysco","$39.44 B","USA","#449","$77.83"
"Energy Transfer Partners","$39.40 B","USA","#450","$12.76"
"Nucor","$39.37 B","USA","#451","$153.47"
"Muyuan Foods","$39.28 B","China","#452","$7.18"
"Parker-Hannifin","$39.20 B","USA","#453","$305.32"
"Trane Technologies","$39.12 B","Ireland","#454","$169.88"
"Wesfarmers","$39.00 B","Australia","#455","$34.38"
"Denso","$38.96 B","Japan","#456","$51.94"
"Larsen & Toubro","$38.91 B","India","#457","$27.69"
"Republic Services","$38.91 B","USA","#458","$123.15"
"Maersk","$38.90 B","Denmark","#459","$2,124"
"Kuaishou Technology","$38.85 B","China","#460","$8.98"
"Lonza","$38.72 B","Switzerland","#461","$522.00"
"TE Connectivity","$38.71 B","Switzerland","#462","$122.22"
"WuXi Biologics","$38.66 B","China","#463","$18.33"
"Adani Green Energy","$38.51 B","India","#464","$24.32"
"Fortinet","$38.49 B","USA","#465","$49.27"
"Williams Companies","$38.32 B","USA","#466","$31.46"
"Ørsted","$37.89 B","Denmark","#467","$88.77"
"Jardine Matheson","$37.78 B","Hong Kong","#468","$52.40"
"Cheniere Energy","$26.84 B","USA","#667","$55.47"
"Adani Transmission","$37.60 B","India","#470","$33.70"
"Xiaomi","$37.55 B","China","#471","$1.52"
"Hilton Worldwide","$37.51 B","USA","#472","$138.72"
"Xcel Energy","$37.51 B","USA","#473","$68.55"
"Neste","$37.43 B","Finland","#474","$48.74"
"DSV","$37.31 B","Denmark","#475","$165.62"
"LG Chem","$37.27 B","South Korea","#476","$505.16"
"Hoya","$37.24 B","Japan","#477","$104.51"
"UOB","$37.22 B","Singapore","#478","$22.23"
"Haleon","$37.03 B","UK","#479","$8.02"
"Sea (Garena)","$36.99 B","Singapore","#480","$65.86"
"Halliburton","$36.94 B","USA","#481","$40.69"
"HCL Technologies","$36.91 B","India","#482","$13.63"
"Alcon","$36.89 B","Switzerland","#483","$75.29"
"Bank of China (Hong Kong)","$36.82 B","Hong Kong","#484","$3.48"
"Constellation Software","$36.79 B","Canada","#485","$1,736"
"Dupont De Nemours","$36.74 B","USA","#486","$73.97"
"L3Harris Technologies","$36.65 B","USA","#487","$192.51"
"TransDigm","$36.57 B","USA","#488","$672.65"
"Cenovus Energy","$36.53 B","Canada","#489","$19.04"
"MediaTek","$36.42 B","Taiwan","#490","$22.89"
"Prudential Financial","$36.29 B","USA","#491","$98.63"
"AIER Eye Hospital","$36.15 B","China","#492","$5.04"
"Japan Tobacco","$36.13 B","Japan","#493","$20.36"
"NatWest Group","$36.02 B","UK","#494","$7.45"
"Haier Smart Home","$35.78 B","China","#495","$3.94"
"Manulife Financial","$35.73 B","Canada","#496","$19.06"
