valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_-0.003698 b,doll_105.69 b,0,0,doll_1.0 b,0,doll_154.57 b,doll_50.37 b,doll_13.632 b,doll_2.4 b,doll_1 b,doll_213.83 b,doll_42.24,doll_0.0238 b,doll_0.028141 b,doll_13.05 b,"1,702,000",0
doll_0.0020659999999999997 b,doll_100.49 b,0,0,doll_1.0 b,0,doll_153.93 b,doll_144.35 b,doll_13.648 b,doll_0.24580000000000002 b,doll_1 b,doll_121.25 b,doll_82.46,doll_0.00261 b,doll_0.012726000000000001 b,doll_6.24 b,"188,680",0
doll_0.035097 b,doll_979.3 b,0,0,doll_1.0 b,0,doll_158.77 b,doll_30.35 b,doll_12.445 b,doll_0.2422 b,doll_1 b,doll_80.58 b,doll_341.53,doll_0.10786 b,doll_0.1047 b,doll_7.96 b,"7,930,094",0
doll_0.005791 b,doll_521.83 b,0,0,doll_1.0 b,0,doll_155.03 b,doll_52.06 b,doll_1091.0 b,doll_3.0 b,doll_1 b,doll_48.73 b,doll_35.86,doll_0.01257 b,doll_0.030681999999999997 b,doll_9.39 b,"925,527",0
doll_0.00791 b,doll_127.51 b,0,0,doll_1.0 b,0,doll_155.65 b,doll_203.41 b,doll_10.687000000000001 b,doll_5.6 b,doll_1 b,doll_79.9 b,doll_92.10,doll_0.0057599999999999995 b,doll_0.29211000000000004 b,doll_5.0 b,"422,420",0
doll_0.016032 b,doll_94.26 b,0,0,doll_1.0 b,0,doll_160.5 b,doll_51.55 b,doll_89.861 b,doll_1.9 b,doll_1 b,doll_213.36 b,doll_63.43,doll_0.00218 b,doll_0.18463 b,doll_11.82 b,"159,707",0
doll_0.006788000000000001 b,doll_219.37 b,0,0,doll_1.0 b,0,doll_160.34 b,doll_54.33 b,doll_14.172 b,doll_5.3 b,doll_1 b,doll_118.52 b,doll_38.18,doll_0.07407 b,doll_0.068616 b,doll_4.66 b,"5,581,858",0
doll_0.006993999999999999 b,doll_203.31 b,0,0,doll_1.0 b,0,doll_161.23 b,doll_72.98 b,doll_14.377 b,doll_2.8 b,doll_1 b,doll_215.33 b,doll_177.66,doll_0.0015300000000000001 b,doll_0.046384999999999996 b,doll_3.08 b,"113,072",0
doll_0.005038 b,doll_181.75 b,0,0,doll_1.0 b,0,doll_161.68 b,doll_40.95 b,doll_19.241999999999997 b,doll_5.6 b,doll_1 b,doll_87.31 b,doll_104.30,doll_0.00332 b,doll_0.031677 b,doll_8.54 b,"247,465",0
doll_0.002214 b,doll_1370.59 b,0,0,doll_1.0 b,0,doll_166.77 b,doll_91.21 b,doll_91.947 b,doll_8.8 b,doll_1 b,doll_31.96 b,doll_337.35,doll_0.00188 b,doll_0.005511 b,doll_9.03 b,"139,300",0
