,name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
25,costco wholesale corporation,['public'],['retail'],"['seattle, washington']","['james sinegal', 'jeffrey brotman']","['issaquah, washington']",[],"['merchandise', 'cash & carry', 'warehouse club', 'gas stations']","[' usdoll_226.95', 'billion', '\xa0(2022)']","[' doll_7.7', '\xa0', 'billion', '[2]', '\xa0(2022)']","[' doll_64.17', '\xa0', 'billion', '[2]', '\xa0(2022)']","[' 304,000', '[1]', '\xa0(2022)']",[' ']
26,inter ikea systems b.v.,['private'],['retail'],"['28\xa0july 1943', ' in sweden']",['ingvar kamprad'],['delft'],[],[],[' €41.9 billion (2021)'],[],[],[],[' (retail)']
27,casino guichard-perrachon s.a.,['société anonyme with a board of directors'],['mass retail'],['1898'],['geoffroy guichard'],"['saint-étienne', 'france']",[],[],"[' €14.41 billion (', ')', ' €14.61 billion (', ')', ' €2.03 billion (', ')']","[' €', '-', '656 million ', '(2021)', '[1]']","[' €30.53 billion ', '(2021)', '[1]']","[' 196,307 employees worldwide ', '(2021)', '[1]']","['www', '.groupe-casino', '.fr']"
28,auchan retail international s.a.,['sa'],['retail'],['roubaix'],['gérard mulliez'],"['croix', 'lille métropole']",[],[],['€'],"[' €1.6 billion (2020)', '[1]']","[' €1.169 billion (2020)', '[1]']","['179,590 (2020)', '[1]']",['auchan-retail.com']
29,suning.com,['public'],['retail'],"['1990 (predecessor)', '15\xa0may\xa01996', ' (date of incorporation of suning domestic appliance)']",['zhang jindong'],['nanjing'],[],[],"[' ', ' ', '(usdoll_39.610 billion, 2020)']","[' ', '¥−5.015 billion\xa0rmb', '[1]', ' ', '(usdoll_787 million, 2020)']","[' ', '¥212.075 billion\xa0rmb', '[1]', ' ', '(usdoll_33.295 billion, 2020)']","['69,398', '[2]', ' (2 august 2021)']",['suning.cn']
30,cp all public company limited,['public'],['retail (convenience stores)'],"['7 november 1988; ', '34 years ago']",['charoen pokphand group'],"['bangkok', 'thailand']",[],[],['baht'],[],[],"['35,557 ', '(2012)', '[1]', ':\u200a50\u200a']","['www', '.cpall', '.co', '.th']"
31,ceconomy ag,[' (ag)'],['retail'],"['2017', ' (original group was founded in 1996)']",[],['düsseldorf'],[],[],['€20.8 billion\xa0(2019/20)'],[],[],"['46,186\xa0(2019/20)']",[' ']
32,"industria de diseño textil, s.a.",['sociedad anónima'],['retailing'],"['a coruña', 'galicia', 'spain']","['amancio ortega', 'rosalía mera']","['arteixo', 'a coruña', 'spain']",[],[],[' €20.4 billion (2020)'],"[' €4.8 billion (2020)', '[2]']","[' €19.621 billion (2020)', '[1]']","[' 162,450 (2020) ', '[1]']","['www', '.inditex', '.com']"
33,conad,['supermarket'],['department store'],"['bologna', 'italy']",[],"['bologna', 'italy']",[],[],[],"['15.5 billion ', '€', ' in 2020', '[2]']",[],"['65,772 in 2020', '[3]']","['www', '.conad', '.it']"
34,"the gap, inc.",['public company'],['retail'],"[', u.s.']","['donald fisher', 'doris f. fisher']","['san francisco, california', 'u.s.']",[],[],[' '],"[' ', 'usdoll_−862 million', ' (2020)', '[4]']","[' ', 'usdoll_13.769 billion', ' (2020)', '[4]']","['117,000 (2021)', '[4]']","['gap', '.com', 'gapinc', '.com']"
35,otto gmbh & co kg,['private'],[],[],['werner otto'],"['hamburg', 'germany']",[],[],['14.3 billion eur (2019/2020)'],[],[],"['51′982 (2019/2020)', '[1]']","['www', '.ottogroup', '.com', '/en', '/index', '.php']"
36,"nike, inc.",['public'],"['apparel', 'accessories', 'sports equipment']","['january\xa025, 1964']","['bill bowerman', 'phil knight']","['beaverton, oregon']",[],[],"[' ', 'usdoll_', '46.71 ', 'billion', ' (2022)']",[' usdoll_6.86 billion (2022)'],[' usdoll_40.32 billion (2022)'],"['c.', '\u200979,100', ' (may 2022)']",['nike.com']
