revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,winter in venice,6,,,,2010,,100.89,doll_12.68 m,,,,beauty,,710.72,uk,4,,
,,,infratech bau,72,,,,2007,,100.83,doll_60.07 m,,,,construction,,710.04,germany,18,,
,,,4streets building innovation tunnels bridges roads,46,,,,2016,,100.74,doll_6.74 m,,,,construction,,708.86,italy,3,,
,,,landbay,95,,,,2013,,100.68,doll_8.98 m,,,,fintech,,708.18,uk,31,,
,,,degoo,18,,,,2012,,100.67,doll_1.97 m,,,,technology,,708.03,sweden,3,,
,,,franco fresco,320,,,,2016,,100.64,doll_50.72 m,,,,food & beverage,,707.67,germany,52,,
,,,lendable,84,,,,2014,,100.63,doll_40.31 m,,,,fintech,,707.63,uk,25,,
,,,ulrich mã¼ller wealth academy,6,,,,2014,,99.88,doll_3.52 m,,,,education,,698.59,germany,2,,
,,,cerascreen,84,,,,2012,,99.87,doll_10.5 m,,,,health,,698.46,germany,19,,
,,,eqinov,43,,,,2011,,99.71,doll_70.18 m,,,,energy,,696.48,france,24,,
,,,serre famiglia pederiva viticoltori dal 1958,12,,,,1996,,99.59,doll_9.02 m,,,,food & beverage,,695.08,italy,7,,
,,,bloom & wild,170,,,,2013,,99.43,doll_155.6 m,,,,ecommerce,,693.19,uk,68,,
,,,brã¤utigam,29,,,,2016,,99.43,doll_6.32 m,,,,automobiles,,693.15,germany,9,,
,,,newil & bau,7,,,,2006,,99.42,doll_19.42 m,,,,construction,,693.05,finland,1,,
,,,id finance,411,,,,2015,,98.97,doll_103.63 m,,,,fintech,,687.67,spain,271,,
,,,kry,600,,,,2014,,98.61,doll_77.76 m,,,,health,,683.39,sweden,74,,
,,,sixth sense,25,,,,2015,,98.54,doll_3.92 m,,,,technology,,682.63,italy,4,,
,,,nethive,19,,,,2014,,98.46,doll_3.96 m,,,,cyber security,,681.63,italy,7,,
,,,latitude investment management,8,,,,2016,,98.34,doll_1.75 m,,,,financial services,,680.23,uk,3,,
,,,qred,68,,,,2015,,98.29,doll_30.41 m,,,,fintech,,679.70,sweden,10,,
,,,oculavis,55,,,,2016,,98.16,doll_3.92 m,,,,technology,,678.11,germany,15,,
,,,the information lab,30,,,,2015,,97.97,doll_4.25 m,,,,technology,,675.86,italy,5,,
,,,md sonnenschutztechnik,10,,,,2015,,97.92,doll_4.07 m,,,,construction,,675.34,germany,6,,
,,,syntio,43,,,,2017,,97.79,doll_2.13 m,,,,technology,,673.74,croatia,7,,
,,,bomae,13,,,,2016,,97.76,doll_1.66 m,,,,financial services,,673.44,denmark,3,,
,,,gophr,18,,,,2014,,97.07,doll_5.74 m,,,,technology,,665.31,uk,6,,
,,,memory pc,110,,,,2012,,96.85,doll_57.38 m,,,,retail,,662.76,germany,20,,
,,,sollis solargroãhandel,6,,,,2017,,96.77,doll_11.86 m,,,,retail,,661.92,germany,2,,
,,,spotawheel,123,,,,2015,,96.62,doll_15.65 m,,,,automobiles,,660.16,greece,37,,
,,,ooni pizza ovens,83,,,,2012,,96.28,doll_63.88 m,,,,personal & household goods,,656.17,uk,18,,
,,,robovox distributions,35,,,,2015,,96.26,doll_19.43 m,,,,retail,,655.91,germany,10,,
,,,centralnic group,650,,,,2000,,96.18,doll_197.26 m,,,,technology,,655.01,uk,92,,
,,,bernd andert transporte,83,,,,2003,,95.88,doll_4.11 m,,,,transport,,651.57,germany,16,,
,,,bluewater bio,18,,,,2007,,95.84,doll_20.2 m,,,,technology,,651.07,uk,16,,
,,,tecma solutions,107,,,,2012,,95.8,doll_7.32 m,,,,technology,,650.65,italy,25,,
,,,delante,48,,,,2015,,95.39,doll_2.16 m,,,,sales & marketing,,645.92,poland,21,,
,,,intumind,15,,,,2015,,95.0,doll_6.56 m,,,,health,,641.45,germany,8,,
,,,saljol,15,,,,2016,,94.93,doll_4.15 m,,,,health,,640.72,germany,10,,
,,,tkd solutions,20,,,,2014,,94.82,doll_15.87 m,,,,telecoms,,639.39,germany,9,,
,,,kuori,15,,,,2016,,94.5,doll_2.5 m,,,,technology,,635.85,finland,5,,
,,,ferroamp,42,,,,2010,,94.5,doll_7.65 m,,,,energy,,635.77,sweden,21,,
,,,valor real estate partners,23,,,,2016,,94.4,doll_4.53 m,,,,financial services,,634.70,uk,6,,
,,,anexiti,14,,,,2013,,94.26,doll_2.57 m,,,,technology,,633.03,france,2,,
,,,genius,23,,,,2017,,94.12,doll_2.42 m,,,,support services,,631.54,france,6,,
,,,instilla,31,,,,2015,,93.91,doll_2.99 m,,,,advertising,,629.15,italy,3,,
,,,footdistrict,60,,,,2012,,93.85,doll_14.94 m,,,,ecommerce,,628.49,spain,12,,
,,,spiideo,36,,,,2012,,93.76,doll_4.8 m,,,,technology,,627.38,sweden,12,,
,,,contractpodai,118,,,,2012,,93.72,doll_4.88 m,,,,technology,,626.96,uk,14,,
,,,tarhan bauausfã¼hrungen,15,,,,2017,,93.62,doll_1.85 m,,,,construction,,625.88,germany,5,,
,,,matillion,218,,,,2010,,93.49,doll_24.58 m,,,,technology,,624.36,uk,44,,
,,,extra mile live service,5,,,,2017,,93.42,doll_2.64 m,,,,retail,,623.62,germany,2,,
,,,littlebig connection,173,,,,2013,,92.43,doll_111.54 m,,,,support services,,612.55,france,17,,
,,,spc general service,50,,,,2011,,92.3,doll_6.79 m,,,,construction,,611.08,italy,15,,
,,,jobandtalent,801,,,,2008,,92.03,doll_352.88 m,,,,technology,,608.12,spain,156,,
,,,financial house,20,,,,2016,,92.03,doll_18.77 m,,,,fintech,,608.11,uk,14,,
