headquarters,founded,area_served,industry,name,sector,notes
tres cantos,1989,,consumer services,prisa tv,broadcasting & entertainment,
barcelona,1965,,consumer services,private media group,broadcasting & entertainment,
madrid,1976,,industrials,prosegur,business support services,
alcobendas,1996,,technology,pyro studios,software,
alcobendas,1985,,utilities,red eléctrica de españa,conventional electricity,
madrid,2005,,consumer services,renfe,travel & tourism,
madrid,1987,,oil & gas,repsol,integrated oil & gas,
madrid,2007,,consumer services,rtve,broadcasting & entertainment,
majorca,1953,,consumer services,riu hotels,hotels,
madrid,1999,,industrials,sacyr,heavy construction,
linares,1956,,consumer goods,santana motor,automobiles,
martorell,1950,,consumer goods,seat,automobiles,
getxo,1956,,industrials,sener,heavy construction,
getxo,1956,,industrials,sener aeronáutica,aerospace,
las rozas de madrid,1942,,industrials,talgo,commercial vehicles & trucks,
madrid,1959,,oil & gas,técnicas reunidas,oil equipment & services,
madrid,1924,,telecommunications,telefónica,fixed line telecommunications,
madrid,1987,,consumer services,telepizza,restaurants & bars,
madrid,1999,,technology,terra,internet,
madrid,1907,,industrials,uralita group,building materials & fixtures,
molina de segura,1963,,consumer goods,vidal,food products,
málaga,2001,,consumer goods,vitelcom,consumer electronics,
madrid,2000,,telecommunications,vodafone spain,mobile telecommunications,
barcelona,2004,,consumer services,vueling,airlines,
arteixo,1974,,consumer services,zara,apparel retailers,
madrid,2001,,consumer services,zinkia entertainment,broadcasting & entertainment,
ljubljana,1992,,technology,academa,software,
zgornji brnik,1961,,consumer services,adria airways,airlines,
novo mesto,1965,,consumer goods,adria mobil,automobiles,
ivančna gorica,1990,,consumer goods,akrapovič,automobiles,
žiri,1948,,consumer goods,alpina žiri,footwear,
kamnik,2012,,technology,amebis,software,
maribor,1995,,telecommunications,amis,fixed line telecommunications,
ljubljana,1954,,consumer services,btc,broadline retailers,
begunje na gorenjskem,1945,,consumer goods,elan,recreational products,
kranj,1998,,consumer goods,goodyear dunlop sava tires,automobiles,
velenje,1950,,consumer goods,gorenje,durable household products,
kranj,1946,,industrials,iskra (company),diversified industrials,
koper,1948,,conglomerates,istrabenz,-,
novo mesto,1954,,health care,krka,pharmaceuticals,
ljubljana,1946,,industrials,litostroj,industrial machinery,
ljubljana,1963,,industrials,ljubljana jože pučnik airport,transportation services,
ljubljana,1949,,consumer services,mercator,food retailers & wholesalers,
ljubljana,1991,,telecommunications,mobitel,mobile telecommunications,
ljubljana,1947,,consumer services,petrol group,specialty retailers,
koper,1957,,industrials,port of koper,transportation services,
maribor,1995,,industrials,post of slovenia,delivery services,
ljubljana,1991,,industrials,slovenian railways,railroads,
ljubljana,1943,,industrials,slovenija ceste tehnika,construction & materials,
