01-DDD-change1y,00-avengers-change_1_year,04-iGMM-change_1year
7.44_perc,-22.50_perc,
1.85_perc,-34.91_perc,
-8.07_perc,-15.14_perc,-35.67_perc
1.71_perc,3.66_perc,9.25_perc
-56.43_perc,-37.42_perc,
-8.83_perc,-26.22_perc,-50.28_perc
-21.00_perc,13.65_perc,
20.37_perc,-0.16_perc,21.78_perc
-61.62_perc,-33.02_perc,-9.21_perc
26.61_perc,-5.78_perc,8.48_perc
-25.60_perc,-15.91_perc,
28.46_perc,-30.80_perc,
7.57_perc,3.59_perc,44.44_perc
-46.73_perc,-26.78_perc,
-8.16_perc,5.05_perc,
1.20_perc,4.60_perc,-35.43_perc
-3.57_perc,-22.59_perc,-21.76_perc
-29.88_perc,1.51_perc,-58.82_perc
