,column_name,type_of_data,type_of_string,avg_mon_values (0 if not monetary),avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
10,ariregister-status,0,6,0.0,17.27972027972028,48.523155166511536,6.96585638428697,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
11,ariregister-registration_date,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
12,ariregister-capital,0,6,0.0,28.017982017982018,0.6809953283479757,0.8252244109016502,0.0,0.1469925734346503,0,0,0.0,0.0,0.0,0.0,0.0,0,0
13,ariregister-address,0,6,0.0,115.01698301698302,47.65505623247884,6.9032641722940635,0.5254859324030831,0.062483266597009576,0,0,0.0,0.0,0.0,0.0,0.0,0,0
14,ariregister-deletion_date,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
15,cbinsights-valuation,0,4,3.1274425574425533,9.495504495504495,1.58064912110865,1.2572386889961071,0.10977583023037539,0.18937653255834996,0,0,0.0,0.0,0.0,0.0,0.0,0,0
16,cbinsights-totalraised,0,4,2.567697102897103,14.873126873126873,24.730156955931115,4.97294248467958,0.07267304420151591,0.4192150469872707,0,0,0.0,0.0,0.0,0.0,0.0,0,0
17,cbinsights-city,0,6,0.0,8.596403596403597,7.18576129165545,2.6806270332993827,0.03741699880383187,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
18,cbinsights-founded,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1991.0,2021.0,2012.7109634551496,27.46130837407968,5.240353840541656,1,1
19,cbinsights-country,0,6,0.0,10.340659340659341,12.534300863971238,3.540381457409814,0.048026110863274234,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
20,cbinsights-stage,0,6,0.0,10.693306693306694,17.029815339505486,4.126719682690537,0.12761622858534788,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
21,cbinsights-investors,0,6,0.0,50.39160839160839,224.1283611493402,14.97091717796008,0.10393999336936167,0.003198903933525581,0,0,0.0,0.0,0.0,0.0,0.0,0,0
22,cbinsights-datejoined,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
23,cbinsights-name,0,6,0.0,9.215784215784216,21.50188872066995,4.63701290926281,0.023173814848935374,0.004651697508840366,0,0,0.0,0.0,0.0,0.0,0.0,0,0
24,cbinsights-industry,0,6,0.0,17.973026973026972,114.8534183099616,10.7169687090129,0.048271148459240854,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
25,companiesmarketcap-id,0,6,0.0,19.795204795204796,171.10591107194568,13.080745814820563,0.0,0.7240322177822188,0,0,0.0,0.0,0.0,0.0,0.0,0,0
26,companiesmarketcap-employees,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,583816.0,19304.182724252492,2692990145.3719273,51894.02803186439,1,0
27,companiesmarketcap-pricecap,0,4,10.86271902097902,11.625374625374626,5.760754729785618,2.400157230221724,0.08786715432483548,0.2969795153180725,0,0,0.0,0.0,0.0,0.0,0.0,0,0
28,companiesmarketcap-revenue,0,4,10.661145354645354,11.784215784215784,7.3840066027877285,2.7173528668150055,0.08721513251982858,0.3021956897581261,0,0,0.0,0.0,0.0,0.0,0.0,0,0
29,companiesmarketcap-earnings,0,4,1.4904482117882132,12.905094905094906,17.3186653506333,4.161570058359381,0.08227770120877086,0.3417783903298358,0,0,0.0,0.0,0.0,0.0,0.0,0,0
30,companiesmarketcap-name,0,6,0.0,14.31068931068931,51.53084477959603,7.1784987831437315,0.05586075888393901,0.0030343795953186557,0,0,0.0,0.0,0.0,0.0,0.0,0,0
31,companiesmarketcap-change_1day,0,1,0.0,9.403596403596403,0.25469236058646866,0.5046705465811024,0.0,0.320957830048741,0,0,0.0,0.0,0.0,0.0,0.0,0,0
32,companiesmarketcap-change_1year,0,1,0.0,10.543456543456543,0.45190773262701095,0.6722408293364893,0.0,0.3622532479175871,0,0,0.0,0.0,0.0,0.0,0.0,0,0
33,companiesmarketcap-share_price,0,5,41.65030049950052,9.553446553446554,0.724665943447164,0.8512731309322313,0.0,0.37104410740774046,0,0,0.0,0.0,0.0,0.0,0.0,0,0
34,companiesmarketcap-url,0,3,0.0,69.66533466533467,2892.136750362537,53.77859007414137,0.001944528939532328,0.06057476234283382,0,0,0.0,0.0,0.0,0.0,0.0,0,0
35,companiesmarketcap-company_code,0,6,0.0,4.7972027972027975,4.413418749083066,2.100813830181786,0.0,0.057900432900432855,0,0,0.0,0.0,0.0,0.0,0.0,0,0
36,companiesmarketcap-rank,0,2,0.0,6.348651348651349,2.456863815505162,1.5674386161841114,0.0,0.7489673025387362,0,0,0.0,0.0,0.0,0.0,0.0,0,0
37,companiesmarketcap-country,0,6,0.0,4.783216783216783,6.175782259698391,2.4851121221583528,0.004813872995691177,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
38,companiesmarketcap-shares,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5985543.0,251882352941.0,4442286388.700996,5.3763346123871375e+20,23186924359.18817,2,0
39,companiesmarketcap-categories,0,6,0.0,24.236763236763238,163.85103607680975,12.800431089491077,0.049835879299866825,0.00018713545540770244,0,1,0.0,0.0,0.0,0.0,0.0,0,0
40,disfold-founded,0,6,0.0,7.2967032967032965,61.337541579300044,7.831828750636728,0.07980676295848257,0.8121400488692684,0,0,0.0,0.0,0.0,0.0,0.0,0,0
41,disfold-headquarters_country,0,6,0.0,7.861138861138861,5.5621361655327695,2.358418149000039,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
42,disfold-employees,0,6,0.0,4.397602397602397,2.968785460293934,1.7230163842209782,0.00966771323914181,0.8837059765631176,0,0,0.0,0.0,0.0,0.0,0.0,0,0
