,id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
123,91e9d9d7e2c8456f9b4f2b89c4b9802f,cnp unicredit vita spa,"via emilio cornalia 30, milano, 20124, milano, italy",it13362170154,h-it0073419680,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1996
124,b83ea16f920d4972b6fb0d2a6a2adcb4,mapei spa,"viale edoardo jenner 4, milano, 20159, milano, italy",it01649960158,h-it0008538875,manufacturing,mfg paints/allied products (2851),corporation,1961
125,0276f4d3a1c04530bc7028250796f87c,emme esse vi srl,"via sassoferrato 1, milano, 20135, milano, italy",97462220159,h-it1046469591,"finance, insurance, and real estate",holding company (6719),corporation,2007
126,7ba23247cae040779bfc20f8417e1d3f,nintendo of europe gmbh,"via torri bianche 6, vimercate, 20871, monza e brianza, italy",it03359860966,h-it0072796405,services,advertising agency (7311),foreign company,2002
127,a4087828229e4d8e9e2cfa2973b1766e,snam spa,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",it13271390158,h-it0057455139,"finance, insurance, and real estate",holding company (6719),corporation,1941
128,bbe7e0d16d9848cea24687fe067dbbdc,a2a energia spa,"corso di porta vittoria 4, milano, 20122, milano, italy",it12883420155,h-it0051290006,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1999
129,226d2657a7ce4c54aed82d3c16ad17fc,grimaldi group spa,"via marchese campodisola 13, napoli, 80133, napoli, italy",it00117240820,h-it0029356407,"transportation, communications, electric, gas, and sanitary services",water freight transportation (4449),corporation,1945
130,c1bff23c2a2c48b5a8e813dd92c19fc3,veronesi holding spa,"via valpantena 18/g, verona, 37142, verona, italy",it02429770239,h-it0029714915,services,data processing/preparation (7374),corporation,1984
131,e46ecf78a6d44d8e96ec21b5e022e40b,nuovo pignone international srl,"via felice matteucci 2, firenze, 50127, firenze, italy",it04880930484,h-it0073428639,manufacturing,mfg general industrial machinery (3569),corporation,1954
132,bf1af57c69924ba58f688d629243c801,gruppo unicomm spa,"via enrico mattei 50, dueville, 36031, vicenza, italy",it00169710241,h-it0027831833,"finance, insurance, and real estate",holding company (6719),corporation,1969
133,c74e6e1b0ed2438391f85ec540f5cc92,chiesi farmaceutici spa,"via palermo 26/a, parma, 43122, parma, italy",it01513360345,h-it0061929093,manufacturing,mfg pharmaceutical preparations (2834),corporation,1935
134,1634bafa51f94e1f8cfc86354d3bb10c,valline srl,"stradello marche 6, parma, 43121, parma, italy",08995890152,h-it0009252584,"finance, insurance, and real estate",holding company (6719),corporation,1990
