Name,Industry,Sector,Headquarters,Founded
PSE (Polskie Sieci Elektroenergetyczne),Utilities,Conventional electricity,Konstancin-Jeziorna,2004
Pudliszki,Food Products,Fruit and vegetable processing,Pudliszki,1847
Qumak,Technology,Software,Warsaw,1985
Smyk Department Store,Consumer services,General retailers,Warszawa,2000
Solaris Bus & Coach,Industrials,Commercial vehicles & trucks,Bolechowo,2001
Tele-Fonika Kable,Industrials,Diversified industrials,Bydgoszcz,1920
Telewizja Polska,Consumer services,Broadcasting & entertainment,Warsaw,1952
T-Mobile Polska,Telecommunications,Mobile telecommunications,Warsaw,1996
TVN24,Consumer services,Broadcasting & entertainment,Warsaw,2001
TVN 7,Consumer services,Broadcasting & entertainment,Warsaw,2002
TVN Group,Consumer services,Broadcasting & entertainment,Warsaw,1995
Tymbark,Consumer goods,Soft drinks,Tymbark,1936
Van Pur,Consumer goods,Brewers,Rakszawa,1989
Wieliczka Salt Mine,Consumer services,Recreational services,Wieliczka,1252
Żabka,Consumer services,Food retailers & wholesalers,Poznań,1998
ZMT SA,Industrials,Defense,Tarnów,1917
Aalberts,Industrials,Electrical components & equipment,Utrecht,1981
Abellio,Transport,"Bus, ferry and train services",Utrecht,2001
ABN AMRO,Financials,Banks,Amsterdam,1991
Adyen,Financials,Payments industry,Amsterdam,2006
Accell Group,Consumer goods,Recreational products,Heerenveen,1998
Aegon N.V.,Financials,Life insurance,The Hague,1983
Ahold Delhaize,Consumer services,Food retailers & wholesalers,Zaandam,2016
AkzoNobel,Basic materials,Specialty chemicals,Amsterdam,1994
Amstel Brewery,Consumer goods,Brewers,Zoeterwoude,1870
APM Terminals,Industrials,Transportation services,The Hague,2001
Apollo Vredestein B.V.,Consumer goods,Automobiles parts,Amsterdam,1909
Arcadis,Industrials,Engineering,Amsterdam,1888
ASML Holding,Industrials,Industrial machinery,Veldhoven,1984
ASN Bank,Financials,Banks,The Hague,1960
Atradius,Financials,Non-life insurance,Amsterdam,1925
Australian Homemade,Consumer services,Restaurants & bars,Veenendaal,1979
AVEBE,Consumer goods,Food products,Veendam,1919
Bavaria Brewery,Consumer goods,Brewers,Lieshout,1680
Beter Bed,Consumer services,Specialty retailers,Uden,1981
Blendle,Technology,Internet,Utrecht,2013
Booking.com,Consumer services,Travel & tourism,Amsterdam,1996
Catawiki,Technology,Internet,Amsterdam,2008
Chipshol,Real Estate,Real Estate Investment and Services,Amsterdam,1986
CNH Global,Industrials,Commercial vehicles & trucks,Amsterdam,1999
Corendon Dutch Airlines,Consumer services,Airlines,Lijnden,2010
DAF Trucks,Consumer goods,Automobiles,Eindhoven,1993
Damen Group,Industrials,Industrial transportation & Defense,Gorinchem,1927
Dockwise,Industrials,Marine transportation,Breda,1993
Donkervoort,Consumer goods,Automobiles,Lelystad,1978
Douwe Egberts,Consumer goods,Soft drinks,Utrecht,1753
DSM,Health care,Pharmaceuticals,Heerlen,1902
eBuddy,Technology,Internet,Amsterdam,2003
Elsevier,Consumer services,Publishing,Amsterdam,1880
Endemol,Consumer services,Broadcasting & entertainment,Amsterdam,1994
Exact Software,Technology,Software,Delft,1984
Exor,Financials,Investment services,Amsterdam,1927
Feadship,Consumer goods,Recreational products,Haarlem,1949
FRABA,Industrials,Industrial Automation,Heerlen,1918
FrieslandCampina,Consumer goods,Food products,Amersfoort,2008
Fugro,Oil & gas,Exploration & production,Leidschendam,1962
General Logistics Systems,Industrials,Delivery services,Amsterdam,1999
Grolsch Brewery,Consumer goods,Brewers,Enschede,1615
