name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Hong Kong Exchanges & Clearing Ltd,$59.75 B,0388,Hong Kong,Financials,Financial Data & Stock Exchanges,"Central,HongKong",," 2,146", Mr. Alejandro Nicolas  Aguzin
"NetEase, Inc.",$59.76 B,9999,China,Communication Services,Internet Content & Information,"Hangzhou,China", June 1997," 18,129", Mr. Lei  Ding
Deutsche Post AG,$59.80 B,DPWA,Germany,Industrials,Integrated Freight & Logistics,"Bonn,Germany",," 548,042", Dr. Frank  Appel
"Block, Inc.",$59.95 B,SQ,United States,Technology,Software—Infrastructure,"SanFrancisco,CA,UnitedStates"," February 14, 2009"," 8,521", Mr. Jack  Dorsey
Nutrien Ltd.,$60.06 B,NTR,Canada,Basic Materials,Agricultural Inputs,"Saskatoon,SK,Canada",," 23,500", Mr. Kenneth A. Seitz
CNOOC Limited,$60.19 B,0883,Hong Kong,Energy,Oil & Gas E&P,"Central,HongKong", August 1999," 18,151", Mr. Keqiang  Xu
Atlas Copco AB,$60.97 B,ATCO.A,Sweden,Industrials,Specialty Industrial Machinery,"Nacka,Sweden",," 42,862", Mr. Mats  RahmstrÃ¶m
Adyen N.V.,$61.11 B,ADYEN,Netherlands,Technology,Software—Infrastructure,"Amsterdam,Netherlands",," 2,180", Mr. Pieter Willem van der Does
Hapag-Lloyd AG,$61.46 B,HLAG,Germany,Industrials,Marine Shipping,"Hamburg,Germany",," 14,106", Mr. Rolf Habben Jansen
"Banco Santander, SA",$61.67 B,SAN,Spain,Financials,Banks,"Madrid,Spain", 15 May 1857," 177,033", Mr. Jose Antonio  Alvarez Alvarez
"Fidelity National Information Services, Inc.",$61.73 B,FIS,United States,Technology,Information Technology Services,"Jacksonville,FL,UnitedStates", 1968," 65,000", Mr. Gary Adam Norcross
"Analog Devices, Inc.",$62.00 B,ADI,United States,Technology,Semiconductors,"Norwood,MA,UnitedStates"," Cambridge, Massachusetts, United States 1965"," 24,700", Mr. Vincent T. Roche
Eaton Corporation plc,$62.17 B,ETN,Ireland,Industrials,Specialty Industrial Machinery,"Dublin,Ireland", 1911," 85,947", Mr. Craig  Arnold
Pioneer Natural Resources Company,$62.19 B,PXD,United States,Energy,Oil & Gas E&P,"Irving,TX,UnitedStates", 1997," 1,932", Mr. Scott Douglas Sheffield
Nintendo Co Ltd,$62.20 B,7974,Japan,Communication Services,Electronic Gaming & Multimedia,"Kyoto,Japan",," 6,574",
Moody's Corporation,$62.58 B,MCO,United States,Financials,Financial Data & Stock Exchanges,"NewYork,NY,UnitedStates", 1909 ," 13,460", Mr. Robert Scott Fauber
"Uber Technologies, Inc.",$62.66 B,UBER,United States,Technology,Software—Application,"SanFrancisco,CA,UnitedStates", March 2009," 29,300", Mr. Dara  Khosrowshahi
Sea Limited,$62.66 B,SE,Singapore,Communication Services,Electronic Gaming & Multimedia,"Singapore,Singapore",," 29,800", Mr. Xiaodong  Li
"Paychex, Inc.",$49.23 B,PAYX,United States,Industrials,Staffing & Employment Services,"Rochester,NY,UnitedStates", 1971," 15,000", Mr. Martin  Mucci
Centene Corporation,$49.32 B,CNC,United States,Healthcare,Healthcare Plans,"St.Louis,MO,UnitedStates", 1984," 72,500", Ms. Sarah M. London
The Kraft Heinz Company,$49.42 B,KHC,United States,Consumer Staples,Packaged Foods,"Pittsburgh,PA,UnitedStates"," July 2, 2015"," 36,000", Mr. Miguel  Patricio
"Roper Technologies, Inc.",$49.66 B,ROP,United States,Industrials,Specialty Industrial Machinery,"Sarasota,FL,UnitedStates", 1890," 19,300", Mr. Laurence Neil Hunn
"MercadoLibre, Inc.",$49.83 B,MELI,Argentina,Consumer Discretionary,Internet Retail,"BuenosAires,Argentina"," August 2, 1999"," 29,957", Mr. Marcos  Eduardo GalperÃ­n
"Illumina, Inc.",$49.91 B,ILMN,United States,Healthcare,Diagnostics & Research,"SanDiego,CA,UnitedStates", 1998," 9,800", Mr. Francis A. deSouza
Safran SA,$50.02 B,SAF,France,Industrials,Aerospace & Defense,"Paris,France",," 77,008", Mr. Olivier  Andries
"Synopsys, Inc.",$50.18 B,SNPS,United States,Technology,Software—Infrastructure,"MountainView,CA,UnitedStates"," 1986 in Research Triangle Park, North Carolina."," 16,361", Dr. Aart J. de Geus
Novatek PJSC,$50.19 B,NVTK,Russia,Energy,Oil & Gas E&P,"Tarko-Sale,Russia",,, Mr. Leonid Viktorovich Mikhelson
